,0
0,14.362082
1,14.228287
2,14.08509
3,13.940998
4,13.777374
5,13.6256
6,13.509161
7,13.405936
8,13.323799
9,13.260174
10,13.2106495
11,13.165735
12,13.117548
13,13.071766
14,13.0214405
15,12.962586
16,12.90509
17,12.842456
18,12.771418
19,12.702823
20,12.630213
21,12.550391
22,12.474321
23,12.39568
24,12.311183
25,12.231558
26,12.1507015
27,12.0654335
28,11.985897
29,11.906292
30,11.823513
31,11.7471285
32,11.671715
33,11.594496
34,11.524109
35,11.455503
36,11.385873
37,11.323423
38,11.263283
39,11.202448
40,11.148648
41,11.097283
42,11.045826
43,11.000602
44,10.957544
45,10.914701
46,10.877285
47,10.841635
48,10.805877
49,10.775044
50,10.745636
51,10.71569
52,10.689979
53,10.665336
54,10.640035
55,10.618379
56,10.597505
57,10.576003
58,10.557595
59,10.539733
60,10.521396
61,10.505517
62,10.489951
63,10.473916
64,10.460061
65,10.446388
66,10.431897
67,10.419485
68,10.407203
69,10.393728
70,10.382216
71,10.370796
72,10.358057
73,10.347203
74,10.336412
75,10.324069
76,10.313555
77,10.303085
78,10.29094
79,10.280586
80,10.270264
81,10.25824
82,10.247965
83,10.237691
84,10.225461
85,10.21505
86,10.204637
87,10.191825
88,10.181053
89,10.17036
90,10.157006
91,10.145914
92,10.134983
93,10.121185
94,10.109878
95,10.098793
96,10.084873
97,10.073664
98,10.062766
99,10.0491295
100,10.038569
101,10.028431
102,10.0157585
103,10.006565
104,9.99786
105,9.986701
106,9.979464
107,9.972698
108,9.962442
109,9.956769
110,9.951608
111,9.942512
112,9.938589
113,9.935129
114,9.928943
115,9.927956
116,9.926928
117,9.9223585
118,9.923345
119,9.923993
120,9.919327
121,9.921253
122,9.922914
123,9.91871
124,9.921999
125,9.9249115
126,9.921625
127,9.926458
128,9.930598
129,9.927339
130,9.933117
131,9.938034
132,9.933916
133,9.940404
134,9.945971
135,9.941095
136,9.94814
137,9.954069
138,9.949451
139,9.957073
140,9.963151
141,9.957871
142,9.965499
143,9.971214
144,9.96424
145,9.971355
146,9.976383
147,9.968572
148,9.975517
149,9.980104
150,9.972116
151,9.979118
152,9.983451
153,9.974963
154,9.981461
155,9.9851
156,9.975687
157,9.981691
158,9.984665
159,9.974923
160,9.980411
161,9.98264
162,9.973089
163,9.978283
164,9.980076
165,9.970667
166,9.97573
167,9.977335
168,9.966997
169,9.971029
170,9.97176
171,9.961305
172,9.96478
173,9.965008
174,9.954909
175,9.958017
176,9.957979
177,9.948551
178,9.951423
179,9.951304
180,9.942272
181,9.944679
182,9.944292
183,9.935159
184,9.937145
185,9.936577
186,9.927637
187,9.929615
188,9.929253
189,9.92137
190,9.92332
191,9.923013
