,0
0,14.356841
1,14.207331
2,14.054553
3,13.937393
4,13.836797
5,13.755849
6,13.695597
7,13.6339
8,13.581541
9,13.543604
10,13.499374
11,13.46048
12,13.432598
13,13.396709
14,13.365009
15,13.343876
16,13.314068
17,13.288053
18,13.272436
19,13.247725
20,13.226581
21,13.215735
22,13.195363
23,13.178355
24,13.171446
25,13.154709
26,13.141122
27,13.137548
28,13.123782
29,13.113009
30,13.112121
31,13.10081
32,13.092302
33,13.093457
34,13.083974
35,13.077234
36,13.079952
37,13.071887
38,13.066524
39,13.070474
40,13.0637245
41,13.059383
42,13.063913
43,13.057519
44,13.053816
45,13.059379
46,13.054044
47,13.050943
48,13.0570545
49,13.052045
50,13.049423
51,13.056057
52,13.051875
53,13.0496435
54,13.056425
55,13.052147
56,13.050102
57,13.056835
58,13.052756
59,13.050703
60,13.057714
61,13.053692
62,13.051851
63,13.059114
64,13.055295
65,13.053506
66,13.060822
67,13.056897
68,13.055145
69,13.0624275
70,13.058569
71,13.056827
72,13.064262
73,13.060308
74,13.058558
75,13.066031
76,13.062122
77,13.060416
78,13.06787
79,13.063836
80,13.062041
81,13.069461
82,13.06538
83,13.063582
84,13.071039
85,13.066683
86,13.064794
87,13.072556
88,13.068418
89,13.066544
90,13.074288
91,13.06999
92,13.068137
93,13.075998
94,13.071701
95,13.069804
96,13.07785
97,13.073676
98,13.07193
99,13.080284
100,13.076195
101,13.074437
102,13.082834
103,13.078859
104,13.077246
105,13.085524
106,13.081366
107,13.079636
108,13.088053
109,13.084051
110,13.082402
111,13.090883
112,13.086799
113,13.085133
114,13.093558
115,13.08965
116,13.08806
117,13.096616
118,13.092625
119,13.091021
120,13.099529
121,13.095656
122,13.094084
123,13.102367
124,13.098271
125,13.096563
126,13.104813
127,13.100847
128,13.09921
129,13.107555
130,13.103611
131,13.101975
132,13.110118
133,13.10608
134,13.10435
135,13.112494
136,13.10853
137,13.106831
138,13.11508
139,13.111159
140,13.1094475
141,13.117451
142,13.1134815
143,13.11173
144,13.119719
145,13.115777
146,13.114025
147,13.122039
148,13.118076
149,13.11625
150,13.124021
151,13.120036
152,13.118172
153,13.125786
154,13.121726
155,13.11979
156,13.127433
157,13.12332
158,13.1212845
159,13.12869
160,13.124486
161,13.122367
162,13.129785
163,13.12557
164,13.123425
165,13.130773
166,13.126546
167,13.124342
168,13.131466
169,13.127084
170,13.124755
171,13.131639
172,13.127154
173,13.124713
174,13.131542
175,13.126954
176,13.124403
177,13.131126
178,13.126464
179,13.123843
180,13.130446
181,13.125699
182,13.122966
183,13.129443
184,13.124538
185,13.121655
186,13.127973
187,13.122874
188,13.1198015
189,13.125861
190,13.120513
191,13.11721
192,13.123053
193,13.117475
194,13.113966
195,13.119674
196,13.113906
197,13.110226
198,13.115723
199,13.109682
200,13.105764
201,13.111251
202,13.105063
203,13.101013
204,13.106418
205,13.099985
206,13.095727
207,13.100927
208,13.094183
209,13.089659
210,13.094758
211,13.087733
212,13.082988
213,13.087992
214,13.080654
215,13.075663
216,13.080691
217,13.07309
218,13.067906
219,13.072972
220,13.0651245
221,13.059793
222,13.065081
223,13.05708
224,13.051699
225,13.056918
226,13.048646
227,13.043146
228,13.048576
229,13.040197
230,13.034736
231,13.040708
232,13.032429
233,13.027186
234,13.033548
235,13.025363
236,13.020367
237,13.027377
238,13.019501
239,13.014916
240,13.022666
241,13.015216
242,13.011172
243,13.019315
244,13.012234
245,13.008749
246,13.0177145
247,13.011257
248,13.008438
249,13.018257
250,13.012507
251,13.010403
252,13.020945
253,13.015879
254,13.01447
255,13.025533
256,13.0210905
257,13.020301
258,13.03171
259,13.027772
260,13.027458
261,13.039219
262,13.035765
263,13.035838
264,13.047617
265,13.044474
266,13.044797
267,13.056334
268,13.053305
269,13.05369
270,13.065048
271,13.062058
272,13.06247
273,13.07361
274,13.070603
275,13.071029
276,13.081725
277,13.078703
278,13.078924
279,13.0891285
280,13.085785
281,13.085813
282,13.095697
283,13.092309
284,13.092138
285,13.1018305
286,13.098286
287,13.098004
288,13.106961
289,13.103037
290,13.102354
291,13.111047
292,13.107053
293,13.1061535
294,13.11449
295,13.110133
296,13.109006
297,13.117038
298,13.112484
299,13.111071
300,13.119156
301,13.114631
302,13.113093
303,13.121002
304,13.1162405
305,13.114569
306,13.122326
307,13.117684
308,13.115905
309,13.123447
310,13.118517
311,13.116547
312,13.124147
313,13.119289
314,13.11722
315,13.124814
316,13.11982
317,13.117776
318,13.125278
319,13.120273
320,13.118148
321,13.125731
322,13.120697
323,13.118568
324,13.126181
325,13.121103
326,13.118953
327,13.1265955
328,13.121472
329,13.11927
330,13.126967
331,13.121844
