,0
0,2.243672
1,1.8020929
2,1.4329937
3,1.1510922
4,0.9828902
5,0.86541593
6,0.7837929
7,0.7267732
8,0.67767423
9,0.63746244
10,0.6125343
11,0.58823013
12,0.56781054
13,0.5560928
14,0.54213977
15,0.5337717
16,0.52807975
17,0.5190142
18,0.51041466
19,0.5078516
20,0.50137883
21,0.49419567
22,0.49343735
23,0.4884926
24,0.4818441
25,0.48218542
26,0.47819117
27,0.47239336
28,0.47347045
29,0.47010607
30,0.46449515
31,0.46607858
32,0.46315336
33,0.4616131
34,0.46351102
35,0.46088153
36,0.45527488
37,0.457476
38,0.45509794
39,0.45361117
40,0.45598453
41,0.4537631
42,0.44819218
43,0.4507519
44,0.44867927
45,0.44348812
46,0.4461754
47,0.444207
48,0.43915656
49,0.44193482
50,0.4400405
51,0.43717772
52,0.44001347
53,0.43817183
54,0.43364674
55,0.43658975
56,0.43481696
57,0.4330319
58,0.43598726
59,0.4342283
60,0.42889988
61,0.43193424
62,0.43021712
63,0.42716724
64,0.43022093
65,0.42852107
66,0.42648178
67,0.4295565
68,0.4278709
69,0.42675734
70,0.42983717
71,0.42815965
72,0.4256633
73,0.42872685
74,0.4270327
75,0.42543736
76,0.4285123
77,0.42681578
78,0.4263174
79,0.42937723
80,0.4276693
81,0.42742684
82,0.430487
83,0.42877537
84,0.42806605
85,0.43111524
86,0.42938763
87,0.4287205
88,0.43178728
89,0.43006656
90,0.42930704
91,0.43241203
92,0.4307044
93,0.42984393
94,0.43291634
95,0.4311877
96,0.4311609
97,0.4341801
98,0.43242306
99,0.4323178
100,0.43528593
101,0.43349603
102,0.43352434
103,0.4364807
104,0.434675
105,0.4348917
106,0.43783048
107,0.4360096
108,0.43595132
109,0.4388625
110,0.43702012
111,0.4369086
112,0.4397917
113,0.43792656
114,0.4372395
115,0.4400832
116,0.43818998
117,0.438422
118,0.44126776
119,0.43936914
120,0.43829876
121,0.44108966
122,0.43915114
123,0.43873936
124,0.44152924
125,0.43957916
126,0.43846434
127,0.4412563
128,0.43930712
129,0.43888035
130,0.4416906
131,0.43974638
132,0.43779287
133,0.44059512
134,0.438647
135,0.43808517
136,0.4408774
137,0.4389174
138,0.43637243
139,0.43928558
140,0.43737754
141,0.43771493
142,0.4404453
143,0.4384534
144,0.43850467
145,0.4412531
146,0.43926385
147,0.43813697
148,0.44096702
149,0.439009
150,0.4381318
151,0.44095978
152,0.43900323
153,0.43728387
154,0.44013864
155,0.4381988
156,0.43722212
157,0.44006294
158,0.438118
159,0.43730378
160,0.44012582
161,0.4381637
162,0.43741024
163,0.44023502
164,0.4382739
165,0.43736088
166,0.44019204
167,0.43823528
168,0.43759432
169,0.44042164
170,0.43845996
171,0.43795493
172,0.44076878
173,0.4387971
174,0.43848678
175,0.44132018
176,0.43936133
177,0.4385969
178,0.44143766
179,0.43948442
180,0.43848658
181,0.4413195
182,0.43935975
183,0.43828958
184,0.441138
185,0.43918297
186,0.43912384
187,0.44195864
188,0.43999907
189,0.44047245
190,0.44327483
191,0.44129074
192,0.44073588
193,0.4435395
194,0.44155926
195,0.4415527
196,0.44432154
197,0.44231853
198,0.44207475
199,0.44484892
200,0.4428478
201,0.44245702
202,0.4452051
203,0.4431954
204,0.4428034
205,0.44556034
206,0.44355687
207,0.4422855
208,0.44505534
209,0.44306874
210,0.44265324
211,0.44538486
212,0.4433814
213,0.44290346
214,0.44562265
215,0.44361037
216,0.4428057
217,0.4455091
218,0.44349065
219,0.44259644
220,0.44527382
221,0.44325
222,0.44246078
223,0.44510683
224,0.44307682
225,0.44293016
226,0.44553995
227,0.4434979
228,0.44241303
229,0.4450549
230,0.4430387
231,0.44196224
232,0.44462234
233,0.44262198
234,0.44130728
235,0.44394922
236,0.44195157
237,0.44064942
238,0.44331282
239,0.44133472
240,0.43855503
241,0.44124505
242,0.43929294
243,0.44124037
244,0.44393614
245,0.4419741
246,0.44004136
247,0.44275805
248,0.44081578
249,0.44073626
250,0.4434908
251,0.44157404
252,0.43973458
253,0.44254303
254,0.44066545
255,0.43867674
256,0.44151977
257,0.4396721
258,0.43743384
259,0.4403287
260,0.4385167
261,0.4360702
262,0.4389804
263,0.43718302
264,0.43546662
265,0.43836072
266,0.43655223
267,0.43485388
268,0.43775186
269,0.4359396
270,0.43402898
271,0.4369375
272,0.43512112
273,0.4334765
274,0.43638685
275,0.43457007
276,0.43196642
277,0.4349184
278,0.43312097
279,0.43157086
280,0.43452662
281,0.43272865
282,0.43067202
283,0.43366382
284,0.431876
285,0.42907697
286,0.43211535
287,0.43034858
288,0.42765963
289,0.430765
290,0.42903328
291,0.42746964
292,0.43050787
293,0.42873338
294,0.42824054
295,0.43124175
296,0.42943045
297,0.42846692
298,0.43144476
299,0.42961207
300,0.42895487
301,0.43186498
302,0.42998666
303,0.42939678
304,0.43232033
305,0.43044624
306,0.4308185
307,0.43379873
308,0.43194637
309,0.43147177
310,0.43443513
311,0.432572
312,0.43072343
313,0.43361357
314,0.431708
315,0.43167245
316,0.43453717
317,0.43261635
318,0.43241993
319,0.43529376
320,0.43337005
321,0.43304113
322,0.43589
323,0.43395457
324,0.43430713
325,0.43712446
326,0.43516225
327,0.43460882
328,0.43742022
329,0.4354477
330,0.43469542
331,0.43748245
332,0.43549243
333,0.4353066
334,0.43807232
335,0.43606508
336,0.4357633
337,0.43851495
338,0.4364938
339,0.43617165
340,0.43892863
341,0.436907
342,0.43629888
343,0.4390538
344,0.4370308
345,0.43657255
346,0.4393178
347,0.4372896
348,0.43687096
349,0.43964005
350,0.43761578
351,0.43726495
352,0.44004187
353,0.43802744
354,0.43709177
355,0.43988675
356,0.437879
357,0.43733954
358,0.4401573
359,0.4381693
360,0.43760455
361,0.44042835
362,0.43843907
363,0.43796793
364,0.44080967
365,0.43883777
366,0.43834344
367,0.44116765
368,0.43918267
369,0.43867567
370,0.44150272
371,0.43952015
372,0.4395216
373,0.44235715
374,0.44037893
375,0.44047147
376,0.44332698
377,0.4413645
378,0.4416197
379,0.44447157
380,0.4425098
381,0.44267696
382,0.44551647
383,0.44354656
384,0.44419706
385,0.4470445
386,0.44507882
387,0.44608125
388,0.4489265
389,0.44696024
390,0.4475758
391,0.45042112
392,0.44845676
393,0.44904014
394,0.45188922
395,0.44992584
396,0.450817
397,0.45363754
398,0.45165563
399,0.4530738
400,0.45592508
401,0.45395812
402,0.4543051
403,0.45718312
404,0.45523733
405,0.45509368
406,0.457968
407,0.45602483
408,0.45547044
409,0.45830524
410,0.45634082
411,0.45716816
412,0.46003446
413,0.45807993
414,0.4592208
415,0.46203998
416,0.46006557
417,0.46031296
418,0.46311176
419,0.4611296
420,0.46120608
421,0.46397617
422,0.46198612
423,0.46241218
424,0.46512187
425,0.46310255
426,0.46224368
427,0.46491534
428,0.46288556
429,0.46246445
430,0.46510848
431,0.4630706
432,0.46264213
433,0.4652691
434,0.46322763
435,0.46293455
436,0.46554166
437,0.4635054
438,0.46321148
439,0.4657904
440,0.4637582
441,0.4627514
442,0.46531275
443,0.46328706
444,0.4616227
445,0.4642021
446,0.4621985
447,0.46106082
448,0.46363884
449,0.46164936
450,0.45954606
451,0.46214908
452,0.46018797
453,0.45928153
454,0.46189514
455,0.45994318
456,0.45844114
457,0.46108815
458,0.45917243
459,0.4572069
460,0.45994064
461,0.45808196
462,0.45483196
463,0.4576292
464,0.4558283
465,0.45292723
466,0.45574352
467,0.4539706
468,0.45038924
469,0.45326433
470,0.45154
471,0.44986042
472,0.4527344
473,0.45099014
474,0.4482112
475,0.4510319
476,0.44926476
477,0.44691682
478,0.4497767
479,0.44801992
480,0.4454718
481,0.44833702
482,0.44657636
483,0.44265875
484,0.44552898
485,0.44377387
486,0.44056225
487,0.44351026
488,0.4417761
489,0.43842965
490,0.44140044
491,0.4396774
492,0.43656236
493,0.43955207
494,0.437837
495,0.43485892
496,0.43785456
497,0.43613893
498,0.43388578
499,0.43686965
500,0.43513876
501,0.4325294
502,0.4355612
503,0.43385682
504,0.43163452
505,0.43465856
506,0.432952
507,0.43164152
508,0.43462855
509,0.43289056
510,0.43196014
511,0.43493617
512,0.43317354
513,0.43275514
514,0.43571177
515,0.43392843
516,0.43358794
517,0.43652186
518,0.43471432
519,0.4343084
520,0.43722424
521,0.43539667
522,0.43557835
523,0.43845913
524,0.43661088
525,0.43638316
526,0.43929124
527,0.4374444
528,0.43720102
529,0.44007573
530,0.43820643
531,0.43789116
532,0.44074604
533,0.43886313
534,0.43880576
535,0.44163465
536,0.43973505
537,0.4390617
538,0.4418675
539,0.43994242
540,0.4394875
541,0.44225252
542,0.44029576
543,0.4396052
544,0.44235438
545,0.44038218
546,0.4394129
547,0.44215253
548,0.44016966
549,0.43933168
550,0.4420594
551,0.44006345
552,0.43924755
553,0.4419942
554,0.44000915
555,0.43884015
556,0.44158497
557,0.43959355
558,0.43824595
559,0.44099572
560,0.4390061
561,0.43769398
562,0.44044665
563,0.43845558
564,0.43732324
565,0.44007275
566,0.43807527
567,0.43686926
568,0.43962362
569,0.43762764
570,0.4362458
571,0.4390244
572,0.43704292
573,0.43567055
574,0.43843678
575,0.43644562
576,0.43521625
577,0.4379831
578,0.43599236
579,0.43518457
580,0.43794885
581,0.435955
582,0.43518126
583,0.43792292
584,0.4359151
585,0.43497846
586,0.43772334
587,0.4357172
588,0.43501517
589,0.4377712
590,0.4357683
591,0.43562424
592,0.4383814
593,0.43637723
594,0.43637025
595,0.43911454
596,0.43710348
597,0.43691593
598,0.43965575
599,0.43764085
600,0.43721235
601,0.43997076
602,0.4379639
603,0.43772393
604,0.4404866
605,0.4384826
606,0.43882072
607,0.44157556
608,0.43956518
609,0.44002137
610,0.4427672
611,0.4407479
612,0.44049993
613,0.44323996
614,0.44121382
615,0.44159475
616,0.44432133
617,0.44228375
618,0.44323584
619,0.44596168
620,0.44391888
621,0.44411534
622,0.44685087
623,0.44481236
624,0.4448267
625,0.4475177
626,0.4454565
627,0.44494137
628,0.44759774
629,0.44551644
630,0.44542906
631,0.44810936
632,0.446036
633,0.44604468
634,0.44874346
635,0.4466803
636,0.44678792
637,0.44945642
638,0.44738346
639,0.4471955
640,0.44982225
641,0.44773042
642,0.44736898
643,0.44997293
644,0.44787195
645,0.44814804
646,0.45073748
647,0.4486323
648,0.44845015
649,0.4510386
650,0.4489402
651,0.44803137
652,0.45062298
653,0.44853795
654,0.44787133
655,0.45046094
656,0.44838506
657,0.44753265
658,0.45012438
659,0.4480601
660,0.446874
661,0.4494741
662,0.44742864
663,0.44591784
664,0.44855976
665,0.4465469
666,0.44559363
667,0.44827452
668,0.44628832
669,0.44561726
670,0.44826534
671,0.44627503
672,0.44448185
673,0.4471625
674,0.44520077
675,0.4428441
676,0.44557372
677,0.4436441
678,0.44111395
679,0.4438902
680,0.4419916
681,0.4404304
682,0.4432535
683,0.44138604
684,0.43915382
685,0.4420262
686,0.44019145
687,0.4378386
688,0.44073066
689,0.43890887
690,0.43676016
691,0.43965298
692,0.4378304
693,0.43609303
694,0.4389806
695,0.43715522
696,0.43581617
697,0.43869182
698,0.4368589
699,0.43430325
700,0.4372071
701,0.43538707
702,0.43344396
703,0.43636706
704,0.43454778
705,0.4321689
706,0.4351196
707,0.43331292
708,0.43055892
709,0.43356127
710,0.43177992
711,0.42940983
712,0.43242902
713,0.43065035
714,0.42850673
715,0.4315309
716,0.4297471
717,0.4278637
718,0.430889
719,0.42909777
720,0.4276116
721,0.4306256
722,0.42882562
723,0.42790866
724,0.43089
725,0.42906454
726,0.4284842
727,0.43143743
728,0.4295851
729,0.42923254
730,0.43216732
731,0.43029475
732,0.42970124
733,0.4326647
734,0.43079957
735,0.4292302
736,0.4321944
737,0.4303287
738,0.43009585
739,0.43301946
740,0.43113118
741,0.431432
742,0.43434373
743,0.43244186
744,0.43240318
745,0.43528807
746,0.4333678
747,0.43324983
748,0.43612897
749,0.43420082
750,0.43412995
751,0.43698356
752,0.43503574
753,0.43495643
754,0.43777445
755,0.43580204
756,0.4359113
757,0.4386981
758,0.43670508
759,0.43722552
760,0.4400077
761,0.43800512
762,0.4377167
763,0.44053552
764,0.4385488
765,0.43811545
766,0.44091862
767,0.43892208
768,0.43869162
769,0.44149306
