,0
0,-0.0
1,0.0
2,-1.85e-43
3,-4.092288e-39
4,-4.0465475e-36
5,-6.7984766e-34
6,-2.9345182e-32
7,-7.128911e-31
8,-9.388174e-30
9,-6.461575e-29
10,-3.787772e-28
11,-1.6712902e-27
12,-5.132249e-27
13,-1.5762025e-26
14,-4.1309194e-26
15,-8.5754844e-26
16,-1.8932356e-25
17,-3.7546005e-25
18,-6.1592194e-25
19,-1.1110632e-24
20,-1.849547e-24
21,-2.6012789e-24
22,-4.0974796e-24
23,-6.051069e-24
24,-7.640335e-24
25,-1.0932015e-23
26,-1.4816938e-23
27,-1.7643942e-23
28,-2.3888253e-23
29,-3.0821584e-23
30,-3.4956096e-23
31,-4.5180065e-23
32,-5.5768257e-23
33,-6.069645e-23
34,-7.5403383e-23
35,-8.9742255e-23
36,-9.47465e-23
37,-1.1430876e-22
38,-1.3239286e-22
39,-1.3646822e-22
40,-1.6087435e-22
41,-1.824461e-22
42,-1.8416164e-22
43,-2.1294723e-22
44,-2.373459e-22
45,-2.3618258e-22
46,-2.6959323e-22
47,-2.9701959e-22
48,-2.9297875e-22
49,-3.3169627e-22
50,-3.6253472e-22
51,-3.5572886e-22
52,-4.0046414e-22
53,-4.3526805e-22
54,-4.2573134e-22
55,-4.7770084e-22
56,-5.1785747e-22
57,-5.062326e-22
58,-5.678334e-22
59,-6.1545974e-22
60,-6.0067817e-22
61,-6.729454e-22
62,-7.286002e-22
63,-7.0961267e-22
64,-7.9405896e-22
65,-8.586418e-22
66,-8.3413657e-22
67,-9.307439e-22
68,-1.0049027e-21
69,-9.759791e-22
70,-1.0882826e-21
71,-1.1756394e-21
72,-1.1383422e-21
73,-1.2656054e-21
74,-1.3650528e-21
75,-1.3068486e-21
76,-1.4381896e-21
77,-1.5388984e-21
78,-1.470341e-21
79,-1.6161211e-21
80,-1.7261664e-21
81,-1.6490641e-21
82,-1.809813e-21
83,-1.932479e-21
84,-1.851287e-21
85,-2.0377592e-21
86,-2.1793277e-21
87,-2.0745742e-21
88,-2.265386e-21
89,-2.4107515e-21
90,-2.2765275e-21
91,-2.4684142e-21
92,-2.6079329e-21
93,-2.433842e-21
94,-2.6054695e-21
95,-2.7203717e-21
96,-2.5180755e-21
97,-2.6737171e-21
98,-2.7681175e-21
99,-2.5347286e-21
100,-2.6578022e-21
101,-2.7156897e-21
102,-2.4046413e-21
103,-2.4239613e-21
104,-2.3673905e-21
105,-1.9643326e-21
106,-1.8199553e-21
107,-1.592973e-21
108,-1.1113195e-21
109,-7.561711e-22
110,-3.1552578e-22
111,2.688365e-22
112,9.369594e-22
113,1.6908207e-21
114,2.398098e-21
115,3.5082685e-21
116,4.697541e-21
117,5.506094e-21
118,7.167044e-21
119,8.878832e-21
120,9.702337e-21
121,1.1978385e-20
122,1.4244679e-20
123,1.4852475e-20
124,1.763645e-20
125,2.0300226e-20
126,2.0847994e-20
127,2.4403705e-20
128,2.772993e-20
129,2.7935993e-20
130,3.2125785e-20
131,3.591351e-20
132,3.541383e-20
133,3.990948e-20
134,4.3780095e-20
135,4.2313704e-20
136,4.6770233e-20
137,5.037521e-20
138,4.7710324e-20
139,5.1709086e-20
140,5.465102e-20
141,5.0770155e-20
142,5.3992295e-20
143,5.602753e-20
144,5.1134745e-20
145,5.3432074e-20
146,5.451923e-20
147,4.8896714e-20
148,5.0215072e-20
149,5.0404073e-20
150,4.4422775e-20
151,4.485557e-20
152,4.4318954e-20
153,3.8496e-20
154,3.832009e-20
155,3.737015e-20
156,3.2288488e-20
157,3.19485e-20
158,3.0994458e-20
159,2.6651055e-20
160,2.6211258e-20
161,2.52998e-20
162,2.179066e-20
163,2.1436791e-20
164,2.0705118e-20
165,1.7921989e-20
166,1.7686765e-20
167,1.7140425e-20
168,1.4938055e-20
169,1.4805635e-20
170,1.4405134e-20
171,1.26033075e-20
172,1.2516786e-20
173,1.2198863e-20
174,1.0702415e-20
175,1.0652709e-20
176,1.0405492e-20
177,9.15921e-21
178,9.144316e-21
179,8.96024e-21
180,7.9319965e-21
181,7.9532455e-21
182,7.82219e-21
183,6.944011e-21
184,6.981214e-21
185,6.881173e-21
186,6.1186053e-21
187,6.1637606e-21
188,6.086485e-21
189,5.417228e-21
190,5.467371e-21
191,5.40796e-21
192,4.812443e-21
193,4.8627505e-21
194,4.8150418e-21
195,4.279535e-21
196,4.328037e-21
197,4.2890102e-21
198,3.8153956e-21
199,3.8695537e-21
200,3.8443994e-21
201,3.4248783e-21
202,3.483664e-21
203,3.4693663e-21
204,3.0898926e-21
205,3.1460908e-21
206,3.135186e-21
207,2.7982165e-21
208,2.8572285e-21
209,2.8539973e-21
210,2.5647462e-21
211,2.6394404e-21
212,2.6564718e-21
213,2.4037024e-21
214,2.4903985e-21
215,2.5213968e-21
216,2.2965886e-21
217,2.397353e-21
218,2.4436486e-21
219,2.2371461e-21
220,2.3481147e-21
221,2.4051003e-21
222,2.2065683e-21
223,2.3227302e-21
224,2.385155e-21
225,2.1992604e-21
226,2.32805e-21
227,2.4028882e-21
228,2.2291645e-21
229,2.3741986e-21
230,2.4640432e-21
231,2.299323e-21
232,2.4634168e-21
233,2.5704553e-21
234,2.4116303e-21
235,2.5978793e-21
236,2.7243664e-21
237,2.5678106e-21
238,2.779169e-21
239,2.9269019e-21
240,2.780114e-21
241,3.0306835e-21
242,3.2132443e-21
243,3.0748543e-21
244,3.3759904e-21
245,3.6024903e-21
246,3.461975e-21
247,3.8168767e-21
248,4.089e-21
249,3.9326775e-21
250,4.3402276e-21
251,4.654863e-21
252,4.4833173e-21
253,4.954809e-21
254,5.321679e-21
255,5.142193e-21
256,5.700599e-21
257,6.1412474e-21
258,5.9538413e-21
259,6.621425e-21
260,7.156938e-21
261,6.945245e-21
262,7.733453e-21
263,8.372218e-21
264,8.13309e-21
265,9.065087e-21
266,9.8277595e-21
267,9.564616e-21
268,1.0677814e-20
269,1.15984155e-20
270,1.1303533e-20
271,1.2638687e-20
272,1.375437e-20
273,1.3405429e-20
274,1.4998287e-20
275,1.6340517e-20
276,1.59263e-20
277,1.782348e-20
278,1.9434334e-20
279,1.893504e-20
280,2.11863e-20
281,2.3107998e-20
282,2.2511168e-20
283,2.5193572e-20
284,2.7497975e-20
285,2.6814525e-20
286,3.0043982e-20
287,3.2839956e-20
288,3.199611e-20
289,3.584175e-20
290,3.9181723e-20
291,3.8080403e-20
292,4.2582276e-20
293,4.6497845e-20
294,4.5059287e-20
295,5.0266318e-20
296,5.479193e-20
297,5.3039005e-20
298,5.910503e-20
299,6.4379105e-20
300,6.229238e-20
301,6.9395846e-20
302,7.558127e-20
303,7.306903e-20
304,8.134234e-20
305,8.8539616e-20
306,8.5322504e-20
307,9.467831e-20
308,1.0273212e-19
309,9.829401e-20
310,1.08367097e-19
311,1.1685962e-19
312,1.1099047e-19
