,0
0,2.1597092
1,1.6993246
2,1.3237501
3,1.0341972
4,0.8616065
5,0.7419778
6,0.66027313
7,0.6080364
8,0.5636295
9,0.5297938
10,0.5088559
11,0.48790953
12,0.47127616
13,0.46230453
14,0.45068806
15,0.44125742
16,0.4375755
17,0.43020985
18,0.42343855
19,0.42237955
20,0.41715223
21,0.41305062
22,0.41333312
23,0.40923476
24,0.4067825
25,0.4078084
26,0.40435526
27,0.40084785
28,0.40242556
29,0.39942762
30,0.39650118
31,0.3984002
32,0.39568403
33,0.39425102
34,0.39630482
35,0.39374027
36,0.39268032
37,0.39489397
38,0.3924641
39,0.39172187
40,0.39401245
41,0.39165896
42,0.39116436
43,0.39347962
44,0.391155
45,0.39024988
46,0.39263102
47,0.3903537
48,0.38934723
49,0.3917916
50,0.38956076
51,0.38701534
52,0.3894968
53,0.38728935
54,0.3860762
55,0.3885652
56,0.3863689
57,0.38457173
58,0.38707936
59,0.3848887
60,0.3825047
61,0.38503572
62,0.3828546
63,0.37985536
64,0.3824041
65,0.3802324
66,0.37698537
67,0.37954292
68,0.37737596
69,0.37420622
70,0.37675217
71,0.37457857
72,0.37196696
73,0.37449852
74,0.37231478
75,0.3697237
76,0.37226588
77,0.370085
78,0.3676353
79,0.3701993
80,0.36802912
81,0.36559054
82,0.36817288
83,0.3660161
84,0.3635484
85,0.36613384
86,0.36398277
87,0.3623005
88,0.3648929
89,0.36275575
90,0.36119422
91,0.36380273
92,0.36168155
93,0.36064175
94,0.36329037
95,0.36120126
96,0.3606061
97,0.36329636
98,0.36124578
99,0.36087728
100,0.3635627
101,0.36151916
102,0.36127657
103,0.36401957
104,0.36202207
105,0.36160854
106,0.36439437
107,0.36242747
108,0.36232334
109,0.36509535
110,0.3631195
111,0.36437637
112,0.36717087
113,0.365213
114,0.36647025
115,0.36925322
116,0.3672855
117,0.36797497
118,0.37076277
119,0.36878753
120,0.36926815
121,0.37204877
122,0.37005943
123,0.37115768
124,0.37389776
125,0.37187675
126,0.37320012
127,0.37590984
128,0.3738621
129,0.37531656
130,0.37796232
131,0.3758683
132,0.37712413
133,0.37972003
134,0.3775912
135,0.3784933
136,0.3810876
137,0.3789653
138,0.38010606
139,0.3827007
140,0.38058865
141,0.38205624
142,0.38461503
143,0.38248524
144,0.38427955
145,0.38677517
146,0.3846202
147,0.3863954
148,0.38887566
149,0.38673046
150,0.38896233
151,0.3914317
152,0.38929656
153,0.39129713
154,0.39378008
155,0.3916715
156,0.3943687
157,0.3968733
158,0.39480263
159,0.39830935
160,0.4008314
161,0.3987922
162,0.40224645
163,0.40480745
164,0.4028054
165,0.4064643
166,0.40904686
167,0.4070661
168,0.41016033
169,0.4128322
170,0.41090226
171,0.41438332
172,0.417063
173,0.4151426
174,0.418521
175,0.4212199
176,0.41931802
177,0.42196026
178,0.424708
179,0.42284533
180,0.4247772
181,0.42757052
182,0.42574397
183,0.42748892
184,0.43029702
185,0.4284799
186,0.4288335
187,0.43168712
188,0.42989734
189,0.4281883
190,0.43112156
191,0.4293857
192,0.4271656
193,0.43012387
194,0.42840782
195,0.4262981
196,0.42926478
197,0.42755353
198,0.42544362
199,0.42841813
200,0.42670548
201,0.42367738
202,0.42667285
203,0.42496467
204,0.42227715
205,0.42525694
206,0.42353198
207,0.420986
208,0.42397004
209,0.42224205
210,0.41321224
211,0.41624218
212,0.4145515
213,0.41158593
214,0.41444483
215,0.41265252
216,0.41043162
217,0.41322947
218,0.4113862
219,0.41027668
220,0.41297683
221,0.411066
222,0.4100807
223,0.412722
224,0.41076267
225,0.40840766
226,0.41106927
227,0.40910572
228,0.4062292
229,0.40887687
230,0.40689722
231,0.4048967
232,0.40748447
233,0.40546316
234,0.4037397
235,0.40626824
236,0.404197
237,0.40175444
238,0.40423337
239,0.40211627
240,0.3993023
241,0.40174907
242,0.39960223
243,0.39676586
244,0.3991615
245,0.39697242
246,0.3941174
247,0.39648458
248,0.39426845
249,0.39132106
250,0.39370143
251,0.39148366
252,0.38830835
253,0.39070308
254,0.3884858
255,0.38517845
256,0.3875642
257,0.38533798
258,0.3823281
259,0.3846978
260,0.38245794
261,0.38008755
262,0.38244388
263,0.38019475
264,0.37841427
265,0.38076332
266,0.37850928
267,0.37717494
268,0.3795037
269,0.37723756
270,0.3752982
271,0.37767112
272,0.3754361
273,0.37427026
274,0.37664312
275,0.37441123
276,0.3739808
277,0.37636378
278,0.37413692
279,0.37409016
280,0.37648538
281,0.37426996
282,0.37435248
283,0.37676027
284,0.3745554
285,0.37460217
286,0.37701717
287,0.37481567
288,0.37529787
289,0.37773106
290,0.37553835
291,0.3768325
292,0.37928224
293,0.37709588
294,0.3783266
295,0.3807742
296,0.37858605
297,0.37931117
298,0.38177282
299,0.37959108
300,0.3797457
301,0.38222915
302,0.38005203
303,0.38021857
304,0.38269657
305,0.38051146
306,0.38140714
307,0.38388395
308,0.3816937
309,0.38234186
310,0.3848282
311,0.38264093
312,0.38306516
313,0.38552707
314,0.38332686
315,0.3839797
316,0.3864102
317,0.38420776
318,0.38447255
319,0.38691765
320,0.38474888
321,0.38530275
322,0.38774335
323,0.38558275
324,0.3860482
325,0.3884864
326,0.38633537
327,0.38675016
328,0.3892081
329,0.38708895
330,0.3881739
331,0.39064476
332,0.38854977
333,0.3895422
334,0.3920267
335,0.38996103
336,0.39070004
337,0.39323115
338,0.39120904
339,0.39228532
340,0.3948347
341,0.3928352
342,0.39462265
343,0.3972005
344,0.39523414
