,0
0,2.1476853
1,1.6885741
2,1.3230491
3,1.0386728
4,0.85492975
5,0.7212672
6,0.63301766
7,0.57923365
8,0.5343876
9,0.5037049
10,0.48450756
11,0.4652882
12,0.45346898
13,0.44619757
14,0.43601874
15,0.42875865
16,0.42628273
17,0.419867
18,0.41686296
19,0.416448
20,0.4116942
21,0.41249081
22,0.41300184
23,0.40901446
24,0.41051704
25,0.411598
26,0.40808225
27,0.40467665
28,0.4063559
29,0.40336397
30,0.40320688
31,0.4050836
32,0.40228048
33,0.4033552
34,0.40537238
35,0.4027006
36,0.40443164
37,0.40658757
38,0.40403464
39,0.40510875
40,0.40741128
41,0.40498015
42,0.40515548
43,0.40754497
44,0.40518922
45,0.40500626
46,0.40744665
47,0.40513203
48,0.40521836
49,0.4077445
50,0.40549505
51,0.40469885
52,0.4073059
53,0.40512046
54,0.4037073
55,0.40635127
56,0.40419215
57,0.4042648
58,0.40694478
59,0.40480423
60,0.40419754
61,0.40694216
62,0.40484327
63,0.40063193
64,0.40341923
65,0.40135112
66,0.39798826
67,0.40081367
68,0.3987701
69,0.3969325
70,0.3997782
71,0.39774156
72,0.39614815
73,0.39902076
74,0.3969962
75,0.3948459
76,0.3977623
77,0.39576414
78,0.3926177
79,0.39552733
80,0.39352113
81,0.3897236
82,0.39262334
83,0.39060557
84,0.387138
85,0.3899502
86,0.38786414
87,0.38322595
88,0.38607198
89,0.3840018
90,0.3804053
91,0.38323823
92,0.381154
93,0.37901694
94,0.38186714
95,0.37978742
96,0.3759793
97,0.3788317
98,0.37674707
99,0.3728516
100,0.37566832
101,0.3735515
102,0.36826995
103,0.37097073
104,0.36875656
105,0.3660836
106,0.3687896
107,0.3665536
108,0.36289853
109,0.36558735
110,0.36331993
111,0.35869932
112,0.36138612
113,0.35910064
114,0.35442036
115,0.35710144
116,0.35479423
117,0.35212255
118,0.35478747
119,0.35244316
120,0.34956715
121,0.3522745
122,0.34993187
123,0.34753883
124,0.3503267
125,0.34801757
126,0.3442815
127,0.34707016
128,0.3447453
129,0.34156334
130,0.3443971
131,0.34208822
132,0.34003168
133,0.34293586
134,0.34066534
135,0.33891568
136,0.34186614
137,0.3396201
138,0.3384355
139,0.34140888
140,0.33917138
141,0.338395
142,0.34133586
143,0.3390696
144,0.33830303
145,0.3411622
146,0.3388356
147,0.33837128
148,0.34112334
149,0.33872646
150,0.33847713
151,0.3411544
152,0.33872646
153,0.33844262
154,0.3410888
155,0.33868152
156,0.33819726
157,0.3407936
158,0.33840364
159,0.33851296
160,0.34115577
161,0.33885285
162,0.33876386
163,0.34149143
164,0.33928475
165,0.33905506
166,0.34187314
167,0.33975336
168,0.3407412
169,0.34357673
170,0.34147283
171,0.34317738
172,0.34608054
173,0.3440078
174,0.3442703
175,0.34730467
176,0.3453096
177,0.34518844
178,0.34831557
179,0.3463841
180,0.34718013
181,0.35030237
182,0.34835726
183,0.34887898
184,0.35201624
185,0.35007444
186,0.35037363
187,0.35352746
188,0.35159352
189,0.35182083
190,0.3549982
191,0.35307664
192,0.35327733
193,0.3564723
194,0.35455543
195,0.35351765
196,0.35674316
197,0.35484788
198,0.3533462
199,0.3565544
200,0.35465157
201,0.3539961
202,0.3571311
203,0.3551797
204,0.3549627
205,0.3580755
206,0.35610947
207,0.35609865
208,0.35921383
209,0.3572448
210,0.35530627
211,0.35850877
212,0.3566304
213,0.35627687
214,0.35942918
215,0.35751987
216,0.35658702
217,0.35970587
218,0.3577782
219,0.35738546
220,0.3604492
221,0.3584858
222,0.3589931
223,0.36202246
224,0.36003232
225,0.3599018
226,0.3629135
227,0.3609128
228,0.36086866
229,0.3638438
230,0.36182255
231,0.36206046
232,0.36501572
233,0.3629814
234,0.36312634
235,0.36606655
236,0.36402112
237,0.36411837
238,0.36704016
239,0.36498162
240,0.36346593
241,0.36640406
242,0.364371
243,0.36282167
244,0.36573848
245,0.3636927
246,0.3623524
247,0.36527315
248,0.36323136
249,0.36152023
250,0.36446643
251,0.36244637
252,0.36070928
253,0.36366558
254,0.36165386
255,0.35939515
256,0.3623617
257,0.36035842
258,0.35779792
259,0.36078256
260,0.358792
261,0.35645515
262,0.35946065
263,0.35748583
264,0.35511553
265,0.3581143
266,0.3561359
267,0.3529253
268,0.35588455
269,0.3538797
270,0.35056168
271,0.3535053
272,0.35148874
273,0.3484297
274,0.35138902
275,0.3493817
276,0.34692153
277,0.34986398
278,0.34784168
279,0.345584
280,0.3485009
281,0.34645712
282,0.343971
283,0.34688073
284,0.34482583
285,0.34228462
286,0.3451557
287,0.34306425
288,0.34092596
289,0.34377968
290,0.34166583
291,0.3398987
292,0.3427568
293,0.34063506
294,0.3385634
295,0.3414293
296,0.3393008
297,0.33749488
298,0.3403442
299,0.3381833
300,0.33646986
301,0.3393078
302,0.33710834
303,0.3350764
304,0.33789176
305,0.33564392
306,0.3346052
307,0.33740845
308,0.33511594
309,0.33466744
310,0.3375445
311,0.33526218
312,0.33461425
313,0.3375572
314,0.33528313
315,0.335041
316,0.33798695
317,0.3356832
318,0.3356634
319,0.33869642
320,0.33643043
321,0.33620244
322,0.33937407
323,0.33718458
324,0.33775064
325,0.3409712
326,0.3388059
327,0.34045184
328,0.34371212
329,0.3415629
330,0.34308282
331,0.34637892
332,0.34425092
333,0.34595677
334,0.34923884
335,0.34709927
336,0.34884974
337,0.35209978
338,0.3499266
339,0.35208288
340,0.35520986
341,0.35294372
342,0.35548958
343,0.3583925
344,0.3559714
345,0.35790342
346,0.36058834
347,0.3580121
348,0.35922354
349,0.36171556
350,0.35901955
351,0.36039478
352,0.36274454
353,0.35999662
354,0.36162335
355,0.3639422
356,0.36124375
357,0.36253646
358,0.36499044
359,0.36248043
360,0.36407018
361,0.36667106
362,0.36432838
363,0.3662614
364,0.3689798
365,0.36675525
366,0.36757186
367,0.37043363
368,0.3683385
369,0.36922908
370,0.37215823
371,0.3701269
372,0.3709578
373,0.37396124
374,0.371986
375,0.37141562
376,0.37450963
377,0.3726058
378,0.3710065
379,0.37415498
380,0.37229708
381,0.37085986
382,0.37401673
383,0.37216496
384,0.3712157
385,0.37435615
386,0.37249115
387,0.37143233
388,0.3745687
389,0.37269545
390,0.37249643
391,0.37558562
392,0.37366676
393,0.37429404
394,0.37733886
395,0.37537444
396,0.37514043
397,0.37819633
398,0.3762359
399,0.3759511
400,0.37902758
401,0.37707797
402,0.37753344
403,0.38058758
404,0.37861508
405,0.37927088
406,0.38228655
407,0.3802758
408,0.38111407
409,0.3841496
410,0.38214466
411,0.38391685
412,0.38692194
413,0.38488892
414,0.3882245
415,0.39117324
416,0.38908496
417,0.38885796
418,0.39192167
419,0.38994437
420,0.39011985
421,0.3931679
422,0.39120227
423,0.39251623
424,0.39549416
425,0.393488
426,0.3948329
427,0.39775774
428,0.39571995
429,0.39617535
430,0.39909586
431,0.39706212
432,0.39779523
433,0.40069625
434,0.39865422
435,0.40055224
436,0.4034038
437,0.4013293
438,0.4022433
439,0.40508807
440,0.4030102
441,0.4021072
442,0.40499914
443,0.40295628
444,0.40235764
445,0.40526113
446,0.40322897
447,0.4026339
448,0.40552208
449,0.4034817
450,0.40167865
451,0.40459532
452,0.4025745
453,0.40071437
454,0.40366536
455,0.4016679
456,0.39987215
457,0.4028331
458,0.40084425
459,0.39865664
460,0.40161073
461,0.39961714
462,0.3969844
463,0.39995515
464,0.39797202
465,0.39635253
466,0.3993109
467,0.3973155
468,0.39504588
469,0.3979941
470,0.39598683
471,0.38972455
472,0.39267528
473,0.39068192
474,0.3914807
475,0.39440408
476,0.39237326
477,0.3859032
478,0.38883808
479,0.38681784
480,0.38326928
481,0.38619268
482,0.38416493
483,0.38352472
484,0.38642675
485,0.38437977
486,0.38418674
487,0.38709685
488,0.38504523
489,0.37813213
490,0.3810125
491,0.37893248
492,0.3738262
493,0.37662715
494,0.3744847
495,0.37080938
496,0.37357557
497,0.3713984
498,0.36750063
499,0.37026712
500,0.36807632
501,0.36492395
502,0.367663
503,0.36543322
504,0.36215818
505,0.36487567
506,0.3626093
507,0.3580532
508,0.36075327
509,0.35845226
510,0.3548446
511,0.3575142
512,0.35516453
513,0.35244203
514,0.35517836
515,0.3528437
516,0.34904245
517,0.35184523
518,0.34953088
519,0.34599125
520,0.34882507
521,0.3465221
522,0.34407955
523,0.34699282
524,0.34473172
525,0.34311113
526,0.3460818
527,0.34384832
