,0
0,14.361921
1,14.222108
2,14.07558
3,13.950651
4,13.837966
5,13.750545
6,13.689315
7,13.629965
8,13.580407
9,13.545454
10,13.506415
11,13.472203
12,13.448611
13,13.418396
14,13.391207
15,13.373684
16,13.34821
17,13.325108
18,13.311353
19,13.288841
20,13.268516
21,13.257574
22,13.2372465
23,13.219089
24,13.210641
25,13.192163
26,13.175846
27,13.169336
28,13.15232
29,13.13743
30,13.132439
31,13.116554
32,13.102864
33,13.099342
34,13.084535
35,13.07196
36,13.069832
37,13.056023
38,13.044468
39,13.043578
40,13.030628
41,13.019935
42,13.019852
43,13.007387
44,12.997199
45,12.997646
46,12.985427
47,12.975518
48,12.976707
49,12.964925
50,12.955463
51,12.957319
52,12.945956
53,12.936933
54,12.939104
55,12.927843
56,12.918974
57,12.921532
58,12.910419
59,12.901729
60,12.904829
61,12.894006
62,12.885611
63,12.8889475
64,12.87815
65,12.869812
66,12.873448
67,12.862746
68,12.854519
69,12.858412
70,12.847764
71,12.839616
72,12.843748
73,12.833118
74,12.825006
75,12.829513
76,12.819026
77,12.81105
78,12.815623
79,12.804976
80,12.796877
81,12.80146
82,12.790626
83,12.782369
84,12.786818
85,12.775605
86,12.767046
87,12.771553
88,12.760149
89,12.7513895
90,12.755888
91,12.74417
92,12.735128
93,12.739939
94,12.72819
95,12.719141
96,12.723898
97,12.711685
98,12.702184
99,12.706698
100,12.69384
101,12.683739
102,12.687385
103,12.67319
104,12.661805
105,12.665059
106,12.649891
107,12.63756
108,12.640488
109,12.624293
110,12.610999
111,12.613683
112,12.596463
113,12.582237
114,12.584768
115,12.566555
116,12.5514765
117,12.554047
118,12.535003
119,12.519319
120,12.522484
121,12.503065
122,12.487232
123,12.491791
124,12.472716
125,12.457489
126,12.463355
127,12.444783
128,12.430393
129,12.438338
130,12.4210205
131,12.408156
132,12.418792
133,12.403425
134,12.3927
135,12.406212
136,12.393218
137,12.384988
138,12.401537
139,12.391279
140,12.385824
141,12.405249
142,12.39785
143,12.395219
144,12.417252
145,12.41275
146,12.412886
147,12.437118
148,12.435437
149,12.438136
150,12.463958
151,12.464635
152,12.469327
153,12.495819
154,12.498021
155,12.503853
156,12.5295725
157,12.5321455
158,12.538064
159,12.56254
160,12.565004
161,12.570583
162,12.593207
163,12.594792
164,12.599381
165,12.619927
166,12.620417
167,12.62385
168,12.642358
169,12.641734
170,12.644059
171,12.660839
172,12.659265
173,12.6606455
174,12.675963
175,12.673658
176,12.674258
177,12.688555
178,12.68573
179,12.685764
180,12.699151
181,12.695772
182,12.695284
183,12.707909
184,12.704125
185,12.703241
186,12.715359
187,12.711354
188,12.710212
189,12.7220125
190,12.717815
191,12.716444
192,12.7280245
193,12.723651
194,12.722096
195,12.733464
196,12.728985
197,12.727294
198,12.738462
199,12.733843
200,12.732003
201,12.743156
202,12.738514
203,12.736643
204,12.747891
205,12.743333
206,12.741496
207,12.752578
208,12.747871
209,12.74588
210,12.756502
211,12.751435
212,12.749082
213,12.759193
214,12.75368
215,12.750923
216,12.760778
217,12.755026
218,12.752022
219,12.761663
220,12.755733
221,12.752558
222,12.762076
