,0
0,2.1476853
1,1.6885741
2,1.3230491
3,1.0386728
4,0.85492975
5,0.7212671
6,0.63301766
7,0.57923365
8,0.5343876
9,0.5037049
10,0.48450762
11,0.4652882
12,0.45346898
13,0.44619766
14,0.43601868
15,0.42875856
16,0.42628276
17,0.41986704
18,0.41686302
19,0.416448
20,0.4116942
21,0.41249081
22,0.41300184
23,0.4090145
24,0.410517
25,0.411598
26,0.4080823
27,0.4046767
28,0.4063559
29,0.40336397
30,0.40320697
31,0.4050836
32,0.40228048
33,0.40335515
34,0.40537238
35,0.40270066
36,0.4044317
37,0.4065876
38,0.40403473
39,0.40510878
40,0.40741137
41,0.40498012
42,0.40515542
43,0.40754503
44,0.40518916
45,0.40500635
46,0.40744662
47,0.40513203
48,0.40521845
49,0.40774456
50,0.40549505
51,0.40469885
52,0.40730584
53,0.40512043
54,0.4037073
55,0.40635133
56,0.4041922
57,0.4042648
58,0.40694472
59,0.40480423
60,0.40419754
61,0.4069421
62,0.40484324
63,0.40063193
64,0.4034193
65,0.40135118
66,0.39798823
67,0.40081373
68,0.39877012
69,0.39693257
70,0.39977822
71,0.39774156
72,0.39614823
73,0.39902076
74,0.3969962
75,0.3948458
76,0.39776233
77,0.39576408
78,0.3926177
79,0.39552733
80,0.3935212
81,0.38972354
82,0.3926233
83,0.39060554
84,0.38713798
85,0.3899501
86,0.3878641
87,0.38322595
88,0.38607192
89,0.38400185
90,0.3804053
91,0.38323823
92,0.381154
93,0.37901694
94,0.3818671
95,0.37978742
96,0.3759793
97,0.37883168
98,0.376747
99,0.37285158
100,0.37566832
101,0.37355143
102,0.36826986
103,0.37097067
104,0.36875662
105,0.3660836
106,0.3687896
107,0.3665536
108,0.36289853
109,0.36558732
110,0.36331987
111,0.35869935
112,0.36138612
113,0.35910067
114,0.35442036
115,0.35710144
116,0.35479423
117,0.35212258
118,0.35478744
119,0.3524432
120,0.34956712
121,0.3522745
122,0.34993187
123,0.34753886
124,0.35032666
125,0.34801757
126,0.3442815
127,0.34707022
128,0.3447453
129,0.3415633
130,0.3443971
131,0.34208828
132,0.34003165
133,0.34293583
134,0.3406654
135,0.33891562
136,0.34186617
137,0.33962002
138,0.33843553
139,0.34140888
140,0.3391713
141,0.3383951
142,0.34133586
143,0.33906955
144,0.33830303
145,0.34116223
146,0.33883557
147,0.33837125
148,0.34112343
149,0.3387264
150,0.3384771
151,0.34115443
152,0.33872646
153,0.33844256
154,0.34108877
155,0.3386815
156,0.3381973
157,0.3407936
158,0.33840367
159,0.33851296
160,0.34115574
161,0.3388528
162,0.33876392
163,0.34149152
164,0.33928478
165,0.33905503
166,0.3418731
167,0.33975342
168,0.3407411
169,0.34357676
170,0.34147283
171,0.34317738
172,0.34608054
173,0.3440078
174,0.3442703
175,0.34730467
176,0.3453096
177,0.34518847
178,0.34831554
179,0.34638405
180,0.34718016
181,0.35030228
182,0.34835723
183,0.34887898
184,0.35201633
185,0.35007447
186,0.3503737
187,0.35352752
188,0.35159346
189,0.3518209
190,0.3549982
191,0.35307664
192,0.3532774
193,0.3564723
194,0.35455543
195,0.35351762
196,0.35674316
197,0.3548479
198,0.3533462
199,0.35655433
200,0.3546515
201,0.35399616
202,0.35713115
203,0.3551798
204,0.35496265
205,0.35807544
206,0.35610938
207,0.35609865
208,0.35921383
209,0.3572448
210,0.35530627
211,0.3585087
212,0.35663036
213,0.35627687
214,0.3594292
215,0.35751987
216,0.35658702
217,0.3597058
218,0.35777813
219,0.35738555
220,0.3604491
221,0.35848573
222,0.3589931
223,0.36202246
224,0.3600324
225,0.35990173
226,0.36291343
227,0.36091286
228,0.3608686
229,0.3638438
230,0.3618225
231,0.36206043
232,0.36501575
233,0.36298147
234,0.36312625
235,0.36606658
236,0.36402115
237,0.36411846
238,0.3670402
239,0.3649816
240,0.36346593
241,0.36640406
242,0.36437106
243,0.36282167
244,0.36573848
245,0.3636928
246,0.36235243
247,0.36527312
248,0.36323133
249,0.3615202
250,0.36446643
251,0.36244637
252,0.36070928
253,0.36366558
254,0.36165386
255,0.35939518
256,0.3623617
257,0.36035842
258,0.35779792
259,0.36078256
260,0.35879207
261,0.35645515
262,0.35946068
263,0.35748592
264,0.35511553
265,0.35811433
266,0.3561359
267,0.3529253
268,0.35588455
269,0.35387975
270,0.3505617
271,0.3535053
272,0.35148877
273,0.3484297
274,0.35138896
275,0.3493817
276,0.34692156
277,0.34986395
278,0.34784168
279,0.34558403
280,0.34850088
281,0.3464572
282,0.343971
283,0.34688073
284,0.34482583
285,0.3422846
286,0.3451557
287,0.34306422
288,0.34092602
289,0.3437797
290,0.34166577
291,0.33989874
292,0.34275678
293,0.34063515
294,0.3385635
295,0.34142917
296,0.33930087
297,0.33749494
298,0.34034416
299,0.33818325
300,0.3364698
301,0.33930784
302,0.33710834
303,0.33507642
304,0.3378918
305,0.33564398
306,0.33460525
307,0.33740845
308,0.33511603
309,0.33466744
310,0.33754453
311,0.33526218
312,0.33461422
313,0.33755723
314,0.3352831
315,0.335041
316,0.337987
317,0.33568323
318,0.33566344
319,0.33869654
320,0.3364304
321,0.33620247
322,0.3393741
323,0.33718452
324,0.3377506
325,0.3409712
326,0.33880588
327,0.34045184
328,0.34371212
329,0.34156284
330,0.34308285
331,0.34637895
332,0.34425098
333,0.34595677
334,0.3492388
335,0.3470993
336,0.34884977
337,0.35209975
338,0.34992656
339,0.35208288
340,0.3552098
341,0.35294363
342,0.35548964
343,0.35839254
344,0.35597143
345,0.35790342
346,0.3605883
347,0.3580122
348,0.35922354
349,0.36171556
350,0.35901964
351,0.36039478
352,0.36274445
353,0.35999653
354,0.36162326
355,0.3639422
356,0.36124375
357,0.36253652
358,0.36499038
359,0.36248046
360,0.36407015
361,0.3666711
362,0.36432844
363,0.3662614
364,0.3689798
365,0.3667552
366,0.36757195
367,0.37043357
368,0.36833856
369,0.3692291
370,0.3721583
371,0.3701269
372,0.3709578
373,0.37396118
374,0.371986
375,0.37141567
376,0.3745097
377,0.3726058
378,0.37100643
379,0.37415496
380,0.37229702
381,0.37085986
382,0.37401664
383,0.372165
384,0.37121567
385,0.3743562
386,0.37249115
387,0.3714323
388,0.37456882
389,0.37269545
390,0.37249643
391,0.37558553
392,0.37366676
393,0.3742941
394,0.37733883
395,0.37537444
396,0.37514043
397,0.37819633
398,0.3762359
399,0.37595108
400,0.3790275
401,0.37707812
402,0.37753353
403,0.38058764
404,0.37861502
405,0.37927082
406,0.38228655
407,0.38027585
408,0.38111413
409,0.38414955
410,0.38214463
411,0.38391688
412,0.38692197
413,0.38488895
414,0.38822448
415,0.39117318
416,0.38908494
417,0.38885796
418,0.39192167
419,0.38994431
420,0.39011985
421,0.39316788
422,0.39120227
423,0.3925162
424,0.3954942
425,0.39348802
426,0.39483285
427,0.39775777
428,0.39572
429,0.39617538
430,0.39909586
431,0.39706212
432,0.3977953
433,0.40069625
434,0.39865413
435,0.40055215
436,0.40340382
437,0.40132937
438,0.40224338
439,0.40508807
440,0.4030102
441,0.40210715
442,0.40499914
443,0.40295628
444,0.40235767
445,0.40526107
446,0.403229
447,0.40263394
448,0.40552214
449,0.4034817
450,0.40167862
451,0.40459538
452,0.40257448
453,0.40071428
454,0.40366533
455,0.4016679
456,0.39987215
457,0.4028331
458,0.40084425
459,0.3986567
460,0.4016108
461,0.39961714
462,0.3969844
463,0.39995515
464,0.39797202
465,0.39635253
466,0.3993109
467,0.3973155
468,0.39504588
469,0.39799404
470,0.3959869
471,0.38972458
472,0.3926753
473,0.3906819
474,0.3914807
475,0.39440405
476,0.39237326
477,0.38590312
478,0.38883808
479,0.38681784
480,0.38326928
481,0.38619262
482,0.38416493
483,0.38352472
484,0.38642675
485,0.38437977
486,0.38418674
487,0.38709685
488,0.38504526
489,0.37813213
490,0.3810125
491,0.37893248
492,0.37382627
493,0.37662715
494,0.3744847
495,0.37080938
496,0.37357557
497,0.3713984
498,0.3675006
499,0.37026712
500,0.36807632
501,0.36492392
502,0.36766306
503,0.36543316
504,0.36215827
505,0.36487567
506,0.36260936
507,0.3580532
508,0.36075327
509,0.3584522
510,0.3548447
511,0.35751423
512,0.3551645
513,0.35244203
514,0.35517833
515,0.35284367
516,0.34904253
517,0.35184526
518,0.34953085
519,0.34599122
520,0.34882507
521,0.3465221
522,0.34407958
523,0.34699282
524,0.34473175
525,0.34311116
526,0.3460818
527,0.34384832
