,0
0,-0.0
1,0.0
2,2.944e-42
3,5.064785e-39
4,-3.0385812e-35
5,-1.047306e-32
6,-5.6732663e-31
7,-1.5000846e-29
8,-1.9499752e-28
9,-1.3233344e-27
10,-7.5487294e-27
11,-3.203587e-26
12,-9.621989e-26
13,-2.8497694e-25
14,-7.2339733e-25
15,-1.459587e-24
16,-3.0844964e-24
17,-5.9288967e-24
18,-9.63439e-24
19,-1.6848171e-23
20,-2.7599977e-23
21,-3.9393155e-23
22,-6.12967e-23
23,-9.073688e-23
24,-1.1921094e-22
25,-1.717995e-22
26,-2.3752774e-22
27,-2.9288888e-22
28,-3.9776008e-22
29,-5.213617e-22
30,-6.1179725e-22
31,-7.927982e-22
32,-9.954714e-22
33,-1.1248883e-21
34,-1.4067378e-21
35,-1.7091827e-21
36,-1.8776497e-21
37,-2.2875094e-21
38,-2.7138247e-21
39,-2.9071145e-21
40,-3.4582317e-21
41,-4.012966e-21
42,-4.2094115e-21
43,-4.908021e-21
44,-5.588868e-21
45,-5.74669e-21
46,-6.5731055e-21
47,-7.349939e-21
48,-7.399269e-21
49,-8.2901996e-21
50,-9.086821e-21
51,-9.053296e-21
52,-1.0016596e-20
53,-1.0825219e-20
54,-1.0439877e-20
55,-1.1176646e-20
56,-1.1680688e-20
57,-1.0756467e-20
58,-1.0919764e-20
59,-1.0737767e-20
60,-9.059023e-21
61,-8.150597e-21
62,-6.7617887e-21
63,-3.910536e-21
64,-1.0338838e-21
65,2.4986495e-21
66,7.136156e-21
67,1.34032736e-20
68,2.0541064e-20
69,2.7607583e-20
70,3.920373e-20
71,5.1909626e-20
72,6.244318e-20
73,8.237671e-20
74,1.0367938e-19
75,1.1929952e-19
76,1.5226725e-19
77,1.869453e-19
78,2.0884023e-19
79,2.6053012e-19
80,3.141517e-19
81,3.4270568e-19
82,4.194669e-19
83,4.9796593e-19
84,5.3398825e-19
85,6.443438e-19
86,7.5584456e-19
87,7.989679e-19
88,9.524962e-19
89,1.105867e-18
90,1.1546574e-18
91,1.3623497e-18
92,1.5678243e-18
93,1.6151411e-18
94,1.8837287e-18
95,2.146013e-18
96,2.1766141e-18
97,2.504111e-18
98,2.8187168e-18
99,2.8287246e-18
100,3.2224012e-18
101,3.594654e-18
102,3.553992e-18
103,3.9941735e-18
104,4.40149e-18
105,4.296062e-18
106,4.77166e-18
107,5.201702e-18
108,5.0432586e-18
109,5.5630283e-18
110,6.024185e-18
111,5.721707e-18
112,6.187043e-18
113,6.572208e-18
114,6.123196e-18
115,6.495703e-18
116,6.771592e-18
117,6.19238e-18
118,6.4474725e-18
119,6.598674e-18
120,5.912284e-18
121,6.029756e-18
122,6.0448357e-18
123,5.284535e-18
124,5.2529687e-18
125,5.129779e-18
126,4.3458473e-18
127,4.1768576e-18
128,3.937089e-18
129,3.2045668e-18
130,2.9420633e-18
131,2.633877e-18
132,2.0186268e-18
133,1.7161057e-18
134,1.3929841e-18
135,9.274663e-19
136,6.2525006e-19
137,3.2468524e-19
138,1.2261873e-20
139,-2.6382378e-19
140,-5.197865e-19
141,-6.784092e-19
142,-9.017729e-19
143,-1.0927616e-18
144,-1.1182159e-18
145,-1.2786085e-18
146,-1.4017908e-18
147,-1.3248495e-18
148,-1.4211915e-18
149,-1.4811141e-18
150,-1.3367763e-18
151,-1.376234e-18
152,-1.3843053e-18
153,-1.2123257e-18
154,-1.212721e-18
155,-1.1890844e-18
156,-1.0145178e-18
157,-9.893849e-19
158,-9.484934e-19
159,-7.9423685e-19
160,-7.601098e-19
161,-7.1683756e-19
162,-5.949121e-19
163,-5.637742e-19
164,-5.273679e-19
165,-4.364084e-19
166,-4.119036e-19
167,-3.840303e-19
168,-3.1752545e-19
169,-2.990192e-19
170,-2.7837825e-19
171,-2.3026516e-19
172,-2.1657174e-19
173,-2.0145528e-19
174,-1.6702132e-19
175,-1.5717587e-19
176,-1.4631275e-19
177,-1.2211273e-19
178,-1.1544971e-19
179,-1.0794109e-19
180,-9.072626e-20
181,-8.6222774e-20
182,-8.100213e-20
183,-6.8514924e-20
184,-6.5421224e-20
185,-6.172095e-20
186,-5.2678306e-20
187,-5.0682112e-20
188,-4.814405e-20
189,-4.1442993e-20
190,-4.017506e-20
191,-3.8428372e-20
192,-3.3267088e-20
193,-3.2406684e-20
194,-3.113386e-20
195,-2.7003733e-20
196,-2.635357e-20
197,-2.5362028e-20
198,-2.2033453e-20
199,-2.1549885e-20
200,-2.0787456e-20
201,-1.8239636e-20
202,-1.8008617e-20
203,-1.7527316e-20
204,-1.553082e-20
205,-1.5483543e-20
206,-1.5206535e-20
207,-1.3580225e-20
208,-1.3651892e-20
209,-1.3515321e-20
210,-1.227176e-20
211,-1.2522579e-20
212,-1.2589889e-20
213,-1.1611635e-20
214,-1.201941e-20
215,-1.22425364e-20
216,-1.1415302e-20
217,-1.1943799e-20
218,-1.2288578e-20
219,-1.1557281e-20
220,-1.2196623e-20
221,-1.2650173e-20
222,-1.2003984e-20
223,-1.27817265e-20
224,-1.3370618e-20
225,-1.2838361e-20
226,-1.3828141e-20
227,-1.4622988e-20
228,-1.4190279e-20
229,-1.5442502e-20
230,-1.648774e-20
231,-1.6151028e-20
232,-1.7737507e-20
233,-1.9095206e-20
234,-1.8933945e-20
235,-2.103388e-20
236,-2.287442e-20
237,-2.284846e-20
238,-2.5582804e-20
239,-2.8019128e-20
240,-2.8077334e-20
241,-3.1571235e-20
242,-3.4712812e-20
243,-3.490194e-20
244,-3.9398306e-20
245,-4.346516e-20
246,-4.3757867e-20
247,-4.949719e-20
248,-5.4710824e-20
249,-5.5054725e-20
250,-6.231492e-20
251,-6.892318e-20
252,-6.9238914e-20
253,-7.831883e-20
254,-8.658185e-20
255,-8.6730844e-20
256,-9.7920465e-20
257,-1.08079044e-19
258,-1.0784291e-19
259,-1.2138789e-19
260,-1.3359931e-19
261,-1.3249238e-19
262,-1.4833375e-19
263,-1.624178e-19
264,-1.600082e-19
265,-1.7807088e-19
266,-1.93862e-19
267,-1.8956253e-19
268,-2.0953282e-19
269,-2.2659887e-19
270,-2.1812823e-19
271,-2.3749208e-19
272,-2.5309413e-19
273,-2.3951594e-19
274,-2.5620922e-19
275,-2.680389e-19
276,-2.4695986e-19
277,-2.5645548e-19
278,-2.5960011e-19
279,-2.276563e-19
280,-2.226127e-19
281,-2.092772e-19
282,-1.629574e-19
283,-1.3321016e-19
284,-9.2764254e-20
285,-2.87e-20
286,3.9053093e-20
287,1.2026632e-19
288,2.0583705e-19
289,3.291788e-19
290,4.6865975e-19
291,5.7879497e-19
292,7.7942184e-19
293,9.979541e-19
294,1.1309031e-18
295,1.4303377e-18
296,1.7469535e-18
297,1.8913665e-18
298,2.3042868e-18
299,2.7285917e-18
300,2.8634185e-18
301,3.3940527e-18
302,3.923547e-18
303,4.0172068e-18
