,0
0,2.1833925
1,1.7157089
2,1.3445709
3,1.0433006
4,0.8315868
5,0.6685793
6,0.5591286
7,0.4896195
8,0.43276587
9,0.3916256
10,0.36733007
11,0.34412843
12,0.32894278
13,0.31984383
14,0.30773696
15,0.29782972
16,0.29457492
17,0.2869127
18,0.28027767
19,0.27945256
20,0.2737345
21,0.26857108
22,0.26916456
23,0.26459438
24,0.26285398
25,0.2641012
26,0.26010025
27,0.25725493
28,0.25918677
29,0.25570434
30,0.25426957
31,0.25660464
32,0.25342765
33,0.25205928
34,0.2547237
35,0.2517723
36,0.25116688
37,0.2540927
38,0.25129297
39,0.25127614
40,0.25443894
41,0.25177446
42,0.25315124
43,0.25649172
44,0.25388098
45,0.25208437
46,0.25561908
47,0.2531197
48,0.25192854
49,0.25551128
50,0.25299978
51,0.2528908
52,0.25634208
53,0.25376463
54,0.25355145
55,0.25713795
56,0.2545973
57,0.25483727
58,0.25841582
59,0.25583747
60,0.25596964
61,0.25947315
62,0.25681272
63,0.25504714
64,0.25858656
65,0.2559349
66,0.25529373
67,0.25877944
68,0.25603983
69,0.25665545
70,0.25987926
71,0.25695157
72,0.25693336
73,0.26007468
74,0.25708994
75,0.2562389
76,0.2592258
77,0.25620204
78,0.25637236
79,0.25939882
80,0.25637412
81,0.25710672
82,0.25996923
83,0.25687724
84,0.2562549
85,0.2592362
86,0.25623178
87,0.25588444
88,0.25892198
89,0.25600094
90,0.255746
91,0.2586863
92,0.25576615
93,0.2554417
94,0.25855398
95,0.25576678
96,0.2556598
97,0.25874776
98,0.25598326
99,0.2564187
100,0.25975245
101,0.2571463
102,0.25542128
103,0.2588232
104,0.25629404
105,0.25852197
106,0.26179042
107,0.2591319
108,0.2590273
109,0.26242465
110,0.25984728
111,0.26164973
112,0.26513746
113,0.26258358
114,0.26287958
115,0.26616997
116,0.26348048
117,0.26533416
118,0.2687831
119,0.26616356
120,0.2642267
121,0.26775506
122,0.26519123
123,0.26783475
124,0.27135032
125,0.26873145
126,0.26993397
127,0.27338925
128,0.27069652
129,0.27235925
130,0.27593568
131,0.2732914
132,0.27811486
133,0.28167558
134,0.278979
135,0.28135267
136,0.28489825
137,0.28216127
138,0.28092837
139,0.28478098
140,0.28222606
141,0.28327304
142,0.28696656
143,0.28428817
144,0.28463033
145,0.2884325
146,0.28580278
147,0.28569448
148,0.28963
149,0.28707883
150,0.2855001
151,0.28931257
152,0.28667778
153,0.28677776
154,0.29062766
155,0.28800023
156,0.2875112
157,0.29153824
158,0.2890215
159,0.28994578
160,0.29386574
161,0.29127005
162,0.2919291
163,0.29586723
164,0.2932702
165,0.28946787
166,0.29346225
167,0.29091325
168,0.29208127
169,0.29602507
170,0.29343987
171,0.28919125
172,0.29299676
173,0.2903381
174,0.2902271
175,0.29412997
176,0.29153588
177,0.2940737
178,0.29793113
179,0.29529464
180,0.29092562
181,0.29474378
182,0.29209736
183,0.29070047
184,0.29456285
185,0.2919517
186,0.2900087
187,0.29396883
188,0.29143062
189,0.28844535
190,0.29231527
191,0.2897364
192,0.28656676
193,0.29035842
194,0.28774607
195,0.28500026
196,0.2887374
197,0.2861037
198,0.28363255
199,0.28730202
200,0.28463492
201,0.2833341
202,0.28703064
203,0.28438902
204,0.28228384
205,0.28603488
206,0.2834385
207,0.279394
208,0.2830178
209,0.2803612
210,0.27739373
211,0.28093585
212,0.2782426
213,0.2754987
214,0.27907404
215,0.27641436
216,0.2736821
217,0.27737665
218,0.2748046
219,0.2722253
220,0.2759147
221,0.27335054
222,0.27117878
223,0.27483845
224,0.2722641
225,0.26878518
226,0.27216792
227,0.26943788
228,0.26800084
229,0.27148426
230,0.26881337
231,0.2671602
232,0.2707716
233,0.26817843
234,0.26581866
235,0.26930255
236,0.2666431
237,0.26388448
238,0.2674348
239,0.26482224
240,0.2623741
241,0.26592928
242,0.26332808
243,0.2619187
244,0.2653691
245,0.26270545
246,0.261119
247,0.26466194
248,0.262058
249,0.2602409
250,0.26387632
251,0.26132885
252,0.2594222
253,0.26306865
254,0.2605387
255,0.2586667
256,0.26228923
257,0.2597554
258,0.25842378
259,0.26203868
260,0.2595064
261,0.25795397
262,0.26171166
263,0.2592663
264,0.25788036
265,0.26155797
266,0.25906822
267,0.25819668
268,0.26177996
269,0.25923616
270,0.25834286
271,0.26200387
272,0.25949696
273,0.25892282
274,0.2626041
275,0.2600925
276,0.259522
277,0.2631582
278,0.26061082
279,0.26072663
280,0.26415825
281,0.2614853
282,0.26089117
283,0.26446816
284,0.2618669
285,0.26128998
286,0.26499546
287,0.26244628
288,0.26315942
289,0.2665688
290,0.26382983
291,0.26361924
292,0.26723447
293,0.26457912
294,0.26501873
295,0.26852232
296,0.26577023
297,0.2658147
298,0.26924613
299,0.26643416
300,0.26601455
301,0.26949406
302,0.26669556
303,0.26586187
304,0.26915482
305,0.26628107
306,0.26708674
307,0.27035543
308,0.2674249
309,0.26682636
310,0.26982778
311,0.2668056
312,0.26555893
313,0.26872343
314,0.26583463
315,0.26592958
316,0.2690115
317,0.2661029
318,0.26539928
319,0.2684553
320,0.26560232
321,0.2651663
322,0.26825947
323,0.265473
324,0.26560026
325,0.268704
326,0.2659515
327,0.26503113
328,0.26820517
329,0.26554528
330,0.26768026
331,0.27081108
332,0.26809835
333,0.26531565
334,0.2686758
335,0.266204
336,0.26705265
337,0.2702175
338,0.26758614
339,0.26950017
340,0.27262616
341,0.2699416
342,0.26905966
343,0.27248964
344,0.27002174
345,0.27199522
346,0.2752612
347,0.2726524
348,0.27249905
349,0.27588254
350,0.27334172
351,0.2728458
352,0.27625817
353,0.27372664
354,0.27291152
355,0.27640682
356,0.27391666
357,0.27361763
358,0.2771212
359,0.2746208
360,0.2749976
361,0.27847505
362,0.2759323
363,0.27499416
364,0.2785474
365,0.27604052
366,0.27574742
367,0.27925643
368,0.27669635
369,0.2762933
370,0.27977535
371,0.27717277
372,0.2765403
373,0.28026253
374,0.27779552
375,0.27479303
376,0.27842712
377,0.27589092
378,0.27496234
379,0.27862716
380,0.27609107
381,0.27386492
382,0.27751634
383,0.27496332
384,0.27410692
385,0.27779397
386,0.27524877
387,0.27347854
388,0.2771955
389,0.27466142
390,0.27238753
391,0.27605712
392,0.27348545
393,0.2709595
394,0.274576
395,0.27196088
396,0.26952899
397,0.27332172
398,0.27082542
399,0.26921067
400,0.2728934
401,0.27032578
402,0.26882654
403,0.2724735
404,0.26987636
405,0.26730132
406,0.27104333
407,0.26851067
408,0.26627487
409,0.26987392
410,0.26725107
411,0.26444614
412,0.26804626
413,0.26543102
414,0.26332933
415,0.26698464
416,0.2644079
417,0.2606747
418,0.26422292
419,0.26159018
420,0.25971374
421,0.2632657
422,0.26063582
423,0.2584527
424,0.26210582
425,0.2595478
426,0.2569058
427,0.26056305
428,0.25802052
429,0.25495553
430,0.2586026
431,0.2560683
432,0.2539195
433,0.25742602
434,0.25481087
435,0.25313544
436,0.25663054
437,0.25401366
438,0.25219277
439,0.25577292
440,0.25322166
441,0.25116885
442,0.25476265
443,0.25223324
444,0.24984941
445,0.25346676
446,0.25096464
447,0.2493023
448,0.25282907
449,0.25027984
450,0.24894732
451,0.25245243
452,0.24989378
453,0.24793637
454,0.2515368
455,0.24904305
456,0.24646768
457,0.2500712
458,0.24759349
459,0.24623767
460,0.24973775
461,0.24718882
462,0.24535713
463,0.24886978
464,0.24633381
465,0.24490878
466,0.24841614
467,0.24587564
468,0.2444942
469,0.2480253
470,0.24549876
471,0.24428447
472,0.24780852
473,0.24527755
474,0.2441247
475,0.24768837
476,0.24517958
477,0.24463469
478,0.2481449
479,0.24559751
480,0.24544173
481,0.24897993
482,0.24644053
483,0.24617068
484,0.2497441
485,0.24722797
486,0.2473461
487,0.25090933
488,0.2483818
489,0.24863462
490,0.2522309
491,0.2497008
492,0.250336
493,0.2539125
494,0.25135326
495,0.2515386
496,0.25516155
497,0.2526223
498,0.25308087
499,0.2567371
500,0.25420246
501,0.25444204
502,0.25808436
503,0.2555253
504,0.25565416
505,0.2592436
506,0.25663078
507,0.25663495
508,0.26016575
509,0.2574953
510,0.2574227
511,0.26086533
512,0.2581309
513,0.25734478
514,0.26074988
515,0.25800154
516,0.25752735
517,0.2608043
518,0.25799483
519,0.2578292
520,0.26099285
521,0.25811574
522,0.2584398
523,0.26149493
524,0.25852966
525,0.25797182
526,0.26098758
527,0.2580037
528,0.2564879
529,0.25949883
530,0.25655985
531,0.25495672
532,0.2579824
533,0.25512907
534,0.2545203
535,0.25754532
536,0.25475174
537,0.25458884
538,0.25765246
539,0.25492185
540,0.25356758
541,0.25680918
542,0.25422844
543,0.25368991
544,0.25694963
545,0.25439838
546,0.25429878
547,0.25757685
548,0.25504443
549,0.25480178
550,0.25814515
551,0.25564387
552,0.25642836
553,0.25967038
554,0.2570806
555,0.25648698
556,0.25988874
557,0.25738627
558,0.2568538
559,0.26034766
560,0.2578959
561,0.25825837
562,0.2616438
563,0.25910395
564,0.25893718
565,0.26238406
566,0.25986665
567,0.2597242
568,0.2632072
569,0.26069146
570,0.26167208
571,0.26506662
572,0.26246065
573,0.26232153
574,0.26586434
575,0.26332614
576,0.26366702
577,0.26718217
578,0.26459897
579,0.2645686
580,0.26813367
581,0.26555395
582,0.2647837
583,0.26847795
584,0.265952
585,0.2654091
586,0.26914054
587,0.26661122
588,0.2674562
589,0.27107376
590,0.26843697
591,0.26725972
592,0.27105695
593,0.2685212
594,0.26724377
595,0.27108935
596,0.26857415
597,0.2681767
598,0.27198333
599,0.2694304
600,0.26951265
601,0.27325618
602,0.27064782
603,0.2691913
604,0.27309105
605,0.2705854
606,0.26948535
607,0.27332303
608,0.27077767
609,0.27001774
610,0.2737894
611,0.27119878
612,0.27107435
613,0.27481967
614,0.2722044
615,0.27236408
616,0.27607307
617,0.273428
618,0.2711823
619,0.2750737
620,0.27255967
621,0.2717224
622,0.27549693
623,0.27291402
624,0.2728793
625,0.27660403
626,0.27398595
627,0.27385396
628,0.2776469
629,0.2750687
630,0.27381915
631,0.2775035
632,0.2748716
633,0.27429503
634,0.27798092
635,0.275357
636,0.27383643
637,0.27763265
638,0.2750863
639,0.2740254
640,0.2777714
641,0.2752049
642,0.27492362
643,0.2785979
644,0.27599403
645,0.27548754
646,0.27921733
647,0.27665195
648,0.2754737
649,0.27932584
650,0.2768445
651,0.2760212
652,0.2798604
653,0.27737805
654,0.27606562
655,0.27978924
656,0.27724385
657,0.27563074
658,0.2793118
659,0.27674672
660,0.27546358
661,0.27919742
662,0.27666226
663,0.27612442
664,0.27977628
665,0.27718502
666,0.27612138
667,0.2797665
668,0.27716726
669,0.27498028
670,0.27869058
671,0.27613226
672,0.2743415
673,0.27797434
674,0.27536988
675,0.2744726
676,0.27798995
677,0.27531108
678,0.27479762
679,0.27821535
680,0.27546775
681,0.27455753
682,0.27802327
683,0.27529916
684,0.2744429
685,0.2779749
686,0.2752859
687,0.27421415
688,0.2777516
689,0.27506986
690,0.27403453
691,0.27756542
692,0.27488294
693,0.27406928
694,0.2775336
695,0.27480584
696,0.27477428
697,0.27813953
698,0.27533293
699,0.27477467
700,0.2782224
701,0.27545914
702,0.27496612
703,0.27834198
704,0.2755274
705,0.2759828
706,0.27933997
707,0.27646562
708,0.2760594
709,0.27923805
710,0.27628022
711,0.27699238
712,0.28011256
713,0.27710345
714,0.27786806
715,0.28095582
716,0.27790967
717,0.27824792
718,0.28132182
719,0.27826345
720,0.27873835
721,0.2817663
722,0.2786798
723,0.2778423
724,0.28092048
725,0.27790144
726,0.27719158
727,0.28024924
728,0.27725658
729,0.2767439
730,0.2797767
731,0.27681968
732,0.2769425
733,0.27995104
734,0.27700654
735,0.2766424
736,0.27970278
737,0.27682632
738,0.2764832
739,0.27957398
740,0.2767446
741,0.2764766
742,0.27954522
743,0.27672845
744,0.27591538
745,0.27907202
746,0.2763416
747,0.27595332
748,0.27919632
749,0.27652678
750,0.27648115
751,0.27972052
752,0.27704102
753,0.27694437
754,0.28018212
755,0.27749255
756,0.277028
757,0.28032413
758,0.27765873
759,0.2786631
760,0.2818896
761,0.27914932
762,0.2803886
763,0.28363085
764,0.28086492
765,0.2816807
766,0.28502858
767,0.28229645
768,0.28172284
769,0.2851586
770,0.28245792
771,0.2824641
772,0.28594077
773,0.2832396
774,0.2829179
775,0.2864914
776,0.28383029
777,0.2832566
778,0.2867928
779,0.28409004
780,0.28300202
781,0.28658083
782,0.28388235
783,0.28334838
784,0.28688988
785,0.2841354
786,0.2824435
787,0.2861004
788,0.28339735
789,0.28345525
790,0.28694314
791,0.2841094
792,0.2819429
793,0.2856398
794,0.28291377
795,0.28334895
796,0.28692758
797,0.28409153
798,0.27988654
799,0.28375968
800,0.28109488
801,0.2772959
802,0.28115377
803,0.27847973
804,0.27722022
805,0.28084528
806,0.27801284
807,0.2747285
808,0.27849516
809,0.27574494
810,0.2735801
811,0.27723432
812,0.2744069
813,0.27113566
814,0.27489576
815,0.27213347
816,0.26873058
817,0.2725747
818,0.26987126
819,0.26712632
820,0.27086166
821,0.26809236
822,0.2653312
823,0.26899102
824,0.26617682
825,0.26323903
826,0.26694995
827,0.26417148
828,0.26165506
829,0.2654261
830,0.26269597
831,0.25899258
832,0.26274925
833,0.26002932
834,0.2563089
835,0.26006076
836,0.2573561
837,0.25396532
838,0.25776055
839,0.25509542
840,0.2518239
841,0.25563043
842,0.25298652
843,0.25069627
844,0.2543943
845,0.25169775
846,0.24934554
847,0.25300732
848,0.25030315
849,0.24781351
850,0.25145376
851,0.2487568
852,0.24538699
853,0.24912225
854,0.24651022
855,0.24430591
856,0.24798146
857,0.24534993
858,0.24307203
859,0.24676715
860,0.24416669
861,0.24200052
862,0.24570458
863,0.2431261
864,0.24126779
865,0.24501045
866,0.24247418
867,0.2408351
868,0.2444948
869,0.24192691
870,0.240279
871,0.24388658
872,0.24130157
873,0.23984332
874,0.24352106
875,0.24098246
876,0.23903522
877,0.2428475
878,0.24039565
879,0.2385055
880,0.2422416
881,0.23975337
882,0.2381616
883,0.24182929
884,0.2393042
885,0.23821332
886,0.24185005
887,0.23930183
888,0.23705977
889,0.24072991
890,0.23821515
891,0.2360162
892,0.23966914
893,0.23715392
894,0.23660548
895,0.24007405
896,0.23744984
897,0.23639965
898,0.24002424
899,0.23748001
900,0.2356613
901,0.2394381
902,0.23698597
903,0.23667508
904,0.24039353
905,0.23789036
906,0.23709944
907,0.24079087
908,0.23827063
909,0.23794094
910,0.24160825
911,0.23906855
912,0.23958251
913,0.24319309
914,0.24061248
915,0.24037345
916,0.24402916
917,0.24148117
918,0.24079496
919,0.24457075
920,0.24208787
921,0.24398834
922,0.2476045
923,0.24500069
924,0.24683003
925,0.25053436
926,0.2479383
927,0.24764358
928,0.2512871
929,0.2486847
930,0.2485538
931,0.25229937
932,0.2497245
933,0.25054199
934,0.2540106
935,0.25126895
936,0.25329635
937,0.25663465
938,0.2537728
939,0.25371656
940,0.25718957
941,0.25437337
942,0.25314608
943,0.25655007
944,0.25369722
945,0.25489438
946,0.2578842
947,0.2547925
948,0.25572205
949,0.25864887
950,0.2555111
951,0.25608522
952,0.25886533
953,0.25567174
954,0.2544625
955,0.2573477
956,0.2542733
957,0.2540644
958,0.2569252
959,0.25388968
960,0.2539906
961,0.25689504
962,0.25394505
963,0.25371927
964,0.25665694
965,0.2538102
966,0.25461698
967,0.257779
968,0.25509468
969,0.2564027
970,0.25953978
971,0.25682962
972,0.25761414
973,0.26086614
974,0.25824016
975,0.25826418
976,0.26167616
977,0.25915655
978,0.26083815
979,0.26412436
980,0.26149404
981,0.26168704
982,0.2650736
983,0.26250225
984,0.26323476
985,0.26664886
986,0.2640758
987,0.26563716
988,0.26903263
989,0.2664184
990,0.26883495
991,0.27223742
992,0.26958913
993,0.27158704
994,0.2750738
995,0.27244583
996,0.27416348
997,0.27772433
998,0.27511227
999,0.27616844
1000,0.27977252
1001,0.27716368
1002,0.27798828
1003,0.28163493
1004,0.27902907
1005,0.28026468
1006,0.2839998
1007,0.28142616
1008,0.28183633
1009,0.28560007
1010,0.28302577
1011,0.28167683
1012,0.2855282
1013,0.28300315
1014,0.28605825
1015,0.2898081
1016,0.2871858
1017,0.28740165
1018,0.2913571
1019,0.28884932
1020,0.2889571
1021,0.29290372
1022,0.29038224
1023,0.28945616
1024,0.2933788
1025,0.29084218
1026,0.28897247
1027,0.29290468
1028,0.29037955
1029,0.29497746
1030,0.29877678
1031,0.29613817
1032,0.29552913
1033,0.29944038
1034,0.29686922
1035,0.29614028
1036,0.30012307
1037,0.29760078
1038,0.29280242
1039,0.29672456
1040,0.29418463
1041,0.29678515
1042,0.30057165
1043,0.29793382
1044,0.29739192
1045,0.30113763
1046,0.29846826
1047,0.29664803
1048,0.30052534
1049,0.29794934
1050,0.29732603
1051,0.30107826
1052,0.29842597
1053,0.29723477
1054,0.30095837
1055,0.29829496
1056,0.29571232
1057,0.29953837
1058,0.2969565
1059,0.29452178
1060,0.298373
1061,0.29582167
1062,0.29346856
1063,0.29730445
1064,0.29475665
1065,0.2926253
1066,0.2964435
1067,0.29389608
1068,0.29157522
1069,0.2952251
1070,0.29257956
1071,0.2877633
1072,0.29144612
1073,0.28885168
1074,0.28764135
1075,0.2913754
1076,0.28881562
1077,0.28553337
1078,0.2892726
1079,0.2867289
1080,0.2828091
1081,0.28655496
1082,0.28403118
1083,0.28262466
1084,0.28635043
1085,0.28381222
1086,0.28253138
1087,0.28602418
1088,0.2833394
1089,0.28031695
1090,0.28397396
1091,0.28139558
1092,0.2785266
1093,0.28211522
1094,0.2795001
1095,0.27673125
1096,0.28023058
