,0
0,-0.0
1,-0.0
2,1.57e-43
3,6.502462e-39
4,1.6677726e-35
5,4.7162677e-33
6,2.4530486e-31
7,5.9477896e-30
8,6.7013816e-29
9,3.7508063e-28
10,1.6901846e-27
11,5.6220445e-27
12,1.3429625e-26
13,3.0889242e-26
14,6.1360424e-26
15,9.952125e-26
16,1.651583e-25
17,2.5181951e-25
18,3.3226077e-25
19,4.5771983e-25
20,5.954014e-25
21,6.895392e-25
22,8.407669e-25
23,9.829295e-25
24,1.0482622e-24
25,1.1778589e-24
26,1.279135e-24
27,1.279135e-24
28,1.3501671e-24
29,1.3859623e-24
30,1.3221311e-24
31,1.331406e-24
32,1.3086832e-24
33,1.2014956e-24
34,1.165475e-24
35,1.1062919e-24
36,9.828458e-25
37,9.237374e-25
38,8.508688e-25
39,7.33883e-25
40,6.7107125e-25
41,6.0166717e-25
42,5.0594644e-25
43,4.5281666e-25
44,3.973245e-25
45,3.2283223e-25
46,2.8064843e-25
47,2.3872785e-25
48,1.8664486e-25
49,1.571697e-25
50,1.2878515e-25
51,9.4506633e-26
52,7.526469e-26
53,5.734738e-26
54,3.652576e-26
55,2.521775e-26
56,1.5095741e-26
57,3.689651e-27
58,-2.5342155e-27
59,-7.9049594e-27
60,-1.3720618e-26
61,-1.723279e-26
62,-2.0112374e-26
63,-2.2849447e-26
64,-2.5227313e-26
65,-2.711319e-26
66,-2.8500038e-26
67,-3.0912803e-26
68,-3.292874e-26
69,-3.376819e-26
70,-3.6509478e-26
71,-3.8794666e-26
72,-3.9445366e-26
73,-4.2743633e-26
74,-4.5440995e-26
75,-4.5504372e-26
76,-4.868601e-26
77,-5.105225e-26
78,-5.038928e-26
79,-5.321562e-26
80,-5.495529e-26
81,-5.335153e-26
82,-5.540098e-26
83,-5.629139e-26
84,-5.3115496e-26
85,-5.3644883e-26
86,-5.292839e-26
87,-4.8762297e-26
88,-4.8246508e-26
89,-4.6730203e-26
90,-4.1180135e-26
91,-3.9040363e-26
92,-3.6247453e-26
93,-3.132017e-26
94,-2.9126846e-26
95,-2.6582486e-26
96,-2.192543e-26
97,-1.9468275e-26
98,-1.6914064e-26
99,-1.3106731e-26
100,-1.08357256e-26
101,-8.587953e-27
102,-5.5410954e-27
103,-3.4845874e-27
104,-1.5553609e-27
105,4.685479e-28
106,2.0957128e-27
107,3.5493337e-27
108,4.934066e-27
109,6.2925832e-27
110,7.446682e-27
111,8.2372185e-27
112,9.269836e-27
113,1.0094735e-26
114,1.0665042e-26
115,1.1686702e-26
116,1.24981074e-26
117,1.2662164e-26
118,1.3464215e-26
119,1.4045722e-26
120,1.397335e-26
121,1.4692562e-26
122,1.5208275e-26
123,1.4896355e-26
124,1.545055e-26
125,1.5796513e-26
126,1.5516902e-26
127,1.6126554e-26
128,1.6530568e-26
129,1.6028392e-26
130,1.6477398e-26
131,1.6720004e-26
132,1.5978324e-26
133,1.6222567e-26
134,1.6269624e-26
135,1.55193e-26
136,1.5745399e-26
137,1.5789729e-26
138,1.5022534e-26
139,1.520861e-26
140,1.522142e-26
141,1.4491977e-26
142,1.4674568e-26
143,1.4690628e-26
144,1.4012208e-26
145,1.4214357e-26
146,1.4259477e-26
147,1.349603e-26
148,1.3603649e-26
149,1.3558157e-26
150,1.285676e-26
151,1.2996809e-26
152,1.2986895e-26
153,1.22826506e-26
154,1.2398469e-26
155,1.2365001e-26
156,1.1577061e-26
157,1.16027e-26
158,1.14846785e-26
159,1.0647192e-26
160,1.0605127e-26
161,1.0425175e-26
162,9.558492e-27
163,9.4611925e-27
164,9.2344566e-27
165,8.458908e-27
166,8.405876e-27
167,8.224299e-27
168,7.4140314e-27
169,7.312431e-27
170,7.087881e-27
171,6.3977062e-27
172,6.3723294e-27
173,6.216501e-27
174,5.462403e-27
175,5.3851074e-27
176,5.183165e-27
177,4.4156493e-27
178,4.3178768e-27
179,4.098251e-27
180,3.4098836e-27
181,3.355935e-27
182,3.1803124e-27
183,2.5332223e-27
184,2.5087499e-27
185,2.3633063e-27
186,1.8118146e-27
187,1.8602091e-27
188,1.7824736e-27
189,1.3009723e-27
190,1.4134042e-27
191,1.3912349e-27
192,9.617671e-28
193,1.1302199e-27
194,1.156397e-27
195,7.8546785e-28
196,1.0176867e-27
197,1.0939946e-27
198,7.669296e-28
199,1.0537434e-27
200,1.172283e-27
201,8.833079e-28
202,1.2235741e-27
203,1.3804553e-27
204,1.1183912e-27
205,1.4979648e-27
206,1.6729323e-27
207,1.431758e-27
208,1.8372149e-27
209,2.0242111e-27
210,1.7697517e-27
211,2.1772704e-27
212,2.3493406e-27
213,2.075234e-27
214,2.465714e-27
215,2.6025964e-27
216,2.2966245e-27
217,2.6555924e-27
218,2.7443335e-27
219,2.3814696e-27
220,2.6702716e-27
221,2.6831821e-27
222,2.2162448e-27
223,2.3839746e-27
224,2.2796674e-27
225,1.8175752e-27
226,1.9132024e-27
227,1.7334036e-27
228,1.1841087e-27
229,1.1563429e-27
230,8.801896e-28
231,3.109525e-28
232,1.9103574e-28
233,-1.4736406e-28
234,-7.1656097e-28
235,-9.229316e-28
236,-1.3216079e-27
237,-1.855539e-27
238,-2.1101367e-27
239,-2.5185507e-27
240,-3.004331e-27
241,-3.2857917e-27
242,-3.6691646e-27
243,-4.0431074e-27
244,-4.3146647e-27
245,-4.6482928e-27
246,-4.9322477e-27
247,-5.1764186e-27
248,-5.4404994e-27
249,-5.6143824e-27
250,-5.824431e-27
251,-6.0195984e-27
252,-6.0850854e-27
253,-6.241805e-27
254,-6.346129e-27
255,-6.3231e-27
256,-6.419154e-27
257,-6.4347045e-27
258,-6.3831085e-27
259,-6.4630295e-27
260,-6.4380495e-27
261,-6.3133624e-27
262,-6.3617233e-27
263,-6.278784e-27
264,-6.2886674e-27
265,-6.4509936e-27
266,-6.460816e-27
267,-6.494556e-27
268,-6.663694e-27
269,-6.647319e-27
270,-6.688546e-27
271,-6.87619e-27
272,-6.8711364e-27
273,-6.9828596e-27
274,-7.236309e-27
275,-7.264504e-27
276,-7.445309e-27
277,-7.7480786e-27
278,-7.7791315e-27
279,-8.096339e-27
280,-8.4525206e-27
281,-8.4804265e-27
282,-8.8998925e-27
283,-9.416026e-27
284,-9.616606e-27
285,-1.00897374e-26
286,-1.0729181e-26
287,-1.1016149e-26
288,-1.1901656e-26
289,-1.2804958e-26
290,-1.3192076e-26
291,-1.4206385e-26
292,-1.5443072e-26
293,-1.620672e-26
294,-1.7357333e-26
295,-1.8799326e-26
296,-1.9641296e-26
297,-2.1337578e-26
298,-2.3472544e-26
299,-2.4942622e-26
300,-2.6666577e-26
301,-2.912911e-26
302,-3.0751588e-26
303,-3.2264004e-26
304,-3.45985e-26
305,-3.593409e-26
306,-3.7071058e-26
307,-3.9600158e-26
308,-4.109047e-26
309,-4.1607304e-26
