,0
0,14.362039
1,14.221779
2,14.073094
3,13.945454
4,13.832921
5,13.748849
6,13.689872
7,13.634346
8,13.587393
9,13.552597
10,13.518153
11,13.489727
12,13.47085
13,13.450727
14,13.434271
15,13.424355
16,13.411844
17,13.401428
18,13.395999
19,13.38736
20,13.380096
21,13.3772545
22,13.370968
23,13.365702
24,13.364385
25,13.359648
26,13.355731
27,13.354708
28,13.350723
29,13.347615
30,13.34744
31,13.344305
32,13.341964
33,13.342391
34,13.33991
35,13.33816
36,13.338993
37,13.336981
38,13.335667
39,13.336674
40,13.334948
41,13.333922
42,13.334889
43,13.333219
44,13.332276
45,13.333176
46,13.331445
47,13.330462
48,13.331386
49,13.329709
50,13.328811
51,13.329739
52,13.328107
53,13.327298
54,13.328154
55,13.326399
56,13.325508
57,13.326346
58,13.324506
59,13.323565
60,13.324421
61,13.322561
62,13.321636
63,13.322321
64,13.320267
65,13.319207
66,13.319903
67,13.317761
68,13.316658
69,13.317359
70,13.315097
71,13.313918
72,13.314654
73,13.312302
74,13.311066
75,13.311768
76,13.309263
77,13.307924
78,13.308575
79,13.305912
80,13.304455
81,13.305136
82,13.30233
83,13.30076
84,13.30148
85,13.298575
86,13.296945
87,13.2975445
88,13.29442
89,13.292623
90,13.293228
91,13.289975
92,13.28809
93,13.2887125
94,13.285295
95,13.283278
96,13.283918
97,13.280361
98,13.278228
99,13.278874
100,13.2752
101,13.273004
102,13.273573
103,13.269648
104,13.267232
105,13.267651
106,13.263439
107,13.260796
108,13.261288
109,13.256982
110,13.254267
111,13.254832
112,13.2504225
113,13.247621
114,13.248242
115,13.243703
116,13.24079
117,13.241459
118,13.236861
119,13.233957
120,13.234779
121,13.230133
122,13.227198
123,13.228301
124,13.223716
125,13.220856
126,13.22199
127,13.217274
128,13.214318
129,13.215611
130,13.210889
131,13.207958
132,13.209486
133,13.204841
134,13.202016
135,13.203796
136,13.199266
137,13.196592
138,13.19872
139,13.19441
140,13.191978
141,13.194503
142,13.190449
143,13.188276
144,13.191158
145,13.187336
146,13.185386
147,13.188535
148,13.184908
149,13.18315
150,13.186557
151,13.183102
152,13.181492
153,13.185122
154,13.181792
155,13.180266
156,13.183758
157,13.18028
158,13.178606
159,13.182049
160,13.178545
161,13.176823
162,13.180142
163,13.176443
164,13.174495
165,13.177613
166,13.173716
167,13.171586
168,13.174507
169,13.170506
170,13.168319
171,13.171195
172,13.167196
173,13.165041
174,13.167805
175,13.163763
176,13.161615
177,13.164378
178,13.160482
179,13.158557
180,13.1615
181,13.157948
182,13.156416
183,13.159636
184,13.156556
185,13.155528
186,13.159077
187,13.156603
188,13.156153
189,13.160076
190,13.158147
191,13.158123
192,13.162289
193,13.160705
194,13.160904
195,13.165027
196,13.163635
197,13.163939
198,13.1679735
199,13.166736
200,13.167076
201,13.171271
202,13.170341
203,13.170786
204,13.175073
205,13.174366
206,13.174849
207,13.1788645
208,13.178071
209,13.178401
210,13.181851
211,13.180802
212,13.180908
213,13.1840725
214,13.182889
215,13.182843
216,13.185896
217,13.184694
218,13.184565
219,13.187576
220,13.186384
221,13.186211
222,13.189196
223,13.188045
224,13.187857
225,13.190646
226,13.189444
227,13.189184
228,13.191724
