,0
0,0.0
1,0.0
2,1e-45
3,4.097e-42
4,1.2425922e-38
5,9.584586e-37
6,-2.4218921e-34
7,-1.3194148e-32
8,-2.3650892e-31
9,-1.9203173e-30
10,-1.1182509e-29
11,-4.497729e-29
12,-1.2719388e-28
13,-3.347535e-28
14,-7.4434987e-28
15,-1.3501091e-27
16,-2.4754022e-27
17,-4.1359288e-27
18,-6.0319706e-27
19,-9.1388935e-27
20,-1.3025753e-26
21,-1.6779355e-26
22,-2.2651369e-26
23,-2.9218715e-26
24,-3.4693335e-26
25,-4.325807e-26
26,-5.2006345e-26
27,-5.8141465e-26
28,-6.824159e-26
29,-7.7678536e-26
30,-8.287941e-26
31,-9.271523e-26
32,-1.0099319e-25
33,-1.0389695e-25
34,-1.1181068e-25
35,-1.1750538e-25
36,-1.17089e-25
37,-1.2176104e-25
38,-1.239236e-25
39,-1.2023211e-25
40,-1.2138736e-25
41,-1.2006017e-25
42,-1.1375112e-25
43,-1.1171835e-25
44,-1.0745766e-25
45,-9.898156e-26
46,-9.409981e-26
47,-8.745e-26
48,-7.761074e-26
49,-7.060611e-26
50,-6.239028e-26
51,-5.243164e-26
52,-4.4357735e-26
53,-3.5544125e-26
54,-2.5976077e-26
55,-1.7416044e-26
56,-8.524787e-27
57,7.2792833e-29
58,8.466279e-27
59,1.694796e-26
60,2.4301772e-26
61,3.2185673e-26
62,3.997484e-26
63,4.6091716e-26
64,5.337358e-26
65,6.0401366e-26
66,6.543499e-26
67,7.219836e-26
68,7.8651e-26
69,8.265191e-26
70,8.890287e-26
71,9.480512e-26
72,9.7645794e-26
73,1.03227916e-25
74,1.0845927e-25
75,1.102881e-25
76,1.1532547e-25
77,1.2001387e-25
78,1.2093022e-25
79,1.2550014e-25
80,1.2972263e-25
81,1.2959329e-25
82,1.3365923e-25
83,1.3737262e-25
84,1.362738e-25
85,1.3988757e-25
86,1.4315403e-25
87,1.4131413e-25
88,1.4467629e-25
89,1.4764973e-25
90,1.4501102e-25
91,1.4810738e-25
92,1.5074103e-25
93,1.47355e-25
94,1.5024441e-25
95,1.5260301e-25
96,1.4834752e-25
97,1.5094206e-25
98,1.5285946e-25
99,1.4749004e-25
100,1.4948711e-25
101,1.5068923e-25
102,1.4405798e-25
103,1.4525757e-25
104,1.4547897e-25
105,1.3748227e-25
106,1.3762584e-25
107,1.366665e-25
108,1.2740886e-25
109,1.2644846e-25
110,1.2430737e-25
111,1.1400302e-25
112,1.1180453e-25
113,1.0843147e-25
114,9.708967e-26
115,9.346908e-26
116,8.866793e-26
117,7.681579e-26
118,7.1905645e-26
119,6.5941573e-26
120,5.406149e-26
121,4.8035358e-26
122,4.1060192e-26
123,2.9320786e-26
124,2.2131671e-26
125,1.4172749e-26
126,2.8238193e-27
127,-5.4829773e-27
128,-1.4327293e-26
129,-2.4782907e-26
130,-3.39678e-26
131,-4.3429172e-26
132,-5.301105e-26
133,-6.3189675e-26
134,-7.338389e-26
135,-8.240842e-26
136,-9.404494e-26
137,-1.0538347e-25
138,-1.1497894e-25
139,-1.2944851e-25
140,-1.4337328e-25
141,-1.5306937e-25
142,-1.7026634e-25
143,-1.8637815e-25
144,-1.9540175e-25
145,-2.1480507e-25
146,-2.3231411e-25
147,-2.404133e-25
148,-2.617526e-25
149,-2.8008852e-25
150,-2.8671147e-25
151,-3.095595e-25
152,-3.2801204e-25
153,-3.307858e-25
154,-3.5232722e-25
155,-3.678483e-25
156,-3.650116e-25
157,-3.8329366e-25
158,-3.9432677e-25
159,-3.8438406e-25
160,-3.9655333e-25
161,-4.003783e-25
162,-3.8222714e-25
163,-3.864475e-25
164,-3.825135e-25
165,-3.5833117e-25
166,-3.5624507e-25
167,-3.4755225e-25
168,-3.215629e-25
169,-3.1670108e-25
170,-3.0677997e-25
171,-2.8252582e-25
172,-2.7738812e-25
173,-2.6829963e-25
174,-2.4747765e-25
175,-2.4356559e-25
176,-2.3644772e-25
177,-2.2023752e-25
178,-2.189241e-25
179,-2.1475227e-25
180,-2.0230196e-25
181,-2.0324712e-25
182,-2.0141665e-25
183,-1.9163066e-25
184,-1.9425525e-25
185,-1.9414139e-25
186,-1.8683959e-25
187,-1.9147282e-25
188,-1.9337916e-25
189,-1.8777566e-25
190,-1.941438e-25
191,-1.9773841e-25
192,-1.9275687e-25
193,-2.0022044e-25
194,-2.0492542e-25
195,-2.0067513e-25
196,-2.0954258e-25
197,-2.1561417e-25
198,-2.1260622e-25
199,-2.2345688e-25
200,-2.3134046e-25
201,-2.296932e-25
202,-2.4298139e-25
203,-2.5313287e-25
204,-2.5232532e-25
205,-2.6796634e-25
206,-2.8024343e-25
207,-2.8085245e-25
208,-2.9960484e-25
209,-3.147236e-25
210,-3.1648269e-25
211,-3.3860425e-25
212,-3.567342e-25
213,-3.582207e-25
214,-3.8264736e-25
215,-4.0244309e-25
216,-4.0358836e-25
217,-4.298116e-25
218,-4.5083603e-25
219,-4.5175954e-25
220,-4.7990886e-25
221,-5.022346e-25
222,-5.029389e-25
223,-5.333656e-25
224,-5.573025e-25
225,-5.5748194e-25
226,-5.896497e-25
227,-6.148182e-25
228,-6.133899e-25
229,-6.46231e-25
230,-6.71376e-25
231,-6.6678655e-25
232,-6.980047e-25
233,-7.208371e-25
234,-7.124409e-25
235,-7.4120774e-25
236,-7.6114127e-25
237,-7.496148e-25
238,-7.759655e-25
239,-7.9358737e-25
240,-7.7843064e-25
241,-8.014611e-25
242,-8.1569347e-25
243,-7.9570925e-25
244,-8.140495e-25
245,-8.23844e-25
246,-8.018037e-25
247,-8.165144e-25
248,-8.227109e-25
249,-7.9736187e-25
250,-8.076931e-25
251,-8.1023775e-25
252,-7.818786e-25
253,-7.8799296e-25
254,-7.8712053e-25
255,-7.5667035e-25
256,-7.589389e-25
257,-7.5497267e-25
258,-7.235979e-25
259,-7.228023e-25
260,-7.1646443e-25
261,-6.8598176e-25
262,-6.8333804e-25
263,-6.7530034e-25
264,-6.440769e-25
265,-6.389289e-25
266,-6.2920423e-25
267,-5.989504e-25
268,-5.9238987e-25
269,-5.8190685e-25
270,-5.527055e-25
271,-5.4525735e-25
272,-5.3432813e-25
273,-5.069781e-25
274,-4.99422e-25
275,-4.887497e-25
276,-4.632383e-25
277,-4.557009e-25
278,-4.452103e-25
279,-4.2057656e-25
280,-4.1221803e-25
281,-4.011537e-25
282,-3.7718494e-25
283,-3.6795448e-25
284,-3.5632512e-25
285,-3.334208e-25
286,-3.2385235e-25
287,-3.1206134e-25
288,-2.9147217e-25
289,-2.827171e-25
290,-2.7174427e-25
291,-2.5328928e-25
292,-2.4543023e-25
293,-2.3532436e-25
294,-2.1776054e-25
295,-2.0991877e-25
296,-1.9984003e-25
297,-1.8330583e-25
298,-1.7559406e-25
299,-1.6572788e-25
300,-1.5056553e-25
301,-1.4336574e-25
