,0
0,11.694001
1,11.146065
2,7.714902
3,8.325539
4,3.9663453
5,2.7395618
6,2.1383317
7,1.7158306
8,1.4760666
9,1.1504617
10,1.031771
11,0.9584365
12,0.89927036
13,0.87163997
14,0.857709
15,0.82693756
16,0.8158444
17,0.8063701
18,0.7442467
19,0.73874557
20,0.7348666
21,0.6563271
22,0.65424955
23,0.6533593
24,0.7081684
25,0.7017339
26,0.6967025
27,0.6192617
28,0.6176158
29,0.6171166
30,0.60864687
31,0.60644454
32,0.60514534
33,0.5466742
34,0.54654676
35,0.54709405
36,0.47764802
37,0.4795485
38,0.48261532
39,0.46270114
40,0.46548456
41,0.46703282
42,0.39846802
43,0.39840594
44,0.4047803
45,0.3477913
46,0.3650672
47,0.3808457
48,0.3275904
49,0.35890275
50,0.3950043
51,0.48229212
52,0.49831676
53,0.5246712
54,0.4277384
55,0.42168114
56,0.3697001
57,0.29879186
58,0.2784302
59,0.2704328
60,0.24858554
61,0.25222751
62,0.2625602
63,0.2265203
64,0.24774791
65,0.26503816
66,0.22214767
67,0.2534327
68,0.2929038
69,0.31845975
70,0.36554405
71,0.41797656
72,0.4214874
73,0.4823568
74,0.5118623
75,0.5582179
76,0.5752329
77,0.6304418
78,0.6018954
79,0.6604459
80,0.66662645
81,0.71048236
82,0.70923233
83,0.7689026
84,0.7676223
85,0.8716375
86,0.9259113
87,0.9903444
88,0.8711008
89,0.8828567
90,0.7896588
91,0.78942245
92,0.77104074
93,0.78714204
94,0.791181
95,0.8152696
96,0.82825774
97,0.8431089
98,0.8461827
99,0.8483286
100,0.83910966
101,0.8260529
102,0.82403773
103,0.82545906
104,0.8300682
105,0.83602583
106,0.8133352
107,0.78893584
108,0.7469336
109,0.70424634
110,0.6365333
111,0.6083718
112,0.5582931
113,0.5239657
114,0.5192112
115,0.4947244
116,0.4970513
117,0.46470857
118,0.4515771
119,0.38543347
120,0.37541592
121,0.32977694
122,0.3403383
123,0.3357633
124,0.36245394
125,0.35585308
126,0.3926919
127,0.35963613
128,0.3588199
129,0.3014155
130,0.28724918
131,0.23723494
132,0.2581962
133,0.23084784
134,0.23536605
135,0.24055731
136,0.25898892
137,0.27548996
138,0.33040532
139,0.39086705
140,0.48904592
141,0.5773199
142,0.64085865
143,0.64678526
144,0.57160556
145,0.464419
146,0.3919027
147,0.34425038
148,0.33539954
149,0.34822038
150,0.3705731
151,0.39503458
152,0.41581634
153,0.41283354
154,0.38517782
155,0.34838215
156,0.30792737
157,0.29319757
158,0.2615074
159,0.2582679
160,0.23570135
161,0.22711498
162,0.22872786
163,0.22349226
164,0.23536652
165,0.24440901
166,0.27170342
167,0.2922427
168,0.33762467
169,0.3699553
170,0.37598237
171,0.3969496
172,0.35911158
173,0.33987838
174,0.3460821
175,0.3820984
176,0.45850867
177,0.5867996
178,0.5457832
179,0.5393212
180,0.35489103
181,0.27474335
182,0.23352602
183,0.22270828
184,0.21455461
185,0.21632886
186,0.22442248
187,0.23142475
188,0.23399144
189,0.2765404
190,0.297458
191,0.347301
192,0.42257035
193,0.50253594
194,0.54720426
195,0.60563266
196,0.5304449
197,0.4979127
198,0.43288633
199,0.40149182
200,0.3627904
201,0.35640728
202,0.34291875
203,0.31911466
204,0.32884315
205,0.30824584
206,0.31512326
207,0.3570363
208,0.36246145
209,0.3443933
210,0.41324323
211,0.39722827
212,0.4129652
213,0.46758392
214,0.5034027
215,0.5144029
216,0.618587
217,0.5727754
218,0.59494567
219,0.52076447
220,0.49875262
221,0.46113473
222,0.47286457
223,0.49323645
224,0.49200472
225,0.660077
226,0.61017185
227,0.5968254
228,0.56019473
229,0.5338599
230,0.5164995
231,0.48915324
232,0.48175478
233,0.47016358
234,0.5772065
235,0.55848414
236,0.5478616
237,0.55646926
238,0.53731537
239,0.52345073
240,0.4988286
241,0.48874786
242,0.4733557
243,0.5320996
244,0.51682425
245,0.50732434
246,0.5237522
247,0.5090805
248,0.50384355
249,0.45749986
250,0.45452994
251,0.43714035
252,0.4259169
253,0.40788022
254,0.40766215
255,0.4032295
256,0.40392065
257,0.39121175
258,0.4231348
259,0.4144137
260,0.41872367
261,0.39744714
262,0.41207096
263,0.42555904
264,0.45072183
265,0.46188265
266,0.47482225
267,0.49425244
268,0.49596667
269,0.4761435
270,0.45243654
271,0.43861744
272,0.4453705
273,0.4207183
274,0.4324615
275,0.43332255
276,0.43885207
277,0.44268262
278,0.4550615
279,0.49564466
280,0.50041723
281,0.49701774
282,0.47034702
283,0.47024393
284,0.47544643
285,0.42990664
286,0.4392705
287,0.44439858
288,0.49526632
289,0.49378794
290,0.49381328
291,0.44646648
292,0.45168576
293,0.45770204
294,0.44394064
295,0.45048043
296,0.45266384
297,0.4389623
298,0.44293466
299,0.44939187
300,0.427455
301,0.43894136
302,0.44687098
303,0.4758932
304,0.48403904
305,0.49293092
306,0.45758602
307,0.46553874
308,0.4717699
309,0.5065768
310,0.5076859
311,0.51045936
312,0.4898925
313,0.49583232
314,0.49861953
315,0.48493692
316,0.48678905
317,0.49196988
318,0.4925338
319,0.49712816
320,0.4984605
321,0.49382472
322,0.49598628
323,0.50201285
324,0.50348645
325,0.5150364
326,0.5320165
327,0.5556165
328,0.59489745
329,0.645429
330,0.7038014
331,0.74615705
332,0.7679298
333,0.758748
334,0.71944886
335,0.65919495
336,0.61584204
337,0.57016337
338,0.5523815
339,0.5285468
340,0.52183104
341,0.5026084
342,0.5196959
343,0.50982755
344,0.52802515
345,0.5346001
346,0.5630776
347,0.5742229
348,0.6124166
349,0.6142384
350,0.61673534
351,0.5816365
352,0.55044246
353,0.50096476
354,0.47540322
355,0.43740466
356,0.4215147
357,0.39600292
358,0.39185306
359,0.37794495
360,0.3835387
361,0.3793563
362,0.3888718
363,0.3938862
364,0.41144568
365,0.4219968
366,0.44724724
367,0.45653552
368,0.47137922
369,0.46908846
370,0.46947554
371,0.45147002
372,0.4480049
373,0.4270814
374,0.4208267
375,0.41213387
376,0.40888822
377,0.39660072
378,0.40029445
379,0.393968
380,0.39973098
381,0.4131838
382,0.4211022
383,0.42113218
384,0.43540835
385,0.43920055
386,0.45253414
387,0.47080204
388,0.48236144
389,0.4868821
390,0.51179105
391,0.5140209
392,0.51856697
393,0.5340079
394,0.5340512
