,0
0,17.068287
1,11.455495
2,5.7366595
3,3.8824768
4,2.6259866
5,2.0074522
6,1.6419008
7,1.4767648
8,1.3687286
9,1.1856418
10,1.1456795
11,1.1199411
12,1.0262021
13,1.0183736
14,1.0079566
15,1.0425802
16,1.0319853
17,1.0253533
18,0.9504474
19,0.9530966
20,0.9512817
21,0.89491814
22,0.8985049
23,0.90266657
24,0.8286554
25,0.8384536
26,0.8424445
27,0.78016376
28,0.78897625
29,0.7964356
30,0.73063284
31,0.7433261
32,0.74931014
33,0.77863765
34,0.78203905
35,0.7854443
36,0.70105076
37,0.71225625
38,0.717272
39,0.7600119
40,0.7635063
41,0.7651049
42,0.6731937
43,0.683877
44,0.69006604
45,0.60745955
46,0.62129337
47,0.6299984
48,0.5450925
49,0.56038797
50,0.5717174
51,0.5435373
52,0.55799705
53,0.5652538
54,0.4821322
55,0.49642998
56,0.50982887
57,0.5274485
58,0.54135954
59,0.54491174
60,0.41577673
61,0.42952192
62,0.44636184
63,0.39558
64,0.41647786
65,0.42203042
66,0.39175162
67,0.39974928
68,0.41448915
69,0.40404284
70,0.41974342
71,0.41964677
72,0.35472155
73,0.35950723
74,0.37236363
75,0.3070053
76,0.32315344
77,0.32347205
78,0.31582254
79,0.31687033
80,0.3265177
81,0.3391649
82,0.3482223
83,0.34436575
84,0.3017634
85,0.30322582
86,0.31508338
87,0.24493243
88,0.26457402
89,0.27252877
90,0.2782086
91,0.29737398
92,0.33771598
93,0.38692677
94,0.4447078
95,0.48168543
96,0.5263866
97,0.5232693
98,0.531123
99,0.47333708
100,0.45587426
101,0.413889
102,0.375645
103,0.3530902
104,0.3485187
105,0.31745702
106,0.32371634
107,0.31996566
108,0.3293821
109,0.33102962
110,0.34976172
111,0.3628396
112,0.38716325
113,0.39079747
114,0.43249276
115,0.42676318
116,0.43783996
117,0.4193384
118,0.4214861
119,0.3980913
120,0.43975082
121,0.41860443
122,0.42081743
123,0.41834143
124,0.4299774
125,0.42517892
126,0.47659633
127,0.47264075
128,0.47979152
129,0.4604908
