,0
0,1.092e-42
1,4.9485234e-36
2,-2.3437446e-31
3,8.7222587e-29
4,-4.656593e-27
5,-3.8589924e-25
6,6.3706892e-24
7,-1.2738622e-23
8,4.270091e-24
9,-8.19039e-23
10,-9.4706696e-24
11,2.6650896e-23
12,-2.1954864e-23
13,8.657663e-23
14,-4.6743962e-23
15,-5.059299e-23
16,-6.1248593e-23
17,-1.05185924e-22
18,-6.65267e-23
19,1.6742871e-22
20,-1.3556185e-22
21,4.8861277e-22
22,-2.9793918e-22
23,9.079897e-23
24,-2.224269e-22
25,-1.2427771e-21
26,6.505615e-22
27,-2.518684e-21
28,1.478732e-21
29,-2.0851066e-21
30,1.738991e-21
31,-7.145404e-23
32,1.4786901e-21
33,2.0341032e-21
34,5.040676e-22
35,1.9077667e-21
36,4.9519614e-22
37,8.054984e-22
38,3.7585653e-22
39,9.734621e-22
40,-1.974366e-23
41,2.6137116e-21
42,-3.1345678e-23
43,2.9513097e-21
44,-1.5848741e-21
45,-7.925628e-21
46,3.443465e-21
47,-2.6028744e-20
48,2.2567726e-20
49,-3.3232094e-20
50,3.514083e-20
51,-5.6872944e-21
52,1.76435e-20
53,5.314761e-20
54,5.058477e-21
55,1.1970635e-19
56,3.9025564e-20
57,1.5779151e-19
58,1.01276595e-19
59,1.3217722e-19
60,1.7164263e-19
61,6.3935045e-20
62,1.5815081e-19
63,-1.3967412e-20
64,1.0296438e-19
65,-6.3621194e-20
66,5.2825676e-20
67,-7.1612955e-20
68,2.2606284e-20
69,-4.688269e-20
70,1.3101471e-20
71,-1.0025905e-20
72,2.1045688e-20
73,2.5758647e-20
74,2.9726325e-20
75,4.1528667e-20
76,3.913808e-20
77,4.605057e-20
78,4.6946788e-20
79,3.9916027e-20
80,5.246464e-20
81,2.1850305e-20
82,5.992496e-20
83,1.4908068e-20
84,8.1969334e-20
85,1.7999167e-20
86,1.0658554e-19
87,2.793239e-21
88,1.2394012e-19
89,1.7251915e-20
90,1.7033449e-19
91,4.9872115e-20
92,1.8744677e-19
93,4.0128945e-20
94,1.9242862e-19
95,7.203232e-20
96,2.207185e-19
97,1.0660099e-19
98,2.3075214e-19
99,8.6461545e-20
100,2.3120786e-19
101,1.3973394e-19
102,2.9331127e-19
103,1.9764104e-19
104,2.9337374e-19
105,1.9399606e-19
106,2.7522853e-19
107,2.7319739e-19
108,2.7709258e-19
109,3.0875318e-19
110,2.4624854e-19
111,3.1437958e-19
112,2.416526e-19
113,3.4091466e-19
114,2.9939986e-19
115,3.5022114e-19
116,2.9662875e-19
117,3.650656e-19
118,2.6089212e-19
119,3.9104118e-19
120,2.1453274e-19
121,3.5566016e-19
122,1.2169358e-19
123,2.7692244e-19
124,5.1029964e-20
125,1.8771524e-19
126,2.7233975e-20
127,1.2762216e-19
128,4.84204e-20
129,1.074445e-19
130,7.834601e-20
131,1.0966361e-19
132,8.5540305e-20
133,9.475411e-20
134,4.5615395e-20
135,4.924199e-20
136,1.178276e-21
137,6.534682e-21
138,2.5055087e-21
139,8.8503915e-21
140,6.149709e-20
141,2.252145e-21
142,4.5349828e-20
143,-7.8649654e-22
144,-2.5747976e-20
145,-2.7748073e-21
146,-9.838075e-20
147,-2.533912e-20
148,-6.014144e-20
149,-3.1924667e-20
150,-2.9703555e-20
151,-2.0316603e-20
152,-8.757444e-21
153,-9.031265e-21
154,1.3293937e-21
155,-3.580015e-21
156,-3.9539486e-22
157,-1.3774177e-21
158,-2.9078422e-21
159,-4.2745214e-22
160,-3.119045e-21
161,-6.48638e-23
162,-2.3932672e-21
163,-8.1119337e-23
164,-1.4722868e-21
165,-2.3536568e-22
166,-5.194247e-22
167,-3.211429e-22
168,3.1930676e-22
169,-2.6856708e-22
170,6.687712e-22
171,-6.7972635e-23
172,8.584404e-22
173,1.3828266e-23
174,2.9190926e-22
175,-2.2280212e-23
176,-6.89321e-22
177,1.8067877e-22
178,-1.3380262e-21
179,6.006606e-22
180,-8.913591e-22
181,1.9614502e-21
182,6.5219576e-22
183,4.512789e-21
184,2.7502588e-21
185,5.6601118e-21
186,4.388518e-21
187,4.110735e-21
188,4.6229517e-21
189,2.4588782e-21
190,4.0191825e-21
191,1.2517813e-21
192,3.2797396e-21
193,4.356824e-22
194,2.8202757e-21
195,-1.3590102e-22
196,2.0781156e-21
197,-8.864473e-22
198,-4.8274117e-22
199,-2.0901301e-21
200,-4.0727954e-21
201,-2.2852417e-21
202,-6.4295808e-21
203,-1.9021771e-21
204,-1.703211e-20
205,2.1665159e-21
206,-4.0906563e-20
207,1.02229265e-20
208,-5.6597714e-20
209,1.6746053e-20
210,-5.583952e-20
211,1.8030248e-20
212,-4.3436165e-20
213,1.525646e-20
214,-3.0522422e-20
215,9.717472e-21
216,-1.6915504e-20
217,4.9032007e-21
218,-8.401916e-21
219,4.8442427e-21
220,-4.7456555e-21
221,8.099077e-21
222,-5.2073293e-21
223,7.814899e-21
224,-3.739569e-21
225,5.262207e-21
226,-1.8492283e-21
227,1.9007393e-21
228,-3.572277e-23
229,2.732588e-22
230,4.8678443e-22
231,2.3835893e-22
232,6.69161e-22
233,2.2269978e-22
234,1.5269106e-21
235,-4.331156e-22
236,2.7001609e-21
237,-1.0664198e-21
238,3.3180636e-21
239,-2.5150183e-22
240,3.4804153e-21
241,2.127432e-21
242,2.2099538e-21
243,4.076095e-21
244,8.56684e-22
245,5.23198e-21
246,9.9246196e-24
247,5.5536975e-21
248,-4.658768e-22
249,5.2359907e-21
250,8.071175e-23
251,4.8436575e-21
252,4.526707e-22
253,3.8274144e-21
254,8.069662e-22
255,2.7055612e-21
256,1.427288e-21
257,1.6497798e-21
258,1.5337138e-21
259,3.2855087e-22
260,1.5803521e-21
261,-2.9997863e-22
262,1.0927137e-21
263,3.2145268e-23
264,1.244366e-22
265,-2.7488948e-22
266,5.2545897e-21
267,-2.8931011e-21
268,1.2841791e-20
269,-4.515552e-21
270,1.6975956e-20
271,-9.563312e-24
272,1.596808e-20
273,1.5607727e-20
274,9.334706e-21
275,3.9271695e-20
276,1.242335e-21
277,5.708675e-20
278,-2.4361032e-21
279,5.98298e-20
280,2.467343e-21
281,4.7462722e-20
282,1.3955595e-20
283,2.3810331e-20
284,2.580724e-20
285,-7.311011e-21
286,3.9415043e-20
287,-3.6862315e-20
288,5.3998283e-20
289,-3.8999663e-20
290,5.8832866e-20
291,-8.908787e-21
292,3.0491638e-20
293,8.193064e-21
294,-1.7118537e-20
295,1.424519e-20
296,-2.9884985e-20
297,9.696015e-21
298,-3.921986e-20
299,-2.9712388e-21
300,-6.078864e-20
301,-1.865084e-20
302,-5.0236695e-20
303,-4.57231e-20
304,2.1863857e-20
305,-6.644431e-20
306,8.9337077e-20
307,-6.78098e-20
308,9.453599e-20
309,-5.1564158e-20
310,4.932284e-20
311,-2.7928568e-20
312,5.9402037e-21
313,-1.5664226e-20
314,-1.28822604e-20
315,-5.7057e-21
316,-1.8199436e-20
317,1.5164072e-21
318,-1.8021629e-20
319,6.0471095e-21
320,-3.7247503e-21
321,1.3448193e-20
322,2.050652e-20
323,1.2494765e-20
324,3.3694272e-20
325,9.172238e-24
326,2.5764928e-20
327,1.7399219e-20
328,9.035028e-21
329,1.00076744e-19
330,4.0814598e-22
331,1.8760535e-19
332,-4.526355e-22
333,1.3921507e-19
334,6.9230075e-22
335,4.0014213e-20
336,-8.504102e-22
337,6.6266057e-21
338,-2.248722e-22
339,2.116086e-20
340,1.4682604e-21
341,2.660934e-20
342,-6.791915e-21
343,1.0495562e-20
344,-1.4864873e-20
345,1.3931574e-21
346,-9.154336e-21
347,-1.1966255e-21
348,-1.4690368e-21
349,-5.5951564e-22
350,1.722345e-21
351,1.9481836e-22
352,3.0932154e-21
353,1.5118618e-21
354,2.413455e-21
355,8.295473e-22
356,1.2930939e-21
357,1.2589635e-21
358,4.9241086e-22
359,1.7884776e-21
360,3.804462e-22
361,1.6325753e-21
362,2.0379937e-22
363,1.1333507e-21
364,3.236984e-23
365,6.6807214e-22
366,3.3117788e-23
367,1.940791e-22
368,2.256857e-22
369,-2.535187e-22
370,7.229756e-22
371,-3.9151046e-22
372,1.2457922e-21
373,-3.5139528e-22
374,1.2064162e-21
375,8.51918e-22
376,2.2872872e-22
377,3.1038517e-21
378,-1.3328074e-21
379,6.4104438e-21
380,-1.5062478e-21
381,6.894641e-21
382,-8.982412e-22
383,3.4474836e-21
384,-8.4091124e-22
385,5.758346e-22
386,-8.2877045e-22
387,5.2081007e-24
388,-5.252333e-22
389,4.6813884e-22
390,-3.1623894e-22
391,9.337765e-22
392,-3.11334e-22
393,1.1682448e-21
394,-4.422946e-22
395,1.2201444e-21
396,-6.560521e-22
397,1.0209149e-21
398,-3.9775263e-22
399,7.0383897e-22
400,4.5577293e-22
401,3.6009143e-22
402,1.0229611e-21
403,2.3811684e-22
404,2.1991665e-22
405,-1.2038038e-22
406,-1.5690884e-21
407,-1.2819127e-21
408,-2.7818347e-21
409,-1.6519296e-21
410,-2.7164936e-21
411,-3.310375e-22
412,-2.0261678e-21
413,7.762969e-22
414,-1.2212369e-21
415,-3.5965247e-22
416,-1.8019267e-21
417,-1.917639e-21
418,-1.2174924e-21
419,-2.2281406e-21
420,-1.0196205e-21
421,-1.2429155e-21
422,1.6800948e-22
423,-3.4384084e-22
424,1.2873589e-21
425,7.894413e-23
426,2.0568737e-21
427,8.437194e-22
428,9.637551e-22
429,1.4568104e-21
430,-6.5403526e-22
431,1.1976522e-21
432,-1.4008095e-21
433,1.6236456e-22
434,-1.4405175e-21
435,-4.96502e-22
436,-3.3021932e-22
437,-9.621824e-22
438,1.0408328e-21
439,-1.1402622e-21
440,1.8867479e-21
441,-1.2020454e-21
442,1.895039e-21
443,-1.4495316e-21
444,1.3978325e-21
445,-1.1800085e-21
446,9.794471e-22
447,-1.1402644e-22
448,7.394533e-22
449,1.3956779e-21
450,4.921425e-22
451,2.9209939e-21
452,-3.388493e-22
453,4.070858e-21
454,-2.7652072e-21
455,4.5657797e-21
456,-5.8467573e-21
457,4.6661844e-21
458,-7.710145e-21
459,3.832894e-21
460,-7.474803e-21
461,3.1809267e-21
462,-5.681116e-21
463,2.5759561e-21
464,-3.6139464e-21
465,1.6678037e-21
466,-1.9884998e-21
467,1.793784e-21
468,-1.2365368e-21
469,1.9293253e-21
470,-8.901498e-22
471,1.6003196e-21
472,-1.02821045e-22
473,2.5453612e-21
474,2.2240657e-21
475,2.5262051e-21
476,6.833884e-21
477,2.4736032e-21
478,1.3186023e-20
479,2.1480085e-21
480,1.8446418e-20
481,1.6631526e-21
482,2.010588e-20
483,1.5979941e-21
484,1.7087403e-20
485,1.809161e-21
486,1.0203983e-20
487,2.59763e-21
488,1.5337219e-21
489,3.1357955e-21
490,-6.344741e-21
491,4.521182e-22
492,-7.985434e-21
493,-6.081233e-21
494,1.4721244e-22
495,-1.7213861e-20
496,1.1848097e-20
497,-2.9807195e-20
498,1.932674e-20
499,-4.1690355e-20
500,2.0291338e-20
501,-5.5799795e-20
502,1.5498335e-20
503,-5.2205378e-20
504,1.5718584e-20
505,-4.100785e-20
506,2.0096552e-20
507,-2.9335547e-20
508,3.0989165e-20
509,-1.5884328e-20
510,3.7645074e-20
511,-9.427579e-21
512,3.4273944e-20
513,-1.07074685e-20
514,3.1759264e-20
515,-1.912454e-20
516,3.4234543e-20
517,-3.5561205e-20
518,3.7062325e-20
519,-6.06618e-20
520,4.935164e-20
521,-7.081824e-20
522,8.211727e-20
523,-6.021775e-20
524,1.0552696e-19
525,-3.374202e-20
526,9.034996e-20
527,-1.2259239e-20
528,1.8468741e-20
529,2.0262456e-20
530,-4.4962727e-20
531,5.3867675e-20
532,-3.8438356e-20
533,3.694664e-20
534,-3.1122782e-21
535,1.0464443e-20
536,1.8527474e-21
537,-1.0679056e-20
538,-2.0342328e-20
539,-3.1414746e-20
540,-5.249908e-20
541,-5.877855e-20
542,-4.6701868e-20
543,-7.568401e-20
544,7.018763e-21
545,-3.5044266e-20
546,5.8379903e-21
547,-4.0487005e-21
548,-4.4563612e-20
549,-3.135125e-20
550,-6.042511e-20
551,-5.888081e-20
552,-5.3375448e-20
553,-6.231997e-20
554,-4.1948206e-20
555,-5.197855e-20
556,-2.8711953e-20
557,-3.3135582e-20
558,-1.6827174e-20
559,-2.0078147e-20
560,-1.00068344e-20
561,-1.0880097e-20
562,-5.1954637e-21
563,-2.6013534e-21
564,-2.1935222e-21
565,2.2796213e-21
566,-2.9768559e-22
567,4.6466257e-21
568,7.278691e-22
569,4.8178404e-21
570,1.4797171e-21
571,5.3593783e-21
572,1.0670741e-21
573,5.231147e-21
574,4.3887546e-22
575,3.7758852e-21
576,5.783751e-22
577,2.245039e-21
578,1.2619232e-21
579,1.5490147e-21
580,2.9175272e-21
581,1.9003576e-21
582,1.0135606e-20
583,2.5521896e-21
584,2.6429744e-20
585,1.3796494e-21
586,5.1025373e-20
587,-1.7462912e-21
588,7.4219756e-20
589,-3.6237357e-21
590,8.4067846e-20
591,-2.490675e-21
592,7.329982e-20
593,3.0913462e-21
594,4.1588547e-20
595,1.5460038e-20
596,-2.8858722e-21
597,2.6145967e-20
598,-2.0856697e-20
599,2.2430783e-20
600,-9.187429e-21
601,1.0019369e-20
602,-1.2747354e-21
603,1.7196687e-21
604,-3.465209e-21
605,5.857571e-22
606,-3.8241036e-21
607,-1.0113081e-22
608,3.0650445e-21
609,-2.169623e-21
610,7.641684e-21
611,-2.214499e-21
612,-4.9867835e-21
613,5.0688202e-21
614,-2.9411424e-20
615,1.2657512e-20
616,-3.230863e-20
617,8.4142436e-21
