,0
0,29.07995
1,27.8119
2,27.816687
3,27.004156
4,27.369514
5,26.747293
6,26.953924
7,26.585949
8,26.63112
9,26.399899
10,26.377096
11,26.221394
12,26.17071
13,26.048424
14,25.998993
15,25.893417
16,25.842712
17,25.757755
18,25.699371
19,25.618427
20,25.570566
21,25.482378
22,25.425945
23,25.351913
24,25.28836
25,25.20846
26,25.157743
27,25.072845
28,25.01561
29,24.944723
30,24.882114
31,24.805763
32,24.756996
33,24.676208
34,24.621159
35,24.554157
36,24.496517
37,24.422813
38,24.37931
39,24.294163
40,24.236616
41,24.16655
42,24.095007
43,24.006416
44,23.95411
45,23.858301
46,23.796513
47,23.718798
48,23.65707
49,23.572754
50,23.529427
51,23.42825
52,23.363443
53,23.283249
54,23.205732
55,23.108236
56,23.052565
57,22.945051
58,22.870508
59,22.79005
60,22.69315
61,22.592443
62,22.51972
63,22.421612
64,22.340279
65,22.269653
66,22.183758
67,22.108332
68,22.04555
69,21.953426
70,21.869286
71,21.801998
72,21.718143
73,21.63955
74,21.58083
75,21.493364
76,21.420464
77,21.356977
78,21.274902
79,21.206388
80,21.14642
81,21.09089
82,21.028765
83,20.991772
84,20.93491
85,20.87777
86,20.849224
87,20.782494
88,20.765825
89,20.731071
90,20.739763
91,20.734236
92,20.771708
93,20.795172
94,20.852846
95,20.89563
96,20.968037
97,21.026688
98,21.106846
99,21.18247
100,21.272451
101,21.35002
102,21.4486
103,21.533297
104,21.62882
105,21.719952
106,21.823204
107,21.905165
108,22.023329
109,22.115921
110,22.222258
111,22.321466
112,22.43836
113,22.519043
114,22.633526
115,22.711699
116,22.812578
117,22.88647
118,22.989147
119,23.0472
120,23.155804
121,23.219803
122,23.313635
123,23.376892
124,23.475231
125,23.522182
126,23.61504
127,23.660137
128,23.74044
129,23.785477
130,23.869822
131,23.90193
132,23.985796
133,24.021772
134,24.09381
135,24.127972
136,24.201927
137,24.225521
138,24.292503
139,24.312403
140,24.371092
141,24.39211
142,24.453987
143,24.46717
144,24.532179
145,24.551018
146,24.607885
147,24.6293
148,24.691465
149,24.704796
150,24.765606
151,24.782515
152,24.835615
153,24.852852
154,24.908834
155,24.919231
156,24.977062
157,24.991167
158,25.042742
159,25.06181
160,25.120192
161,25.132965
162,25.193535
163,25.211523
164,25.26587
165,25.281267
166,25.335245
167,25.345552
168,25.3979
169,25.407202
170,25.456211
171,25.465086
172,25.514477
173,25.520464
174,25.57037
175,25.5766
176,25.623852
177,25.629034
178,25.67518
179,25.677029
180,25.723915
181,25.726559
182,25.770233
183,25.77486
184,25.819937
185,25.822357
186,25.86301
187,25.865131
188,25.90144
189,25.902788
190,25.935505
191,25.936737
192,25.962902
193,25.966211
194,25.98622
195,25.984936
196,25.99384
197,25.998688
198,25.989592
199,25.99881
200,25.980856
201,25.994003
202,25.963905
203,25.985071
204,25.941555
