,0
0,-1e-44
1,8.696815e-38
2,3.4886836e-33
3,1.1554556e-31
4,8.0423735e-30
5,-2.8786523e-29
6,1.2621931e-27
7,-2.2102189e-28
8,4.3051768e-27
9,-4.8221006e-27
10,1.2607509e-27
11,-7.970154e-27
12,7.6841533e-28
13,-8.923191e-28
14,9.29706e-27
15,1.1998564e-26
16,1.6790003e-26
17,2.3567275e-26
18,1.7631624e-26
19,2.945769e-26
20,1.2190245e-26
21,3.1506722e-26
22,3.7822645e-27
23,3.0436836e-26
24,-3.7749883e-27
25,2.7913945e-26
26,-9.253827e-27
27,2.5567125e-26
28,-1.1691444e-26
29,2.3065948e-26
30,-1.11753225e-26
31,2.0265553e-26
32,-1.0226736e-26
33,1.7971025e-26
34,-8.023147e-27
35,1.6583565e-26
36,-5.3317044e-27
37,1.5355652e-26
38,-2.8580352e-27
39,1.4793143e-26
40,5.1774163e-28
41,1.5693682e-26
42,4.0659832e-27
43,1.5965164e-26
44,9.705525e-27
45,1.7019924e-26
46,1.8838605e-26
47,1.9004089e-26
48,3.2764432e-26
49,2.0314184e-26
50,5.329617e-26
51,2.0257911e-26
52,7.389037e-26
53,2.1820025e-26
54,8.4064734e-26
55,2.2096858e-26
56,8.014522e-26
57,2.6143716e-26
58,4.6469568e-26
59,4.079792e-26
60,-8.929176e-27
61,4.7307344e-26
62,-3.4639403e-26
63,3.772279e-26
64,-5.7296578e-27
65,1.1059277e-26
66,4.1036674e-26
67,-2.1468364e-26
68,5.6224015e-26
69,-2.5912666e-26
70,-1.7080575e-26
71,-1.1178612e-26
72,-1.9642232e-25
73,-3.3660183e-27
74,-4.672995e-25
75,-8.158466e-27
76,-6.17222e-25
77,2.5544703e-26
78,-1.1702739e-25
79,1.346409e-25
80,1.803786e-24
81,2.7357203e-25
82,5.1165932e-24
83,3.3451558e-25
84,5.938346e-24
85,2.8212977e-25
86,-1.0859444e-24
87,-2.2584057e-25
88,-4.7413455e-24
89,-1.6196672e-24
90,2.6735742e-24
91,-1.8100991e-24
92,7.799018e-24
93,-5.3170887e-25
94,8.009344e-24
95,2.4219852e-25
96,6.411658e-24
97,3.4655466e-25
98,4.7781502e-24
99,4.2667904e-25
100,3.1568225e-24
101,4.639574e-25
102,1.6686824e-24
103,3.922103e-25
104,5.455811e-25
105,2.6669324e-25
106,-1.5458145e-25
107,2.1455912e-25
108,-4.8862883e-25
109,2.171889e-25
110,-5.1563366e-25
111,2.2070344e-25
112,-4.355688e-25
113,1.3058619e-25
114,-3.0017481e-25
115,-1.1385044e-25
116,-2.2080047e-25
117,-4.2417845e-25
118,-2.3862143e-25
119,-7.2370785e-25
120,-2.9832427e-25
121,-1.0594069e-24
122,-3.9653972e-25
123,-1.2844397e-24
124,-5.0390285e-25
125,-1.3330666e-24
126,-5.2636325e-25
127,-1.2646836e-24
128,-5.0245e-25
129,-1.1240116e-24
130,-4.7296254e-25
131,-9.098161e-25
132,-4.017103e-25
133,-7.177073e-25
134,-3.3177293e-25
135,-5.337087e-25
136,-2.7187191e-25
137,-3.5499438e-25
138,-2.198018e-25
139,-2.3714958e-25
140,-1.8142286e-25
141,-1.6144103e-25
142,-1.6743968e-25
143,-1.1139346e-25
144,-1.6414803e-25
145,-8.503933e-26
146,-1.6137811e-25
147,-7.225167e-26
148,-1.6915396e-25
149,-6.482881e-26
150,-1.7909026e-25
151,-6.51257e-26
152,-1.798774e-25
153,-7.123814e-26
154,-1.8381687e-25
155,-7.5459815e-26
156,-1.8591881e-25
157,-8.6583456e-26
158,-1.790498e-25
159,-1.03358337e-25
160,-1.8016172e-25
161,-1.150314e-25
162,-1.7476853e-25
163,-1.3101589e-25
164,-1.6058037e-25
165,-1.4798821e-25
166,-1.4275806e-25
167,-1.5427552e-25
168,-1.1842621e-25
169,-1.609648e-25
170,-9.3221973e-26
171,-1.6868167e-25
172,-7.148352e-26
173,-1.6559281e-25
174,-4.982302e-26
175,-1.5811296e-25
176,-3.6848442e-26
177,-1.4631578e-25
178,-3.5070254e-26
179,-1.2564544e-25
180,-4.247386e-26
181,-9.752518e-26
182,-5.81291e-26
183,-7.12851e-26
184,-8.3040386e-26
185,-3.865358e-26
186,-1.1477423e-25
187,-3.372648e-28
188,-1.2261499e-25
189,3.7005628e-26
190,-1.0708776e-25
191,6.8443446e-26
192,-6.6169314e-26
193,1.0063438e-25
194,2.8196782e-26
195,1.0429767e-25
196,1.4006114e-25
197,9.8462524e-26
198,1.6594084e-25
199,1.2511059e-25
200,-2.2743561e-26
201,2.6951033e-25
202,-3.540793e-25
203,5.197734e-25
204,-4.468895e-25
205,6.794815e-25
206,-5.1763537e-26
207,6.1750247e-25
208,3.6638945e-25
209,3.833974e-25
210,5.0686803e-25
211,8.889222e-26
212,4.873728e-25
213,-1.642619e-25
214,4.0128657e-25
215,-3.2205256e-25
216,3.1895725e-25
217,-3.7043878e-25
218,2.4385835e-25
219,-3.664033e-25
220,1.7857963e-25
221,-3.2909048e-25
222,1.3639972e-25
223,-2.6802129e-25
224,1.0511149e-25
225,-2.1619522e-25
226,8.19077e-26
227,-1.6865877e-25
228,6.5114243e-26
229,-1.2362782e-25
230,5.21606e-26
231,-9.342623e-26
232,4.1348545e-26
233,-7.43406e-26
234,3.1702804e-26
235,-5.866073e-26
236,2.387852e-26
237,-4.790748e-26
238,1.6310972e-26
239,-4.225054e-26
240,1.0124372e-26
241,-3.8917547e-26
242,5.933238e-27
243,-3.8876954e-26
244,3.0660292e-27
245,-4.1738054e-26
246,1.7540601e-27
247,-4.684429e-26
248,1.3414455e-27
249,-5.4202275e-26
250,1.4270114e-27
251,-6.27769e-26
252,2.7779673e-27
253,-7.2707e-26
254,4.588039e-27
255,-7.942608e-26
256,9.28145e-27
257,-7.9131876e-26
258,1.8823947e-26
259,-7.6752105e-26
