,0
0,0.0
1,3.775e-42
2,1.3595807e-36
3,3.0109206e-34
4,-6.4173434e-31
5,-2.1856847e-28
6,-1.18732664e-26
7,-3.010127e-25
8,-4.0889035e-24
9,-2.8765772e-23
10,-1.7191517e-22
11,-6.9485075e-22
12,-1.6831489e-21
13,-4.1208947e-21
14,-8.585623e-21
15,-1.30386695e-20
16,-1.8769126e-20
17,-2.892028e-20
18,-2.9203663e-20
19,-2.7447346e-20
20,-7.932937e-21
21,6.855755e-20
22,1.952201e-19
23,3.862569e-19
24,3.8154492e-19
25,7.077397e-19
26,8.682031e-19
27,1.2720412e-18
28,1.6715674e-18
29,2.4321573e-18
30,2.2041865e-18
31,3.350466e-18
32,3.6609293e-18
33,3.9405912e-18
34,4.641967e-18
35,5.832983e-18
36,5.3246294e-18
37,6.6188437e-18
38,7.13982e-18
39,6.840903e-18
40,8.126639e-18
41,8.72651e-18
42,7.160699e-18
43,8.189264e-18
44,8.384673e-18
45,6.1534524e-18
46,6.179127e-18
47,5.463384e-18
48,3.9983946e-18
49,3.4668554e-18
50,3.036362e-18
51,1.6907884e-18
52,1.8385959e-18
53,1.0598388e-18
54,9.258492e-19
55,6.252192e-19
56,6.288291e-19
57,7.0019876e-20
58,-1.0058024e-20
59,-3.222235e-19
60,-8.528906e-19
61,-1.0347345e-18
62,-1.4926873e-18
63,-2.0587973e-18
64,-2.8337146e-18
65,-3.615609e-18
66,-3.1609067e-18
67,-3.2240314e-18
68,-3.1403614e-18
69,-2.8870733e-18
70,-2.9281577e-18
71,-3.0561472e-18
72,-2.6123962e-18
73,-2.8421643e-18
74,-2.8374694e-18
75,-2.6766791e-18
76,-2.7685723e-18
77,-2.9708587e-18
78,-2.241585e-18
79,-2.178799e-18
80,-1.9416042e-18
81,-1.9279049e-18
82,-2.1418835e-18
83,-2.424849e-18
84,-2.3483846e-18
85,-2.8081376e-18
86,-3.154123e-18
87,-2.153118e-18
88,-1.7859928e-18
89,-1.4374182e-18
90,-1.4440067e-18
91,-1.6701357e-18
92,-1.9101397e-18
93,-1.3956671e-18
94,-1.3387496e-18
95,-1.1995797e-18
96,-1.0503932e-18
97,-9.985358e-19
98,-9.880358e-19
99,-6.20267e-19
100,-4.911197e-19
101,-3.1765157e-19
102,-3.095295e-19
103,-2.464206e-19
104,-2.644137e-19
105,-7.916977e-20
106,4.8348494e-20
107,2.0323196e-19
108,2.3262123e-19
109,4.1203676e-19
110,4.8190917e-19
111,5.080643e-19
112,6.0485277e-19
113,6.8439316e-19
114,5.7786734e-19
115,7.4837413e-19
116,7.8193027e-19
117,7.4921176e-19
118,8.451444e-19
119,9.314014e-19
120,7.072632e-19
121,8.158718e-19
122,7.5484605e-19
123,4.7798394e-19
124,3.788122e-19
125,2.9601082e-19
126,1.5728609e-19
127,1.6101081e-19
128,1.0914894e-19
129,-2.2524055e-20
130,-1.2550067e-19
131,-2.6912836e-19
132,-3.283268e-19
133,-4.1174833e-19
134,-4.9422377e-19
135,-3.1516639e-19
136,-2.0708641e-19
137,-1.0621542e-19
138,-2.0216041e-19
139,-2.7547262e-19
140,-3.4057823e-19
141,-2.596818e-19
142,-2.2843471e-19
143,-1.95763e-19
144,-2.8732832e-19
145,-3.8446096e-19
146,-4.63165e-19
147,-5.61901e-19
148,-7.0369087e-19
149,-7.9426234e-19
150,-7.7927486e-19
151,-9.264046e-19
152,-1.0469866e-18
153,-1.0504043e-18
154,-1.2336988e-18
155,-1.3573508e-18
156,-1.5718393e-18
157,-2.1398116e-18
158,-2.711187e-18
159,-2.8094393e-18
160,-3.594486e-18
161,-4.321445e-18
162,-3.833904e-18
163,-4.1110645e-18
164,-4.2041326e-18
165,-4.3231064e-18
166,-5.504569e-18
167,-6.521501e-18
168,-5.3631686e-18
