,0
0,14.372732
1,14.248795
2,14.116962
3,13.994024
4,13.865228
5,13.777648
6,13.696513
7,13.615066
8,13.536958
9,13.476374
10,13.415628
11,13.357112
12,13.314033
13,13.264671
14,13.215962
15,13.180134
16,13.135848
17,13.092061
18,13.061925
19,13.022452
20,12.983236
21,12.960194
22,12.926344
23,12.892989
24,12.875792
25,12.84608
26,12.81747
27,12.806497
28,12.781895
29,12.758261
30,12.75236
31,12.731748
32,12.71246
33,12.711696
34,12.696521
35,12.682026
36,12.683795
37,12.671497
38,12.660451
39,12.664023
40,12.65396
41,12.644455
42,12.653341
43,12.648712
44,12.643662
45,12.653173
46,12.650626
47,12.648564
48,12.658085
49,12.656935
50,12.655956
51,12.6684885
52,12.672247
53,12.674368
54,12.686332
55,12.691401
56,12.695142
57,12.708255
58,12.714914
59,12.718901
60,12.732569
61,12.742427
62,12.747725
63,12.756849
64,12.764198
65,12.767721
66,12.774993
67,12.782529
68,12.784771
69,12.795876
70,12.806692
71,12.810931
72,12.814405
73,12.82039
74,12.8200245
75,12.82089
76,12.8261795
77,12.824262
78,12.8284855
79,12.837873
80,12.83896
81,12.84365
82,12.849756
83,12.8478775
84,12.845046
85,12.847296
86,12.841286
87,12.837953
88,12.839794
89,12.832924
90,12.829073
91,12.829633
92,12.821876
93,12.815611
94,12.811795
95,12.800321
96,12.7913885
97,12.785223
98,12.77187
99,12.760214
100,12.749105
101,12.731577
102,12.716559
103,12.700672
104,12.678768
105,12.660441
106,12.641144
107,12.616325
108,12.599452
109,12.57666
110,12.550242
111,12.541815
112,12.519478
113,12.494554
114,12.484699
115,12.461488
116,12.432889
117,12.422889
118,12.402464
119,12.374836
120,12.378408
121,12.354687
122,12.336012
123,12.34176
124,12.319927
125,12.301277
126,12.306861
127,12.292423
128,12.273509
129,12.285172
130,12.268489
131,12.253847
132,12.26776
133,12.254796
134,12.2422285
135,12.258802
136,12.243407
137,12.232639
138,12.251484
139,12.242283
140,12.232964
141,12.244025
142,12.227731
143,12.215258
144,12.228701
145,12.211338
146,12.19957
147,12.217172
148,12.202228
149,12.192442
150,12.210421
151,12.193659
152,12.182145
153,12.200746
154,12.181817
155,12.171549
156,12.190154
157,12.171905
158,12.162657
159,12.184211
160,12.166248
161,12.157652
162,12.178915
163,12.160006
164,12.151268
165,12.168123
166,12.146247
167,12.136109
168,12.15717
169,12.137538
170,12.129228
171,12.153196
172,12.13397
173,12.125858
174,12.150315
175,12.130378
176,12.121917
177,12.1433735
178,12.121676
179,12.11214
180,12.135198
181,12.113621
182,12.104718
183,12.128429
184,12.106076
185,12.096759
186,12.120001
187,12.095736
188,12.084881
189,12.108013
190,12.083231
191,12.072634
192,12.091734
193,12.066864
194,12.055858
195,12.077206
196,12.051042
197,12.0396385
198,12.065228
199,12.038866
200,12.028561
201,12.044712
202,12.015678
203,12.002947
204,12.015901
205,11.986463
206,11.972703
207,11.996591
208,11.968319
209,11.956077
210,11.983911
211,11.958661
212,11.949483
213,11.97173
214,11.9448
215,11.934345
216,11.948648
217,11.914038
218,11.897354
219,11.915231
220,11.880495
221,11.864246
222,11.888675
223,11.85634
224,11.842463
225,11.861042
226,11.82544
227,11.808254
228,11.835893
229,11.80187
230,11.787328
231,11.806865
232,11.769729
233,11.753139
234,11.769651
235,11.727034
236,11.706359
237,11.734103
238,11.697656
239,11.682787
240,11.711664
241,11.675436
242,11.661925
243,11.681388
244,11.6422615
245,11.626294
246,11.664045
247,11.629236
248,11.617576
249,11.651502
250,11.61555
251,11.603833
252,11.628727
253,11.587656
254,11.571825
255,11.602849
256,11.562998
257,11.549135
258,11.576115
259,11.535974
260,11.521987
261,11.555255
262,11.51709
263,11.505461
264,11.540177
265,11.50437
266,11.494452
267,11.535452
268,11.501035
269,11.4929495
270,11.538235
271,11.504596
272,11.4983225
273,11.5436
274,11.511904
275,11.50755
276,11.542608
277,11.506915
278,11.499369
279,11.548632
280,11.51745
281,11.514159
282,11.56803
283,11.538931
284,11.538456
285,11.592798
286,11.566622
287,11.56838
288,11.61107
289,11.582415
290,11.582379
291,11.631216
292,11.607537
293,11.611368
294,11.672004
295,11.65661
296,11.666879
297,11.734335
298,11.724292
299,11.738039
300,11.804116
301,11.799077
302,11.816166
303,11.881846
304,11.876666
305,11.894436
306,11.944395
307,11.936017
308,11.948464
309,11.99964
310,11.992495
311,12.005582
312,12.05438
313,12.051554
314,12.062277
315,12.105476
316,12.097688
317,12.106633
318,12.149279
319,12.138997
320,12.148476
321,12.189597
322,12.18139
323,12.190388
324,12.226468
325,12.221681
326,12.22627
327,12.26838
328,12.258067
329,12.265248
330,12.30673
331,12.300516
332,12.308032
333,12.340276
334,12.330558
335,12.334338
336,12.363118
337,12.353684
338,12.356448
339,12.382019
340,12.365526
341,12.365308
342,12.384611
343,12.367609
344,12.3637495
345,12.388771
346,12.374889
347,12.371998
348,12.392549
349,12.375309
350,12.371497
351,12.3933325
352,12.378646
353,12.3748045
354,12.400094
355,12.387937
356,12.385499
357,12.409331
358,12.396359
359,12.392967
360,12.416765
361,12.404303
362,12.400649
363,12.426344
364,12.415215
365,12.412029
366,12.4363785
367,12.425082
368,12.421192
369,12.44443
370,12.433335
371,12.428821
372,12.451284
373,12.440504
374,12.435467
375,12.451432
376,12.437356
377,12.429911
378,12.451337
379,12.441504
380,12.437202
381,12.460005
382,12.452804
383,12.450811
384,12.470377
385,12.459558
386,12.453321
387,12.46973
388,12.457471
389,12.450623
390,12.46561
391,12.453465
392,12.445575
393,12.464601
394,12.454781
395,12.44821
396,12.465256
397,12.453769
398,12.44566
399,12.46459
400,12.454955
401,12.447983
402,12.466657
403,12.456708
404,12.449703
405,12.469544
406,12.4619875
407,12.455797
408,12.475359
409,12.4679365
410,12.4621525
411,12.47626
412,12.4662285
413,12.458172
414,12.474818
415,12.466624
416,12.459771
417,12.476661
418,12.468802
419,12.462743
420,12.483036
421,12.478753
422,12.4752245
423,12.503478
424,12.507222
425,12.510277
426,12.524588
427,12.520573
428,12.518148
429,12.53331
430,12.530093
431,12.527551
432,12.543301
433,12.542036
434,12.540674
435,12.56216
436,12.567669
437,12.571809
438,12.586166
439,12.588001
440,12.58965
441,12.6049595
442,12.608942
443,12.611434
444,12.6335745
445,12.644722
446,12.652588
447,12.666798
448,12.673191
449,12.677592
450,12.69095
451,12.699104
452,12.703253
453,12.714672
454,12.723181
455,12.72723
456,12.739071
457,12.7489395
458,12.753159
459,12.762085
460,12.770453
461,12.772667
462,12.779713
463,12.7872715
464,12.788055
465,12.795248
466,12.804456
467,12.805874
468,12.809642
469,12.816698
470,12.815948
471,12.8177
472,12.82373
473,12.821359
474,12.82225
475,12.8272085
476,12.823443
477,12.818482
478,12.819407
479,12.811998
480,12.808178
481,12.8090925
482,12.801217
483,12.79633
484,12.795508
485,12.785982
486,12.781943
487,12.780624
488,12.771003
489,12.759773
490,12.749178
491,12.732044
492,12.717442
493,12.701853
494,12.6801195
495,12.662638
496,12.642055
497,12.616426
498,12.5982685
499,12.573123
500,12.544402
501,12.528565
502,12.502804
503,12.47326
504,12.455908
505,12.4307375
506,12.3993845
507,12.391451
508,12.36272
509,12.336546
510,12.3427925
511,12.32318
512,12.306542
513,12.313439
514,12.301321
515,12.283493
516,12.295602
517,12.284301
518,12.270518
519,12.277756
520,12.264548
521,12.247338
522,12.258496
523,12.240306
524,12.22658
525,12.2372875
526,12.222403
527,12.207594
528,12.220712
529,12.204069
530,12.191646
531,12.220894
532,12.214133
533,12.211671
534,12.234889
535,12.222506
536,12.217146
537,12.235211
538,12.222639
539,12.212454
540,12.230962
541,12.216367
542,12.206309
543,12.218857
544,12.198361
545,12.187477
546,12.2054
547,12.187939
548,12.17923
549,12.198455
550,12.181939
551,12.173344
552,12.192226
553,12.1741295
554,12.165287
555,12.186543
556,12.167568
557,12.158411
558,12.18457
559,12.170005
560,12.16488
561,12.185851
562,12.167015
563,12.158191
564,12.177089
565,12.15727
566,12.147813
567,12.167102
568,12.14574
569,12.135616
570,12.158885
571,12.137846
572,12.128023
573,12.151497
574,12.128667
575,12.118021
576,12.144024
577,12.123255
578,12.114961
579,12.132349
580,12.106223
581,12.094252
582,12.11478
583,12.091651
584,12.0824175
585,12.100749
586,12.074199
587,12.062905
588,12.081313
589,12.056955
590,12.045415
591,12.071313
592,12.046755
593,12.036954
594,12.050424
595,12.023199
596,12.010584
597,12.046558
598,12.026581
599,12.022049
600,12.042741
601,12.019596
602,12.010347
603,12.034457
604,12.004805
605,11.992079
606,12.011801
607,11.979446
608,11.964151
609,11.978966
610,11.945187
611,11.928962
612,11.957988
613,11.928554
614,11.916862
615,11.944636
616,11.913168
617,11.900467
618,11.923473
619,11.890124
620,11.874807
621,11.897026
622,11.859527
623,11.841765
624,11.867424
625,11.830028
626,11.813466
627,11.838454
628,11.802597
629,11.787464
630,11.80309
631,11.762722
632,11.743734
633,11.779575
634,11.741945
635,11.726372
636,11.757503
637,11.719416
638,11.704227
639,11.727775
640,11.684633
641,11.6659155
642,11.692903
643,11.650032
644,11.632905
645,11.656085
646,11.613728
647,11.597847
648,11.644566
649,11.613343
650,11.605659
651,11.640117
652,11.603035
653,11.59139
654,11.636083
655,11.598043
656,11.588089
657,11.605122
658,11.563908
659,11.550569
660,11.594359
661,11.560123
662,11.551349
663,11.5938225
664,11.5592165
665,11.552158
666,11.595394
667,11.560733
668,11.553615
669,11.611823
670,11.580504
671,11.579431
672,11.622099
673,11.591287
674,11.588077
675,11.635182
676,11.605274
677,11.603236
678,11.668748
679,11.644364
680,11.649527
681,11.681824
682,11.653751
683,11.653318
684,11.722619
685,11.703009
686,11.711107
687,11.769565
688,11.750766
689,11.759845
690,11.818406
691,11.804335
692,11.815756
693,11.873363
694,11.867286
695,11.880893
696,11.94348
697,11.939509
698,11.954429
699,12.0238695
700,12.02133
701,12.041842
702,12.077324
703,12.074067
