,0
0,2.6176717
1,2.2050288
2,1.8469626
3,1.538207
4,1.2909241
5,1.0517744
6,0.9218359
7,0.83997446
8,0.77402616
9,0.70430374
10,0.681796
11,0.6558151
12,0.6385083
13,0.6320312
14,0.61758745
15,0.62478244
16,0.6227815
17,0.61198044
18,0.6208882
19,0.6212759
20,0.6124027
21,0.58812517
22,0.5903408
23,0.5828341
24,0.5844348
25,0.58783555
26,0.58124775
27,0.5606126
28,0.56551206
29,0.5598899
30,0.5598205
31,0.5644331
32,0.55875415
33,0.54309887
34,0.54846716
35,0.54322517
36,0.5528031
37,0.5579377
38,0.5526334
39,0.5665311
40,0.5715108
41,0.5661983
42,0.53588915
43,0.5424597
44,0.53793955
45,0.5456874
46,0.5518867
47,0.5469884
48,0.56859267
49,0.57365704
50,0.56828105
51,0.53916293
52,0.545536
53,0.5406957
54,0.5481261
55,0.55423325
56,0.54915655
57,0.56348073
58,0.5692098
59,0.5639741
60,0.53445137
61,0.54249823
62,0.5380846
63,0.5489938
64,0.5542633
65,0.54854536
66,0.5728823
67,0.5787842
68,0.57308125
69,0.51914495
70,0.52663213
71,0.521543
72,0.5566424
73,0.5627271
74,0.5571985
75,0.5644809
76,0.571168
77,0.56556064
78,0.5415325
79,0.54935634
80,0.54384375
81,0.542428
82,0.54945534
83,0.54413503
84,0.5711255
85,0.57820076
86,0.5727137
87,0.5551035
88,0.5627485
89,0.5575811
90,0.5484079
91,0.55550367
92,0.54988194
93,0.5666053
94,0.573503
95,0.5678719
96,0.57008445
97,0.57653624
98,0.57046664
99,0.5841911
100,0.5904913
101,0.58448416
102,0.5824792
103,0.5886728
104,0.5825066
105,0.597052
106,0.6032419
107,0.5966702
108,0.58481836
109,0.5894271
110,0.58257914
111,0.5822848
112,0.58728766
113,0.5814116
114,0.5733116
115,0.5792979
116,0.5741326
117,0.57468486
118,0.5803325
119,0.57484305
120,0.5583296
121,0.5637639
122,0.5583451
123,0.5924318
124,0.5984058
125,0.59376353
126,0.57169753
127,0.5781323
128,0.5739092
129,0.56542796
130,0.57189804
131,0.5676135
132,0.5567047
133,0.56335634
134,0.55927134
135,0.56302875
136,0.5693373
137,0.5646793
138,0.5387384
139,0.5459987
140,0.54210943
141,0.5652801
142,0.57170904
143,0.56732184
144,0.57160634
145,0.57776254
146,0.5730599
147,0.58849835
148,0.5945034
149,0.5895925
150,0.58422905
151,0.59101117
152,0.586611
153,0.57505274
154,0.581805
155,0.577175
156,0.57446253
157,0.5808277
158,0.57598114
159,0.5768537
160,0.5834
161,0.5785703
162,0.5711647
163,0.5779253
164,0.5732167
165,0.6020719
166,0.60740864
167,0.60174567
168,0.58612335
169,0.59226847
170,0.58704853
171,0.55699664
172,0.56408364
173,0.55939734
174,0.5425077
175,0.54977995
176,0.5451827
177,0.55200213
178,0.5588004
179,0.5540052
180,0.5486858
181,0.5555589
182,0.55081713
183,0.5387877
184,0.545875
185,0.5412791
186,0.5324802
187,0.5398224
188,0.53532314
189,0.52872
190,0.5358579
191,0.53128415
192,0.59923315
193,0.60508895
194,0.59990126
195,0.5929074
196,0.59856284
197,0.5929469
198,0.5510423
199,0.5579218
200,0.5529641
201,0.5530776
202,0.55870557
203,0.55319726
204,0.6180277
205,0.62292486
206,0.6173114
207,0.58039737
208,0.587052
209,0.5821598
210,0.5202773
211,0.5272373
212,0.5224004
213,0.52011704
214,0.52647793
215,0.5214735
216,0.56891537
217,0.57467973
218,0.5693513
219,0.5474467
220,0.5533763
221,0.54786915
222,0.5247477
223,0.531585
224,0.52666485
225,0.5462953
226,0.5528008
227,0.54789037
228,0.5193574
229,0.5265575
230,0.52167636
231,0.52580106
232,0.53160924
233,0.5258961
234,0.5867746
235,0.59228504
236,0.5861629
237,0.53302884
238,0.5395472
239,0.533893
240,0.51816225
241,0.5246066
242,0.5186819
243,0.5341823
244,0.5396295
245,0.53353167
246,0.5072755
247,0.51539755
248,0.51043916
249,0.5040414
250,0.511428
251,0.5060348
252,0.5486046
253,0.5547971
254,0.54873234
255,0.5503753
256,0.5569291
257,0.55071515
258,0.5608514
259,0.56669617
260,0.5600719
261,0.55992615
262,0.5665466
263,0.55998373
264,0.5509666
265,0.55814326
266,0.5522738
267,0.54012
268,0.54801714
269,0.54234356
270,0.5391344
271,0.5473183
272,0.5416249
273,0.5433603
274,0.5513417
275,0.54560125
276,0.58851475
277,0.59494096
278,0.58838403
279,0.5580545
280,0.56622297
281,0.56040037
282,0.55754757
283,0.5660131
284,0.5603238
285,0.54912305
286,0.5574256
287,0.55185276
288,0.59520304
289,0.6009065
290,0.5938442
291,0.59761333
292,0.60370773
293,0.5968293
294,0.56333643
295,0.5704782
296,0.5642495
297,0.5640478
298,0.5719388
299,0.56620246
300,0.5559937
301,0.5621755
302,0.55546474
303,0.5571252
304,0.5625092
305,0.5552067
306,0.60046226
307,0.60456324
308,0.5971618
309,0.59295034
310,0.5978778
311,0.59135365
312,0.5735772
313,0.5808271
314,0.57650137
315,0.60385096
316,0.6096137
317,0.60426265
318,0.5835215
319,0.5895253
320,0.5840463
321,0.5481268
322,0.5553355
323,0.55079913
324,0.58454275
325,0.59279746
326,0.589287
327,0.5874083
328,0.59516925
329,0.59099823
330,0.5653342
331,0.57291704
332,0.56853145
333,0.55460346
334,0.5615485
335,0.5567532
336,0.5505484
337,0.5569197
338,0.55176014
339,0.58233225
340,0.5884272
341,0.5833534
342,0.5884789
343,0.5944825
344,0.5892144
345,0.5698553
346,0.5773201
347,0.57290035
348,0.6015105
349,0.6077337
350,0.6027068
351,0.59049135
352,0.59736025
353,0.5925393
354,0.58440256
355,0.59163934
356,0.58690256
357,0.58300716
358,0.59012854
359,0.5853869
360,0.6069295
361,0.6138629
362,0.60889596
363,0.6053728
364,0.61279
365,0.6081089
366,0.5925689
367,0.59996444
368,0.5953253
369,0.59023356
370,0.59769243
371,0.5930339
372,0.55550265
373,0.5629775
374,0.5584969
375,0.55759513
376,0.56417304
377,0.5592501
378,0.5349344
379,0.54230106
380,0.53778136
381,0.5492197
382,0.5560153
383,0.55123883
384,0.5443475
385,0.5514937
386,0.547217
387,0.53665113
388,0.54310054
389,0.53820306
390,0.57695925
391,0.5833074
392,0.57850087
393,0.55944467
394,0.56604284
395,0.5614318
396,0.54758894
397,0.55451626
398,0.5500254
399,0.5518789
400,0.55834246
401,0.5534759
402,0.5848137
403,0.59088695
404,0.585784
405,0.557356
406,0.56386584
407,0.5590837
408,0.5562119
409,0.56272
410,0.557816
411,0.5947973
412,0.60057783
413,0.5954454
414,0.59019643
415,0.5966258
416,0.5917673
417,0.594655
418,0.60102737
419,0.5961481
420,0.57938445
421,0.5860976
422,0.58138865
423,0.533684
424,0.5410103
425,0.5366947
426,0.56210923
427,0.567695
428,0.5624138
429,0.5815612
430,0.5873586
431,0.5822233
432,0.5748842
433,0.5808947
434,0.575742
435,0.5332697
436,0.54029554
437,0.5357963
438,0.57812774
439,0.58397895
440,0.57878375
441,0.58390987
442,0.5902027
443,0.5850928
444,0.52863467
445,0.5362377
446,0.5317606
447,0.5589222
448,0.5647599
449,0.5595539
450,0.5630509
451,0.5689325
452,0.56345934
453,0.568949
454,0.5751121
455,0.5695873
456,0.55145353
457,0.55837965
458,0.5532475
459,0.5610386
460,0.5673416
461,0.561769
462,0.565838
463,0.57227963
464,0.56668985
465,0.5391527
466,0.54658335
467,0.5414747
468,0.55421025
469,0.5609211
470,0.5553731
471,0.5595757
472,0.56673765
473,0.5612377
474,0.54956955
475,0.5572489
476,0.55205095
477,0.5847473
478,0.59124064
479,0.58525884
480,0.5637528
481,0.5715521
482,0.5662626
483,0.5644697
484,0.57201284
485,0.5666144
486,0.54106677
487,0.54834515
488,0.5425334
489,0.5692104
490,0.57526934
491,0.5693036
492,0.58074003
493,0.5864037
494,0.5799903
495,0.5888394
496,0.59408903
497,0.5874535
498,0.58894044
499,0.59397846
500,0.58746284
501,0.5725495
502,0.5779266
503,0.5719491
504,0.589368
505,0.594582
506,0.58846384
507,0.60225564
508,0.60739625
509,0.6014884
510,0.57073104
511,0.5763699
512,0.57139724
513,0.5766934
514,0.5833575
515,0.5792601
516,0.55568457
517,0.5618316
518,0.5573188
519,0.58387035
520,0.5904574
521,0.5860661
522,0.5948824
523,0.6008232
524,0.59588885
525,0.6047928
526,0.6112756
527,0.60661554
528,0.59446234
529,0.6008549
530,0.5960922
531,0.54735386
532,0.5549548
533,0.5510751
534,0.59981173
535,0.60572255
536,0.6004957
537,0.5947745
538,0.60164815
539,0.59731054
540,0.5616341
541,0.5690045
542,0.5648808
543,0.58834076
544,0.59403056
545,0.58877337
546,0.5780051
547,0.58412284
548,0.5790665
549,0.5653336
550,0.571726
551,0.56678617
552,0.57337093
553,0.57954156
554,0.5743741
555,0.55843234
556,0.5650252
557,0.5599649
558,0.55456126
559,0.5610955
560,0.5560885
561,0.55648
562,0.56334114
563,0.55857694
564,0.5617312
565,0.5684519
566,0.5636938
567,0.5663536
568,0.573226
569,0.56848145
570,0.5287431
571,0.53650516
572,0.53222203
573,0.52814114
574,0.53559685
575,0.53102624
576,0.52198386
577,0.52927554
578,0.5247056
579,0.5478567
580,0.55388796
581,0.54863006
582,0.54804313
583,0.5539215
584,0.5485085
585,0.5676096
586,0.573393
587,0.5679507
588,0.6117883
589,0.6175015
590,0.6120753
591,0.56622577
592,0.5733994
593,0.5686909
594,0.63610995
595,0.64130914
596,0.6358325
597,0.5312229
598,0.5391658
599,0.53495085
600,0.52502686
601,0.5313822
602,0.5264488
603,0.52816796
604,0.53570336
605,0.5312817
606,0.528576
607,0.5354618
608,0.53060764
609,0.5438323
610,0.5490022
611,0.5430301
612,0.5235632
613,0.530666
614,0.52579546
615,0.53461224
616,0.54161566
617,0.5366161
618,0.5126201
619,0.51961946
620,0.5147249
621,0.52282107
622,0.5297288
623,0.5246846
624,0.52731305
625,0.53393435
626,0.5285086
627,0.5196293
628,0.52570343
629,0.51992613
630,0.58956194
631,0.5948334
632,0.58892214
633,0.53744864
634,0.5449827
635,0.5395315
636,0.51315224
637,0.52053535
638,0.5151844
639,0.5447155
640,0.5511168
641,0.545082
642,0.53819054
643,0.544603
644,0.53839034
645,0.7094819
646,0.7143684
647,0.70744544
648,0.5346117
649,0.5421614
650,0.5362909
651,0.55684555
652,0.5642511
653,0.55867255
654,0.5490887
655,0.5575453
656,0.5518413
657,0.62532246
658,0.62933356
659,0.6221521
660,0.5610112
661,0.5689545
662,0.5631267
663,0.5628891
664,0.57050544
665,0.56466466
666,0.5541468
667,0.5619362
668,0.55597156
669,0.54899585
670,0.5582832
671,0.5527425
672,0.5749544
673,0.5821551
674,0.57637507
675,0.5786565
676,0.58588344
677,0.57980025
678,0.5545005
679,0.56327033
680,0.5574113
681,0.6590856
682,0.6631066
683,0.6557464
684,0.5798491
685,0.58806556
686,0.581677
687,0.5743774
688,0.58059955
689,0.57356393
690,0.57409817
691,0.57972974
692,0.57252204
693,0.59191114
694,0.5980954
695,0.5922614
696,0.5831848
697,0.5891043
698,0.582878
699,0.5819516
700,0.5875108
701,0.58080685
702,0.6125438
703,0.6173779
704,0.61182153
705,0.5966281
706,0.6023989
707,0.59688485
708,0.61721754
709,0.62272453
710,0.61702555
711,0.6029698
712,0.60884583
713,0.6034992
714,0.58639467
715,0.59507513
716,0.5916047
717,0.60388726
718,0.61214125
719,0.60838956
720,0.6183247
721,0.62394637
722,0.61854935
723,0.6265793
724,0.633377
725,0.6286678
726,0.6240923
727,0.6302641
728,0.6252023
729,0.6261581
730,0.6333643
731,0.62893337
732,0.6034557
733,0.6103668
734,0.60571456
735,0.6096403
736,0.6155771
737,0.6102
738,0.57168853
739,0.5791605
740,0.57487065
741,0.6265618
742,0.6324588
743,0.6271164
744,0.55431026
745,0.56236386
746,0.5583234
747,0.6201029
748,0.6263739
749,0.621575
750,0.5863948
751,0.5934767
752,0.5886294
753,0.6014047
754,0.6074941
755,0.602106
756,0.5467701
757,0.5542104
758,0.54987514
759,0.5772836
760,0.58341
761,0.5780912
762,0.57740146
763,0.584405
764,0.5796034
765,0.5682676
766,0.57511234
767,0.5703811
768,0.54298407
769,0.5504439
770,0.54617846
771,0.56750005
772,0.57470626
773,0.5701625
774,0.55260646
775,0.5591746
776,0.5545924
777,0.55559015
778,0.56204575
779,0.5572274
780,0.53588665
781,0.5423957
782,0.53764
783,0.54229176
784,0.5493412
785,0.54496336
786,0.56493914
787,0.57106006
788,0.566214
789,0.5407773
790,0.5477955
791,0.5433173
792,0.5429764
793,0.54993683
794,0.5454868
795,0.55996597
796,0.5659126
797,0.56098807
798,0.57481885
799,0.58073914
800,0.5758434
801,0.5564388
802,0.5628847
803,0.5582362
804,0.5624578
805,0.5688633
806,0.5642106
807,0.5453412
808,0.5526052
809,0.5483993
810,0.54993963
811,0.55635387
812,0.5516836
813,0.5375641
814,0.5443504
815,0.5398214
816,0.54993224
817,0.5560869
818,0.55125296
819,0.5655189
820,0.57131696
821,0.56634575
822,0.53673387
823,0.54395163
824,0.5396747
825,0.547968
826,0.554633
827,0.5498919
828,0.57147735
829,0.576924
830,0.5716579
831,0.54275286
832,0.5493909
833,0.5446411
834,0.5522446
835,0.55854535
836,0.55354214
837,0.56786966
838,0.5737715
839,0.5686194
840,0.53886914
841,0.54697937
842,0.54267764
843,0.55372155
844,0.5590532
845,0.5533822
846,0.5778278
847,0.5837419
848,0.5781236
849,0.5236954
850,0.53109825
851,0.52606624
852,0.5609968
853,0.5670365
854,0.5615703
855,0.56865823
856,0.5752645
857,0.56973636
858,0.5452844
859,0.5529741
860,0.54753965
861,0.54568076
862,0.5526059
863,0.54733706
864,0.5739324
865,0.5809013
866,0.5754956
867,0.55730516
868,0.56482315
869,0.5597392
870,0.55013067
871,0.55708474
872,0.55153817
873,0.5677941
874,0.5745553
875,0.56899405
876,0.57068944
877,0.5769765
878,0.57097936
879,0.584147
880,0.59029746
881,0.584384
882,0.5817487
883,0.58782625
884,0.58181906
885,0.59580386
886,0.6019746
887,0.5956832
888,0.5837063
889,0.588432
890,0.5818851
891,0.5815485
892,0.58671105
893,0.5810983
894,0.5728673
895,0.5790173
896,0.57410926
897,0.57466954
898,0.58047545
899,0.5752049
900,0.5587566
901,0.56431776
902,0.55899936
903,0.5932295
904,0.59928155
905,0.59469944
906,0.5726135
907,0.579079
908,0.57488906
909,0.5664077
910,0.57289004
911,0.56860745
912,0.5576753
913,0.56431735
914,0.5602241
915,0.56397384
916,0.5702612
917,0.5655851
918,0.5395676
919,0.5468153
920,0.5429155
921,0.5660688
922,0.5724901
923,0.5680936
924,0.5723703
925,0.57851136
926,0.5737947
927,0.5892549
928,0.59523916
929,0.5903095
930,0.5849224
931,0.5916901
932,0.58727664
933,0.5757092
934,0.5824476
935,0.57780355
936,0.5750701
937,0.5814199
938,0.5765596
939,0.5774201
940,0.5839513
941,0.5791086
942,0.57169574
943,0.5784416
944,0.57371986
945,0.6025931
946,0.60791695
947,0.60224116
948,0.5866034
949,0.59273463
950,0.5875022
951,0.5574267
952,0.5645007
953,0.55980307
954,0.54289436
955,0.55015534
956,0.5455488
957,0.5523583
958,0.5591476
959,0.5543444
960,0.5490121
961,0.5558769
962,0.55112773
963,0.5390843
964,0.5461631
965,0.54156035
966,0.5327534
967,0.54008806
968,0.5355827
969,0.528972
970,0.53610265
971,0.5315235
972,0.59948325
973,0.6053324
974,0.6001391
975,0.5931461
976,0.59879494
977,0.59317344
978,0.5512526
979,0.5581258
980,0.5531633
981,0.55327725
982,0.55889916
983,0.55338585
984,0.61821574
985,0.62310815
986,0.61749053
987,0.58056784
988,0.58721745
989,0.5823217
990,0.5204282
991,0.52738285
992,0.52254206
993,0.52025515
994,0.5266121
995,0.5216043
996,0.5690481
997,0.57480985
998,0.5694788
999,0.5475723
1000,0.5534983
1001,0.5479883
1002,0.5248594
1003,0.53169376
1004,0.52677107
1005,0.5464009
1006,0.552904
1007,0.5479917
1008,0.51945215
1009,0.5266496
1010,0.5217664
1011,0.52589077
1012,0.5316967
1013,0.52598155
1014,0.58686286
1015,0.5923718
1016,0.5862481
1017,0.5331094
1018,0.53962505
1019,0.53396887
1020,0.51823616
1021,0.5246782
1022,0.5187518
1023,0.5342517
1024,0.53969747
1025,0.53359807
1026,0.50733656
1027,0.5154569
1028,0.51049715
1029,0.50409764
1030,0.5114827
1031,0.5060884
1032,0.5486589
1033,0.5548506
1034,0.54878503
1035,0.55042696
1036,0.55697966
1037,0.5507646
1038,0.5609013
1039,0.5667447
1040,0.56011915
1041,0.55997247
1042,0.5665914
1043,0.5600275
1044,0.5510084
1045,0.5581837
1046,0.55231357
1047,0.54015744
1048,0.54805374
1049,0.5423791
1050,0.539168
1051,0.54735106
1052,0.54165715
1053,0.54339117
1054,0.5513716
1055,0.54563046
1056,0.58854485
1057,0.5949702
1058,0.58841276
1059,0.5580806
1060,0.56624824
1061,0.56042486
1062,0.55757046
1063,0.5660351
1064,0.56034553
1065,0.5491432
1066,0.55744535
1067,0.55187225
1068,0.59522283
1069,0.6009257
1070,0.59386307
1071,0.59763116
1072,0.6037247
1073,0.5968461
1074,0.563351
1075,0.5704922
1076,0.56426287
1077,0.5640595
1078,0.57194996
1079,0.5662138
1080,0.5560036
1081,0.56218493
1082,0.5554743
1083,0.55713403
1084,0.56251776
1085,0.5552153
1086,0.60047185
1087,0.604573
1088,0.5971719
1089,0.59296006
1090,0.5978875
1091,0.59136367
1092,0.57358634
1093,0.58083606
1094,0.57651055
1095,0.60386044
1096,0.60962284
1097,0.6042719
1098,0.5835303
1099,0.5895339
1100,0.5840549
1101,0.54813445
1102,0.55534303
1103,0.5508066
1104,0.5845499
1105,0.5928043
1106,0.58929396
1107,0.587415
1108,0.59517586
1109,0.5910048
1110,0.56534004
1111,0.5729228
1112,0.56853706
1113,0.55460894
1114,0.56155384
1115,0.5567585
1116,0.5505534
1117,0.5569247
1118,0.55176514
1119,0.5823373
1120,0.5884321
1121,0.5833581
1122,0.5884839
1123,0.59448725
1124,0.5892193
1125,0.56985986
1126,0.5773245
1127,0.57290465
1128,0.6015147
1129,0.6077379
1130,0.6027109
1131,0.5904953
1132,0.597364
1133,0.59254295
1134,0.5844062
1135,0.59164274
1136,0.5869061
1137,0.5830102
1138,0.59013176
1139,0.58539
1140,0.60693246
1141,0.61386573
1142,0.60889894
1143,0.60537547
1144,0.61279273
1145,0.60811144
1146,0.5925714
1147,0.59996694
1148,0.59532773
1149,0.59023577
1150,0.5976946
1151,0.5930362
1152,0.5555048
1153,0.56297964
1154,0.55849886
1155,0.55759716
1156,0.5641749
1157,0.55925196
1158,0.53493613
1159,0.5423027
1160,0.53778315
1161,0.5492214
1162,0.5560169
1163,0.5512404
1164,0.54434896
1165,0.551495
1166,0.54721844
1167,0.5366525
1168,0.5431017
1169,0.53820455
1170,0.57696074
1171,0.5833087
1172,0.5785022
1173,0.5594459
1174,0.5660441
1175,0.5614331
1176,0.5475901
1177,0.55451745
1178,0.5500263
1179,0.55187994
1180,0.5583434
1181,0.553477
1182,0.5848148
1183,0.59088796
1184,0.5857851
1185,0.557357
1186,0.56386673
1187,0.55908465
1188,0.5562128
1189,0.5627209
1190,0.5578169
1191,0.59479797
1192,0.60057867
1193,0.59544617
1194,0.59019715
1195,0.5966265
1196,0.5917681
1197,0.59465575
1198,0.601028
1199,0.59614885
1200,0.5793851
1201,0.58609825
1202,0.58138937
1203,0.53368473
1204,0.5410108
1205,0.5366953
1206,0.56210977
1207,0.5676956
1208,0.56241435
1209,0.5815617
1210,0.5873592
1211,0.58222383
1212,0.5748847
1213,0.58089525
1214,0.5757425
1215,0.53327006
1216,0.540296
1217,0.53579664
1218,0.57812816
1219,0.58397937
1220,0.5787842
1221,0.5839102
1222,0.5902031
1223,0.5850932
1224,0.52863497
1225,0.5362381
1226,0.53176093
1227,0.55892235
1228,0.5647602
1229,0.55955434
1230,0.5630514
1231,0.56893283
1232,0.5634597
1233,0.56894934
1234,0.5751123
1235,0.5695876
1236,0.5514537
1237,0.5583799
1238,0.55324775
1239,0.56103885
1240,0.5673418
1241,0.56176937
