,0
0,17.832857
1,13.411678
2,9.735806
3,9.844241
4,5.305189
5,4.868942
6,5.5205917
7,4.318207
8,3.207201
9,1.7105385
10,1.7623127
11,1.775476
12,2.5025187
13,2.5027194
14,2.6487048
15,2.6777568
16,2.300763
17,2.3032749
18,2.7564116
19,2.7190728
20,2.7407668
21,2.2204747
22,2.1895757
23,2.2029448
24,3.4633162
25,3.4107451
26,3.4215462
27,2.2129364
28,1.8196718
29,1.8605742
30,3.4864378
31,3.5621727
32,3.3485138
33,2.6030006
34,2.6633267
35,2.7968445
36,1.4892458
37,1.4467883
38,1.5571887
39,4.477697
40,4.1803493
41,4.218002
42,2.2461216
43,2.1078827
44,2.0543034
45,2.1389406
46,2.0983486
47,2.1220942
48,2.65409
49,2.5777035
50,2.4905043
51,3.7235162
52,3.3855157
53,3.2589526
54,3.2702672
55,2.9200077
56,2.846998
57,1.3717241
58,1.3972955
59,1.3650556
60,3.6727266
61,3.7021255
62,3.345474
63,2.3741927
64,2.3967714
65,2.3493004
66,1.5973407
67,1.5008476
68,1.5352275
69,2.8452945
70,2.8027408
71,2.7650676
72,2.8219342
73,2.7860188
74,2.9868917
75,3.382937
76,3.1328847
77,2.8421905
78,1.7173488
79,1.5347654
80,1.6914577
81,4.5362015
82,4.3723364
83,3.9817505
84,3.2703347
85,2.9832497
86,2.8736274
87,1.4242383
88,1.4475602
89,1.3991238
90,3.8932388
91,3.6936011
92,3.6233037
93,2.2755115
94,2.3371043
95,2.2431116
96,2.9905677
97,2.8416996
98,3.0872998
99,4.1845284
100,3.9710722
101,3.4701622
102,2.5002227
103,2.3540566
104,2.5072286
105,3.0290608
106,3.011765
107,2.7538016
108,2.564356
109,2.3657506
110,2.4707866
111,2.831199
112,3.08399
113,2.6009765
114,3.2409348
115,3.6366954
116,3.9346979
117,2.9869244
118,2.7456691
119,2.610853
120,2.5360737
121,2.2116532
122,2.2124782
123,2.7327397
124,2.6940463
125,2.623398
126,2.5835829
127,2.7018237
128,3.004241
129,2.6171155
130,2.8942468
131,2.8795228
132,2.3010278
133,2.0800562
134,2.0214062
135,1.4696982
136,1.5180174
137,1.503963
138,3.353391
139,3.318265
140,3.2366488
141,3.1380253
142,3.1943076
143,2.7486877
144,1.1179581
145,0.99092317
146,0.9636738
147,2.4844391
148,2.4943914
149,2.4527223
150,3.7386765
151,3.585361
152,3.3899853
153,1.4440196
154,1.3338443
155,1.3103687
156,1.7907007
157,1.9449322
158,2.013482
159,3.2138844
160,3.3346438
161,3.0957143
162,2.8805487
163,2.699442
164,2.3654902
165,2.4300222
166,2.3065379
167,2.1972241
168,2.1006484
169,2.047034
170,2.0028856
171,1.5148418
172,1.4929276
173,1.5237689
174,2.7953565
175,3.0406203
176,3.3410697
177,2.8795905
178,2.6342554
179,2.3186078
180,1.2840134
181,1.0384799
182,0.9531547
183,2.230842
184,2.1642263
185,2.081543
186,1.7428149
187,1.7612606
188,1.8386168
189,2.027361
190,2.1635747
191,2.2547846
192,2.2693074
193,2.2846963
194,2.2722697
195,1.9907118
196,2.0033197
197,1.919089
198,1.7570671
199,1.506391
200,1.4783372
201,1.4583511
202,1.632654
203,1.7784882
204,4.004926
205,3.9283996
206,3.5244517
207,2.4066856
208,2.2369912
209,1.9845729
210,1.3924702
211,1.3327566
212,1.3918368
213,1.6194942
214,1.730274
215,1.732612
216,1.6676061
217,1.8527154
218,2.2114599
219,2.5012748
220,2.3645284
221,2.1186364
222,4.6035028
223,4.0595236
224,3.6503341
225,1.9326609
226,1.7494746
227,1.6028483
