,0
0,1.439147e-32
1,2.5297116e-26
2,-1.4254639e-24
3,1.9986586e-23
4,-7.9971134e-22
5,8.941861e-22
6,-7.0464373e-22
7,-2.8424923e-22
8,2.9720519e-21
9,-3.0588422e-21
10,1.5089044e-23
11,-5.2510645e-21
12,-2.12978e-21
13,-1.724878e-20
14,2.3506011e-21
15,7.756226e-22
16,2.3494302e-21
17,1.5658851e-21
18,-2.3256288e-21
19,-1.48998e-21
20,-1.2416553e-20
21,-4.569e-22
22,-4.8848436e-21
23,-2.6851974e-20
24,-6.4614277e-21
25,6.86058e-21
26,-4.491208e-21
27,3.362894e-20
28,-2.8475683e-20
29,1.8508806e-19
30,-1.1230046e-20
31,1.724157e-19
32,-9.077238e-21
33,-1.8388465e-19
34,-7.489506e-21
35,6.952866e-19
36,1.05163365e-20
37,5.018929e-19
38,-2.7058431e-22
39,5.219796e-20
40,-1.2502159e-20
41,3.0723533e-20
42,-1.9116761e-20
43,-7.304434e-21
44,7.793173e-21
45,-4.484392e-20
46,-6.096017e-22
47,-1.4607043e-19
48,-4.601261e-22
49,-4.170113e-20
50,7.840774e-21
51,-8.621154e-22
52,2.0808051e-20
53,1.6460191e-20
54,1.9893574e-20
55,-2.3868692e-21
56,6.3997457e-21
57,-2.046866e-20
58,-7.536617e-21
59,6.0165103e-21
60,-1.7613045e-20
61,-5.265054e-20
62,-1.4970321e-20
63,1.7065578e-20
64,8.792924e-20
65,-3.8700886e-20
66,-6.787642e-21
67,-7.285493e-20
68,-3.138709e-20
69,-7.5494054e-20
70,-1.1830838e-20
71,1.8882084e-20
72,8.8128184e-20
73,8.5933086e-20
74,6.1676887e-19
75,2.8434388e-19
76,2.0099497e-20
77,-6.860296e-20
78,-9.670637e-22
79,-7.2181583e-20
80,-1.156638e-20
81,1.7763863e-19
82,-2.1240968e-19
83,-9.732803e-20
84,1.5806716e-19
85,4.9340196e-20
86,-1.0427528e-21
87,5.4195627e-20
88,2.8603705e-20
89,-8.7356263e-20
90,4.7991607e-20
91,9.082892e-20
92,-2.771656e-20
93,6.487016e-20
94,1.785707e-20
95,2.3987607e-19
96,3.9703267e-20
97,-1.8391102e-20
98,-5.1843403e-20
99,1.5192538e-21
100,1.2011829e-20
101,7.424819e-21
102,-1.0724094e-20
103,-3.1250478e-21
104,-3.6679185e-20
105,-9.427113e-22
106,-2.920336e-22
107,-1.4427628e-20
108,-4.499331e-22
109,3.599617e-21
110,-4.181901e-21
111,-2.8529377e-21
112,2.1220755e-21
113,-4.780876e-21
114,1.4257928e-21
115,-5.507377e-22
116,5.6712253e-22
117,-7.8682577e-22
118,7.5297866e-22
119,-1.1310603e-20
120,-1.4727145e-21
121,-4.465406e-21
122,7.650744e-21
123,-6.4498346e-21
124,4.780588e-21
