,0
0,14.489895
1,14.488415
2,14.486934
3,14.485453
4,14.483971
5,14.482487
6,14.481007
7,14.479526
8,14.478043
9,14.476559
10,14.475078
11,14.473594
12,14.472112
13,14.470626
14,14.469142
15,14.467658
16,14.466173
17,14.464689
18,14.463204
19,14.4617195
20,14.460236
21,14.45875
22,14.457264
23,14.455779
24,14.454294
25,14.452809
26,14.451324
27,14.449839
28,14.448355
29,14.446871
30,14.445389
31,14.443906
32,14.442422
33,14.440941
34,14.439456
35,14.437975
36,14.436495
37,14.435013
38,14.433533
39,14.432054
40,14.430574
41,14.429096
42,14.427622
43,14.4261465
44,14.424671
45,14.423201
46,14.421728
47,14.4202585
48,14.418791
49,14.417323
50,14.415858
51,14.414394
52,14.412934
53,14.411473
54,14.410018
55,14.408563
56,14.407108
57,14.405658
58,14.404211
59,14.402765
60,14.401324
61,14.399883
62,14.398447
63,14.397015
64,14.395582
65,14.394153
66,14.392731
67,14.391311
68,14.389892
69,14.388478
70,14.387067
71,14.38566
72,14.384258
73,14.38286
74,14.381466
75,14.380075
76,14.378691
77,14.377308
78,14.375932
79,14.374559
80,14.373191
81,14.371827
82,14.37047
83,14.369115
84,14.367769
85,14.3664255
86,14.3650875
87,14.363756
88,14.362431
89,14.361108
90,14.359793
91,14.358482
92,14.357179
93,14.355881
94,14.3545885
95,14.3533
96,14.35202
97,14.350748
98,14.349481
99,14.348223
100,14.34697
101,14.345723
102,14.344486
103,14.343254
104,14.34203
105,14.340815
106,14.339604
107,14.3384
108,14.337209
109,14.336019
110,14.334839
111,14.33367
112,14.332507
113,14.331352
114,14.330207
115,14.329069
116,14.32794
117,14.326819
118,14.325707
119,14.324601
120,14.323508
121,14.32242
122,14.32134
123,14.320272
124,14.319213
125,14.318159
126,14.317118
127,14.316082
128,14.315057
129,14.31404
130,14.313031
131,14.312032
132,14.311041
133,14.310059
134,14.309085
135,14.308117
136,14.307158
137,14.306208
138,14.305266
139,14.304333
140,14.303405
141,14.302486
142,14.301575
143,14.30067
144,14.299776
145,14.298888
146,14.298009
147,14.297135
148,14.296271
149,14.295415
150,14.294569
151,14.29373
152,14.292897
153,14.292069
154,14.291252
155,14.290442
156,14.289638
157,14.288841
158,14.288052
159,14.28727
160,14.286495
161,14.285728
162,14.284968
163,14.284215
164,14.28347
165,14.28273
166,14.282
167,14.281277
168,14.28056
169,14.279849
170,14.279145
171,14.278448
172,14.277759
173,14.277075
174,14.276394
175,14.275724
176,14.27506
177,14.2744
178,14.2737465
179,14.273102
180,14.27246
181,14.271826
182,14.271199
183,14.270577
184,14.269965
185,14.26936
186,14.268755
187,14.26816
188,14.267573
189,14.266988
