,0
0,2.7907858
1,2.7246773
2,2.6586714
3,2.593586
4,2.5280166
5,2.4628403
6,2.3986714
7,2.335404
8,2.273558
9,2.2140694
10,2.157182
11,2.1030881
12,2.0538228
13,2.0058699
14,1.9605662
15,1.9188273
16,1.8787133
17,1.8412206
18,1.8068163
19,1.7745993
20,1.7446071
21,1.7190406
22,1.6939417
23,1.6707075
24,1.64955
25,1.6307876
26,1.6134989
27,1.598575
28,1.584916
29,1.572322
30,1.5610452
31,1.551345
32,1.5423411
33,1.5338644
34,1.5271114
35,1.5207545
36,1.5153431
37,1.5106754
38,1.5061787
39,1.5023763
40,1.4991951
41,1.4960252
42,1.4923352
43,1.4902419
44,1.488037
45,1.4851251
46,1.4837977
47,1.4822737
48,1.4816083
49,1.4807343
50,1.479606
51,1.4781171
52,1.4776118
53,1.4768144
54,1.475481
55,1.4752375
56,1.4746737
57,1.4738909
58,1.4738106
59,1.4733908
60,1.4721276
61,1.4721851
62,1.4718899
63,1.4701617
64,1.47034
65,1.4701554
66,1.4696627
67,1.469874
68,1.469719
69,1.4688879
70,1.4691439
71,1.4690312
72,1.4684243
73,1.4686985
74,1.4686016
75,1.4676977
76,1.4680016
77,1.4679351
78,1.4677278
79,1.4680216
80,1.4679462
81,1.4660275
82,1.4664035
83,1.4664043
84,1.4655169
85,1.4658992
86,1.4659072
87,1.4661974
88,1.4665253
89,1.466486
90,1.4654104
91,1.4657737
92,1.4657673
93,1.4652572
94,1.465604
95,1.4655813
96,1.4651295
97,1.4654759
98,1.4654547
99,1.4644246
100,1.4647756
101,1.4647534
102,1.4646959
103,1.4650263
104,1.4649884
105,1.4641818
106,1.4645182
107,1.4644814
108,1.4640316
109,1.4643674
110,1.464329
111,1.4638793
112,1.4641984
113,1.4641414
114,1.4641154
115,1.464417
116,1.4643447
117,1.4640182
118,1.4643004
119,1.4642081
120,1.4641074
121,1.4643892
122,1.4642962
123,1.4638059
124,1.4640914
125,1.4639975
126,1.4640105
127,1.4642831
128,1.4641775
129,1.4641871
130,1.4644623
131,1.4643579
132,1.464216
133,1.4644895
134,1.4643813
135,1.4643561
136,1.4646155
137,1.4644941
138,1.4643066
139,1.4645666
140,1.4644443
141,1.4641612
142,1.4644227
143,1.4642992
144,1.4643954
145,1.4646451
146,1.4645115
147,1.4641254
148,1.4643798
149,1.4642481
150,1.4639834
151,1.4642413
152,1.4641109
153,1.4640872
154,1.4643391
155,1.464204
156,1.4640464
157,1.464302
158,1.4641685
159,1.4640489
160,1.4643031
161,1.4641665
162,1.4637146
163,1.4639678
164,1.4638276
165,1.4637767
166,1.464028
167,1.4638853
168,1.4635473
169,1.4637898
170,1.4636376
171,1.4636706
172,1.4639099
173,1.4637562
174,1.4636203
175,1.4638697
176,1.4637227
177,1.4633999
178,1.4636451
179,1.463494
180,1.463448
181,1.4636902
182,1.4635372
183,1.4633859
184,1.4636252
185,1.4634683
186,1.4633436
187,1.4635757
188,1.4634115
189,1.4633329
190,1.4635606
191,1.4633933
192,1.4633498
193,1.4635721
194,1.4634007
195,1.4633561
196,1.4635751
197,1.4634006
198,1.4633634
199,1.4635818
200,1.4634066
201,1.4632641
202,1.4634879
203,1.4633181
204,1.4634905
205,1.4636925
206,1.4635022
207,1.4637983
208,1.4639817
209,1.4637746
210,1.4640279
211,1.4642043
212,1.46399
213,1.4641505
214,1.4643273
215,1.4641125
216,1.4642264
217,1.4644064
218,1.4641944
219,1.4641471
220,1.4643394
221,1.4641386
222,1.4653437
