,0
0,29.389015
1,28.890676
2,28.395523
3,27.905457
4,27.41986
5,26.941668
6,26.474445
7,26.01773
8,25.575516
9,25.153215
10,24.747667
11,24.36374
12,24.008379
13,23.66936
14,23.352932
15,23.064688
16,22.791832
17,22.540085
18,22.313248
19,22.101088
20,21.907618
21,21.734734
22,21.574678
23,21.430206
24,21.303173
25,21.186121
26,21.081226
27,20.990011
28,20.905804
29,20.830706
30,20.766552
31,20.706825
32,20.653727
33,20.609373
34,20.56741
35,20.53018
36,20.49978
37,20.470259
38,20.44411
39,20.423658
40,20.403034
41,20.384787
42,20.371489
43,20.357214
44,20.344599
45,20.336332
46,20.326538
47,20.317892
48,20.31262
49,20.305439
50,20.29911
51,20.296286
52,20.291307
53,20.286932
54,20.28585
55,20.282434
56,20.279442
57,20.279457
58,20.277016
59,20.274885
60,20.275797
61,20.274155
62,20.272732
63,20.274426
64,20.273499
65,20.272707
66,20.274647
67,20.27394
68,20.273342
69,20.275585
70,20.275166
71,20.27482
72,20.27716
73,20.276814
74,20.276533
75,20.279089
76,20.278961
77,20.27888
78,20.281404
79,20.281254
80,20.281147
81,20.284176
82,20.284485
83,20.284782
84,20.2879
85,20.288292
86,20.288664
87,20.291512
88,20.291668
89,20.291842
90,20.29487
91,20.29519
92,20.2955
93,20.298439
94,20.298658
95,20.29888
96,20.301794
97,20.301989
98,20.302185
99,20.305035
100,20.305119
101,20.30521
102,20.307907
103,20.307861
104,20.307837
105,20.310516
106,20.310417
107,20.310337
108,20.312923
109,20.312712
110,20.312523
111,20.315008
112,20.314667
113,20.31437
114,20.316685
115,20.31618
116,20.315725
117,20.317976
118,20.317387
119,20.316868
120,20.318998
121,20.31829
122,20.317657
123,20.319824
124,20.319117
125,20.318481
126,20.320549
127,20.319733
128,20.319002
129,20.320995
130,20.320087
131,20.319262
132,20.321245
133,20.320301
134,20.319445
135,20.321365
136,20.320356
137,20.319445
138,20.321363
139,20.320332
140,20.319405
141,20.321335
142,20.3203
143,20.319359
144,20.321207
145,20.320086
146,20.319077
147,20.320978
148,20.319893
149,20.31891
150,20.320818
151,20.319717
152,20.318727
153,20.320562
154,20.319397
155,20.318344
156,20.320173
157,20.318985
158,20.31791
159,20.319725
160,20.318504
161,20.317404
162,20.319246
163,20.318039
164,20.316948
165,20.318731
166,20.317472
167,20.31633
168,20.318087
169,20.316786
170,20.315613
171,20.317295
172,20.315937
173,20.314709
174,20.316422
175,20.315075
176,20.313854
177,20.315527
178,20.314133
179,20.312864
180,20.31446
181,20.313004
182,20.311676
183,20.313234
184,20.311733
185,20.31037
186,20.311844
187,20.310278
188,20.30885
189,20.310247
190,20.308615
191,20.307125
192,20.308449
193,20.306759
194,20.305216
195,20.306477
196,20.304726
197,20.303135
