,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,3e-45
6,4.51e-43
7,7.235e-41
8,4.839536e-39
9,9.3545344e-38
10,1.0499803e-36
11,-6.173858e-36
12,-4.1400475e-34
13,-7.166469e-33
14,-8.063437e-32
15,-6.3042444e-31
16,-4.3379033e-30
17,-2.493654e-29
18,-1.1574253e-28
19,-5.093041e-28
20,-2.0009108e-27
21,-6.7646425e-27
22,-2.2334378e-26
23,-6.8144406e-26
24,-1.8526895e-25
25,-5.0015887e-25
26,-1.274658e-24
27,-2.9594357e-24
28,-6.886232e-24
29,-1.5334213e-23
30,-3.1578408e-23
31,-6.556114e-23
32,-1.3143715e-22
33,-2.4637514e-22
34,-4.670863e-22
35,-8.603782e-22
36,-1.4917332e-21
37,-2.6225331e-21
38,-4.4978006e-21
39,-7.292471e-21
40,-1.201252e-20
41,-1.9351055e-20
42,-2.952554e-20
43,-4.5819663e-20
44,-6.960601e-20
45,-1.00140256e-19
46,-1.4654402e-19
47,-2.0977468e-19
48,-2.8295902e-19
49,-3.8734712e-19
50,-5.16128e-19
51,-6.3748364e-19
52,-7.895385e-19
53,-9.293144e-19
54,-9.497236e-19
55,-8.847894e-19
56,-5.743403e-19
57,2.7878437e-19
58,1.772979e-18
59,4.379962e-18
60,8.891123e-18
61,1.5975647e-17
62,2.684972e-17
63,4.3535968e-17
64,6.862958e-17
65,1.0495099e-16
66,1.5653389e-16
67,2.3163164e-16
68,3.3617324e-16
69,4.7926696e-16
70,6.825667e-16
71,9.577809e-16
72,1.3265065e-15
73,1.8402883e-15
74,2.5212298e-15
75,3.4097652e-15
76,4.6255127e-15
77,6.206693e-15
78,8.227809e-15
79,1.0944031e-14
80,1.4417163e-14
81,1.8805792e-14
82,2.4607246e-14
83,3.1914572e-14
84,4.0993816e-14
85,5.2782692e-14
86,6.741517e-14
87,8.525662e-14
88,1.0802932e-13
89,1.3588094e-13
90,1.6937741e-13
91,2.1139957e-13
92,2.620568e-13
93,3.2187046e-13
94,3.9544174e-13
95,4.828484e-13
96,5.842971e-13
97,7.0693814e-13
98,8.505306e-13
99,1.0145808e-12
100,1.2092795e-12
101,1.4339114e-12
102,1.6856891e-12
103,1.9787511e-12
104,2.3120032e-12
105,2.6777027e-12
106,3.0956576e-12
107,3.564403e-12
108,4.0740714e-12
109,4.6451033e-12
110,5.2781343e-12
111,5.9606855e-12
112,6.711764e-12
113,7.536632e-12
114,8.407856e-12
115,9.354232e-12
116,1.03852985e-11
117,1.1474254e-11
118,1.2634972e-11
119,1.3892685e-11
120,1.5245352e-11
121,1.6655602e-11
122,1.817825e-11
123,1.9830105e-11
124,2.1519113e-11
125,2.3337401e-11
126,2.535194e-11
127,2.7368005e-11
128,2.953231e-11
129,3.202058e-11
130,3.4471065e-11
131,3.7088554e-11
132,4.016738e-11
133,4.3130895e-11
134,4.628023e-11
135,5.0134525e-11
136,5.3712566e-11
137,5.7489513e-11
138,6.217577e-11
139,6.630282e-11
140,7.063659e-11
141,7.617818e-11
142,8.101607e-11
143,8.605848e-11
144,9.2688475e-11
145,9.839323e-11
146,1.0429762e-10
147,1.1230444e-10
148,1.189925e-10
149,1.2586918e-10
150,1.3527778e-10
151,1.4289214e-10
152,1.5066982e-10
153,1.6152711e-10
154,1.7004044e-10
155,1.7871633e-10
156,1.9096806e-10
157,2.0025723e-10
158,2.0969093e-10
159,2.2333024e-10
160,2.332816e-10
161,2.4339009e-10
162,2.5842353e-10
163,2.6889826e-10
164,2.795886e-10
165,2.9613095e-10
166,3.0718916e-10
167,3.1855668e-10
168,3.3713524e-10
169,3.4898012e-10
170,3.6125603e-10
171,3.8189027e-10
172,3.9456388e-10
173,4.0780682e-10
174,4.3069345e-10
175,4.4427348e-10
176,4.5861945e-10
177,4.8434506e-10
178,4.992267e-10
179,5.151062e-10
180,5.442599e-10
181,5.612063e-10
182,5.7936983e-10
183,6.127302e-10
184,6.327553e-10
185,6.542241e-10
186,6.9302325e-10
187,7.1673445e-10
188,7.4214884e-10
189,7.8662754e-10
190,8.1366847e-10
191,8.427516e-10
192,8.9228125e-10
193,9.217384e-10
194,9.537698e-10
195,1.0088458e-09
196,1.0421549e-09
197,1.078543e-09
198,1.141399e-09
199,1.1807092e-09
200,1.2235212e-09
201,1.2959293e-09
202,1.3426412e-09
203,1.393279e-09
204,1.4758116e-09
205,1.5312325e-09
206,1.5910345e-09
207,1.6863364e-09
208,1.7538568e-09
209,1.8261169e-09
210,1.9368838e-09
211,2.018308e-09
212,2.1049087e-09
213,2.2295685e-09
214,2.3238749e-09
215,2.423928e-09
216,2.5647215e-09
217,2.674734e-09
218,2.7910465e-09
219,2.9533782e-09
220,3.0855605e-09
221,3.2246132e-09
222,3.4125505e-09
223,3.571098e-09
224,3.7372954e-09
225,3.9541255e-09
226,4.142997e-09
227,4.340519e-09
228,4.582618e-09
229,4.799477e-09
230,5.0258375e-09
231,5.2959765e-09
232,5.5446874e-09
233,5.803816e-09
234,6.104929e-09
235,6.3888304e-09
236,6.684133e-09
237,7.0167174e-09
238,7.3360353e-09
239,7.6676425e-09
240,8.034082e-09
241,8.3929415e-09
242,8.7649905e-09
243,9.168351e-09
244,9.574569e-09
245,9.995387e-09
246,1.045097e-08
247,1.0914356e-08
248,1.139404e-08
249,1.1899005e-08
250,1.242264e-08
251,1.2964405e-08
252,1.3521938e-08
253,1.411218e-08
254,1.4722778e-08
255,1.533345e-08
256,1.5990075e-08
257,1.6669373e-08
258,1.7335148e-08
259,1.8058481e-08
260,1.8806285e-08
261,1.9546725e-08
262,2.0355275e-08
263,2.1190193e-08
264,2.1987272e-08
265,2.2867184e-08
266,2.3775279e-08
267,2.4633612e-08
268,2.5585955e-08
269,2.6567548e-08
270,2.7483551e-08
271,2.8501017e-08
272,2.9548373e-08
273,3.0524202e-08
274,3.160128e-08
275,3.2707906e-08
276,3.373846e-08
277,3.4865266e-08
278,3.6019628e-08
279,3.7065114e-08
280,3.8199904e-08
281,3.9358746e-08
282,4.0404807e-08
283,4.1518764e-08
284,4.2652804e-08
285,4.3692033e-08
286,4.476061e-08
287,4.5844942e-08
288,4.6837375e-08
289,4.780967e-08
290,4.8793044e-08
291,4.9692947e-08
292,5.051754e-08
293,5.1351797e-08
294,5.2138684e-08
295,5.279391e-08
296,5.3462617e-08
297,5.4112295e-08
298,5.4575104e-08
299,5.5060315e-08
300,5.5650187e-08
301,5.5982554e-08
302,5.6347535e-08
303,5.6921962e-08
304,5.714382e-08
305,5.7410347e-08
306,5.8008197e-08
307,5.8182387e-08
308,5.8408155e-08
309,5.9089764e-08
310,5.9229393e-08
311,5.9423783e-08
312,6.01863e-08
313,6.031192e-08
314,6.049445e-08
315,6.1385094e-08
316,6.150756e-08
317,6.168461e-08
318,6.272334e-08
319,6.282387e-08
