,0
0,"tensor(0.18246070, grad_fn=<MseLossBackward>)"
1,"tensor(0.18246053, grad_fn=<MseLossBackward>)"
2,"tensor(0.18246037, grad_fn=<MseLossBackward>)"
3,"tensor(0.18231067, grad_fn=<MseLossBackward>)"
4,"tensor(0.18231051, grad_fn=<MseLossBackward>)"
5,"tensor(0.18231034, grad_fn=<MseLossBackward>)"
6,"tensor(0.18257019, grad_fn=<MseLossBackward>)"
7,"tensor(0.18257004, grad_fn=<MseLossBackward>)"
8,"tensor(0.18256985, grad_fn=<MseLossBackward>)"
9,"tensor(0.18283135, grad_fn=<MseLossBackward>)"
10,"tensor(0.18283120, grad_fn=<MseLossBackward>)"
11,"tensor(0.18283100, grad_fn=<MseLossBackward>)"
12,"tensor(0.18268448, grad_fn=<MseLossBackward>)"
13,"tensor(0.18268433, grad_fn=<MseLossBackward>)"
14,"tensor(0.18268415, grad_fn=<MseLossBackward>)"
15,"tensor(0.18291651, grad_fn=<MseLossBackward>)"
16,"tensor(0.18291637, grad_fn=<MseLossBackward>)"
17,"tensor(0.18291622, grad_fn=<MseLossBackward>)"
18,"tensor(0.18300769, grad_fn=<MseLossBackward>)"
19,"tensor(0.18300751, grad_fn=<MseLossBackward>)"
20,"tensor(0.18300734, grad_fn=<MseLossBackward>)"
21,"tensor(0.18276528, grad_fn=<MseLossBackward>)"
22,"tensor(0.18276511, grad_fn=<MseLossBackward>)"
23,"tensor(0.18276492, grad_fn=<MseLossBackward>)"
24,"tensor(0.18252538, grad_fn=<MseLossBackward>)"
25,"tensor(0.18252522, grad_fn=<MseLossBackward>)"
26,"tensor(0.18252502, grad_fn=<MseLossBackward>)"
27,"tensor(0.18290100, grad_fn=<MseLossBackward>)"
28,"tensor(0.18290083, grad_fn=<MseLossBackward>)"
29,"tensor(0.18290067, grad_fn=<MseLossBackward>)"
