,0
0,0.09007185
1,0.08663918
2,0.08327396
3,0.079872616
4,0.077013835
5,0.07420746
6,0.071190946
7,0.06858617
8,0.0660878
9,0.0634279
10,0.061150722
11,0.058987956
12,0.05667499
13,0.05473468
14,0.05290744
15,0.050957117
16,0.04934214
17,0.04783201
18,0.04621778
19,0.0448979
20,0.04367079
21,0.042385157
22,0.041319124
23,0.040332388
24,0.03923308
25,0.03837873
26,0.037590526
27,0.036624026
28,0.035943456
29,0.035316966
30,0.034472167
31,0.033930693
32,0.0334329
33,0.0327609
34,0.032330763
35,0.031935457
36,0.03136309
37,0.031021748
38,0.0307079
39,0.03026112
40,0.02998622
41,0.029733112
42,0.029382186
43,0.02915666
44,0.028948512
45,0.028566638
46,0.028380306
47,0.02820776
48,0.027807612
49,0.027652413
50,0.027508076
51,0.027273549
52,0.027140636
53,0.02701642
54,0.026792409
55,0.026676226
56,0.026567064
57,0.02634752
58,0.026244024
59,0.026146173
