,0
0,0.75233144
1,0.75792646
2,0.76277363
3,0.7674363
4,0.7719752
5,0.7763274
6,0.78047246
7,0.7844193
8,0.7881673
9,0.7917037
10,0.79503787
11,0.7981733
12,0.8011019
13,0.8038359
14,0.80638087
15,0.8087324
16,0.8109038
17,0.81290245
18,0.814723
19,0.81638193
20,0.81788754
21,0.8192323
22,0.82043445
23,0.8215037
24,0.8224309
25,0.82323533
26,0.8239254
27,0.82448953
28,0.82494867
29,0.825311
30,0.8255654
31,0.82573056
32,0.82581407
33,0.8258054
34,0.8257212
35,0.82556856
36,0.8253346
37,0.82503766
38,0.8246831
39,0.8242562
40,0.823776
41,0.8232472
42,0.8226578
43,0.8220224
44,0.82134587
45,0.820617
46,0.81984925
47,0.8190462
48,0.8181943
49,0.8173088
50,0.81639373
51,0.81543344
52,0.814444
53,0.81342924
54,0.81237376
55,0.81129295
56,0.81018984
57,0.8090464
58,0.8078802
59,0.8066953
