,0
0,2.7860348
1,2.786035
2,2.786035
3,2.7860353
4,2.7860353
5,2.7860355
6,2.7860355
7,2.7860358
8,2.7860358
9,2.786036
10,2.786036
11,2.786036
12,2.786036
13,2.7860363
14,2.7860363
15,2.7860367
16,2.7860367
17,2.7860367
18,2.7860367
19,2.786037
20,2.7860372
21,2.7860372
22,2.7860372
23,2.7860374
24,2.7860374
25,2.7860377
26,2.7860377
27,2.786038
28,2.786038
29,2.7860382
30,2.7860382
31,2.7860384
32,2.7860384
33,2.7860384
34,2.7860386
35,2.7860386
36,2.7860389
37,2.7860389
38,2.786039
39,2.786039
40,2.7860394
41,2.7860394
42,2.7860396
43,2.7860396
44,2.7860398
45,2.7860398
46,2.78604
47,2.78604
48,2.78604
49,2.7860403
50,2.7860405
51,2.7860408
52,2.7860408
53,2.786041
54,2.786041
55,2.7860413
56,2.7860415
57,2.7860415
58,2.7860417
59,2.786042
60,2.786042
61,2.7860422
62,2.7860422
63,2.7860425
64,2.7860425
65,2.7860427
66,2.786043
67,2.786043
68,2.7860432
69,2.7860432
70,2.7860434
71,2.7860436
72,2.7860436
73,2.786044
74,2.786044
75,2.7860441
76,2.7860441
77,2.7860444
78,2.7860446
79,2.7860446
80,2.7860448
81,2.7860448
82,2.786045
83,2.786045
84,2.7860453
85,2.7860456
86,2.7860458
87,2.7860458
88,2.7860458
89,2.786046
90,2.786046
91,2.7860463
92,2.7860465
93,2.7860465
94,2.7860467
95,2.786047
96,2.7860472
97,2.7860472
98,2.7860475
99,2.7860477
100,2.7860477
101,2.786048
102,2.786048
103,2.7860482
104,2.7860482
105,2.7860482
106,2.7860484
107,2.7860487
108,2.786049
109,2.786049
110,2.7860491
111,2.7860494
112,2.7860494
113,2.7860494
114,2.7860496
115,2.7860498
116,2.78605
117,2.78605
118,2.78605
119,2.7860503
120,2.7860503
121,2.7860506
122,2.7860508
123,2.786051
124,2.786051
125,2.7860513
126,2.7860513
127,2.7860515
128,2.7860515
129,2.7860518
130,2.7860518
131,2.786052
132,2.7860522
133,2.7860522
134,2.7860525
135,2.7860525
136,2.7860527
137,2.7860527
138,2.786053
139,2.786053
140,2.7860532
141,2.7860532
142,2.7860534
143,2.7860537
144,2.786054
145,2.786054
146,2.7860541
147,2.7860544
148,2.7860544
149,2.7860544
150,2.7860546
151,2.7860548
152,2.7860548
153,2.786055
154,2.786055
155,2.7860553
156,2.7860556
157,2.7860556
158,2.7860558
159,2.786056
160,2.786056
161,2.7860563
162,2.7860563
163,2.7860565
164,2.7860565
165,2.7860568
166,2.7860568
167,2.7860572
168,2.7860572
169,2.7860572
170,2.7860575
171,2.7860577
172,2.7860577
173,2.786058
174,2.7860582
175,2.7860582
176,2.7860584
177,2.7860584
178,2.7860587
179,2.7860587
180,2.786059
181,2.786059
182,2.7860591
183,2.7860594
184,2.7860594
185,2.7860596
186,2.7860596
187,2.7860599
188,2.78606
189,2.78606
190,2.7860603
191,2.7860603
192,2.7860606
193,2.7860606
194,2.7860608
195,2.786061
196,2.786061
197,2.7860613
198,2.7860615
199,2.7860615
200,2.7860615
201,2.7860618
202,2.7860618
203,2.7860622
204,2.7860622
205,2.7860622
206,2.7860625
207,2.7860627
208,2.786063
209,2.786063
210,2.7860632
211,2.7860634
212,2.7860637
213,2.7860637
214,2.786064
215,2.7860641
216,2.7860644
217,2.7860644
218,2.7860646
219,2.7860649
220,2.7860649
221,2.786065
222,2.786065
223,2.7860653
224,2.7860656
225,2.7860656
226,2.7860658
227,2.786066
228,2.786066
229,2.7860663
230,2.7860663
231,2.7860665
232,2.7860668
233,2.786067
234,2.786067
235,2.7860672
236,2.7860675
237,2.7860675
238,2.7860675
239,2.7860677
240,2.7860682
241,2.7860682
242,2.7860682
243,2.7860684
244,2.7860687
245,2.786069
246,2.786069
247,2.7860692
248,2.7860694
249,2.7860694
250,2.7860696
251,2.7860696
252,2.78607
253,2.78607
254,2.78607
255,2.7860703
256,2.7860706
257,2.7860708
258,2.7860708
259,2.786071
260,2.7860713
261,2.7860713
262,2.7860715
263,2.7860718
264,2.7860718
265,2.786072
266,2.7860723
267,2.7860725
268,2.7860725
269,2.7860725
270,2.786073
271,2.786073
272,2.786073
273,2.7860732
274,2.7860734
275,2.7860737
276,2.7860737
277,2.786074
278,2.7860742
279,2.7860742
280,2.7860742
281,2.7860744
282,2.7860749
283,2.7860749
284,2.7860749
285,2.786075
286,2.7860756
287,2.7860756
288,2.7860756
289,2.7860758
290,2.786076
291,2.786076
292,2.7860763
