,0
0,0.7718161
1,0.76829714
2,0.76505977
3,0.7617624
4,0.7583758
5,0.7549411
6,0.75147253
7,0.747971
8,0.7444451
9,0.7409118
10,0.737376
11,0.73384744
12,0.7303417
13,0.72686994
14,0.7234436
15,0.7200863
16,0.7168019
17,0.7136009
18,0.710501
19,0.70750964
20,0.70463425
21,0.7018968
22,0.699291
23,0.69682056
24,0.69450897
25,0.6923375
26,0.6903035
27,0.6884185
28,0.6866673
29,0.68504363
30,0.68355167
31,0.6821762
32,0.6809086
33,0.6797517
34,0.67868876
35,0.6777113
36,0.6768226
37,0.6760054
38,0.67525285
39,0.6745656
40,0.6739313
41,0.6733444
42,0.67280346
43,0.67230153
44,0.6718346
45,0.6714007
46,0.6709953
47,0.67061687
48,0.6702623
49,0.6699306
50,0.6696196
51,0.66932374
52,0.66904694
53,0.66878855
54,0.66854596
55,0.66831964
56,0.66810906
57,0.6679118
58,0.66772985
59,0.6675629
60,0.6674088
61,0.6672696
62,0.6671451
63,0.6670339
64,0.6669375
65,0.6668559
66,0.6667877
67,0.6667348
68,0.6666972
69,0.6666742
70,0.6666667
71,0.6666746
72,0.6666982
73,0.6667378
74,0.6667931
75,0.66686505
76,0.6669532
77,0.66705734
78,0.6671784
79,0.66731566
80,0.6674694
81,0.66764
82,0.6678268
83,0.66802984
84,0.6682503
85,0.6684869
86,0.6687396
87,0.6690087
88,0.6692934
89,0.6695939
90,0.6699102
91,0.6702419
92,0.6705891
93,0.6709497
94,0.6713251
95,0.6717151
96,0.67211646
97,0.6725314
98,0.6729606
99,0.67340136
100,0.6738546
101,0.67432135
102,0.6747958
103,0.6752825
104,0.67578137
105,0.6762861
106,0.6768019
107,0.6773294
108,0.6778664
109,0.67841315
110,0.6789703
111,0.6795274
112,0.68009347
113,0.68066925
114,0.6812457
115,0.6818301
116,0.682423
117,0.68301696
118,0.68361753
119,0.6842263
120,0.6848346
121,0.6854494
122,0.68607104
123,0.6866919
124,0.6873184
125,0.6879513
126,0.6885827
127,0.68921894
128,0.6898609
129,0.6905015
130,0.6911462
131,0.691796
132,0.69244576
133,0.6930989
134,0.69375676
135,0.69441533
136,0.69507736
137,0.6957437
138,0.69640803
139,0.69707555
140,0.6977472
141,0.6984162
142,0.69908834
143,0.69976395
144,0.70044345
145,0.7011257
146,0.7018101
147,0.70249856
148,0.7031892
149,0.7038821
150,0.70457697
151,0.70527405
152,0.7059736
153,0.70667696
154,0.7073823
155,0.70809
156,0.70880306
157,0.7095187
