,0
0,1.871339
1,1.8733759
2,1.8750033
3,1.8763702
4,1.8774924
5,1.8783348
6,1.8788216
7,1.8789675
8,1.8787506
9,1.8780874
10,1.876996
11,1.8754551
12,1.873389
13,1.8708118
14,1.8677071
15,1.8639987
16,1.8597188
17,1.8548628
18,1.8493617
19,1.8432674
20,1.8365917
21,1.8292873
22,1.8214234
23,1.8130307
24,1.8040998
25,1.7947038
26,1.7848874
27,1.7746489
28,1.7640821
29,1.7532423
30,1.7421477
31,1.7308843
32,1.7195067
33,1.7080754
34,1.6966317
35,1.6852204
36,1.6739206
37,1.6627415
38,1.6517141
39,1.6409138
40,1.6303308
41,1.619983
42,1.6099354
43,1.6001642
44,1.5906758
45,1.5815383
46,1.5727041
47,1.5641705
48,1.5560005
49,1.5481381
50,1.5405741
51,1.533373
52,1.5264664
53,1.5198413
54,1.5135269
55,1.5074866
56,1.5017089
57,1.4962183
58,1.490976
59,1.4859695
60,1.481222
61,1.476695
62,1.4723762
63,1.4682156
64,1.4642514
65,1.4604799
66,1.4568292
67,1.453352
68,1.4500464
69,1.4468286
70,1.4437635
71,1.4408514
72,1.438005
73,1.4352928
74,1.432716
75,1.4301823
76,1.4277664
77,1.4254712
78,1.4232093
79,1.4210513
80,1.4189992
81,1.4169711
82,1.415034
83,1.4131904
84,1.4113603
85,1.4096102
86,1.4079429
87,1.4062519
88,1.404633
89,1.4030921
90,1.4015173
91,1.4000074
92,1.3985692
93,1.3971238
94,1.3957357
95,1.3944088
96,1.3930731
97,1.3917888
98,1.3905592
99,1.389307
100,1.388101
101,1.3869462
102,1.3857689
103,1.3846339
104,1.3835449
105,1.3824624
106,1.3814164
107,1.3804084
108,1.3794212
109,1.378465
110,1.3775396
111,1.3766044
112,1.3756983
113,1.3748232
114,1.373947
115,1.3730963
116,1.3722721
117,1.3714486
118,1.3706477
119,1.3698703
120,1.3690894
121,1.3683292
122,1.36759
123,1.3668488
124,1.3661256
125,1.3654215
126,1.3647121
127,1.3640192
128,1.3633436
129,1.3626865
130,1.3620424
131,1.3614101
132,1.3608155
133,1.3602302
134,1.3596507
135,1.3590738
136,1.358505
137,1.3579444
138,1.3573713
139,1.3568059
140,1.3562497
141,1.3557019
142,1.3551598
143,1.3546231
144,1.3540497
145,1.3534836
146,1.3529282
147,1.3523679
148,1.3518127
149,1.3512638
150,1.3507432
151,1.350225
152,1.3497064
153,1.3491337
154,1.3485665
155,1.3480101
156,1.3474774
157,1.3469459
158,1.3464136
159,1.345929
160,1.3454423
161,1.3449484
162,1.3444214
163,1.3438945
164,1.3433698
165,1.3427737
166,1.3421795
167,1.3415943
168,1.3409706
169,1.3403486
170,1.339733
171,1.3390759
172,1.3384218
173,1.337775
174,1.3370804
175,1.3363894
176,1.3357074
177,1.3349329
178,1.3341655
179,1.3334143
180,1.3325158
181,1.3316298
182,1.3307717
183,1.3297733
184,1.3287905
185,1.3278395
186,1.3267425
187,1.3256652
188,1.3246245
189,1.3234031
190,1.3222071
191,1.3210571
192,1.3197309
193,1.3184344
194,1.317188
195,1.3157884
196,1.314421
197,1.3131046
198,1.3116227
199,1.3101768
200,1.3087867
201,1.3072429
202,1.3057373
203,1.304289
204,1.3026812
205,1.3011149
206,1.2996097
207,1.2979065
208,1.2962499
209,1.2946632
210,1.2930057
211,1.2913918
212,1.2898337
213,1.2881242
214,1.2864636
215,1.2848703
216,1.2830759
217,1.2813354
218,1.2796724
219,1.277817
220,1.2760185
221,1.2743008
222,1.2724434
223,1.2706431
224,1.2689188
225,1.2670479
226,1.2652361
227,1.2635022
228,1.2616279
229,1.2598135
230,1.2580774
231,1.2561994
232,1.2543823
233,1.2526449
234,1.250786
235,1.2489877
236,1.2472668
237,1.2455106
238,1.2438098
239,1.2421725
240,1.2405399
241,1.238957
242,1.2374272
243,1.2359322
244,1.2344805
245,1.2330714
246,1.2317064
247,1.2303785
248,1.2290857
249,1.2278442
250,1.226634
251,1.2254515
252,1.2243273
253,1.2232283
254,1.2221504
255,1.2211257
256,1.2201215
257,1.2191333
258,1.2182064
259,1.2172947
260,1.2163926
261,1.2155533
262,1.2147242
263,1.2138999
264,1.2131261
265,1.2123593
266,1.2115945
267,1.2109003
268,1.2102083
269,1.2095112
270,1.2088513
271,1.208191
272,1.2075262
273,1.2069242
274,1.2063177
275,1.2057
276,1.2051338
277,1.2045604
278,1.2039741
279,1.2034408
280,1.2028967
281,1.2023361
282,1.201827
283,1.201304
284,1.200761
285,1.2002796
286,1.1997801
287,1.1992558
288,1.1988095
289,1.198341
290,1.1978416
291,1.197413
292,1.1969589
293,1.1964715
294,1.1960422
295,1.1955853
296,1.1950938
297,1.1946597
298,1.1941953
299,1.1936936
300,1.1932588
301,1.1927903
302,1.1922797
303,1.1918327
304,1.1913487
305,1.1908203
306,1.1903434
307,1.1898279
308,1.1892673
309,1.188748
310,1.1881893
311,1.1875855
312,1.1870238
313,1.1864212
314,1.1857716
315,1.1851585
316,1.184503
317,1.1837997
318,1.1831287
319,1.1824143
320,1.1816517
321,1.1809411
322,1.1801846
323,1.1793758
324,1.1786166
325,1.177811
326,1.1769519
327,1.1761076
328,1.1752181
329,1.1742799
330,1.1733712
331,1.1724163
332,1.1714106
333,1.1704415
334,1.1694262
335,1.1683592
336,1.1673114
337,1.1662189
338,1.1650776
339,1.1639587
340,1.162796
341,1.1615862
342,1.160381
343,1.1591345
344,1.157845
345,1.1565632
346,1.1552428
347,1.1538819
348,1.1525463
349,1.1511726
350,1.1497575
351,1.1483376
352,1.1468828
353,1.1453921
354,1.1438433
355,1.1422658
356,1.1406645
357,1.1390066
358,1.1373246
359,1.1356244
360,1.1338794
361,1.1321155
362,1.1303371
363,1.1285291
364,1.1267066
365,1.1248732
366,1.1229904
367,1.1210979
368,1.1192013
369,1.1171865
370,1.1151708
371,1.1131668
372,1.1110331
373,1.1089057
374,1.1067992
375,1.1045629
376,1.1023397
377,1.1001453
378,1.0978559
379,1.0955844
380,1.093343
381,1.0910053
382,1.0886903
383,1.0864104
384,1.0840288
385,1.0816749
386,1.0793616
387,1.0770036
388,1.074675
389,1.0723833
390,1.0700325
391,1.0677136
392,1.0654354
393,1.0630802
394,1.0607594
395,1.0584837
396,1.0561551
397,1.0538616
398,1.0516114
399,1.0493361
400,1.0470957
401,1.0448953
402,1.0427135
403,1.0405637
404,1.038447
405,1.036366
406,1.0343142
407,1.0322905
408,1.030296
409,1.0283293
410,1.0263896
411,1.0244178
412,1.0224769
413,1.0205715
414,1.0186371
415,1.0167336
416,1.0148666
417,1.0130972
418,1.0113527
419,1.009626
420,1.0079318
421,1.0062637
422,1.0046192
423,1.0030249
424,1.0014548
425,0.9999053
426,0.9984126
427,0.9969424
428,0.99549013
429,0.99412113
430,0.9927711
431,0.991433
432,0.990176
433,0.9889364
434,0.98770684
435,0.9866223
436,0.98554957
437,0.98447454
438,0.9835524
439,0.98263717
440,0.9817137
441,0.9809345
442,0.98015857
443,0.9793709
444,0.97873324
445,0.9780957
446,0.9774423
447,0.97693753
448,0.9764298
449,0.9759035
450,0.97554874
451,0.9751873
452,0.97480077
453,0.9746
454,0.9743889
455,0.97414714
456,0.9741273
457,0.9740919
458,0.974017
459,0.97414666
460,0.97425884
461,0.9743306
462,0.97459257
463,0.9748349
464,0.975036
465,0.9754253
466,0.97579306
467,0.9761176
468,0.97665435
469,0.97716635
470,0.97762996
471,0.97828436
472,0.9789132
473,0.979494
474,0.9802446
475,0.98096895
476,0.98164696
477,0.98251724
478,0.98335886
