,0
0,1.3326368
1,1.3295829
2,1.326572
3,1.3233371
4,1.3198334
5,1.3161216
6,1.312282
7,1.3082875
8,1.3041574
9,1.2999712
10,1.2957057
11,1.2913789
12,1.2870613
13,1.2827327
14,1.2784091
15,1.2741462
16,1.2699289
17,1.2657704
18,1.261723
19,1.2577653
20,1.2539045
21,1.2501961
22,1.2466073
23,1.2431409
24,1.239841
25,1.2366797
26,1.2336568
27,1.230811
28,1.2281132
29,1.2255609
30,1.2231758
31,1.2209412
32,1.2188544
33,1.2169231
34,1.2151399
35,1.2135018
36,1.212018
37,1.2106763
38,1.2094727
39,1.2084059
40,1.207474
41,1.2066733
42,1.2059784
43,1.2054102
44,1.2049677
45,1.2046156
46,1.2043815
47,1.2042646
48,1.2042384
49,1.2043209
50,1.2045107
51,1.2047689
52,1.205128
53,1.2055881
54,1.2060999
55,1.206705
56,1.2074046
57,1.2081542
58,1.2089902
59,1.2099131
60,1.2108616
61,1.2118905
62,1.2130026
63,1.2141318
64,1.2153349
65,1.2166156
66,1.2179534
67,1.2193575
68,1.2208273
69,1.2223102
70,1.2238554
71,1.2254655
72,1.2270604
73,1.2287134
74,1.2304295
75,1.2321337
76,1.2338915
77,1.2357079
78,1.2375057
79,1.2393538
80,1.2412577
81,1.2431386
82,1.2450662
83,1.2470467
84,1.249007
85,1.2510111
86,1.2530639
87,1.2550796
88,1.2571365
89,1.2592407
90,1.2613207
91,1.2634386
92,1.2655995
93,1.2677627
94,1.2699597
95,1.2721926
96,1.2744057
97,1.2766503
98,1.2789304
99,1.2811551
100,1.2834098
101,1.2857021
102,1.2879397
103,1.2902048
104,1.2925055
105,1.2947481
106,1.2970167
107,1.2993193
108,1.3015778
109,1.303859
110,1.3061699
111,1.3084399
112,1.31073
113,1.3130469
114,1.3152969
115,1.3175673
116,1.3198663
117,1.3221056
118,1.3243641
119,1.3266487
120,1.3288919
121,1.3311514
122,1.3334326
123,1.3356843
124,1.3379498
125,1.3402333
126,1.3425024
127,1.3447828
128,1.3470771
129,1.3493774
130,1.3516862
131,1.3540035
132,1.356355
133,1.3587103
134,1.3610669
135,1.3634762
136,1.3658855
137,1.3682889
138,1.3707345
139,1.3731775
140,1.3756127
141,1.3781143
142,1.3806088
143,1.3830891
144,1.3856553
145,1.38821
146,1.3907439
147,1.3933668
148,1.3959739
149,1.3985555
150,1.401226
151,1.4038779
152,1.4065005
153,1.4091991
154,1.4118767
155,1.4145236
156,1.4172602
157,1.4199723
158,1.4226488
159,1.4253951
160,1.4281148
161,1.4307986
162,1.4335293
163,1.4362328
164,1.4389019
165,1.4416256
166,1.4443212
167,1.4469812
168,1.4497027
169,1.4523947
170,1.4550493
171,1.4577696
172,1.46046
173,1.463111
174,1.4658239
175,1.4685063
176,1.4711496
177,1.473869
178,1.4765571
179,1.4792039
180,1.4819276
181,1.4846194
182,1.4872684
183,1.489974
184,1.4926479
185,1.4952815
186,1.4979508
187,1.5005898
188,1.5031925
189,1.5058292
190,1.5084369
191,1.5110097
192,1.5136276
193,1.5162163
194,1.51877
195,1.5213785
196,1.523959
197,1.5265036
198,1.5290855
199,1.5316408
200,1.5341632
201,1.5366883
202,1.5391896
203,1.5416638
204,1.5441351
205,1.5465845
206,1.5490103
207,1.5514282
208,1.5538269
209,1.5562055
210,1.5585496
211,1.560878
212,1.5631925
213,1.5654682
214,1.5677304
215,1.5699826
216,1.5722189
217,1.5744431
218,1.5766561
219,1.5788499
220,1.5810335
221,1.5832075
222,1.5853295
223,1.5874444
224,1.589556
225,1.5915916
226,1.5936234
227,1.5956584
228,1.5976589
229,1.5996556
230,1.6016527
231,1.6036305
232,1.6056052
233,1.6075783
234,1.6095309
235,1.6114805
236,1.6134288
237,1.6153517
238,1.6172721
239,1.6191926
240,1.6210674
241,1.6229414
242,1.6248178
243,1.6266208
244,1.6284249
245,1.6302366
246,1.6320196
247,1.6338028
248,1.6355891
249,1.6373311
250,1.6390743
251,1.6408229
252,1.6425035
253,1.644187
254,1.64588
255,1.6475015
256,1.6491274
257,1.6507652
258,1.652341
259,1.6539221
260,1.6555154
261,1.6570768
262,1.658643
263,1.6602168
264,1.6617354
265,1.6632596
266,1.6647953
267,1.6662757
268,1.6677625
269,1.6692609
270,1.6707318
271,1.6722077
272,1.6736916
273,1.6751528
274,1.6766181
275,1.6780901
276,1.6795299
277,1.6809739
278,1.6824247
279,1.6838328
280,1.6852452
281,1.6866658
282,1.6880485
283,1.6894348
284,1.6908288
285,1.6921842
286,1.6935434
287,1.6949099
288,1.6962547
289,1.6976023
290,1.698954
291,1.7002989
292,1.7016444
293,1.702991
294,1.7043142
295,1.7056376
296,1.7069628
297,1.708255
298,1.7095473
299,1.7108423
300,1.7121338
301,1.7134233
302,1.7147106
303,1.7159759
304,1.7172389
305,1.718501
306,1.7197933
307,1.7210796
308,1.7223558
309,1.7236428
310,1.7249224
311,1.7261919
312,1.7274648
313,1.7287285
314,1.7299818
315,1.731255
316,1.7325172
317,1.7337649
318,1.7350422
319,1.7363057
320,1.7375517
321,1.7388355
322,1.7401032
323,1.7413492
324,1.7426418
325,1.7439154
326,1.7451634
327,1.7464592
328,1.7477334
329,1.7489791
330,1.7503262
331,1.7516465
332,1.7529273
333,1.7542713
334,1.7555869
335,1.7568643
336,1.758248
337,1.7595977
338,1.7609
339,1.7622657
340,1.7635967
341,1.7648826
342,1.766327
343,1.7677282
344,1.769068
345,1.7705092
346,1.7719064
347,1.7732441
348,1.7746592
349,1.7760282
350,1.7773392
351,1.778736
352,1.7800846
353,1.7813728
354,1.7827153
355,1.7840103
356,1.7852479
