,0
0,0.13109356
1,0.13109304
2,0.13109252
3,0.13084891
4,0.13084842
5,0.1308479
6,0.13068908
7,0.13068858
8,0.13068806
9,0.13057558
10,0.13057509
11,0.13057457
12,0.13043246
13,0.13043196
14,0.13043144
15,0.13027129
16,0.1302708
17,0.13027026
18,0.13016304
19,0.13016255
20,0.13016203
21,0.13020961
22,0.13020912
23,0.13020863
24,0.13026415
25,0.13026364
26,0.13026312
27,0.13025856
28,0.13025805
29,0.13025755
30,0.13026012
31,0.1302596
32,0.13025907
33,0.130223
34,0.1302225
35,0.13022196
36,0.13020994
37,0.13020943
38,0.13020891
39,0.13038121
40,0.13038072
41,0.13038014
42,0.13051648
43,0.13051598
44,0.13051544
45,0.13067307
46,0.13067254
47,0.13067202
48,0.1308742
49,0.13087367
50,0.13087314
51,0.13104764
52,0.13104711
53,0.13104658
54,0.13126524
55,0.13126473
56,0.13126418
57,0.131562
58,0.13156149
59,0.13156094
60,0.13179822
61,0.1317977
62,0.1317972
63,0.13210599
64,0.13210544
65,0.13210493
66,0.13247381
67,0.1324733
68,0.13247275
69,0.1327565
70,0.13275596
71,0.13275544
72,0.13305178
73,0.13305128
74,0.13305075
75,0.1333819
76,0.13338138
77,0.13338085
78,0.13362253
79,0.13362202
80,0.13362147
81,0.13379708
82,0.13379656
83,0.13379604
84,0.13404682
85,0.13404632
86,0.13404576
87,0.13424519
88,0.13424468
89,0.13424416
90,0.13431077
91,0.13431026
92,0.13430972
93,0.13442543
94,0.13442492
95,0.1344244
96,0.1345288
97,0.1345283
98,0.13452774
99,0.13443713
100,0.13443662
101,0.13443612
102,0.13430852
103,0.13430806
104,0.1343075
105,0.13417687
106,0.13417634
107,0.13417582
108,0.13428228
109,0.13428177
110,0.13428125
111,0.13439319
112,0.13439268
113,0.13439217
114,0.1344448
115,0.13444433
116,0.13444382
117,0.13425232
118,0.13425183
119,0.13425131
120,0.13417079
121,0.13417028
122,0.13416977
123,0.13399817
124,0.1339977
125,0.13399719
126,0.13421896
127,0.13421847
128,0.13421795
129,0.13441576
130,0.13441525
131,0.13441473
132,0.1345532
133,0.1345527
134,0.13455217
135,0.13460921
136,0.13460869
137,0.1346082
138,0.13458437
139,0.13458388
140,0.13458337
141,0.13462652
142,0.13462602
143,0.13462551
144,0.13473068
145,0.13473016
146,0.13472965
147,0.13483278
148,0.1348323
149,0.13483176
150,0.13483569
151,0.13483517
152,0.13483465
153,0.13476132
154,0.1347608
155,0.13476029
156,0.13473442
157,0.13473392
158,0.13473341
159,0.1347933
160,0.13479279
161,0.13479228
162,0.13476844
163,0.13476793
164,0.1347674
165,0.13464151
166,0.13464104
167,0.13464053
168,0.1345061
169,0.13450561
170,0.1345051
171,0.13441552
172,0.13441503
173,0.13441451
174,0.13426737
175,0.13426687
176,0.13426639
177,0.13401368
178,0.13401319
179,0.1340127
180,0.1337561
181,0.13375562
182,0.13375512
183,0.13351467
184,0.1335142
185,0.13351369
186,0.13327031
187,0.13326983
188,0.13326932
189,0.13307557
190,0.13307507
191,0.13307457
192,0.13297157
193,0.1329711
194,0.1329706
195,0.13292113
196,0.13292065
197,0.13292018
198,0.13294858
199,0.13294809
200,0.13294761
201,0.13293338
202,0.1329329
203,0.13293241
204,0.13292268
205,0.13292219
206,0.13292171
207,0.13300891
208,0.13300842
209,0.13300796
210,0.1331423
211,0.13314183
212,0.13314135
213,0.13329403
214,0.13329354
215,0.13329306
216,0.13329567
217,0.1332952
218,0.1332947
219,0.13337566
220,0.13337517
221,0.13337468
222,0.13354494
223,0.13354447
224,0.13354398
225,0.13386795
226,0.13386747
227,0.133867
228,0.13421999
229,0.13421951
230,0.13421904
231,0.13432239
232,0.13432191
233,0.13432142
234,0.13466974
235,0.13466927
236,0.1346688
237,0.13501713
238,0.13501665
239,0.13501619
240,0.1354294
241,0.13542895
242,0.13542846
243,0.1359433
244,0.13594285
245,0.13594234
246,0.13640012
247,0.13639964
248,0.13639915
249,0.13685471
250,0.13685423
251,0.13685374
252,0.13733147
253,0.13733102
254,0.13733053
255,0.13786386
256,0.13786338
257,0.1378629
258,0.13838531
259,0.13838483
260,0.13838437
261,0.13882478
262,0.13882434
263,0.13882382
264,0.13928798
265,0.1392875
266,0.13928702
267,0.13977894
268,0.13977848
269,0.13977797
270,0.14017041
271,0.14016995
272,0.14016943
273,0.14054616
274,0.14054567
275,0.14054516
276,0.14065897
277,0.14065851
278,0.14065802
279,0.1406874
280,0.14068693
281,0.14068644
282,0.14071289
283,0.14071241
284,0.14071192
285,0.14080185
286,0.14080137
287,0.1408009
288,0.14085981
289,0.14085937
290,0.14085886
291,0.14071466
292,0.14071418
293,0.1407137
294,0.14051056
295,0.1405101
296,0.14050962
297,0.14047652
298,0.14047606
299,0.14047559
300,0.14024226
301,0.14024182
302,0.14024134
303,0.14002948
304,0.14002901
305,0.14002855
306,0.13994083
307,0.13994037
308,0.1399399
309,0.14009716
310,0.14009672
311,0.14009623
312,0.13961823
313,0.13961776
314,0.13961728
315,0.13940945
316,0.13940898
317,0.1394085
318,0.13936722
319,0.13936676
320,0.1393663
321,0.13929069
322,0.13929023
323,0.13928972
324,0.13930374
325,0.13930328
326,0.13930279
327,0.13929391
328,0.13929343
329,0.13929293
330,0.13902296
331,0.1390225
332,0.13902202
333,0.1387069
334,0.13870642
335,0.1387059
336,0.13848765
337,0.13848718
338,0.13848667
339,0.13820453
340,0.13820405
341,0.13820358
342,0.13792025
343,0.13791977
344,0.13791926
345,0.13763373
346,0.13763326
347,0.13763276
348,0.13731353
349,0.13731304
350,0.13731255
351,0.13693944
352,0.13693894
353,0.13693844
354,0.13653825
355,0.13653778
356,0.13653725
357,0.13607572
358,0.13607523
359,0.13607472
360,0.13563386
361,0.13563335
362,0.13563286
363,0.13518937
364,0.13518885
365,0.13518834
366,0.13469338
367,0.13469288
368,0.13469239
369,0.13420287
370,0.13420238
371,0.13420187
372,0.13374151
373,0.13374104
374,0.13374053
375,0.13330434
376,0.13330384
377,0.13330333
378,0.13287212
379,0.13287163
380,0.13287114
381,0.13246278
382,0.1324623
383,0.13246179
384,0.13203382
385,0.13203333
386,0.13203281
387,0.1316287
388,0.1316282
389,0.13162768
390,0.13128093
391,0.13128045
392,0.13127993
393,0.13096598
394,0.13096547
395,0.13096496
396,0.13062823
397,0.13062772
398,0.13062719
399,0.13027689
400,0.1302764
401,0.13027586
402,0.13003674
403,0.13003626
404,0.13003571
405,0.1299394
406,0.12993892
407,0.1299384
408,0.1298419
409,0.12984142
410,0.1298409
411,0.12970777
412,0.12970726
413,0.12970673
414,0.12963457
415,0.12963407
416,0.12963353
417,0.12955737
418,0.12955685
419,0.12955631
420,0.12952563
421,0.12952511
422,0.12952456
423,0.12960437
424,0.12960388
425,0.12960334
426,0.12975526
427,0.12975474
428,0.1297542
429,0.1298953
430,0.12989478
431,0.12989424
432,0.12998766
433,0.12998715
434,0.1299866
435,0.13006887
436,0.13006836
437,0.13006784
438,0.1301798
439,0.13017926
440,0.13017872
441,0.13039896
442,0.13039844
443,0.1303979
444,0.13069762
445,0.13069712
446,0.13069658
447,0.13100116
448,0.13100065
449,0.13100013
450,0.13133934
451,0.13133883
452,0.1313383
453,0.13164306
454,0.13164254
455,0.131642
456,0.13197586
457,0.13197534
458,0.1319748
459,0.1324738
460,0.13247328
461,0.13247274
462,0.13292426
463,0.13292374
464,0.13292322
465,0.13324028
466,0.13323979
467,0.13323924
468,0.13352595
469,0.13352545
470,0.13352488
471,0.13383968
472,0.13383918
473,0.13383865
474,0.13408737
475,0.13408688
476,0.13408631
477,0.13420331
478,0.1342028
479,0.13420226
480,0.13411352
481,0.13411301
482,0.13411246
483,0.13425201
484,0.1342515
485,0.13425098
486,0.13444322
487,0.13444273
488,0.1344422
489,0.13445367
490,0.13445316
491,0.13445261
492,0.13436374
493,0.13436325
494,0.13436271
495,0.13426624
496,0.13426577
497,0.13426523
498,0.13419746
499,0.13419694
500,0.13419642
501,0.13423324
502,0.13423273
503,0.13423221
504,0.13451816
505,0.13451764
506,0.1345171
507,0.13473812
508,0.1347376
509,0.13473707
510,0.13479473
511,0.13479424
512,0.1347937
513,0.13481222
514,0.13481173
515,0.1348112
516,0.13484234
517,0.13484186
518,0.13484132
519,0.134924
520,0.13492347
521,0.13492297
522,0.13490003
523,0.13489953
524,0.134899
525,0.13480479
526,0.13480426
527,0.13480376
528,0.13481626
529,0.13481577
530,0.13481523
531,0.13487348
532,0.13487297
533,0.13487247
534,0.13492516
535,0.13492465
536,0.1349241
537,0.13486153
538,0.13486099
539,0.1348605
540,0.13480248
541,0.134802
542,0.13480145
543,0.13478887
544,0.13478835
545,0.13478783
546,0.13475329
547,0.1347528
548,0.13475226
549,0.1346251
550,0.13462463
551,0.13462411
552,0.13445814
553,0.13445763
554,0.13445713
555,0.13428225
556,0.13428172
557,0.13428123
558,0.1340212
559,0.13402072
560,0.1340202
561,0.1339077
562,0.1339072
563,0.13390668
564,0.13364628
565,0.13364577
566,0.13364527
567,0.13350628
568,0.13350578
569,0.13350528
570,0.13322943
571,0.13322894
572,0.13322844
573,0.13304535
574,0.13304485
575,0.13304435
576,0.13285275
577,0.13285224
578,0.13285176
579,0.13266705
580,0.13266654
581,0.13266605
582,0.132579
583,0.1325785
584,0.132578
585,0.13249843
586,0.13249795
587,0.13249747
588,0.13246964
589,0.13246916
