,0
0,0.17859092
1,0.17859073
2,0.17859058
3,0.17843904
4,0.17843884
5,0.1784387
6,0.17868847
7,0.1786883
8,0.17868814
9,0.17893937
10,0.17893921
11,0.17893901
12,0.1787908
13,0.17879063
14,0.17879045
15,0.17901385
16,0.17901367
17,0.17901355
18,0.17909883
19,0.17909867
20,0.17909844
21,0.17885862
22,0.17885849
23,0.1788583
24,0.1786221
25,0.17862189
26,0.17862174
27,0.17899081
28,0.17899063
29,0.1789905
30,0.17883761
31,0.17883742
32,0.17883724
33,0.17861567
34,0.17861548
35,0.17861533
36,0.17833719
37,0.17833701
38,0.17833684
39,0.17803368
40,0.17803353
41,0.17803337
42,0.17764977
43,0.1776496
44,0.17764944
45,0.17722018
46,0.17722
47,0.17721982
48,0.17685123
49,0.17685105
50,0.17685089
51,0.17647137
52,0.17647119
53,0.176471
54,0.17600144
55,0.17600124
56,0.17600112
57,0.17547993
58,0.17547974
59,0.17547958
60,0.1750203
61,0.17502014
62,0.17502
63,0.1748255
64,0.17482536
65,0.17482518
66,0.17458922
67,0.17458907
68,0.17458889
69,0.17445609
70,0.17445591
71,0.17445575
72,0.17418432
73,0.17418416
74,0.17418396
75,0.1739881
76,0.17398793
77,0.17398776
78,0.17397217
79,0.173972
80,0.17397182
81,0.1739149
82,0.17391472
83,0.17391455
84,0.17405024
85,0.17405008
86,0.17404991
87,0.17422032
88,0.17422011
89,0.17422
90,0.17428951
91,0.17428936
92,0.17428918
93,0.17461757
94,0.17461741
95,0.17461725
96,0.17490251
97,0.17490235
98,0.17490219
99,0.17514443
100,0.17514426
101,0.17514409
102,0.17529692
103,0.17529677
104,0.17529659
105,0.1758355
106,0.17583536
107,0.17583516
108,0.1763169
109,0.17631672
110,0.17631657
111,0.17673285
112,0.17673267
113,0.17673253
114,0.1771684
115,0.1771682
116,0.17716806
117,0.1778084
118,0.17780823
119,0.17780808
120,0.17851304
121,0.17851287
122,0.1785127
123,0.1791566
124,0.17915644
125,0.17915629
126,0.1799434
127,0.17994325
128,0.17994308
129,0.18080251
130,0.18080235
131,0.18080221
132,0.18167013
133,0.18166998
134,0.18166983
135,0.18249154
136,0.1824914
137,0.18249129
138,0.18338865
139,0.1833885
140,0.18338835
141,0.18431786
142,0.18431775
143,0.1843176
144,0.18519732
145,0.18519717
146,0.18519701
147,0.18603279
148,0.18603261
149,0.18603246
150,0.18679804
151,0.1867979
152,0.18679775
153,0.18742311
154,0.18742296
155,0.18742281
156,0.18796167
157,0.18796152
158,0.18796138
159,0.18864402
160,0.1886439
161,0.18864377
162,0.1889408
163,0.18894066
164,0.1889405
165,0.18911491
166,0.18911481
167,0.18911463
168,0.18905358
169,0.18905343
170,0.18905334
171,0.1887874
172,0.18878727
173,0.18878712
174,0.18875936
175,0.18875921
176,0.1887591
177,0.18895148
178,0.18895133
179,0.18895118
180,0.18889745
181,0.18889733
182,0.18889719
183,0.18863767
184,0.18863757
185,0.18863742
186,0.18850893
187,0.1885088
188,0.18850867
189,0.1884064
190,0.18840624
191,0.18840612
192,0.18820703
193,0.18820693
194,0.18820678
195,0.1881875
196,0.18818739
197,0.18818726
198,0.18838184
199,0.1883817
200,0.18838155
201,0.18854794
202,0.18854782
203,0.18854769
204,0.18870524
205,0.1887051
206,0.18870495
207,0.18876544
208,0.18876529
209,0.18876514
210,0.18892711
211,0.18892696
212,0.18892685
213,0.18870458
214,0.18870443
215,0.18870425
216,0.18849896
217,0.18849881
218,0.18849865
219,0.18824185
220,0.18824172
221,0.18824157
222,0.18789878
223,0.18789864
224,0.18789849
225,0.18741426
226,0.18741411
227,0.18741396
228,0.18686622
229,0.18686607
230,0.18686594
231,0.18641177
232,0.1864116
233,0.18641147
234,0.1858527
235,0.18585259
236,0.18585244
237,0.18510784
238,0.1851077
239,0.18510753
240,0.18449631
241,0.18449616
242,0.18449602
243,0.18381971
244,0.18381953
245,0.18381937
246,0.1832123
247,0.18321215
248,0.18321203
249,0.18248567
250,0.18248552
251,0.18248537
252,0.18178359
253,0.18178341
254,0.18178326
255,0.1810878
256,0.18108764
257,0.1810875
258,0.18051714
259,0.18051694
260,0.18051681
261,0.18010525
262,0.18010506
263,0.1801049
264,0.17966345
265,0.1796633
266,0.1796631
267,0.17912382
268,0.17912367
269,0.17912349
270,0.17863776
271,0.17863764
272,0.17863744
273,0.17832258
274,0.1783224
275,0.17832224
276,0.17805511
277,0.17805496
278,0.17805476
279,0.17778958
280,0.17778939
281,0.17778923
282,0.1776857
283,0.1776855
284,0.17768532
285,0.17755271
286,0.17755254
287,0.17755236
288,0.17738257
289,0.17738241
290,0.17738222
291,0.17732182
292,0.17732166
293,0.17732148
294,0.1773123
295,0.17731214
296,0.17731196
297,0.17732531
298,0.17732514
299,0.17732498
300,0.17744678
301,0.17744662
302,0.17744645
303,0.17760101
304,0.17760082
305,0.17760062
306,0.17764944
307,0.17764927
308,0.17764911
309,0.17775959
310,0.17775944
311,0.17775926
312,0.1779398
313,0.17793962
314,0.17793946
315,0.1780376
316,0.1780374
317,0.17803724
318,0.1782736
319,0.17827344
320,0.17827329
321,0.17873143
322,0.17873126
323,0.17873111
324,0.17916429
325,0.1791641
326,0.17916395
327,0.17946309
328,0.1794629
329,0.17946275
330,0.17972118
331,0.17972103
332,0.17972086
333,0.18002607
334,0.1800259
335,0.18002574
336,0.18038891
337,0.18038875
338,0.18038858
339,0.18065494
340,0.18065476
341,0.18065463
342,0.18077424
343,0.18077408
344,0.1807739
345,0.18089744
346,0.18089727
347,0.1808971
348,0.18107864
349,0.1810785
350,0.18107834
351,0.18083295
352,0.1808328
353,0.18083265
354,0.18055464
355,0.18055448
356,0.18055433
357,0.18046525
358,0.1804651
359,0.18046495
360,0.18030627
361,0.18030612
362,0.18030597
363,0.18004493
364,0.18004477
365,0.18004467
366,0.17975305
367,0.1797529
368,0.17975274
369,0.179465
370,0.17946485
371,0.1794647
372,0.17925915
373,0.17925903
374,0.17925885
375,0.17923361
376,0.17923345
377,0.1792333
378,0.17939147
379,0.17939132
380,0.17939118
381,0.1795858
