,0
0,1.7775661
1,1.777566
2,1.7775662
3,1.7775662
4,1.777566
5,1.7775661
6,1.777566
7,1.7775662
8,1.7775663
9,1.7775661
10,1.7775662
11,1.7775661
12,1.7775662
13,1.7775662
14,1.7775662
15,1.7775662
16,1.7775662
17,1.7775663
18,1.7775662
19,1.7775661
20,1.7775662
21,1.7775662
22,1.7775663
23,1.7775662
24,1.7775662
25,1.7775662
26,1.7775663
27,1.7775663
28,1.7775662
29,1.7775662
30,1.7775663
31,1.7775663
32,1.7775663
33,1.7775663
34,1.7775663
35,1.7775663
36,1.7775663
37,1.7775663
38,1.7775663
39,1.7775662
40,1.7775664
41,1.7775663
42,1.7775664
43,1.7775663
44,1.7775663
45,1.7775666
46,1.7775664
47,1.7775664
48,1.7775663
49,1.7775663
50,1.7775664
51,1.7775664
52,1.7775664
53,1.7775663
54,1.7775663
55,1.7775663
56,1.7775662
57,1.777566
58,1.7775658
59,1.7775657
60,1.7775656
61,1.7775654
62,1.7775654
63,1.7775651
64,1.7775649
65,1.7775649
66,1.7775648
67,1.7775644
68,1.7775645
69,1.7775643
70,1.777564
71,1.777564
72,1.777564
73,1.7775636
74,1.7775636
75,1.7775635
76,1.7775633
77,1.7775631
78,1.777563
79,1.777563
80,1.7775627
81,1.7775625
82,1.7775624
83,1.7775623
84,1.7775621
85,1.777562
86,1.777562
87,1.7775617
88,1.7775615
89,1.7775615
90,1.7775614
91,1.7775611
92,1.7775611
93,1.777561
94,1.7775608
95,1.7775605
96,1.7775605
97,1.7775604
98,1.77756
99,1.77756
100,1.7775599
101,1.7775596
102,1.7775595
103,1.7775595
104,1.7775592
105,1.7775592
106,1.7775592
107,1.7775589
108,1.7775587
109,1.7775587
110,1.7775584
111,1.7775583
112,1.7775581
113,1.777558
114,1.7775578
115,1.7775577
116,1.7775576
117,1.7775576
118,1.7775573
119,1.7775571
120,1.7775571
121,1.7775569
122,1.7775567
123,1.7775567
124,1.7775565
125,1.7775563
126,1.7775562
127,1.7775561
128,1.777556
129,1.7775558
130,1.7775556
131,1.7775556
132,1.7775552
133,1.7775551
134,1.7775551
135,1.7775549
136,1.7775546
137,1.7775546
138,1.7775545
139,1.7775544
140,1.7775542
141,1.777554
142,1.7775539
143,1.7775538
144,1.7775536
145,1.7775534
146,1.7775533
147,1.7775531
148,1.7775531
149,1.777553
150,1.7775527
151,1.7775527
152,1.7775525
153,1.7775524
154,1.7775525
155,1.7775524
156,1.7775522
157,1.7775522
158,1.7775522
159,1.7775522
160,1.777552
161,1.7775519
162,1.777552
163,1.7775519
164,1.777552
165,1.7775518
166,1.7775518
167,1.7775519
168,1.7775518
169,1.7775518
170,1.7775514
171,1.7775515
172,1.7775515
173,1.7775515
174,1.7775515
175,1.7775513
176,1.7775512
177,1.7775513
178,1.7775513
179,1.7775512
180,1.7775509
181,1.777551
182,1.777551
183,1.7775509
184,1.7775509
185,1.7775508
186,1.777551
187,1.7775508
188,1.7775508
189,1.7775507
190,1.7775506
191,1.7775507
192,1.7775506
193,1.7775506
194,1.7775505
195,1.7775503
196,1.7775505
197,1.7775503
198,1.7775503
199,1.7775502
200,1.7775501
201,1.7775502
202,1.7775501
203,1.7775497
204,1.7775499
205,1.7775497
206,1.7775495
207,1.7775495
208,1.7775495
209,1.7775493
210,1.7775493
211,1.7775494
212,1.7775491
213,1.777549
214,1.7775489
215,1.7775489
216,1.7775487
217,1.7775486
218,1.7775486
219,1.7775486
220,1.7775483
221,1.7775483
222,1.7775482
223,1.7775481
224,1.7775481
225,1.7775481
226,1.7775478
227,1.7775477
228,1.7775477
229,1.7775476
230,1.7775475
231,1.7775475
232,1.7775474
233,1.7775474
234,1.777547
235,1.7775471
236,1.7775471
237,1.7775469
238,1.7775469
239,1.7775469
240,1.7775465
241,1.7775465
242,1.7775465
243,1.7775463
244,1.7775463
245,1.7775463
246,1.777546
247,1.7775459
248,1.7775459
249,1.7775458
250,1.7775458
251,1.7775457
252,1.7775456
253,1.7775455
254,1.7775453
255,1.7775453
256,1.7775453
257,1.777545
258,1.777545
259,1.777545
260,1.7775449
261,1.7775447
262,1.7775449
263,1.7775445
264,1.7775445
265,1.7775445
266,1.7775443
267,1.7775443
268,1.7775443
269,1.777544
270,1.7775441
271,1.7775437
272,1.7775434
273,1.7775435
274,1.7775433
275,1.7775431
276,1.7775431
277,1.7775428
278,1.7775428
279,1.7775425
280,1.7775422
281,1.777542
282,1.7775419
283,1.7775416
284,1.7775413
285,1.7775412
286,1.7775409
287,1.7775407
288,1.7775404
289,1.7775401
290,1.7775397
291,1.7775396
292,1.7775395
293,1.7775391
294,1.7775389
295,1.7775389
296,1.7775385
297,1.7775383
298,1.7775381
299,1.7775378
300,1.7775375
301,1.7775373
302,1.7775369
303,1.7775367
304,1.7775365
305,1.7775363
306,1.7775362
307,1.7775358
308,1.7775357
309,1.7775354
310,1.7775352
311,1.7775351
312,1.7775346
313,1.7775344
314,1.7775341
315,1.7775339
316,1.7775337
317,1.7775335
318,1.7775333
319,1.7775329
320,1.7775327
321,1.7775326
322,1.7775322
323,1.7775321
324,1.7775319
325,1.7775315
326,1.7775311
327,1.777531
328,1.777531
329,1.7775308
330,1.7775304
331,1.7775303
332,1.7775304
333,1.7775301
334,1.7775298
335,1.7775298
336,1.7775297
337,1.7775294
338,1.7775292
339,1.7775292
340,1.7775291
341,1.7775288
342,1.7775288
343,1.7775288
344,1.7775283
345,1.7775284
346,1.7775284
347,1.777528
348,1.7775279
349,1.7775278
350,1.7775276
351,1.7775275
352,1.7775273
353,1.7775272
354,1.777527
355,1.7775271
356,1.7775269
357,1.7775267
358,1.7775264
359,1.7775264
360,1.7775263
