,0
0,1.3324355
1,1.3291879
2,1.3260258
3,1.3226023
4,1.3189108
5,1.3150264
6,1.3108888
7,1.3066064
8,1.3022177
9,1.2977147
10,1.2931498
11,1.2885554
12,1.2838957
13,1.2792524
14,1.2746564
15,1.2700852
16,1.2655957
17,1.2612113
18,1.2568657
19,1.2526512
20,1.2485898
21,1.2446116
22,1.2407974
23,1.2371626
24,1.2336831
25,1.2303839
26,1.2272716
27,1.2242736
28,1.2214638
29,1.2188499
30,1.2163732
31,1.2140815
32,1.2119786
33,1.2100135
34,1.208226
35,1.2066171
36,1.2051587
37,1.2038648
38,1.2027332
39,1.2017468
40,1.2009095
41,1.2002176
42,1.1997559
43,1.1994252
44,1.199212
45,1.1990991
46,1.1991043
47,1.1992258
48,1.1994807
49,1.1998391
50,1.2002954
51,1.2008183
52,1.2014327
53,1.2021383
54,1.202944
55,1.2038295
56,1.2047904
57,1.205826
58,1.2069317
59,1.2081045
60,1.2093694
61,1.2106936
62,1.2120721
63,1.2135081
64,1.2149962
65,1.2165343
66,1.218141
67,1.2197917
68,1.2214824
69,1.2232996
70,1.2251513
71,1.2270273
72,1.2289674
73,1.230938
74,1.2329339
75,1.2350298
76,1.2371488
77,1.2392821
78,1.241515
79,1.2437651
80,1.2460237
81,1.2484474
82,1.25088
83,1.2533058
84,1.2558142
85,1.2583262
86,1.2608331
87,1.263375
88,1.265918
89,1.2684586
90,1.2711363
91,1.2738098
92,1.2764654
93,1.2791514
94,1.281834
95,1.2845092
96,1.2872853
97,1.2900516
98,1.292798
99,1.2955158
100,1.2982283
101,1.3009368
102,1.3036833
103,1.3064214
104,1.3091482
105,1.3119086
106,1.3146613
107,1.3174021
108,1.3201706
109,1.3229302
110,1.3256775
111,1.3283951
112,1.3311064
113,1.3338138
114,1.3366396
115,1.3394524
116,1.342241
117,1.3450572
118,1.347863
119,1.3506539
120,1.3535432
121,1.3564181
122,1.3592682
123,1.3621249
124,1.3649703
125,1.367803
126,1.3706797
127,1.3735431
128,1.3763884
129,1.3792402
130,1.382081
131,1.3849087
132,1.3877056
133,1.3904934
134,1.3932745
135,1.396094
136,1.3989024
137,1.4016958
138,1.4045143
139,1.4073238
140,1.4101213
141,1.4129541
142,1.4157771
143,1.4185864
144,1.4214125
145,1.4242299
146,1.4270358
147,1.4298384
148,1.4326338
149,1.435421
150,1.4382676
151,1.4411047
152,1.4439255
153,1.4467452
154,1.449557
155,1.4523599
156,1.4551216
157,1.457878
158,1.4606323
159,1.4633665
160,1.4660954
161,1.4688213
162,1.4715252
163,1.4742256
164,1.4769242
165,1.4796412
166,1.482354
167,1.4850612
168,1.4877028
169,1.4903443
170,1.4929909
171,1.4956785
172,1.4983627
173,1.5010396
174,1.5036479
175,1.5062568
176,1.508872
177,1.5114121
178,1.5139532
179,1.5165029
180,1.5190623
181,1.521622
182,1.5241804
183,1.5266758
184,1.5291739
185,1.5316801
186,1.5340949
187,1.5365144
188,1.5389482
189,1.5413077
190,1.5436738
191,1.5460542
192,1.5483725
193,1.5506986
194,1.5530388
195,1.5553253
196,1.5576198
197,1.5599273
198,1.5621731
199,1.5644273
200,1.5666963
201,1.5688732
202,1.57106
203,1.5732663
204,1.5753658
205,1.5774772
206,1.5796118
207,1.5816953
208,1.5837901
209,1.585902
210,1.5879679
211,1.5900449
212,1.5921377
213,1.5941608
214,1.5961955
215,1.5982492
216,1.6002264
217,1.6022155
218,1.6042246
219,1.6061537
220,1.6080949
221,1.6100569
222,1.6119224
223,1.6138012
224,1.6157032
225,1.6176115
226,1.6195296
227,1.6214576
228,1.6232896
229,1.6251341
230,1.6269999
231,1.6287763
232,1.6305643
233,1.6323737
234,1.6341858
235,1.6360065
236,1.6378361
237,1.6396022
238,1.6413778
239,1.6431696
240,1.6448812
241,1.646603
242,1.6483426
243,1.6500852
244,1.6518339
245,1.653589
246,1.6553001
247,1.6570183
248,1.6587468
249,1.6603884
250,1.6620375
251,1.6637028
252,1.6653037
253,1.6669123
254,1.6685344
255,1.6701183
256,1.6717085
257,1.673309
258,1.6749004
259,1.6764959
260,1.6780969
261,1.6796465
262,1.6812007
263,1.6827643
264,1.6843023
265,1.6858432
266,1.6873891
267,1.688942
268,1.6904953
269,1.6920481
270,1.6935679
271,1.695088
272,1.6966119
273,1.698113
274,1.6996132
275,1.7011137
276,1.7026043
277,1.7040923
278,1.7055782
279,1.7071351
280,1.7086842
281,1.7102176
282,1.7117431
283,1.7132608
284,1.7147696
285,1.7162507
286,1.7177222
287,1.7191864
288,1.720785
289,1.7223662
290,1.7239158
291,1.7254512
292,1.7269717
293,1.7284749
294,1.7300675
295,1.7316375
296,1.7331738
297,1.7347962
298,1.7363921
299,1.7379507
300,1.739522
301,1.741067
302,1.7425814
303,1.7442399
304,1.7458638
305,1.747437
306,1.7489737
307,1.7504811
308,1.7519581
309,1.7535751
310,1.7551539
311,1.7566793
312,1.7582015
313,1.7596899
314,1.7611414
315,1.7625858
316,1.7639964
317,1.7653718
318,1.766785
319,1.7681639
320,1.7695022
321,1.77086
322,1.7721839
323,1.7734699
324,1.774772
325,1.776041
326,1.7772726
327,1.7785887
328,1.7798678
329,1.7810998
