,0
0,1.872685
1,1.8760226
2,1.8787714
3,1.8812271
4,1.8834091
5,1.8852628
6,1.8867352
7,1.8878199
8,1.8884885
9,1.8887017
10,1.888438
11,1.8876686
12,1.8863504
13,1.8844749
14,1.88202
15,1.8789358
16,1.8752396
17,1.8709228
18,1.8659639
19,1.8603759
20,1.854164
21,1.8473101
22,1.8398597
23,1.8318385
24,1.823238
25,1.8141271
26,1.8045483
27,1.794507
28,1.7840862
29,1.7733384
30,1.7622724
31,1.7509811
32,1.7395213
33,1.7278941
34,1.716199
35,1.7044879
36,1.6927228
37,1.681026
38,1.669444
39,1.6579175
40,1.6465678
41,1.6354313
42,1.6244398
43,1.6136988
44,1.6032346
45,1.592966
46,1.5829928
47,1.5733325
48,1.5638987
49,1.5547805
50,1.5459883
51,1.5374113
52,1.5291523
53,1.5212188
54,1.5134852
55,1.5060599
56,1.4989479
57,1.4920413
58,1.4854239
59,1.4790972
60,1.4729636
61,1.4670969
62,1.4614965
63,1.456036
64,1.450819
65,1.4458479
66,1.4410765
67,1.4365206
68,1.4321749
69,1.4279587
70,1.4239355
71,1.4201037
72,1.4163612
73,1.4127897
74,1.4093903
75,1.4060879
76,1.4029348
77,1.399931
78,1.3969934
79,1.3941875
80,1.3915138
81,1.3888569
82,1.3863162
83,1.3838971
84,1.3815448
85,1.3792925
86,1.3771402
87,1.3750031
88,1.3729556
89,1.3710006
90,1.3690444
91,1.3671669
92,1.3653729
93,1.3635541
94,1.3618057
95,1.3601347
96,1.3584476
97,1.3568227
98,1.3552663
99,1.3537139
100,1.3522161
101,1.3507761
102,1.349345
103,1.3479618
104,1.3466283
105,1.3452842
106,1.3439829
107,1.3427281
108,1.341442
109,1.340195
110,1.3389915
111,1.3377676
112,1.336578
113,1.3354267
114,1.334311
115,1.3332229
116,1.3321606
117,1.3310815
118,1.3300279
119,1.3290025
120,1.3280058
121,1.3270288
122,1.3260697
123,1.3251327
124,1.3242123
125,1.323307
126,1.3224295
127,1.3215649
128,1.3207108
129,1.3198793
130,1.3190583
131,1.3182455
132,1.3174472
133,1.3166562
134,1.3158711
135,1.3151212
136,1.3143758
137,1.3136314
138,1.3129145
139,1.3122007
140,1.3114867
141,1.310824
142,1.3101608
143,1.3094914
144,1.3087767
145,1.3080636
146,1.307356
147,1.3067024
148,1.3060453
149,1.3053802
150,1.3047595
151,1.3041347
152,1.3035005
153,1.3029186
154,1.3023298
155,1.3017278
156,1.301105
157,1.300477
158,1.2998447
159,1.299278
160,1.2987018
161,1.298109
162,1.2975647
163,1.2970103
164,1.2964395
165,1.2959238
166,1.2953957
167,1.2948484
168,1.29436
169,1.2938575
170,1.2933334
171,1.2928145
172,1.292283
173,1.291737
174,1.2912349
175,1.2907181
176,1.2901809
177,1.2896762
178,1.2891568
179,1.2886177
180,1.2881216
181,1.2876092
182,1.2870755
183,1.2866653
184,1.2862337
185,1.2857672
186,1.285323
187,1.2848604
188,1.2843742
189,1.2839131
190,1.2834326
191,1.2829287
192,1.2824336
193,1.2819204
194,1.2813865
195,1.2808707
196,1.2803369
197,1.2797822
198,1.279261
199,1.2787222
200,1.2781607
201,1.2775946
202,1.2770128
203,1.2764146
204,1.2758334
205,1.2752364
206,1.274621
207,1.274004
208,1.2733732
209,1.2727277
210,1.272075
211,1.2714095
212,1.270731
213,1.2700766
214,1.2694088
215,1.2687249
216,1.2680663
217,1.2673945
218,1.2667066
219,1.2660322
220,1.2653453
221,1.2646437
222,1.2639333
223,1.2632122
