,0
0,0.75317705
1,0.7595597
2,0.7650462
3,0.770296
4,0.7753541
5,0.7801403
6,0.78462213
7,0.7888155
8,0.7927182
9,0.79630476
10,0.7995997
11,0.8026087
12,0.80532
13,0.807759
14,0.8099366
15,0.8118466
16,0.8135176
17,0.81496286
18,0.8161934
19,0.8172236
20,0.8180644
21,0.8187253
22,0.81922424
23,0.81957245
24,0.81976634
25,0.81983405
26,0.8197854
27,0.8196088
28,0.8193333
29,0.8189679
30,0.8184912
31,0.8179381
32,0.81731695
33,0.81660783
34,0.81584036
35,0.81502074
36,0.8141291
37,0.81319314
38,0.8122179
39,0.811177
40,0.81010187
41,0.80899704
42,0.80783856
43,0.80665255
44,0.80544376
45,0.80418795
46,0.80291045
47,0.80161506
48,0.8002806
49,0.79892814
50,0.79756135
51,0.79615676
52,0.7947367
53,0.7933042
54,0.7918367
55,0.7903562
56,0.78886557
57,0.7873482
58,0.78581935
59,0.7842812
60,0.7827208
61,0.7811501
62,0.7795707
63,0.77796626
64,0.7763525
65,0.7747309
66,0.77308637
67,0.7714324
68,0.7697712
69,0.7680918
70,0.76640344
71,0.76470804
72,0.7629955
73,0.761275
74,0.75954735
75,0.7578083
76,0.7560618
77,0.75430804
78,0.75255364
79,0.7507916
80,0.7490225
81,0.7472537
82,0.7454787
83,0.74369615
84,0.74191433
85,0.7401264
86,0.73833174
87,0.7365452
88,0.73475224
89,0.7329532
90,0.7311598
91,0.7293611
92,0.72755647
93,0.7257793
94,0.72399765
95,0.72220814
96,0.7204483
97,0.7186847
98,0.7169137
99,0.7151678
100,0.71341866
101,0.71166277
102,0.70993793
103,0.70820975
104,0.7064756
105,0.70477897
106,0.70307994
107,0.7013742
108,0.69969064
109,0.6980049
110,0.6963144
111,0.6946784
112,0.69304043
113,0.6913945
114,0.6897935
115,0.68819106
116,0.68658197
117,0.6850154
118,0.68344724
119,0.6818729
120,0.6803403
121,0.6788065
122,0.6772672
123,0.67576957
124,0.6742709
125,0.67276686
126,0.67130685
127,0.66984606
128,0.66837907
129,0.66695577
130,0.66553175
131,0.6641015
132,0.66271305
133,0.6613233
134,0.6599283
135,0.65857136
136,0.65721357
137,0.65585065
138,0.6545312
139,0.6532108
140,0.65188456
141,0.65060306
142,0.6493204
143,0.6480316
144,0.64677787
145,0.64552283
146,0.6442626
147,0.64304024
148,0.6418163
149,0.640587
150,0.63939834
151,0.6382081
152,0.6370118
153,0.6358535
154,0.63469386
155,0.6335281
156,0.6323995
157,0.631269
158,0.63013256
159,0.6290326
160,0.62793076
161,0.62682277
162,0.62574947
