,0
0,0.81884784
1,0.8188472
2,0.8188467
3,0.81884605
4,0.81884545
5,0.8188449
6,0.8188443
7,0.81884366
8,0.81884307
9,0.81884253
10,0.81884193
11,0.8188413
12,0.81884074
13,0.8188402
14,0.81883955
15,0.8188389
16,0.8188384
17,0.8188379
18,0.8188372
19,0.8188366
20,0.818836
21,0.81883544
22,0.8188348
23,0.8188342
24,0.8188337
25,0.81883305
26,0.8188324
27,0.8188318
28,0.8188312
29,0.81883055
30,0.8188299
31,0.8188293
32,0.81882876
33,0.8188281
34,0.8188274
35,0.81882674
36,0.81882614
37,0.81882554
38,0.81882495
39,0.8188243
40,0.8188236
41,0.818823
42,0.8188224
43,0.8188217
44,0.81882113
45,0.81882036
46,0.81881976
47,0.8188191
48,0.8188186
49,0.8188179
50,0.81881726
51,0.8188165
52,0.81881595
53,0.8188153
54,0.8188147
55,0.81881404
56,0.8188133
57,0.8188127
58,0.818812
59,0.8188115
60,0.8188108
61,0.81881016
62,0.81880945
63,0.81880885
64,0.81880814
65,0.8188075
66,0.8188069
67,0.8188062
68,0.81880563
69,0.8188049
70,0.81880414
71,0.81880355
72,0.81880295
73,0.8188023
74,0.81880164
75,0.8188009
76,0.81880033
77,0.8187996
78,0.818799
79,0.8187983
80,0.81879765
81,0.81879705
82,0.8187963
83,0.81879556
84,0.818795
85,0.8187943
86,0.81879354
87,0.8187929
88,0.81879234
89,0.8187916
90,0.818791
91,0.8187904
92,0.81878966
93,0.818789
94,0.81878835
95,0.8187877
96,0.818787
97,0.8187863
98,0.8187857
99,0.818785
100,0.8187844
101,0.81878376
102,0.81878304
103,0.8187824
104,0.8187817
105,0.8187811
106,0.8187804
107,0.8187797
108,0.8187791
109,0.81877846
110,0.81877774
111,0.81877714
112,0.8187764
113,0.8187759
114,0.8187752
115,0.81877446
116,0.8187739
117,0.8187733
118,0.81877273
119,0.818772
120,0.8187715
121,0.8187709
122,0.8187702
123,0.8187696
124,0.818769
125,0.8187683
126,0.8187677
127,0.8187672
128,0.8187664
129,0.8187659
130,0.81876534
131,0.81876475
132,0.8187641
133,0.81876343
134,0.81876284
135,0.8187622
136,0.8187616
137,0.8187611
138,0.81876045
139,0.81875986
140,0.81875926
141,0.8187587
142,0.8187581
143,0.8187574
144,0.8187568
145,0.8187562
146,0.8187557
147,0.81875503
148,0.81875443
149,0.8187539
150,0.8187533
151,0.8187527
152,0.8187521
153,0.8187515
154,0.818751
155,0.8187504
156,0.8187497
157,0.8187491
158,0.8187487
159,0.81874806
160,0.81874734
161,0.8187468
162,0.8187463
163,0.8187457
164,0.8187451
165,0.81874454
166,0.81874394
167,0.81874335
168,0.8187429
169,0.8187423
170,0.8187416
171,0.8187411
172,0.81874055
173,0.8187399
174,0.8187394
175,0.81873876
176,0.8187382
177,0.81873775
178,0.818737
179,0.81873643
180,0.81873584
181,0.8187353
182,0.8187347
183,0.8187341
184,0.8187335
185,0.818733
186,0.81873244
187,0.8187317
188,0.8187312
189,0.8187306
190,0.8187301
191,0.81872946
192,0.8187289
193,0.8187284
194,0.81872773
195,0.8187272
196,0.81872654
197,0.81872594
198,0.81872535
199,0.8187248
200,0.81872416
201,0.8187236
202,0.81872296
203,0.81872237
204,0.81872183
205,0.81872123
206,0.8187207
207,0.81872
208,0.81871945
209,0.8187188
210,0.8187182
211,0.81871766
212,0.8187171
213,0.8187165
214,0.8187159
215,0.8187153
216,0.81871474
217,0.8187141
218,0.81871355
219,0.81871283
220,0.81871235
221,0.81871164
222,0.81871104
223,0.81871045
224,0.81870985
225,0.8187093
226,0.81870866
227,0.8187081
228,0.8187074
229,0.8187068
230,0.8187062
231,0.8187056
232,0.8187051
233,0.81870437
234,0.81870383
235,0.8187032
236,0.81870246
237,0.818702
238,0.8187013
239,0.8187007
240,0.8187001
241,0.8186995
242,0.8186989
243,0.8186983
244,0.81869763
245,0.81869704
246,0.8186963
247,0.8186958
248,0.8186952
249,0.8186946
250,0.8186938
251,0.8186932
252,0.8186926
