,0
0,0.76715577
1,0.75882614
2,0.75710315
3,0.75614303
4,0.7491235
5,0.7414427
6,0.73897624
7,0.73692185
8,0.73071456
9,0.7246186
10,0.721643
11,0.7188906
12,0.71413976
13,0.70934457
14,0.7063701
15,0.7039136
16,0.70032287
17,0.69676054
18,0.6944502
19,0.69241226
20,0.68984026
21,0.6874674
22,0.68573976
23,0.6841871
24,0.6824822
25,0.68090653
26,0.67967635
27,0.67857665
28,0.6774314
29,0.6763886
30,0.67552274
31,0.6747253
32,0.6739481
33,0.67323995
34,0.6726138
35,0.67203903
36,0.6714978
37,0.67099655
38,0.6705404
39,0.67011553
40,0.66972005
41,0.66935885
42,0.6690209
43,0.66870683
44,0.66842484
45,0.66816366
46,0.6679198
47,0.66770196
48,0.6675071
49,0.6673305
50,0.6671735
51,0.6670368
52,0.6669213
53,0.6668254
54,0.6667461
55,0.6666867
56,0.6666491
57,0.6666285
58,0.6666257
59,0.66664344
60,0.6666806
61,0.6667358
62,0.6668096
63,0.6669035
64,0.66701657
65,0.66714793
66,0.6672991
67,0.6674703
68,0.6676599
69,0.6678687
70,0.6680976
71,0.66834575
72,0.66861403
73,0.66890144
74,0.6692074
75,0.6695354
76,0.6698824
77,0.67024696
78,0.6706319
79,0.6710367
80,0.67145944
81,0.6719032
82,0.67236495
83,0.6728447
84,0.6733512
85,0.6738753
86,0.6744121
87,0.67497724
88,0.6755636
89,0.6761613
90,0.6767838
91,0.6774274
92,0.67808473
93,0.6787709
94,0.6794742
95,0.6801881
96,0.680937
97,0.6817042
98,0.6824764
99,0.683286
100,0.6841172
101,0.6849507
102,0.68582034
103,0.6867113
104,0.6876053
105,0.6885354
106,0.6894843
107,0.6904345
108,0.6914252
109,0.6924326
110,0.6934369
111,0.6944821
112,0.69554466
113,0.6966026
114,0.69770086
115,0.6988144
116,0.69992244
117,0.70107126
118,0.7022332
119,0.70338696
120,0.704584
121,0.7057926
122,0.7069895
123,0.70822453
124,0.70947146
125,0.7107083
126,0.7119825
127,0.7132632
128,0.71453226
129,0.71583605
130,0.7171432
131,0.71843946
132,0.71976894
133,0.72109836
134,0.7224156
135,0.72377515
136,0.7251332
137,0.7264688
138,0.72783947
139,0.7292135
140,0.7305697
141,0.7319531
142,0.7333338
143,0.7347005
144,0.73609436
145,0.7374793
146,0.738849
147,0.7402469
148,0.74163604
149,0.7430061
150,0.7443973
151,0.7457809
152,0.7471494
153,0.7485341
154,0.74990666
155,0.7512662
156,0.75264955
157,0.7540181
158,0.7553658
159,0.7567313
160,0.7580875
161,0.7594265
162,0.7607642
163,0.76209015
164,0.76341254
165,0.7647401
166,0.7660438
167,0.7673377
168,0.76864415
169,0.76993287
170,0.77120376
171,0.7724732
172,0.77373135
173,0.7749822
174,0.7762273
175,0.7774533
176,0.77867484
177,0.7799025
178,0.7811099
179,0.7823022
180,0.7834961
181,0.7846786
182,0.7858489
183,0.7870031
184,0.7881455
185,0.78928894
186,0.7904128
187,0.7915162
188,0.79262227
189,0.79372007
190,0.79479694
191,0.79586685
192,0.79693455
193,0.7979886
194,0.7990303
195,0.8000642
196,0.8010895
197,0.80210596
198,0.80310416
199,0.8040926
200,0.80508
201,0.80604774
202,0.80699974
203,0.8079531
204,0.8088935
205,0.8098171
206,0.81073666
207,0.8116429
208,0.81253743
209,0.81342727
210,0.81429833
211,0.81515807
212,0.8160181
213,0.81686646
214,0.81770027
215,0.8185281
216,0.8193442
217,0.82015115
218,0.82095253
219,0.82173413
220,0.8225065
221,0.8232802
222,0.8240425
223,0.8247897
224,0.8255321
225,0.82626915
226,0.82699627
227,0.82771313
228,0.82841754
229,0.8291161
230,0.8298104
231,0.83048874
232,0.83115697
233,0.831824
234,0.83248377
235,0.83312994
236,0.8337698
237,0.83440715
238,0.83503574
239,0.835654
240,0.8362655
241,0.836871
242,0.83746976
243,0.8380572
244,0.838636
245,0.8392123
246,0.83978313
247,0.8403421
248,0.8408948
249,0.8414478
250,0.84199095
251,0.8425241
252,0.8430488
253,0.84356636
254,0.8440811
255,0.8445842
256,0.84507436
257,0.84556454
258,0.84605724
259,0.84653443
260,0.84700054
261,0.847482
262,0.8479558
263,0.8484091
264,0.8488671
265,0.84932494
266,0.84977084
267,0.85021234
268,0.8506459
269,0.85107595
270,0.8515088
271,0.85192597
272,0.8523336
273,0.85275036
274,0.85315585
275,0.853547
276,0.8539553
277,0.8543546
278,0.85473317
279,0.85512954
280,0.8555224
281,0.8558934
282,0.8562731
283,0.85664946
284,0.8570117
285,0.85738236
286,0.85774165
287,0.8580882
288,0.8584565
289,0.8588126
290,0.8591434
291,0.85950434
292,0.8598619
293,0.8601874
294,0.860538
295,0.8608898
296,0.86121356
297,0.8615457
298,0.86187595
299,0.8621916
300,0.86253273
301,0.8628592
302,0.8631563
303,0.8634827
304,0.8638069
305,0.8640979
306,0.86442006
307,0.86474156
308,0.86502796
309,0.86533976
310,0.8656531
311,0.86593467
312,0.86624897
313,0.8665584
314,0.86682916
315,0.8671337
316,0.867438
317,0.8677028
318,0.86798763
319,0.86827385
320,0.86853206
321,0.86881053
322,0.8690819
323,0.8693252
324,0.86959213
325,0.8698515
326,0.87008154
327,0.87032837
328,0.87057006
329,0.8707887
330,0.8710234
331,0.8712496
332,0.8714536
333,0.8716744
334,0.87188697
335,0.87207806
336,0.8722835
337,0.87248135
338,0.8726604
339,0.87285244
340,0.87303567
341,0.8732019
342,0.873379
343,0.8735469
344,0.8737002
345,0.8738681
346,0.87402654
347,0.8741681
348,0.87432563
349,0.8744779
350,0.8746124
351,0.8747567
352,0.87489676
353,0.8750265
354,0.8751612
355,0.8752877
356,0.8754084
357,0.87553775
358,0.87565684
359,0.87576705
360,0.8758881
361,0.8760022
362,0.8761068
363,0.8762157
364,0.8763207
365,0.8764219
366,0.8765281
367,0.87662727
368,0.8767221
369,0.87682915
370,0.8769294
371,0.87702054
372,0.8771207
373,0.87722045
374,0.877312
375,0.8774121
376,0.8775108
377,0.8776025
378,0.8777082
379,0.8778122
380,0.8779042
381,0.87801117
382,0.8781207
383,0.8782166
384,0.87832415
385,0.87843585
386,0.87853616
387,0.87864697
388,0.87876004
389,0.87886155
390,0.8789723
391,0.8790855
392,0.8791881
393,0.8793006
394,0.879415
395,0.87951714
396,0.87963325
397,0.8797515
398,0.87985426
399,0.87997
400,0.880091
401,0.8801964
402,0.8803113
403,0.8804319
404,0.88053924
405,0.8806517
406,0.8807679
407,0.88087475
408,0.88098866
409,0.88110363
410,0.8812071
411,0.8813223
412,0.8814395
413,0.8815418
414,0.881655
415,0.88177216
416,0.8818756
417,0.88198566
418,0.88210034
419,0.88220346
420,0.8823135
421,0.88242626
422,0.88252765
423,0.882637
424,0.88274837
425,0.8828483
426,0.8829541
427,0.8830623
428,0.88316035
429,0.88326293
430,0.8833678
431,0.88346267
432,0.88356113
433,0.88366157
434,0.8837536
435,0.88384736
436,0.8839419
437,0.884031
438,0.8841219
439,0.88421255
440,0.8842976
441,0.8843851
442,0.8844727
443,0.8845547
444,0.8846376
445,0.8847213
446,0.8848005
447,0.884879
448,0.88495773
449,0.88503385
450,0.88510746
451,0.88518023
452,0.88525176
453,0.88532203
454,0.88538986
455,0.8854566
456,0.8855221
457,0.88558555
458,0.8856481
459,0.8857111
460,0.8857723
461,0.8858311
462,0.8858892
463,0.8859474
464,0.8860043
465,0.8860555
466,0.8861064
467,0.8861603
468,0.8862086
469,0.88625246
470,0.8863
471,0.8863483
472,0.88639146
473,0.88643336
474,0.8864783
475,0.88652337
476,0.88656414
477,0.886603
478,0.8866446
479,0.88668674
480,0.8867246
481,0.88676167
482,0.8868011
483,0.88684314
484,0.88688153
485,0.8869171
486,0.8869569
487,0.88699764
488,0.8870336
489,0.88707113
490,0.8871117
491,0.88714886
492,0.88718784
493,0.8872278
494,0.88726455
495,0.8873092
496,0.8873535
497,0.8873894
498,0.88743675
499,0.8874883
500,0.8875262
501,0.88757443
502,0.8876295
503,0.8876717
504,0.8877223
505,0.8877783
506,0.8878224
507,0.88787377
508,0.88792926
509,0.88797283
510,0.88802433
511,0.888079
512,0.88812095
513,0.8881696
514,0.8882213
515,0.8882611
516,0.88830686
517,0.8883543
518,0.88839144
519,0.88843036
520,0.88847136
521,0.8885044
522,0.8885373
523,0.88857013
524,0.888598
525,0.88862604
526,0.88865256
527,0.88867474
528,0.8886968
529,0.88871735
530,0.888734
531,0.8887505
532,0.88876516
533,0.8887769
534,0.8887869
535,0.88879555
536,0.88880235
537,0.8888069
538,0.8888092
539,0.8888115
540,0.88880986
541,0.8888058
542,0.88880354
543,0.88879627
544,0.8887855
545,0.88877785
546,0.88876677
547,0.88875073
548,0.8887381
549,0.8887231
550,0.88870543
551,0.88868946
552,0.8886694
553,0.88864857
554,0.88863164
555,0.8886073
556,0.8885803
557,0.8885615
558,0.888539
559,0.8885103
560,0.8884875
561,0.88846415
562,0.8884383
563,0.8884139
564,0.88839245
565,0.88837135
566,0.8883493
567,0.8883256
568,0.888305
569,0.888288
570,0.88827556
571,0.8882624
572,0.8882458
573,0.88823754
574,0.8882327
575,0.88822216
576,0.8882121
577,0.88820857
578,0.88820475
579,0.888201
580,0.888198
581,0.8881956
582,0.8882028
583,0.8882091
584,0.88820714
585,0.8882182
586,0.888235
587,0.88823915
588,0.88824886
589,0.8882675
590,0.8882791
591,0.88828975
592,0.88830465
593,0.88831794
594,0.8883344
595,0.8883498
596,0.88836056
597,0.8883803
598,0.8884008
599,0.8884115
600,0.88843006
601,0.88845325
602,0.88846713
603,0.8884847
604,0.88850677
605,0.8885226
606,0.88853997
607,0.88855946
608,0.8885742
609,0.88859326
610,0.8886125
611,0.88862514
612,0.88864446
613,0.8886651
614,0.8886772
615,0.8886948
616,0.8887148
617,0.88872683
618,0.88874596
619,0.8887655
620,0.88877606
621,0.8887859
622,0.8887985
623,0.888808
624,0.8888155
625,0.8888218
626,0.88882697
627,0.88883185
628,0.8888346
629,0.88883543
630,0.88883615
631,0.8888351
632,0.888833
633,0.88882923
634,0.88882375
635,0.8888182
636,0.8888107
637,0.88880086
638,0.8887915
639,0.88877916
640,0.8887641
641,0.8887513
642,0.8887364
643,0.88871765
644,0.88870144
645,0.888681
646,0.88865775
647,0.8886387
648,0.8886159
649,0.88858974
650,0.8885671
651,0.8885419
652,0.8885138
653,0.88848877
654,0.8884642
655,0.88843715
656,0.888411
657,0.8883788
658,0.8883469
659,0.888322
660,0.8882907
661,0.8882554
662,0.88822687
663,0.88819814
664,0.8881648
665,0.8881333
666,0.88810235
667,0.8880713
668,0.88804096
669,0.8880098
670,0.887979
671,0.88795066
672,0.8879159
673,0.88788086
674,0.887853
675,0.8878254
676,0.8877923
677,0.8877611
678,0.8877386
679,0.8877146
680,0.8876848
681,0.88766086
682,0.88764167
683,0.8876193
684,0.8875949
685,0.8875753
686,0.88755655
687,0.8875547
688,0.88755023
689,0.88753045
690,0.88752717
691,0.8875335
692,0.8875238
