,0
0,1.5019491
1,1.5019476
2,1.5019462
3,1.5019449
4,1.5019432
5,1.5019418
6,1.5019403
7,1.5019387
8,1.5019373
9,1.5019358
10,1.5019343
11,1.501933
12,1.5019313
13,1.5019298
14,1.5019286
15,1.5019271
16,1.5019256
17,1.5019243
18,1.5019228
19,1.5019212
20,1.5019199
21,1.5019183
22,1.5019169
23,1.5019156
24,1.501914
25,1.5019126
26,1.5019112
27,1.5019097
28,1.5019082
29,1.5019068
30,1.5019056
31,1.501904
32,1.5019025
33,1.5019013
34,1.5018998
35,1.5018983
36,1.5018972
37,1.5018958
38,1.5018941
39,1.501893
40,1.5018916
41,1.5018902
42,1.5018889
43,1.5018872
44,1.5018858
45,1.5018846
46,1.5018833
47,1.5018818
48,1.5018808
49,1.5018792
50,1.5018778
51,1.5018767
52,1.5018753
53,1.5018737
54,1.5018728
55,1.5018712
56,1.5018699
57,1.5018687
58,1.5018674
59,1.5018661
60,1.5018649
61,1.5018637
62,1.5018623
63,1.5018609
64,1.5018597
65,1.5018584
66,1.5018572
67,1.501856
68,1.5018545
69,1.5018533
70,1.5018522
71,1.501851
72,1.5018497
73,1.5018482
74,1.501847
75,1.5018457
76,1.5018444
77,1.5018432
78,1.501842
79,1.5018408
80,1.5018395
81,1.5018382
82,1.501837
83,1.501836
84,1.5018348
85,1.5018336
86,1.5018322
87,1.5018309
88,1.5018299
89,1.5018286
90,1.5018274
91,1.501826
92,1.501825
93,1.5018238
94,1.5018226
95,1.5018215
96,1.5018203
97,1.501819
98,1.5018178
99,1.5018166
100,1.5018154
101,1.5018142
102,1.501813
103,1.501812
104,1.5018108
105,1.5018096
106,1.5018083
107,1.5018072
108,1.5018061
109,1.5018051
110,1.5018036
111,1.5018024
112,1.5018015
113,1.5018003
114,1.5017991
115,1.5017977
116,1.5017967
117,1.5017955
118,1.5017942
119,1.5017933
120,1.5017921
121,1.5017909
122,1.5017896
123,1.5017885
124,1.5017874
125,1.5017862
126,1.501785
127,1.5017837
128,1.5017827
129,1.5017813
130,1.50178
131,1.5017787
132,1.5017776
133,1.5017762
134,1.5017749
135,1.5017737
136,1.5017724
137,1.5017712
138,1.5017699
139,1.5017686
140,1.5017673
141,1.501766
142,1.5017647
143,1.5017633
144,1.5017622
145,1.5017607
146,1.5017595
147,1.5017582
