,0
0,1.7775658
1,1.7775657
2,1.7775656
3,1.7775654
4,1.7775652
5,1.7775651
6,1.7775648
7,1.7775646
8,1.7775646
9,1.7775644
10,1.7775642
11,1.7775642
12,1.7775638
13,1.7775637
14,1.7775637
15,1.7775636
16,1.7775632
17,1.7775631
18,1.7775627
19,1.7775626
20,1.7775625
21,1.7775624
22,1.7775621
23,1.7775619
24,1.7775617
25,1.7775618
26,1.7775615
27,1.7775614
28,1.7775613
29,1.777561
30,1.777561
31,1.7775608
32,1.7775608
33,1.7775606
34,1.7775602
35,1.7775602
36,1.7775599
37,1.7775599
38,1.7775594
39,1.7775594
40,1.777559
41,1.777559
42,1.7775588
43,1.7775588
44,1.7775584
45,1.7775583
46,1.7775582
47,1.7775582
48,1.7775577
49,1.7775577
50,1.7775573
51,1.7775571
52,1.777557
53,1.7775567
54,1.7775565
55,1.7775562
56,1.777556
57,1.777556
58,1.7775556
59,1.7775552
60,1.7775552
61,1.7775548
62,1.7775544
63,1.7775542
64,1.777554
65,1.7775534
66,1.7775534
67,1.777553
68,1.7775528
69,1.7775524
70,1.7775522
71,1.7775519
72,1.7775518
73,1.7775513
74,1.7775512
75,1.7775508
76,1.7775506
77,1.7775501
78,1.7775497
79,1.7775495
80,1.7775491
81,1.7775487
82,1.7775487
83,1.7775482
84,1.7775476
85,1.7775474
86,1.777547
87,1.7775466
88,1.7775462
89,1.7775458
90,1.7775456
91,1.777545
92,1.7775447
93,1.7775443
94,1.7775437
95,1.7775434
96,1.7775427
97,1.7775424
98,1.777542
99,1.7775415
100,1.7775409
101,1.7775406
102,1.7775401
103,1.7775396
104,1.7775394
105,1.7775388
106,1.7775382
107,1.7775376
108,1.7775371
109,1.7775367
110,1.777536
111,1.7775354
112,1.7775348
113,1.7775342
114,1.7775338
115,1.7775332
116,1.7775326
117,1.7775319
118,1.7775313
119,1.7775308
120,1.7775302
121,1.7775297
122,1.7775291
123,1.7775285
124,1.7775278
125,1.7775273
126,1.7775266
127,1.7775259
128,1.7775253
129,1.7775247
130,1.7775241
131,1.7775236
132,1.7775228
133,1.7775222
134,1.7775216
135,1.777521
136,1.7775204
137,1.7775197
138,1.777519
139,1.7775183
140,1.7775177
141,1.777517
142,1.7775164
143,1.7775158
144,1.777515
145,1.7775145
146,1.7775139
147,1.7775134
148,1.7775128
149,1.7775121
150,1.7775115
151,1.7775109
152,1.7775102
153,1.7775096
154,1.777509
155,1.7775085
156,1.777508
157,1.7775073
158,1.777507
159,1.7775064
160,1.7775056
161,1.7775052
162,1.7775047
163,1.7775041
164,1.7775035
165,1.7775031
166,1.7775025
167,1.7775021
168,1.7775016
169,1.7775011
170,1.7775007
171,1.7775003
172,1.7774999
173,1.7774994
174,1.7774991
175,1.7774986
176,1.7774981
177,1.7774981
178,1.7774976
179,1.7774972
180,1.7774967
181,1.7774962
182,1.7774959
183,1.7774957
184,1.7774954
185,1.777495
186,1.7774947
187,1.7774945
188,1.7774941
189,1.7774936
190,1.7774935
191,1.7774934
192,1.7774928
193,1.7774926
194,1.7774923
195,1.7774922
196,1.7774918
197,1.7774917
198,1.7774913
199,1.7774912
200,1.777491
201,1.7774907
202,1.7774906
203,1.7774903
204,1.7774901
205,1.7774899
206,1.7774898
207,1.7774895
208,1.7774892
209,1.7774892
210,1.7774888
211,1.7774887
212,1.7774886
213,1.7774882
214,1.7774881
215,1.777488
216,1.7774876
217,1.7774875
218,1.7774873
219,1.777487
220,1.7774869
221,1.7774866
222,1.7774863
223,1.7774863
224,1.777486
225,1.777486
226,1.7774856
227,1.7774854
228,1.7774854
229,1.7774853
230,1.7774851
231,1.7774849
232,1.7774849
233,1.7774848
234,1.7774847
235,1.7774845
236,1.7774845
237,1.7774843
238,1.7774843
239,1.777484
240,1.7774839
241,1.7774839
242,1.7774837
243,1.7774837
244,1.7774833
245,1.7774832
246,1.777483
247,1.7774829
248,1.7774827
249,1.7774826
250,1.7774824
251,1.7774823
252,1.777482
253,1.777482
254,1.7774817
255,1.7774817
256,1.7774813
257,1.7774812
258,1.777481
259,1.777481
260,1.7774805
261,1.7774805
262,1.7774802
263,1.7774801
264,1.77748
265,1.7774798
266,1.7774796
267,1.7774794
268,1.7774793
269,1.7774794
270,1.777479
271,1.7774789
272,1.7774786
273,1.7774786
274,1.7774783
275,1.7774781
276,1.777478
277,1.7774779
278,1.7774776
279,1.7774774
280,1.777477
281,1.7774769
282,1.7774765
283,1.7774764
284,1.7774762
285,1.777476
286,1.7774757
287,1.7774755
288,1.7774754
289,1.7774751
290,1.7774748
291,1.7774746
292,1.7774743
293,1.777474
294,1.7774738
295,1.7774736
296,1.7774732
297,1.7774731
298,1.7774727
299,1.7774724
300,1.7774723
301,1.7774719
302,1.7774715
303,1.7774713
304,1.777471
305,1.7774706
306,1.7774704
307,1.7774701
308,1.7774699
309,1.7774696
310,1.7774693
311,1.7774692
312,1.7774688
313,1.7774684
314,1.7774681
315,1.7774678
316,1.7774676
317,1.7774673
318,1.7774669
319,1.7774667
320,1.7774664
321,1.7774662
322,1.7774657
323,1.7774656
324,1.7774653
325,1.777465
326,1.7774645
327,1.7774644
328,1.777464
329,1.7774638
330,1.7774633
331,1.777463
332,1.7774628
333,1.7774625
334,1.7774621
335,1.777462
336,1.7774615
337,1.7774612
338,1.7774609
339,1.7774607
340,1.7774605
341,1.7774602
342,1.7774599
343,1.7774596
344,1.7774593
345,1.7774591
346,1.7774587
347,1.7774585
348,1.7774582
349,1.7774581
350,1.7774577
351,1.7774575
352,1.7774572
353,1.7774569
354,1.7774568
355,1.7774564
356,1.7774563
357,1.7774562
358,1.7774559
359,1.7774556
360,1.7774553
361,1.7774552
362,1.777455
363,1.7774545
364,1.7774544
365,1.7774543
366,1.7774538
367,1.7774537
368,1.7774533
369,1.7774532
370,1.777453
371,1.7774527
372,1.7774527
373,1.7774523
374,1.7774521
375,1.7774521
376,1.777452
377,1.7774516
378,1.7774515
379,1.7774513
380,1.7774512
381,1.777451
382,1.7774508
383,1.7774506
384,1.7774504
385,1.7774504
386,1.7774502
387,1.7774501
388,1.7774498
389,1.7774495
390,1.7774494
391,1.777449
392,1.777449
393,1.7774489
394,1.7774485
395,1.7774484
396,1.7774482
397,1.7774479
398,1.7774479
399,1.7774478
400,1.7774476
401,1.7774473
402,1.7774472
403,1.7774472
404,1.777447
405,1.7774467
406,1.7774465
407,1.7774462
408,1.7774462
409,1.7774457
410,1.7774457
411,1.7774453
412,1.7774452
413,1.7774451
414,1.7774447
415,1.7774447
416,1.7774445
417,1.7774442
418,1.777444
419,1.7774438
420,1.7774435
421,1.7774433
422,1.7774429
423,1.7774427
424,1.7774425
425,1.7774422
426,1.777442
427,1.7774416
428,1.7774415
429,1.7774411
430,1.7774409
431,1.7774405
432,1.7774403
433,1.77744
434,1.7774397
435,1.7774392
436,1.777439
437,1.7774388
438,1.7774384
439,1.777438
440,1.7774379
441,1.7774374
442,1.7774372
443,1.7774369
444,1.7774367
445,1.7774361
446,1.7774359
447,1.7774352
448,1.7774348
449,1.7774345
450,1.7774341
451,1.7774338
452,1.7774334
453,1.7774329
454,1.7774326
455,1.7774322
456,1.777432
457,1.7774316
458,1.7774312
459,1.7774307
460,1.7774302
461,1.7774297
462,1.7774292
463,1.7774289
464,1.7774282
465,1.7774278
466,1.7774273
467,1.7774268
468,1.7774262
469,1.7774258
470,1.7774252
471,1.7774249
472,1.7774243
473,1.777424
474,1.7774235
475,1.7774228
476,1.7774223
477,1.7774217
478,1.7774211
479,1.7774204
480,1.77742
481,1.7774193
482,1.7774189
483,1.7774184
484,1.7774178
485,1.7774172
486,1.7774166
487,1.7774161
488,1.7774154
489,1.7774148
490,1.7774142
491,1.7774135
492,1.777413
493,1.7774124
494,1.7774119
495,1.7774112
496,1.7774105
497,1.7774101
498,1.7774093
499,1.7774088
500,1.7774082
501,1.7774076
502,1.7774069
503,1.7774063
504,1.7774059
505,1.7774051
506,1.7774044
507,1.777404
508,1.7774034
509,1.7774028
510,1.7774022
511,1.7774014
512,1.7774009
513,1.7774004
514,1.7773997
515,1.7773992
516,1.7773986
517,1.7773979
518,1.7773973
519,1.7773967
520,1.7773963
521,1.7773955
522,1.777395
523,1.7773945
524,1.7773939
525,1.7773932
526,1.7773929
527,1.7773921
528,1.7773917
529,1.7773912
530,1.7773906
531,1.7773901
532,1.7773896
533,1.777389
534,1.7773888
535,1.7773883
536,1.777388
537,1.7773875
538,1.777387
539,1.7773868
540,1.7773862
541,1.7773857
542,1.7773855
543,1.7773851
544,1.7773846
545,1.7773843
546,1.7773839
547,1.7773836
548,1.7773831
549,1.7773826
550,1.7773824
551,1.7773819
552,1.7773815
553,1.7773812
554,1.7773808
555,1.7773805
556,1.7773802
557,1.7773798
558,1.7773795
559,1.7773793
560,1.7773789
561,1.7773787
562,1.7773784
563,1.777378
564,1.7773776
565,1.7773775
566,1.7773772
567,1.7773768
568,1.7773767
569,1.7773765
570,1.777376
571,1.7773757
572,1.7773757
573,1.7773753
574,1.7773753
575,1.7773751
576,1.7773749
577,1.7773746
578,1.7773744
579,1.7773744
580,1.777374
581,1.7773738
582,1.7773737
583,1.7773733
584,1.7773731
585,1.777373
586,1.7773727
587,1.7773725
588,1.7773722
589,1.777372
590,1.7773719
591,1.7773715
592,1.7773714
593,1.7773712
594,1.7773709
595,1.7773708
596,1.7773706
597,1.7773705
598,1.7773702
599,1.7773701
600,1.7773697
601,1.7773696
602,1.7773694
603,1.7773691
604,1.777369
605,1.7773688
606,1.7773685
607,1.7773683
608,1.7773682
609,1.777368
610,1.7773677
611,1.7773676
612,1.7773676
613,1.7773672
614,1.777367
615,1.777367
616,1.7773666
617,1.7773665
618,1.7773662
619,1.7773662
620,1.777366
621,1.7773659
622,1.7773656
623,1.7773654
624,1.7773653
625,1.777365
626,1.7773649
627,1.7773647
628,1.7773645
629,1.7773644
630,1.7773641
631,1.7773641
632,1.7773638
633,1.7773637
634,1.7773634
635,1.7773634
636,1.777363
637,1.777363
638,1.7773625
639,1.7773623
640,1.777362
641,1.7773619
642,1.7773615
643,1.7773613
644,1.777361
645,1.777361
646,1.7773606
647,1.7773604
648,1.7773601
649,1.77736
650,1.7773597
651,1.7773592
652,1.7773591
653,1.7773589
654,1.7773587
655,1.777358
656,1.7773579
657,1.7773577
658,1.7773575
659,1.7773573
660,1.7773572
661,1.7773569
662,1.7773566
663,1.7773563
664,1.7773561
665,1.7773559
666,1.7773554
667,1.7773553
668,1.7773548
669,1.7773547
670,1.7773544
671,1.777354
672,1.7773538
673,1.7773535
674,1.7773533
675,1.777353
676,1.7773527
677,1.7773523
678,1.777352
679,1.7773519
680,1.7773515
681,1.7773511
682,1.7773509
683,1.7773504
684,1.7773502
685,1.77735
686,1.7773495
687,1.7773492
688,1.7773489
689,1.7773486
690,1.7773482
691,1.7773479
692,1.7773474
693,1.7773471
694,1.7773467
695,1.7773465
696,1.7773464
697,1.7773459
698,1.7773457
699,1.7773454
700,1.7773451
701,1.7773447
702,1.7773445
703,1.7773441
704,1.7773438
705,1.7773436
706,1.7773432
707,1.7773429
708,1.7773427
709,1.7773424
710,1.7773421
711,1.7773417
712,1.7773415
713,1.7773412
714,1.7773408
715,1.7773405
716,1.7773403
717,1.7773399
718,1.7773397
719,1.7773395
720,1.7773393
721,1.7773389
722,1.7773387
723,1.7773386
724,1.7773385
725,1.777338
726,1.7773378
727,1.7773376
728,1.7773376
729,1.7773371
730,1.7773367
731,1.7773366
732,1.7773364
733,1.777336
734,1.7773358
735,1.7773355
736,1.7773355
737,1.7773353
738,1.777335
739,1.7773349
740,1.7773348
741,1.7773343
742,1.7773342
743,1.7773341
744,1.7773341
745,1.7773336
746,1.7773335
747,1.7773335
748,1.7773334
749,1.777333
750,1.777333
751,1.7773329
752,1.7773324
753,1.7773323
754,1.7773322
755,1.7773318
756,1.7773317
757,1.7773315
758,1.7773311
759,1.777331
760,1.7773308
761,1.7773306
762,1.7773306
763,1.7773303
