,0
0,147.3952
1,147.39502
2,147.39485
3,147.3947
4,147.39452
5,147.39435
6,147.39418
7,147.39403
8,147.39386
9,147.39369
10,147.39352
11,147.39336
12,147.39319
13,147.39302
14,147.39287
15,147.3927
16,147.39252
17,147.39236
18,147.39221
19,147.39204
20,147.39188
21,147.39171
22,147.39157
23,147.39139
24,147.39124
25,147.39108
26,147.39091
27,147.39076
28,147.39061
29,147.39046
30,147.39029
31,147.39014
32,147.38998
33,147.38983
34,147.38966
35,147.3895
36,147.38936
37,147.3892
38,147.38904
39,147.38889
40,147.38873
41,147.38857
42,147.38843
43,147.38826
44,147.38808
45,147.38794
46,147.38777
47,147.3876
48,147.38744
49,147.38728
50,147.38712
51,147.38695
52,147.38678
53,147.38661
54,147.38644
55,147.38628
56,147.38611
57,147.38596
58,147.38579
59,147.38562
60,147.38545
61,147.3853
62,147.38512
63,147.38495
64,147.38478
65,147.38461
66,147.38445
67,147.38426
68,147.3841
69,147.38393
70,147.38374
71,147.38359
72,147.38344
73,147.38326
74,147.38309
75,147.38292
76,147.38275
77,147.38257
78,147.3824
79,147.38223
80,147.38206
81,147.38191
82,147.38173
83,147.38156
84,147.3814
85,147.38123
86,147.38106
87,147.38087
88,147.38072
89,147.38054
90,147.38037
91,147.3802
92,147.38002
93,147.37985
94,147.37968
95,147.3795
96,147.37932
97,147.37915
98,147.37898
99,147.3788
100,147.37863
101,147.37846
102,147.37827
103,147.37811
104,147.37793
105,147.37776
106,147.3776
107,147.37743
108,147.37726
109,147.37708
110,147.3769
111,147.37674
112,147.37656
113,147.37639
114,147.37622
115,147.37605
116,147.37587
117,147.3757
118,147.37552
119,147.37535
120,147.37518
121,147.375
122,147.37485
123,147.37466
124,147.37448
125,147.37433
126,147.37416
127,147.37398
128,147.37381
129,147.37366
130,147.37347
131,147.3733
132,147.37315
133,147.37299
134,147.3728
135,147.37265
136,147.37248
137,147.37231
138,147.37215
139,147.372
140,147.37183
141,147.37166
142,147.37149
143,147.37134
144,147.37119
145,147.371
146,147.37083
147,147.3707
148,147.37053
149,147.37036
150,147.37021
151,147.37004
152,147.36989
153,147.36972
154,147.36958
155,147.36942
156,147.36926
157,147.3691
158,147.36894
159,147.36879
160,147.36864
161,147.36848
162,147.36833
163,147.36816
164,147.36803
165,147.36786
166,147.3677
167,147.36757
168,147.3674
169,147.36726
170,147.36711
171,147.36696
172,147.36679
173,147.36665
174,147.36652
175,147.36636
176,147.36621
177,147.36607
178,147.36592
179,147.36577
180,147.36562
181,147.36548
182,147.36533
183,147.36517
184,147.36502
185,147.36488
186,147.36472
187,147.36458
188,147.36444
189,147.3643
190,147.36415
191,147.36401
192,147.36386
193,147.36371
194,147.36357
