,0
0,0.17104115
1,0.17104085
2,0.17104052
3,0.17097549
4,0.17097524
5,0.17097488
6,0.17098111
7,0.17098083
8,0.17098048
9,0.1711199
10,0.17111959
11,0.1711193
12,0.17126927
13,0.17126898
14,0.1712687
15,0.17130233
16,0.17130205
17,0.17130175
18,0.17136359
19,0.17136332
20,0.17136303
21,0.17152864
22,0.17152838
23,0.17152807
24,0.17172895
25,0.17172869
26,0.17172839
27,0.17194764
28,0.17194739
29,0.17194708
30,0.17218885
31,0.1721886
32,0.17218831
33,0.17238612
34,0.17238589
35,0.17238557
36,0.17247793
37,0.17247766
38,0.17247736
39,0.17276682
40,0.17276655
41,0.17276628
42,0.17305589
43,0.17305565
44,0.17305537
45,0.17334306
46,0.17334281
47,0.17334253
48,0.17370492
49,0.17370465
50,0.17370439
51,0.17413497
52,0.17413472
53,0.17413443
54,0.17450747
55,0.17450723
56,0.17450695
57,0.1749095
58,0.17490928
59,0.17490898
60,0.17529002
61,0.17528977
62,0.1752895
63,0.17568752
64,0.17568725
65,0.175687
66,0.17612633
67,0.17612608
68,0.17612582
69,0.17649627
70,0.17649603
71,0.17649578
72,0.17681137
73,0.17681113
74,0.17681086
75,0.17711982
76,0.17711961
77,0.17711934
78,0.17725623
79,0.17725597
80,0.17725572
81,0.1773208
82,0.17732057
83,0.17732032
84,0.17754021
85,0.17753997
86,0.17753972
87,0.17764331
88,0.17764309
89,0.17764282
90,0.17758298
91,0.17758273
92,0.17758247
93,0.17747219
94,0.17747197
95,0.17747173
96,0.1773172
97,0.17731701
98,0.17731677
99,0.17713074
100,0.17713052
101,0.17713025
102,0.1768938
103,0.17689355
104,0.17689332
105,0.17655367
106,0.17655343
107,0.17655316
108,0.17626783
109,0.1762676
110,0.17626733
111,0.17605655
112,0.17605631
113,0.17605606
114,0.17589903
115,0.17589879
116,0.17589852
117,0.17550151
118,0.17550127
119,0.175501
120,0.17523617
121,0.17523594
122,0.17523566
123,0.17476979
124,0.17476957
125,0.17476931
126,0.17468995
127,0.17468971
128,0.17468943
129,0.174524
130,0.17452373
131,0.17452346
132,0.17435332
133,0.17435306
134,0.17435274
135,0.17416273
136,0.17416246
137,0.17416218
138,0.17388651
139,0.17388625
140,0.17388594
141,0.17366697
142,0.17366672
143,0.17366639
144,0.17358261
145,0.17358232
146,0.17358203
147,0.17343144
148,0.17343114
149,0.17343083
150,0.17321941
151,0.17321911
152,0.17321882
153,0.17309903
154,0.17309874
155,0.1730984
156,0.17286354
157,0.17286325
158,0.17286292
159,0.17248544
160,0.17248513
161,0.17248482
162,0.17202438
163,0.1720241
164,0.17202376
165,0.1716504
166,0.1716501
167,0.17164977
168,0.17120175
169,0.17120147
170,0.17120112
171,0.17068836
172,0.17068806
173,0.17068772
174,0.1702417
175,0.17024137
176,0.17024106
177,0.16988415
