,0
0,135.83472
1,135.83456
2,135.83441
3,135.83427
4,135.83412
5,135.83397
6,135.83382
7,135.83366
8,135.83351
9,135.83337
10,135.83322
11,135.83307
12,135.83293
13,135.83276
14,135.83261
15,135.83247
16,135.83232
17,135.83217
18,135.83203
19,135.83188
20,135.83173
21,135.83159
22,135.83142
23,135.83128
24,135.83115
25,135.831
26,135.83083
27,135.8307
28,135.83054
29,135.83038
30,135.83025
31,135.8301
32,135.82994
33,135.8298
34,135.82965
35,135.8295
36,135.82935
37,135.8292
38,135.82906
39,135.82892
40,135.82877
41,135.8286
42,135.82848
43,135.82831
44,135.82816
45,135.82802
46,135.82788
47,135.82773
48,135.82758
49,135.82742
50,135.82727
51,135.82713
52,135.82698
53,135.82684
54,135.8267
55,135.82654
56,135.82639
57,135.82623
58,135.8261
59,135.82594
60,135.8258
61,135.82567
62,135.8255
63,135.82536
64,135.82521
65,135.82506
66,135.8249
67,135.82477
68,135.82462
69,135.8245
70,135.82433
71,135.82417
72,135.82402
73,135.82388
74,135.82373
75,135.8236
76,135.82344
77,135.82329
78,135.82315
79,135.823
80,135.82283
81,135.82271
82,135.82256
83,135.82239
84,135.82225
85,135.82211
86,135.82195
87,135.82181
88,135.82166
89,135.8215
90,135.82137
91,135.82121
92,135.82106
93,135.82092
94,135.82077
95,135.8206
96,135.82047
97,135.82033
98,135.82018
99,135.82002
100,135.81987
101,135.81972
102,135.81958
103,135.81943
104,135.81929
105,135.81914
106,135.81898
107,135.81883
108,135.8187
109,135.81854
110,135.81839
111,135.81825
112,135.8181
113,135.81796
114,135.81781
115,135.81766
116,135.81749
117,135.81735
118,135.8172
119,135.81705
120,135.81691
121,135.81676
122,135.81659
123,135.81645
124,135.8163
125,135.81616
126,135.81602
127,135.81586
128,135.8157
129,135.81557
130,135.8154
131,135.81525
132,135.81511
133,135.81494
134,135.81479
135,135.81465
136,135.81448
137,135.81433
138,135.8142
139,135.81403
140,135.81387
141,135.81374
142,135.81355
143,135.81342
144,135.81328
145,135.81311
146,135.81294
147,135.81279
148,135.81264
149,135.81248
150,135.81235
151,135.81216
152,135.81201
153,135.81186
154,135.81172
155,135.81157
156,135.8114
157,135.81123
158,135.81108
159,135.81094
160,135.81078
161,135.81061
162,135.81046
163,135.81029
164,135.81013
165,135.81
166,135.80981
167,135.80966
168,135.80951
169,135.80936
170,135.80919
171,135.80904
172,135.80887
173,135.80873
174,135.80856
175,135.80841
176,135.80824
177,135.80809
178,135.80794
179,135.80777
180,135.80763
181,135.80746
182,135.8073
183,135.80716
184,135.807
185,135.80684
186,135.80669
187,135.80653
188,135.80638
189,135.80623
190,135.80608
191,135.8059
192,135.80576
193,135.8056
194,135.80544
195,135.80528
196,135.80511
197,135.80495
198,135.8048
199,135.80463
200,135.80446
201,135.8043
202,135.80415
203,135.80399
204,135.80383
205,135.80367
206,135.80351
207,135.80336
208,135.80318
209,135.80304
210,135.80287
211,135.80272
212,135.80257
213,135.80238
214,135.80225
215,135.80208
216,135.80194
217,135.80176
218,135.8016
219,135.80145
220,135.80128
221,135.80113
222,135.80098
223,135.80081
224,135.80066
225,135.8005
226,135.80034
227,135.80017
228,135.80002
229,135.79985
230,135.7997
231,135.79955
232,135.79936
233,135.79921
234,135.79906
235,135.79889
236,135.79872
237,135.79857
238,135.7984
239,135.79825
240,135.7981
241,135.79793
242,135.79778
243,135.7976
244,135.79744
245,135.79729
246,135.79713
247,135.79697
248,135.79681
249,135.79665
250,135.7965
251,135.79634
252,135.79619
253,135.796
254,135.79584
255,135.79568
256,135.79553
257,135.79535
258,135.7952
259,135.79503
260,135.79488
261,135.79472
262,135.79456
263,135.79439
264,135.79424
265,135.79407
266,135.79388
267,135.79373
268,135.79358
269,135.7934
270,135.79326
271,135.79309
272,135.79294
273,135.79277
274,135.7926
275,135.79243
276,135.7923
277,135.79211
278,135.79195
279,135.79181
280,135.79164
281,135.79149
