,0
0,79.53154
1,74.188225
2,73.57581
3,73.01118
4,68.494446
5,64.24652
6,63.48699
7,62.635166
8,59.04306
9,55.881615
10,55.14851
11,54.21842
12,51.464695
13,49.187767
14,48.548416
15,47.657276
16,45.61472
17,44.024914
18,43.463593
19,42.659153
20,41.171764
21,40.04838
22,39.560802
23,38.871933
24,37.76706
25,36.947678
26,36.519547
27,35.9142
28,35.083115
29,34.47115
30,34.065407
31,33.53647
32,32.9027
33,32.40648
34,32.027794
35,31.57315
36,31.055372
37,30.633972
38,30.284779
39,29.870266
40,29.431961
41,29.067253
42,28.728394
43,28.352295
44,27.97732
45,27.640848
46,27.319408
47,26.981712
48,26.638456
49,26.322287
50,26.021187
51,25.701857
52,25.38604
53,25.093615
54,24.802475
55,24.505646
56,24.21774
57,23.936731
58,23.659399
59,23.385061
60,23.102396
61,22.826567
62,22.56459
63,22.297775
64,22.028986
65,21.76969
66,21.520992
67,21.273714
68,21.02341
69,20.776417
70,20.539742
71,20.305956
72,20.079235
73,19.85657
74,19.633005
75,19.410254
76,19.193836
77,18.980606
78,18.779593
79,18.58167
80,18.377274
81,18.173798
82,17.981112
83,17.791126
84,17.609373
85,17.429754
86,17.24659
87,17.067139
88,16.894678
89,16.721579
90,16.558685
91,16.40027
92,16.235579
93,16.069407
94,15.911976
95,15.758213
96,15.61391
97,15.469386
98,15.319461
99,15.176547
100,15.040478
101,14.900384
102,14.756095
103,14.617315
104,14.483664
105,14.3564825
106,14.22679
107,14.093296
108,13.964658
109,13.840725
110,13.714191
111,13.593239
112,13.475689
113,13.354759
114,13.241086
115,13.131152
116,13.016439
117,12.898096
118,12.784859
119,12.675503
120,12.574369
121,12.4702835
122,12.360503
123,12.264266
124,12.173069
125,12.071576
126,11.962608
127,11.86276
128,11.770196
129,11.671461
130,11.56694
131,11.46899
132,11.376885
133,11.279238
134,11.178355
135,11.090207
136,11.004633
137,10.909772
138,10.810818
139,10.720023
140,10.634279
141,10.548436
142,10.458218
143,10.369711
144,10.280598
145,10.190475
146,10.102423
147,10.013285
148,9.923111
149,9.836018
150,9.747987
151,9.657533
152,9.569992
153,9.479745
154,9.387965
155,9.300506
156,9.208304
157,9.1141405
158,9.026898
159,8.934861
160,8.838766
161,8.750396
162,8.655515
163,8.556107
164,8.465346
165,8.373697
166,8.276779
167,8.183788
168,8.089053
169,7.993686
170,7.9031196
171,7.805988
172,7.7077355
