,0
0,79.79806
1,74.68398
2,74.040184
3,73.45773
4,69.13351
5,65.014244
6,64.175964
7,63.282654
8,59.8127
9,56.68981
10,55.845047
11,54.868275
12,52.20345
13,49.93489
14,49.193726
15,48.267082
16,46.28132
17,44.685066
18,44.051826
19,43.23477
20,41.798492
21,40.662926
22,40.11801
23,39.43582
24,38.389854
25,37.578842
26,37.123627
27,36.5361
28,35.760868
29,35.171127
30,34.76965
31,34.281063
32,33.70831
33,33.24175
34,32.87797
35,32.47135
36,32.026337
37,31.64979
38,31.32651
39,30.973515
40,30.611542
41,30.292524
42,29.989435
43,29.675732
44,29.369879
45,29.084936
46,28.808054
47,28.529577
48,28.258574
49,27.998941
50,27.74217
51,27.483711
52,27.234398
53,26.99161
54,26.752493
55,26.517881
56,26.286589
57,26.058615
58,25.834557
59,25.613806
60,25.397621
61,25.182774
62,24.96827
63,24.760426
64,24.556438
65,24.349262
66,24.149399
67,23.956465
68,23.759855
69,23.56469
70,23.376013
71,23.188885
72,23.003958
73,22.820131
74,22.636932
75,22.46119
76,22.286777
77,22.107922
78,21.936296
79,21.770308
80,21.599693
81,21.431787
82,21.26966
83,21.106802
84,20.944283
85,20.783957
86,20.625134
87,20.470917
88,20.316385
89,20.15965
90,20.007448
91,19.858109
92,19.70651
93,19.557293
94,19.411125
95,19.264801
96,19.121405
97,18.979065
98,18.83639
99,18.698929
100,18.562654
101,18.424109
102,18.288754
103,18.156084
104,18.022606
105,17.892653
106,17.76458
107,17.635653
108,17.5071
109,17.381033
110,17.257368
111,17.131353
112,17.004572
113,16.88249
114,16.764517
115,16.643705
116,16.521317
117,16.400892
118,16.28394
119,16.167439
120,16.046955
121,15.928468
122,15.815987
123,15.703804
124,15.588597
125,15.476114
126,15.367906
127,15.259104
128,15.149146
129,15.039931
130,14.934204
131,14.830248
132,14.723078
133,14.617247
134,14.516795
135,14.415248
136,14.311779
137,14.212135
138,14.113456
139,14.014237
140,13.91705
141,13.820596
142,13.725145
143,13.631678
144,13.539095
145,13.447707
146,13.358071
147,13.267007
148,13.177122
149,13.090914
150,13.00123
151,12.911118
152,12.826292
153,12.74057
154,12.653528
155,12.56966
156,12.490008
157,12.410394
158,12.329729
159,12.248702
160,12.1710005
161,12.095708
162,12.019425
163,11.943489
164,11.870229
165,11.79809
166,11.7258835
167,11.654521
168,11.58667
169,11.520134
170,11.452358
171,11.387437
172,11.325209
173,11.262046
174,11.1984625
175,11.137102
176,11.077289
177,11.0173
178,10.95738
179,10.898617
180,10.840701
181,10.783027
182,10.725485
183,10.671695
184,10.618599
185,10.5631895
186,10.510227
187,10.459933
188,10.408152
189,10.356835
190,10.307443
191,10.258275
192,10.210916
193,10.16388
194,10.116121
195,10.070796
196,10.026327
197,9.980322
198,9.934779
199,9.8907385
200,9.846704
201,9.803955
202,9.761506
203,9.718307
204,9.676338
205,9.635373
206,9.593864
207,9.552425
208,9.51184
209,9.471913
210,9.434236
211,9.396618
212,9.358051
213,9.320846
214,9.284635
215,9.24803
216,9.212217
217,9.177081
218,9.142026
219,9.10921
220,9.077142
221,9.044005
222,9.009004
223,8.975837
224,8.945403
225,8.911208
226,8.87582
227,8.844956
228,8.813406
229,8.779193
230,8.747048
231,8.71402
232,8.681003
233,8.650267
234,8.614498
235,8.5790415
236,8.549504
237,8.5207405
238,8.489291
239,8.459164
240,8.429536
241,8.400927
242,8.373955
243,8.345298
244,8.317958
245,8.293939
246,8.272415
247,8.250882
248,8.229199
249,8.211524
250,8.19659
251,8.180238
252,8.164381
253,8.152156
254,8.141215
255,8.133833
256,8.127699
257,8.120062
258,8.11658
259,8.116145
260,8.113435
261,8.111934
262,8.113871
263,8.115226
264,8.118805
265,8.12393
266,8.127506
267,8.136148
268,8.14647
269,8.152397
270,8.162986
271,8.176876
272,8.18614
273,8.200709
274,8.218408
275,8.23063
276,8.246646
277,8.266527
278,8.281999
279,8.300849
280,8.322112
281,8.339272
282,8.35602
283,8.374611
284,8.391758
285,8.419326
286,8.4462
287,8.462367
288,8.482116
289,8.509163
290,8.531244
291,8.553822
292,8.5784
293,8.600534
294,8.622976
295,8.645588
296,8.665919
297,8.689054
298,8.712126
299,8.730955
300,8.74853
301,8.768223
302,8.787423
303,8.804218
304,8.82009
305,8.836912
306,8.851617
307,8.864525
308,8.878254
309,8.889975
310,8.900532
311,8.912134
312,8.920022
313,8.927068
314,8.936922
315,8.944041
316,8.949268
317,8.956729
318,8.954755
319,8.952253
320,8.958264
321,8.959142
322,8.954404
323,8.95493
324,8.948434
325,8.939911
326,8.938593
327,8.934812
328,8.927508
329,8.923899
330,8.914118
331,8.904239
332,8.9012375
333,8.896514
334,8.888604
335,8.883917
336,8.871392
337,8.859781
338,8.856586
339,8.843579
340,8.827527
341,8.82214
342,8.808992
343,8.791312
344,8.782773
345,8.76988
346,8.754097
347,8.744758
348,8.729199
349,8.712937
350,8.704638
351,8.687787
352,8.669229
353,8.660569
354,8.645315
355,8.626939
356,8.616961
357,8.602361
358,8.585769
359,8.575927
360,8.562175
361,8.547482
362,8.538884
363,8.52535
364,8.51147
365,8.504084
366,8.4899845
367,8.475075
368,8.46798
369,8.456006
370,8.442013
371,8.434147
372,8.423896
373,8.412466
374,8.404899
375,8.395127
376,8.385438
377,8.3790655
378,8.368231
379,8.357477
380,8.351554
381,8.340826
382,8.3289995
383,8.321877
384,8.312007
385,8.300991
386,8.292897
387,8.283042
388,8.273128
389,8.265197
390,8.254547
391,8.244311
392,8.236544
393,8.224855
394,8.212958
395,8.2043
396,8.190455
397,8.175676
398,8.165055
399,8.155286
400,8.143579
401,8.13108
402,8.119096
403,8.109078
404,8.098272
405,8.082986
406,8.069665
407,8.059685
408,8.045447
409,8.030011
410,8.017632
411,8.004349
412,7.9896703
413,7.9756036
414,7.9589977
415,7.943147
416,7.929048
417,7.9090695
418,7.88914
419,7.8737483
420,7.8510804
421,7.8265414
422,7.808011
423,7.785959
424,7.760811
425,7.7389297
426,7.715258
427,7.690594
428,7.6679
429,7.6378446
430,7.6083937
431,7.585558
432,7.5533066
433,7.5184126
434,7.492424
435,7.4610877
436,7.425446
437,7.3957906
438,7.3586617
439,7.3202724
440,7.289976
441,7.256798
442,7.2207503
443,7.189274
444,7.1528883
445,7.1170344
446,7.0875907
447,7.0497375
448,7.0112333
449,6.982244
450,6.9438763
451,6.902625
452,6.871868
453,6.8354654
454,6.795811
455,6.763643
456,6.73237
457,6.7000737
458,6.669857
459,6.636785
460,6.606755
461,6.581596
462,6.550775
463,6.520531
464,6.496911
465,6.47266
466,6.44698
467,6.423518
468,6.403217
469,6.3846335
470,6.364702
471,6.3476124
472,6.3347497
473,6.3202477
474,6.3065834
475,6.297001
476,6.286967
477,6.277604
478,6.2709794
479,6.2635965
480,6.258962
481,6.2567067
482,6.2516904
483,6.2513146
484,6.254074
485,6.2521925
486,6.2541366
487,6.26009
488,6.261593
489,6.2666636
490,6.2751055
491,6.279041
492,6.2897105
493,6.3031626
494,6.3090076
495,6.321799
496,6.3395143
497,6.3492804
498,6.362114
499,6.380148
500,6.393288
501,6.4093385
502,6.427607
503,6.4411983
504,6.4607134
505,6.481682
506,6.4951606
507,6.5118647
508,6.5326695
509,6.54826
510,6.560766
511,6.575873
512,6.5914807
513,6.602658
514,6.6117992
515,6.6231785
516,6.633534
517,6.6405663
518,6.647296
519,6.653371
520,6.658615
521,6.6637383
522,6.6669745
523,6.669798
524,6.673737
525,6.6715617
526,6.668445
527,6.670445
528,6.6687393
529,6.6629143
530,6.6607356
531,6.655375
532,6.647827
533,6.643814
534,6.634066
535,6.622646
536,6.6174912
537,6.60812
538,6.59505
539,6.587136
540,6.5779004
541,6.565905
542,6.5566397
543,6.543227
544,6.5295467
545,6.521313
546,6.5073457
547,6.491295
548,6.4824076
549,6.4677505
550,6.450021
551,6.43992
552,6.4255323
553,6.4079313
554,6.396906
555,6.382422
556,6.365503
557,6.3545895
558,6.337906
559,6.3195653
560,6.309132
561,6.294821
562,6.277604
563,6.266851
564,6.2555156
565,6.242338
566,6.2330346
567,6.221512
568,6.2101564
569,6.2039027
570,6.1942253
571,6.1837716
572,6.179141
573,6.1731734
574,6.165611
575,6.1620483
576,6.1593113
577,6.1563187
578,6.155363
579,6.154981
580,6.155427
581,6.157783
582,6.1585474
583,6.1598206
584,6.164402
585,6.1684713
586,6.1719027
587,6.1771736
588,6.184596
589,6.192199
590,6.1992874
591,6.20902
592,6.2205663
593,6.230769
594,6.242087
595,6.2552648
596,6.268165
597,6.280477
598,6.293326
599,6.306957
600,6.322047
601,6.3364825
602,6.349589
603,6.365996
604,6.383282
605,6.397335
606,6.413437
607,6.4318767
608,6.4480143
609,6.464051
610,6.4814396
611,6.498179
612,6.5155373
613,6.532429
614,6.5480204
615,6.565248
616,6.582609
617,6.597547
618,6.613104
619,6.6295714
620,6.6445813
621,6.6583796
622,6.672385
623,6.686478
624,6.7033515
625,6.718781
626,6.7309127
627,6.7465706
628,6.763643
629,6.7766786
630,6.786801
631,6.799389
632,6.8133936
633,6.8235765
634,6.831677
635,6.842406
636,6.8536906
637,6.8618135
638,6.869013
639,6.878372
640,6.8876624
641,6.8945503
642,6.89876
643,6.9046707
644,6.9125633
645,6.9144363
646,6.91489
647,6.920561
648,6.919314
649,6.9140954
650,6.915514
651,6.912337
652,6.9044437
653,6.9014883
654,6.895688
655,6.886922
656,6.8817363
657,6.8734655
658,6.8636427
659,6.8578105
660,6.847621
661,6.835925
662,6.82938
663,6.816329
664,6.8012347
665,6.793502
666,6.779225
667,6.761729
668,6.751976
669,6.7382517
670,6.7214074
671,6.710369
