,0
0,2.3763866
1,2.4227052
2,2.4305
3,2.4368243
4,2.4796045
5,2.5250137
6,2.536824
7,2.5483546
8,2.589722
9,2.629769
10,2.6428142
11,2.6572876
12,2.6937618
13,2.7270663
14,2.7397316
15,2.7539446
16,2.7840862
17,2.8101964
18,2.8205547
19,2.8331225
20,2.8568175
21,2.8754263
22,2.883124
23,2.893663
24,2.9108942
25,2.9236848
26,2.9295387
27,2.9373
28,2.9492626
29,2.958044
30,2.9620798
31,2.9678059
32,2.9762383
33,2.9817808
34,2.9843893
35,2.9886725
36,2.9943047
37,2.997814
38,2.9996946
39,3.0025272
40,3.006145
41,3.008467
42,3.009538
43,3.0113854
44,3.0138824
45,3.0151856
46,3.0157573
47,3.0171146
48,3.0186057
49,3.0192547
50,3.0196595
51,3.020399
52,3.0212042
53,3.0216048
54,3.021773
55,3.0222065
56,3.0227332
57,3.0228217
58,3.0227954
59,3.023089
60,3.023306
61,3.0232182
62,3.0231736
63,3.0232725
64,3.0233028
65,3.0231895
66,3.023031
67,3.0229843
68,3.022956
69,3.0227628
70,3.0225587
71,3.0224895
72,3.022391
73,3.0221767
74,3.0219913
75,3.0218666
76,3.0217147
77,3.021513
78,3.021297
79,3.0211291
80,3.020975
81,3.0207617
82,3.0205472
83,3.02039
84,3.0202737
85,3.0201094
86,3.019918
87,3.0197735
88,3.019654
89,3.0194988
90,3.0194159
91,3.0193603
92,3.0192435
93,3.019225
94,3.019246
95,3.0191784
96,3.0191848
97,3.0192513
98,3.0192428
99,3.0193124
100,3.0194225
101,3.0194511
102,3.0195372
103,3.0196705
104,3.0197387
105,3.019907
106,3.0200977
107,3.0201838
108,3.0205655
109,3.0209756
110,3.0211008
111,3.0213032
112,3.021702
113,3.021994
114,3.022131
115,3.0223305
116,3.0226352
117,3.0230887
118,3.023401
119,3.023564
120,3.0240242
121,3.024546
122,3.0247796
123,3.025111
124,3.0256283
125,3.026017
126,3.0263395
127,3.0267248
128,3.0271294
129,3.0276601
130,3.0281117
131,3.028424
132,3.0289674
133,3.029557
134,3.0299113
135,3.030373
136,3.0309682
137,3.0314264
138,3.031944
139,3.0325103
140,3.0329833
141,3.033555
142,3.034138
143,3.0345967
144,3.0351653
145,3.0357704
146,3.036242
147,3.0368047
148,3.0374153
149,3.03791
150,3.0385065
151,3.0391376
152,3.039646
153,3.0402896
154,3.0409667
155,3.0414913
156,3.042079
157,3.0427318
158,3.0432918
159,3.043919
160,3.0445654
161,3.0451193
162,3.0457377
163,3.046379
164,3.0469341
165,3.0475597
166,3.0482044
167,3.0487597
168,3.049378
169,3.0500193
170,3.0505784
171,3.0511634
172,3.0517735
173,3.0523348
174,3.052936
175,3.0535378
176,3.054083
177,3.0546722
178,3.0552716
179,3.0558143
180,3.0563812
181,3.0569644
182,3.0575094
183,3.0580785
184,3.0586486
185,3.059183
186,3.0597672
187,3.0603511
188,3.0608773
189,3.061422
190,3.0619895
191,3.0625262
192,3.0630202
193,3.0635197
194,3.0640447
195,3.0645614
196,3.0650382
197,3.065514
198,3.0660076
199,3.0664854
200,3.0669436
201,3.0674305
202,3.0679176
203,3.0683758
204,3.068826
205,3.0692878
206,3.0697522
207,3.0701857
208,3.0706089
209,3.0710557
210,3.071451
211,3.0718203
212,3.0722346
213,3.0726585
214,3.0730383
215,3.0734138
216,3.073819
217,3.0742223
218,3.074603
219,3.0749404
220,3.0752943
221,3.0756872
222,3.0760038
223,3.0762904
224,3.0766492
225,3.076973
226,3.0772386
227,3.0775464
228,3.077846
229,3.0781124
230,3.078398
231,3.0786147
232,3.0788217
233,3.079102
234,3.07929
235,3.0794265
236,3.0796616
237,3.0798106
238,3.0798862
239,3.0800567
240,3.0801923
241,3.0802586
242,3.080379
243,3.080407
244,3.0804074
245,3.080515
246,3.0805156
247,3.0804439
248,3.080496
249,3.0804296
250,3.0802803
251,3.080269
252,3.0801954
253,3.080029
254,3.0799556
255,3.0798113
256,3.0796165
257,3.0795233
258,3.0793414
259,3.0791059
260,3.0789921
261,3.0787497
262,3.0784407
263,3.0782955
264,3.0780995
265,3.0777955
266,3.077589
267,3.077328
268,3.0770206
269,3.0768108
