,0
0,172.33672
1,171.9877
2,171.94347
3,171.90277
4,171.61583
5,171.34946
6,171.29257
7,171.22777
8,171.00757
9,170.81126
10,170.74765
11,170.67766
12,170.50781
13,170.35805
14,170.2991
15,170.22609
16,170.09013
17,169.97876
18,169.91519
19,169.83928
20,169.73349
21,169.63553
22,169.5677
23,169.49889
24,169.3994
25,169.30783
26,169.24463
27,169.16365
28,169.06555
29,168.98537
30,168.90587
31,168.81624
32,168.72842
33,168.6368
34,168.5474
35,168.46208
36,168.36282
37,168.26364
38,168.17609
39,168.07681
40,167.97107
41,167.875
42,167.77196
43,167.66353
44,167.56058
45,167.4498
46,167.33664
47,167.22926
48,167.11229
49,166.99254
50,166.87971
51,166.7574
52,166.63113
53,166.51157
54,166.38388
55,166.25201
56,166.12569
57,165.99362
58,165.85806
59,165.72603
60,165.58684
61,165.44553
62,165.3088
63,165.1651
64,165.01819
65,164.87564
66,164.72745
67,164.57599
68,164.42787
69,164.27695
70,164.1235
71,163.9711
72,163.81766
73,163.66339
74,163.5088
75,163.35269
76,163.19673
77,163.04088
78,162.88293
79,162.72467
80,162.56705
81,162.4079
82,162.24792
83,162.08815
84,161.92711
85,161.76544
86,161.6039
87,161.44153
88,161.27855
89,161.11542
90,160.95238
91,160.78886
92,160.62457
93,160.46143
94,160.29828
95,160.13356
96,159.97021
97,159.80743
98,159.64293
99,159.47556
100,159.3087
101,159.14368
102,158.97702
103,158.808
104,158.63986
105,158.47478
106,158.30798
107,158.13838
108,157.97586
109,157.81447
110,157.64705
111,157.48032
112,157.3172
113,157.15326
114,156.98569
115,156.81749
116,156.652
117,156.48798
118,156.32043
119,156.15154
120,155.98691
121,155.82195
122,155.6534
123,155.48628
124,155.32053
125,155.15352
126,154.98491
127,154.81577
128,154.64783
129,154.48108
130,154.31177
131,154.1415
132,153.97554
133,153.80873
134,153.63844
135,153.46803
136,153.29877
137,153.12958
138,152.9589
139,152.78645
140,152.6152
141,152.44464
142,152.27142
143,152.09766
144,151.92686
145,151.75476
146,151.58026
147,151.40805
148,151.23598
149,151.06204
150,150.8892
151,150.71603
152,150.54193
153,150.36864
154,150.19421
155,150.01906
156,149.84367
157,149.6669
158,149.4902
159,149.31436
160,149.13646
161,148.95764
162,148.78085
163,148.6027
164,148.42273
165,148.24153
166,148.05974
167,147.87863
168,147.69447
169,147.50761
170,147.32283
171,147.13684
172,146.947
173,146.75769
174,146.56618
175,146.3721
176,146.17918
177,145.98099
178,145.77966
179,145.58191
180,145.37921
181,145.1714
182,144.96674
183,144.75931
184,144.54704
185,144.33609
186,144.12193
187,143.90443
188,143.68846
189,143.46729
190,143.24251
191,143.02078
192,142.79337
193,142.56107
194,142.33203
195,142.09845
196,141.85971
197,141.62318
198,141.3836
199,141.13968
200,140.89665
201,140.65083
202,140.40163
203,140.15303
204,139.90082
205,139.64532
206,139.39098
207,139.13379
208,138.87277
209,138.6122
210,138.35097
211,138.08638
212,137.82037
213,137.55289
214,137.28346
215,137.01317
216,136.74004
217,136.46431
218,136.18878
219,135.91374
220,135.63518
221,135.354
222,135.07338
223,134.79128
224,134.50645
225,134.22073
226,133.93349
227,133.64456
228,133.35693
229,133.06685
230,132.77328
231,132.48325
232,132.19203
233,131.8955
234,131.6008
235,131.30623
236,131.00758
237,130.71051
238,130.41235
239,130.11026
240,129.81238
241,129.51317
242,129.20781
243,128.90915
244,128.6108
245,128.30429
246,128.00372
247,127.70495
248,127.39852
249,127.09676
250,126.79627
251,126.48901
252,126.19021
253,125.89184
254,125.58363
255,125.28589
256,124.99106
257,124.68469
258,124.38608
259,124.09167
260,123.78781
261,123.49027
262,123.19515
263,122.891685
264,122.59747
265,122.304726
266,122.00122
267,121.70884
268,121.41982
269,121.11841
270,120.8273
271,120.540794
272,120.242424
273,119.95394
274,119.66957
275,119.37362
276,119.08942
277,118.808945
278,118.5153
279,118.232735
280,117.95507
281,117.66472
282,117.38509
283,117.11
284,116.82236
285,116.54426
286,116.270546
287,115.98511
288,115.706505
289,115.43165
290,115.14712
291,114.86799
292,114.59116
293,114.30568
294,114.02356
295,113.743195
296,113.45569
297,113.17459
298,112.89429
299,112.60429
300,112.31706
301,112.03285
302,111.74171
303,111.44803
304,111.15557
305,110.860306
306,110.56398
307,110.26565
308,109.96313
309,109.65608
310,109.34868
311,109.03969
312,108.7351
313,108.42797
314,108.111916
315,107.79414
316,107.48028
317,107.1624
318,106.83602
319,106.510185
320,106.1856
321,105.85571
322,105.522385
323,105.18763
324,104.85157
325,104.51432
326,104.172295
327,103.827896
328,103.48487
