,0
0,"tensor(0.12308399, grad_fn=<MseLossBackward>)"
1,"tensor(0.11203427, grad_fn=<MseLossBackward>)"
2,"tensor(0.10147627, grad_fn=<MseLossBackward>)"
3,"tensor(0.09204059, grad_fn=<MseLossBackward>)"
4,"tensor(0.08383181, grad_fn=<MseLossBackward>)"
5,"tensor(0.07618310, grad_fn=<MseLossBackward>)"
6,"tensor(0.06846616, grad_fn=<MseLossBackward>)"
7,"tensor(0.06228698, grad_fn=<MseLossBackward>)"
8,"tensor(0.05679146, grad_fn=<MseLossBackward>)"
9,"tensor(0.05125622, grad_fn=<MseLossBackward>)"
10,"tensor(0.04703330, grad_fn=<MseLossBackward>)"
11,"tensor(0.04336190, grad_fn=<MseLossBackward>)"
12,"tensor(0.03947458, grad_fn=<MseLossBackward>)"
13,"tensor(0.03675462, grad_fn=<MseLossBackward>)"
14,"tensor(0.03442255, grad_fn=<MseLossBackward>)"
15,"tensor(0.03180233, grad_fn=<MseLossBackward>)"
16,"tensor(0.03011227, grad_fn=<MseLossBackward>)"
17,"tensor(0.02867314, grad_fn=<MseLossBackward>)"
18,"tensor(0.02686625, grad_fn=<MseLossBackward>)"
19,"tensor(0.02583075, grad_fn=<MseLossBackward>)"
20,"tensor(0.02495017, grad_fn=<MseLossBackward>)"
21,"tensor(0.02363643, grad_fn=<MseLossBackward>)"
22,"tensor(0.02300503, grad_fn=<MseLossBackward>)"
23,"tensor(0.02246618, grad_fn=<MseLossBackward>)"
24,"tensor(0.02143371, grad_fn=<MseLossBackward>)"
25,"tensor(0.02104572, grad_fn=<MseLossBackward>)"
26,"tensor(0.02071197, grad_fn=<MseLossBackward>)"
27,"tensor(0.01984648, grad_fn=<MseLossBackward>)"
28,"tensor(0.01960315, grad_fn=<MseLossBackward>)"
29,"tensor(0.01939123, grad_fn=<MseLossBackward>)"
