,0
0,0.88369226
1,0.7809822
2,0.70027286
3,0.62795615
4,0.5622014
5,0.50338715
6,0.4509642
7,0.40404892
8,0.36204374
9,0.3245804
10,0.2910439
11,0.26100707
12,0.23418222
13,0.21016072
14,0.18864031
15,0.1694202
16,0.15220092
17,0.13676672
18,0.12299875
19,0.11065664
20,0.099584855
21,0.08971887
22,0.08086812
23,0.07292044
24,0.06584123
25,0.059484854
26,0.05377079
27,0.048662882
28,0.04407212
29,0.03994228
30,0.036247086
31,0.032922234
32,0.029927695
33,0.027250985
34,0.024839291
35,0.022663593
36,0.020720901
37,0.018967815
38,0.0173832
39,0.015965303
40,0.014683619
41,0.013523072
42,0.0124791665
43,0.011533874
44,0.010676692
45,0.009902227
46,0.009199624
47,0.0085615115
48,0.007985723
49,0.007462217
50,0.006985543
51,0.0065520317
52,0.0061570187
53,0.00579676
54,0.0054649897
55,0.005162042
56,0.004885492
57,0.0046330355
58,0.0044019134
59,0.0041901437
60,0.0039962786
61,0.0038183525
62,0.0036549019
63,0.0034985433
64,0.003354714
65,0.0032229016
66,0.0030960531
67,0.0029790506
68,0.0028716277
69,0.0027708805
70,0.0026776874
71,0.002591622
72,0.0025092612
73,0.002432985
74,0.002362565
75,0.0022958426
76,0.0022339437
77,0.0021766361
78,0.00211948
79,0.0020664188
80,0.0020175187
81,0.0019673414
82,0.0019206704
83,0.0018777292
84,0.0018300586
85,0.0017857401
86,0.0017453016
87,0.0017020282
88,0.001661715
89,0.0016247599
90,0.0015852577
91,0.0015484645
92,0.0015147198
93,0.0014819544
94,0.0014514043
95,0.0014230754
96,0.0013931786
97,0.0013653339
98,0.0013397367
99,0.0013110382
100,0.0012843088
101,0.0012598998
102,0.0012295136
103,0.0012011938
104,0.0011755772
105,0.001149925
106,0.0011259423
107,0.0011037522
108,0.0010785656
109,0.0010551125
110,0.0010337112
111,0.0010073447
112,0.0009827962
113,0.0009605921
114,0.00093326275
115,0.0009078125
116,0.0008848044
117,0.00086005876
118,0.0008369779
119,0.00081582397
