,0
0,0.99535114
1,0.98336756
2,0.97152877
3,0.9619598
4,0.9515485
5,0.9411326
6,0.93156916
7,0.92138696
8,0.91131634
9,0.9021458
10,0.89228696
11,0.8825362
12,0.874273
13,0.86472183
14,0.8552756
15,0.84712803
16,0.8378772
17,0.8287281
18,0.82016397
19,0.811212
20,0.802358
21,0.79423034
22,0.78556496
23,0.77699465
24,0.7705258
25,0.7621227
26,0.7538117
27,0.746005
28,0.73787445
29,0.72983277
30,0.72313166
31,0.7152542
32,0.70746315
33,0.7006054
34,0.69297737
35,0.68543315
36,0.67858505
37,0.6712007
38,0.66389745
39,0.6576056
40,0.6504539
41,0.6433808
42,0.63766456
43,0.6307321
44,0.62387574
45,0.61669147
46,0.6099928
47,0.60336757
48,0.5963062
49,0.58983284
50,0.58343077
51,0.57800674
52,0.57173586
53,0.56553376
54,0.5586543
55,0.552597
56,0.5466059
57,0.54018307
58,0.5343283
59,0.5285378
60,0.5223173
61,0.51665944
62,0.51106375
63,0.5042835
64,0.49882445
65,0.49342534
66,0.4863455
67,0.48108375
68,0.47587967
69,0.47003692
70,0.464953
71,0.45992488
72,0.45371217
73,0.44880617
74,0.44395396
75,0.4383046
76,0.43356735
77,0.4288821
78,0.42255265
79,0.41798735
80,0.41347224
81,0.40828907
82,0.40387914
83,0.39951766
84,0.3929368
85,0.3886983
86,0.3845064
87,0.37855712
88,0.3744758
89,0.3704394
90,0.36612332
91,0.3621777
92,0.35827547
93,0.3521767
94,0.34838513
95,0.3446352
96,0.33954856
97,0.3358952
98,0.33228204
99,0.32650644
100,0.32299405
101,0.31952026
102,0.31444868
103,0.31106704
104,0.30772257
105,0.30224165
106,0.2989923
107,0.29577872
108,0.29062203
109,0.28749907
110,0.28441045
111,0.27870953
112,0.27571607
113,0.27275556
114,0.26867992
115,0.26579478
116,0.26294145
117,0.25820383
118,0.25543293
119,0.2526925
