,0
0,0.9926343
1,0.9808002
2,0.9691092
3,0.95508796
4,0.9425579
5,0.9300789
6,0.9155638
7,0.90343595
8,0.8914712
9,0.8764842
10,0.8648821
11,0.8534358
12,0.8403002
13,0.82918686
14,0.81822306
15,0.80561095
16,0.7949648
17,0.7844618
18,0.77173615
19,0.7615458
20,0.7514923
21,0.7389133
22,0.72916394
23,0.71954596
24,0.7073819
25,0.69805557
26,0.6888547
27,0.6776971
28,0.66876423
29,0.6599516
30,0.6497268
31,0.6411668
32,0.6327219
33,0.6227092
34,0.61450934
35,0.60641974
36,0.59667206
37,0.58881956
38,0.5810727
39,0.5719365
40,0.5644137
41,0.5569922
42,0.5485618
43,0.54134834
44,0.5342319
45,0.5263661
46,0.5194445
47,0.5126159
48,0.50492585
49,0.49828696
50,0.49173722
51,0.48463073
52,0.47826004
53,0.47197503
54,0.4654453
55,0.45932567
56,0.4532883
57,0.44658
58,0.44070634
59,0.4349116
60,0.42848492
61,0.4228487
62,0.41728818
63,0.41176224
64,0.40634444
65,0.40099946
66,0.39573425
67,0.3905255
68,0.38538668
69,0.37979648
70,0.37479588
71,0.3698624
72,0.36476934
73,0.35996416
74,0.35522357
75,0.350195
76,0.34557962
77,0.34102625
78,0.33646363
79,0.3320262
80,0.3276483
81,0.32331136
82,0.31904402
83,0.31483397
84,0.3115623
85,0.3074476
86,0.30338815
87,0.29965648
88,0.2956961
89,0.29178882
90,0.28823432
91,0.2844221
92,0.28066102
93,0.2770861
94,0.27342132
95,0.26980576
96,0.26645532
97,0.2629298
98,0.25945163
99,0.25658554
100,0.253189
101,0.24983805
102,0.2470588
103,0.24378479
104,0.24055478
105,0.23745999
106,0.23431143
107,0.23120508
108,0.22887294
109,0.22583796
110,0.22284375
111,0.22092903
112,0.21799944
113,0.21510915
114,0.21322967
115,0.21040252
116,0.20761324
117,0.20521131
118,0.20249115
119,0.1998075
120,0.19777298
121,0.19515333
122,0.19256885
123,0.19063967
124,0.18811713
125,0.18562844
126,0.18458149
127,0.18214196
128,0.17973521
129,0.17859814
130,0.17624094
131,0.17391533
132,0.17265837
133,0.1703836
134,0.1681393
135,0.16713178
136,0.16493456
137,0.16276678
138,0.16168565
139,0.15956548
140,0.15747374
141,0.15644921
142,0.15440409
143,0.15238638
144,0.15147027
145,0.14949724
146,0.14755066
147,0.14659877
148,0.14469698
149,0.14282072
150,0.14166352
151,0.13983425
152,0.13802953
153,0.1368289
154,0.13507116
155,0.133337
156,0.13237692
157,0.13068554
158,0.12901686
159,0.12842649
160,0.12679733
161,0.12519003
162,0.12433667
163,0.12276917
164,0.12122267
165,0.120642096
166,0.11913076
167,0.11763971
168,0.11713649
169,0.115678854
170,0.11424077
171,0.11341774
172,0.1120167
173,0.11063445
174,0.10967944
175,0.10833473
176,0.10700805
177,0.10587451
178,0.10458527
179,0.10331334
180,0.102229156
181,0.10099293
182,0.09977335
183,0.09866685
184,0.09748153
185,0.09631212
186,0.09511496
187,0.09397958
188,0.09285951
189,0.091558255
190,0.090472095
191,0.089400545
192,0.0880473
193,0.08700942
194,0.085985504
195,0.08448359
196,0.08349413
197,0.082518
198,0.08099046
199,0.08004854
200,0.079119295
201,0.07798289
202,0.07708323
203,0.0761957
204,0.075234465
205,0.07437404
206,0.073525205
207,0.07240322
208,0.07158208
209,0.07077198
210,0.06939724
211,0.06861295
212,0.06783922
213,0.06653574
214,0.06578717
215,0.06504867
216,0.064044595
217,0.063327365
218,0.062619805
219,0.061685324
220,0.06099791
221,0.060319744
222,0.059268646
223,0.05861194
224,0.05796407
225,0.05684599
226,0.056219194
227,0.05560084
228,0.054376274
229,0.05377906
230,0.05318988
231,0.051992655
232,0.05142391
233,0.050862823
234,0.04975798
235,0.04921553
236,0.048680402
237,0.04761786
238,0.047099598
239,0.046588317
240,0.045960546
241,0.04546085
242,0.044967886
243,0.044163015
244,0.04368286
245,0.04320914
246,0.042368
247,0.041907456
248,0.041453093
249,0.040651806
250,0.040209018
251,0.039772186
252,0.038892616
253,0.03846743
254,0.038047954
255,0.037127044
256,0.036719173
257,0.03631678
258,0.035342004
259,0.034951534
260,0.034566317
261,0.033516504
262,0.033144258
263,0.032777015
264,0.031832796
265,0.031477217
266,0.031126423
267,0.03037145
268,0.03002937
269,0.029691894
270,0.028996654
271,0.028666945
272,0.02834166
273,0.027595557
274,0.027279006
275,0.0269667
276,0.026199013
277,0.025895832
278,0.025596725
279,0.024947835
280,0.024656616
281,0.024369312
282,0.02381152
283,0.023531303
284,0.023254845
285,0.022786159
286,0.022515696
287,0.022248857
288,0.021822989
289,0.021561818
290,0.02130414
291,0.02090207
292,0.020650377
293,0.020402052
294,0.020062838
295,0.019820282
296,0.019580977
297,0.019320311
298,0.019086126
299,0.018855076
300,0.018708851
301,0.018481871
302,0.018257927
303,0.018275471
304,0.018053891
305,0.017835276
306,0.017813008
307,0.017597592
308,0.017385045
309,0.017216558
310,0.017009547
311,0.016805304
312,0.016752115
313,0.01655264
314,0.016355846
315,0.016527802
316,0.016333608
317,0.016142018
318,0.016316978
319,0.016128138
320,0.015941815
321,0.016160607
322,0.01597696
323,0.015795762
324,0.016024668
325,0.015846532
326,0.015670775
327,0.015844582
328,0.015673112
329,0.015503936
330,0.015824836
331,0.015658574
332,0.015494541
333,0.015954293
334,0.015791915
335,0.015631711
336,0.016072756
337,0.015914949
338,0.01575925
339,0.016148387
340,0.015995959
341,0.01584557
342,0.016222456
343,0.016075617
344,0.015930744
345,0.016417425
346,0.016275093
347,0.016134674
348,0.016728766
349,0.016589986
350,0.016453063
351,0.016849544
352,0.016717039
353,0.0165863
354,0.017181527
355,0.017053822
356,0.016927836
357,0.017426204
358,0.017302055
359,0.017179575
360,0.017572949
361,0.017452886
362,0.017334424
363,0.017722903
364,0.017607
365,0.017492652
366,0.01781784
367,0.017705875
368,0.01759541
369,0.017936418
370,0.017828207
371,0.017721446
372,0.018013682
373,0.017910168
374,0.017808048
375,0.018048901
376,0.017950047
377,0.01785252
378,0.018010976
379,0.01791694
380,0.017824166
381,0.017832989
382,0.017744595
383,0.01765739
384,0.01759192
385,0.017509162
386,0.017427526
387,0.017337179
388,0.017259737
389,0.017183349
390,0.01706098
391,0.016988697
392,0.016917396
393,0.016780665
394,0.016713494
395,0.016647235
396,0.016531216
397,0.01646867
398,0.016406976
399,0.016422711
400,0.016364465
401,0.01630701
402,0.016335832
403,0.016281392
404,0.016227694
405,0.016151637
406,0.016100492
407,0.016050044
408,0.015837252
409,0.015790142
410,0.01574367
411,0.0155675225
412,0.015524173
413,0.015481414
414,0.01528832
415,0.015248398
416,0.015209018
417,0.014807171
418,0.014770108
419,0.014733548
420,0.014470456
421,0.014435617
422,0.014401252
423,0.014091881
424,0.01405905
425,0.014026663
426,0.013614155
427,0.013583126
428,0.013552515
429,0.01318072
430,0.013151434
431,0.013122546
432,0.012816289
433,0.01278868
434,0.012761448
435,0.012450418
436,0.012424345
437,0.012398624
438,0.012042534
439,0.012017886
440,0.011993574
441,0.011575837
442,0.011552487
443,0.011529451
444,0.011086037
445,0.011063904
446,0.01104207
447,0.010653567
448,0.010632377
449,0.010611476
450,0.010257927
451,0.010237391
452,0.01021713
453,0.009797358
454,0.009777502
455,0.00975791
456,0.009274687
457,0.00925548
458,0.009236532
459,0.008780048
460,0.008761314
461,0.00874283
462,0.008370565
463,0.008352128
464,0.008333935
465,0.007941631
466,0.00792358
467,0.007905767
468,0.0074423254
469,0.007424801
470,0.007407508
471,0.0071596387
472,0.0071416553
473,0.0071239118
474,0.0066174893
475,0.0066005774
476,0.0065838876
477,0.0062594363
478,0.0062425025
479,0.0062257973
480,0.0058732484
481,0.0058568064
482,0.0058405804
483,0.0054698884
484,0.0054544783
485,0.005439277
486,0.005083407
487,0.0050692894
488,0.005055364
489,0.004850611
490,0.004836128
491,0.0048218425
492,0.004658396
493,0.00464355
494,0.0046288976
495,0.0044727717
496,0.0044579394
497,0.0044433014
498,0.004260427
499,0.0042459434
500,0.0042316504
501,0.0040878234
502,0.004073824
503,0.004060011
504,0.0039976584
505,0.0039838185
506,0.0039701606
507,0.0039662165
508,0.003952
509,0.003937973
510,0.003937127
511,0.0039227144
512,0.0039084903
513,0.0039235475
514,0.0039094533
515,0.003895543
516,0.0039986274
517,0.003984453
518,0.003970468
519,0.0041248165
520,0.0041103926
521,0.0040961597
522,0.004283372
523,0.0042689955
524,0.004254808
525,0.004462935
526,0.0044489144
527,0.0044350806
528,0.004587619
529,0.0045746467
530,0.004561846
531,0.0050326413
532,0.0050181965
533,0.0050039473
534,0.005331042
535,0.0053168787
536,0.0053028935
537,0.0056622955
538,0.005648457
539,0.005634803
540,0.006046928
541,0.0060336497
542,0.006020549
543,0.0064657284
544,0.0064529316
545,0.0064403065
546,0.0068888594
547,0.0068758125
548,0.00686294
549,0.0073519214
550,0.007339049
551,0.0073263454
552,0.0077433754
553,0.0077315425
554,0.007719868
555,0.008185352
556,0.00817378
557,0.008162368
558,0.008617516
559,0.008606774
560,0.008596176
561,0.009059083
562,0.009047988
563,0.009037042
564,0.009394828
565,0.009385147
566,0.009375595
567,0.009913134
568,0.009904109
569,0.009895207
570,0.010191
571,0.010182743
572,0.010174595
573,0.010429555
574,0.010421461
575,0.010413478
576,0.010596873
577,0.010589259
578,0.010581748
579,0.010725766
580,0.010718566
581,0.01071146
582,0.010771805
583,0.01076563
584,0.010759538
585,0.01087088
586,0.010865211
587,0.010859621
588,0.0109304115
589,0.010925267
590,0.01092019
591,0.010989464
592,0.01098479
593,0.0109801795
594,0.011084657
595,0.011080217
596,0.011075836
597,0.011213957
598,0.011209989
599,0.0112060765
600,0.011231121
601,0.011227383
602,0.011223695
603,0.011139145
604,0.011135662
605,0.011132226
606,0.010846232
607,0.010842976
608,0.010839765
609,0.010627581
610,0.010624493
611,0.010621444
612,0.010438205
613,0.010435269
614,0.010432372
615,0.010182459
616,0.010179723
617,0.010177021
618,0.00993195
619,0.009929377
620,0.00992684
621,0.009633616
622,0.009631225
623,0.009628869
624,0.009320808
625,0.009318599
626,0.00931642
627,0.008993314
628,0.008991364
629,0.00898944
630,0.008646447
631,0.008644767
632,0.00864311
633,0.0083287
634,0.008327055
635,0.008325434
636,0.007982495
637,0.007981027
638,0.007979576
639,0.0075871428
640,0.0075858603
641,0.007584595
642,0.00721389
643,0.007212655
644,0.0072114384
645,0.0068958127
646,0.006894631
647,0.0068934653
648,0.006327565
649,0.00632662
650,0.006325688
651,0.005927078
652,0.0059262435
653,0.0059254193
654,0.0054227235
655,0.0054220315
656,0.0054213484
657,0.005061388
658,0.005060725
659,0.005060071
660,0.0046657473
661,0.0046651554
662,0.00466457
663,0.004288819
664,0.004288349
665,0.004287884
666,0.003952683
667,0.003952112
668,0.0039515495
669,0.0036317972
670,0.0036311753
671,0.0036305601
672,0.0033300258
673,0.0033293127
674,0.0033286077
675,0.003072001
676,0.0030710227
677,0.0030700557
678,0.0028466312
679,0.0028454103
680,0.002844204
681,0.0026522623
682,0.0026507755
683,0.0026493056
684,0.0025094547
685,0.0025075772
686,0.0025057222
687,0.0023926673
688,0.0023904783
689,0.002388315
690,0.0023102441
691,0.0023077354
692,0.002305258
693,0.002287051
694,0.0022840537
695,0.0022810933
696,0.002297074
697,0.0022936414
698,0.0022902517
699,0.002349714
700,0.0023458628
701,0.0023420595
702,0.0024582176
703,0.0024538832
704,0.002449603
705,0.002593824
706,0.0025890234
707,0.002584283
708,0.0027510154
709,0.0027457378
710,0.0027405259
711,0.0029538022
712,0.0029480709
713,0.002942412
714,0.003207118
715,0.0032009338
716,0.003194829
717,0.0035000495
718,0.0034935274
719,0.0034870883
720,0.012556677
721,0.0125471465
722,0.0125377355
723,0.011934372
724,0.011925116
725,0.011915962
726,0.011820033
727,0.011811321
728,0.011802722
729,0.01187134
730,0.0118633
731,0.011855369
732,0.012033164
733,0.012025619
734,0.012018175
735,0.012295434
736,0.012288294
737,0.012281246
738,0.012587556
739,0.01258099
740,0.01257451
741,0.012851426
742,0.01284566
743,0.01283997
744,0.012909869
745,0.012904774
746,0.012899749
747,0.012984109
748,0.012979696
749,0.0129753435
750,0.013142095
751,0.013138413
752,0.013134782
753,0.01311506
754,0.013111883
755,0.013108749
756,0.013165829
757,0.0131631745
758,0.013160557
759,0.01332868
760,0.013326466
761,0.013324285
762,0.013457784
763,0.013455807
764,0.013453857
765,0.01351854
766,0.013516695
767,0.013514876
768,0.0135855125
769,0.013583719
770,0.013581949
771,0.013627757
772,0.013625838
773,0.013623944
774,0.0135880485
775,0.013585903
776,0.013583782
777,0.013116946
778,0.0131150205
779,0.013113119
780,0.012868622
781,0.012866735
782,0.012864877
783,0.012663206
784,0.012661267
