,0
0,"tensor(0.98798621, device='cuda:0')"
1,"tensor(0.97611713, device='cuda:0')"
2,"tensor(0.96320808, device='cuda:0')"
3,"tensor(0.95047307, device='cuda:0')"
4,"tensor(0.93778962, device='cuda:0')"
5,"tensor(0.92527604, device='cuda:0')"
6,"tensor(0.91291797, device='cuda:0')"
7,"tensor(0.90072536, device='cuda:0')"
8,"tensor(0.88869488, device='cuda:0')"
9,"tensor(0.87682170, device='cuda:0')"
10,"tensor(0.86510748, device='cuda:0')"
11,"tensor(0.85354984, device='cuda:0')"
12,"tensor(0.84214604, device='cuda:0')"
13,"tensor(0.83089495, device='cuda:0')"
14,"tensor(0.81979454, device='cuda:0')"
15,"tensor(0.80884230, device='cuda:0')"
16,"tensor(0.79803693, device='cuda:0')"
17,"tensor(0.78737628, device='cuda:0')"
18,"tensor(0.77685463, device='cuda:0')"
19,"tensor(0.76647401, device='cuda:0')"
20,"tensor(0.75623214, device='cuda:0')"
21,"tensor(0.74612159, device='cuda:0')"
22,"tensor(0.73614645, device='cuda:0')"
23,"tensor(0.72630453, device='cuda:0')"
24,"tensor(0.71659148, device='cuda:0')"
25,"tensor(0.70700848, device='cuda:0')"
26,"tensor(0.69755363, device='cuda:0')"
27,"tensor(0.68822259, device='cuda:0')"
28,"tensor(0.67901659, device='cuda:0')"
29,"tensor(0.66993374, device='cuda:0')"
30,"tensor(0.66097027, device='cuda:0')"
31,"tensor(0.65212697, device='cuda:0')"
32,"tensor(0.64340204, device='cuda:0')"
33,"tensor(0.63479197, device='cuda:0')"
34,"tensor(0.62629735, device='cuda:0')"
35,"tensor(0.61791635, device='cuda:0')"
36,"tensor(0.60964727, device='cuda:0')"
37,"tensor(0.60148907, device='cuda:0')"
38,"tensor(0.59344023, device='cuda:0')"
39,"tensor(0.58549613, device='cuda:0')"
40,"tensor(0.57765859, device='cuda:0')"
41,"tensor(0.56992590, device='cuda:0')"
42,"tensor(0.56229246, device='cuda:0')"
43,"tensor(0.55476141, device='cuda:0')"
44,"tensor(0.54733092, device='cuda:0')"
45,"tensor(0.53999853, device='cuda:0')"
46,"tensor(0.53276449, device='cuda:0')"
47,"tensor(0.52562732, device='cuda:0')"
48,"tensor(0.51858592, device='cuda:0')"
49,"tensor(0.51163888, device='cuda:0')"
50,"tensor(0.50478500, device='cuda:0')"
51,"tensor(0.49801922, device='cuda:0')"
52,"tensor(0.49134415, device='cuda:0')"
53,"tensor(0.48475835, device='cuda:0')"
54,"tensor(0.47825763, device='cuda:0')"
55,"tensor(0.47184414, device='cuda:0')"
56,"tensor(0.46551633, device='cuda:0')"
57,"tensor(0.45926982, device='cuda:0')"
58,"tensor(0.45310709, device='cuda:0')"
59,"tensor(0.44702682, device='cuda:0')"
60,"tensor(0.44102320, device='cuda:0')"
61,"tensor(0.43510014, device='cuda:0')"
62,"tensor(0.42925620, device='cuda:0')"
63,"tensor(0.42348939, device='cuda:0')"
64,"tensor(0.41780004, device='cuda:0')"
65,"tensor(0.41218698, device='cuda:0')"
66,"tensor(0.40664729, device='cuda:0')"
67,"tensor(0.40118203, device='cuda:0')"
68,"tensor(0.39579004, device='cuda:0')"
69,"tensor(0.39046675, device='cuda:0')"
70,"tensor(0.38521501, device='cuda:0')"
71,"tensor(0.38003355, device='cuda:0')"
72,"tensor(0.37492058, device='cuda:0')"
73,"tensor(0.36987633, device='cuda:0')"
74,"tensor(0.36489972, device='cuda:0')"
75,"tensor(0.35998771, device='cuda:0')"
76,"tensor(0.35514176, device='cuda:0')"
77,"tensor(0.35036081, device='cuda:0')"
78,"tensor(0.34564099, device='cuda:0')"
79,"tensor(0.34098467, device='cuda:0')"
80,"tensor(0.33639070, device='cuda:0')"
81,"tensor(0.33185667, device='cuda:0')"
82,"tensor(0.32738361, device='cuda:0')"
83,"tensor(0.32297051, device='cuda:0')"
84,"tensor(0.31861383, device='cuda:0')"
85,"tensor(0.31431580, device='cuda:0')"
86,"tensor(0.31007528, device='cuda:0')"
87,"tensor(0.30589041, device='cuda:0')"
88,"tensor(0.30176184, device='cuda:0')"
89,"tensor(0.29768872, device='cuda:0')"
90,"tensor(0.29366872, device='cuda:0')"
91,"tensor(0.28970283, device='cuda:0')"
92,"tensor(0.28579021, device='cuda:0')"
93,"tensor(0.28192985, device='cuda:0')"
94,"tensor(0.27812147, device='cuda:0')"
95,"tensor(0.27436435, device='cuda:0')"
96,"tensor(0.27065614, device='cuda:0')"
97,"tensor(0.26699784, device='cuda:0')"
98,"tensor(0.26338872, device='cuda:0')"
99,"tensor(0.25982732, device='cuda:0')"
100,"tensor(0.25631389, device='cuda:0')"
101,"tensor(0.25284773, device='cuda:0')"
102,"tensor(0.24942717, device='cuda:0')"
103,"tensor(0.24605274, device='cuda:0')"
104,"tensor(0.24272367, device='cuda:0')"
105,"tensor(0.23943889, device='cuda:0')"
106,"tensor(0.23619840, device='cuda:0')"
107,"tensor(0.23300153, device='cuda:0')"
