,0
0,"tensor(0.88209724, device='cuda:0')"
1,"tensor(0.77807331, device='cuda:0')"
2,"tensor(0.67625970, device='cuda:0')"
3,"tensor(0.58770865, device='cuda:0')"
4,"tensor(0.50980818, device='cuda:0')"
5,"tensor(0.44220480, device='cuda:0')"
6,"tensor(0.38349342, device='cuda:0')"
7,"tensor(0.33256274, device='cuda:0')"
8,"tensor(0.28837907, device='cuda:0')"
9,"tensor(0.25008643, device='cuda:0')"
10,"tensor(0.21687125, device='cuda:0')"
11,"tensor(0.18806440, device='cuda:0')"
12,"tensor(0.16312176, device='cuda:0')"
13,"tensor(0.14148663, device='cuda:0')"
14,"tensor(0.12272441, device='cuda:0')"
15,"tensor(0.10648365, device='cuda:0')"
16,"tensor(0.09239574, device='cuda:0')"
17,"tensor(0.08017813, device='cuda:0')"
18,"tensor(0.06961039, device='cuda:0')"
19,"tensor(0.06044218, device='cuda:0')"
20,"tensor(0.05249064, device='cuda:0')"
21,"tensor(0.04561627, device='cuda:0')"
22,"tensor(0.03965095, device='cuda:0')"
23,"tensor(0.03447635, device='cuda:0')"
24,"tensor(0.02999976, device='cuda:0')"
25,"tensor(0.02611410, device='cuda:0')"
26,"tensor(0.02274234, device='cuda:0')"
27,"tensor(0.01982791, device='cuda:0')"
28,"tensor(0.01729714, device='cuda:0')"
29,"tensor(0.01510039, device='cuda:0')"
30,"tensor(0.01320399, device='cuda:0')"
31,"tensor(0.01155623, device='cuda:0')"
32,"tensor(0.01012529, device='cuda:0')"
33,"tensor(0.00889076, device='cuda:0')"
34,"tensor(0.00781722, device='cuda:0')"
35,"tensor(0.00688423, device='cuda:0')"
36,"tensor(0.00607947, device='cuda:0')"
37,"tensor(0.00537884, device='cuda:0')"
38,"tensor(0.00476926, device='cuda:0')"
39,"tensor(0.00424204, device='cuda:0')"
40,"tensor(0.00378238, device='cuda:0')"
41,"tensor(0.00338176, device='cuda:0')"
42,"tensor(0.00303437, device='cuda:0')"
43,"tensor(0.00273097, device='cuda:0')"
44,"tensor(0.00246602, device='cuda:0')"
45,"tensor(0.00223553, device='cuda:0')"
46,"tensor(0.00203374, device='cuda:0')"
47,"tensor(0.00185706, device='cuda:0')"
48,"tensor(0.00170420, device='cuda:0')"
49,"tensor(0.00156990, device='cuda:0')"
50,"tensor(0.00145198, device='cuda:0')"
51,"tensor(0.00134720, device='cuda:0')"
52,"tensor(0.00125470, device='cuda:0')"
53,"tensor(0.00117283, device='cuda:0')"
54,"tensor(0.00110047, device='cuda:0')"
55,"tensor(0.00103621, device='cuda:0')"
56,"tensor(0.00097906, device='cuda:0')"
57,"tensor(0.00092757, device='cuda:0')"
58,"tensor(0.00088150, device='cuda:0')"
59,"tensor(0.00084016, device='cuda:0')"
60,"tensor(0.00080141, device='cuda:0')"
61,"tensor(0.00076647, device='cuda:0')"
62,"tensor(0.00073477, device='cuda:0')"
63,"tensor(0.00070376, device='cuda:0')"
64,"tensor(0.00067561, device='cuda:0')"
65,"tensor(0.00064981, device='cuda:0')"
66,"tensor(0.00062379, device='cuda:0')"
67,"tensor(0.00060004, device='cuda:0')"
68,"tensor(0.00057812, device='cuda:0')"
69,"tensor(0.00055503, device='cuda:0')"
70,"tensor(0.00053389, device='cuda:0')"
71,"tensor(0.00051426, device='cuda:0')"
72,"tensor(0.00049359, device='cuda:0')"
73,"tensor(0.00047466, device='cuda:0')"
74,"tensor(0.00045707, device='cuda:0')"
75,"tensor(0.00043888, device='cuda:0')"
76,"tensor(0.00042222, device='cuda:0')"
77,"tensor(0.00040677, device='cuda:0')"
78,"tensor(0.00039171, device='cuda:0')"
79,"tensor(0.00037792, device='cuda:0')"
80,"tensor(0.00036523, device='cuda:0')"
81,"tensor(0.00035215, device='cuda:0')"
82,"tensor(0.00034021, device='cuda:0')"
83,"tensor(0.00032916, device='cuda:0')"
84,"tensor(0.00031595, device='cuda:0')"
85,"tensor(0.00030392, device='cuda:0')"
86,"tensor(0.00029266, device='cuda:0')"
87,"tensor(0.00028016, device='cuda:0')"
88,"tensor(0.00026881, device='cuda:0')"
89,"tensor(0.00025831, device='cuda:0')"
90,"tensor(0.00024747, device='cuda:0')"
91,"tensor(0.00023768, device='cuda:0')"
92,"tensor(0.00022871, device='cuda:0')"
93,"tensor(0.00021913, device='cuda:0')"
94,"tensor(0.00021051, device='cuda:0')"
95,"tensor(0.00020261, device='cuda:0')"
96,"tensor(0.00019475, device='cuda:0')"
97,"tensor(0.00018770, device='cuda:0')"
98,"tensor(0.00018130, device='cuda:0')"
99,"tensor(0.00017361, device='cuda:0')"
100,"tensor(0.00016670, device='cuda:0')"
101,"tensor(0.00016033, device='cuda:0')"
102,"tensor(0.00015357, device='cuda:0')"
103,"tensor(0.00014751, device='cuda:0')"
104,"tensor(0.00014199, device='cuda:0')"
105,"tensor(0.00013668, device='cuda:0')"
106,"tensor(0.00013191, device='cuda:0')"
107,"tensor(0.00012761, device='cuda:0')"
108,"tensor(0.00012238, device='cuda:0')"
109,"tensor(0.00011770, device='cuda:0')"
110,"tensor(0.00011338, device='cuda:0')"
111,"tensor(0.00010870, device='cuda:0')"
112,"tensor(0.00010450, device='cuda:0')"
113,"tensor(0.00010067, device='cuda:0')"
114,"tensor(9.58399833e-05, device='cuda:0')"
115,"tensor(9.15050186e-05, device='cuda:0')"
116,"tensor(8.74854886e-05, device='cuda:0')"
117,"tensor(8.30449499e-05, device='cuda:0')"
118,"tensor(7.90558843e-05, device='cuda:0')"
119,"tensor(7.54019638e-05, device='cuda:0')"
120,"tensor(7.13785121e-05, device='cuda:0')"
121,"tensor(6.77649223e-05, device='cuda:0')"
122,"tensor(6.44522952e-05, device='cuda:0')"
123,"tensor(6.02844630e-05, device='cuda:0')"
124,"tensor(5.65516530e-05, device='cuda:0')"
125,"tensor(5.31001206e-05, device='cuda:0')"
126,"tensor(4.87843899e-05, device='cuda:0')"
127,"tensor(4.49441650e-05, device='cuda:0')"
128,"tensor(4.14221104e-05, device='cuda:0')"
129,"tensor(3.72313298e-05, device='cuda:0')"
130,"tensor(3.35379409e-05, device='cuda:0')"
131,"tensor(3.01958826e-05, device='cuda:0')"
132,"tensor(2.64486735e-05, device='cuda:0')"
133,"tensor(2.31937338e-05, device='cuda:0')"
134,"tensor(2.03059426e-05, device='cuda:0')"
135,"tensor(1.71532665e-05, device='cuda:0')"
136,"tensor(1.44836631e-05, device='cuda:0')"
137,"tensor(1.21829580e-05, device='cuda:0')"
138,"tensor(9.81058383e-06, device='cuda:0')"
139,"tensor(7.89598289e-06, device='cuda:0')"
140,"tensor(6.34321759e-06, device='cuda:0')"
141,"tensor(4.76534615e-06, device='cuda:0')"
142,"tensor(3.63156937e-06, device='cuda:0')"
143,"tensor(2.85087117e-06, device='cuda:0')"
144,"tensor(2.20676020e-06, device='cuda:0')"
145,"tensor(2.00663180e-06, device='cuda:0')"
146,"tensor(2.17278784e-06, device='cuda:0')"
147,"tensor(2.82076007e-06, device='cuda:0')"
148,"tensor(3.86141255e-06, device='cuda:0')"
149,"tensor(5.24718871e-06, device='cuda:0')"
150,"tensor(7.34313198e-06, device='cuda:0')"
151,"tensor(9.75741750e-06, device='cuda:0')"
152,"tensor(1.24701892e-05, device='cuda:0')"
153,"tensor(1.61084827e-05, device='cuda:0')"
154,"tensor(1.99918286e-05, device='cuda:0')"
155,"tensor(2.41297057e-05, device='cuda:0')"
156,"tensor(2.94835882e-05, device='cuda:0')"
157,"tensor(3.50211012e-05, device='cuda:0')"
158,"tensor(4.07864100e-05, device='cuda:0')"
159,"tensor(4.80856397e-05, device='cuda:0')"
160,"tensor(5.55128790e-05, device='cuda:0')"
161,"tensor(6.31459989e-05, device='cuda:0')"
162,"tensor(7.25451609e-05, device='cuda:0')"
163,"tensor(8.19954730e-05, device='cuda:0')"
164,"tensor(9.15985074e-05, device='cuda:0')"
165,"tensor(0.00010318, device='cuda:0')"
166,"tensor(0.00011471, device='cuda:0')"
167,"tensor(0.00012633, device='cuda:0')"
168,"tensor(0.00014016, device='cuda:0')"
169,"tensor(0.00015380, device='cuda:0')"
170,"tensor(0.00016743, device='cuda:0')"
171,"tensor(0.00018340, device='cuda:0')"
172,"tensor(0.00019904, device='cuda:0')"
173,"tensor(0.00021454, device='cuda:0')"
174,"tensor(0.00023239, device='cuda:0')"
175,"tensor(0.00024976, device='cuda:0')"
176,"tensor(0.00026686, device='cuda:0')"
177,"tensor(0.00028613, device='cuda:0')"
178,"tensor(0.00030479, device='cuda:0')"
179,"tensor(0.00032305, device='cuda:0')"
180,"tensor(0.00034312, device='cuda:0')"
181,"tensor(0.00036246, device='cuda:0')"
182,"tensor(0.00038129, device='cuda:0')"
183,"tensor(0.00040176, device='cuda:0')"
184,"tensor(0.00042141, device='cuda:0')"
185,"tensor(0.00044046, device='cuda:0')"
186,"tensor(0.00046068, device='cuda:0')"
187,"tensor(0.00048004, device='cuda:0')"
188,"tensor(0.00049874, device='cuda:0')"
189,"tensor(0.00051769, device='cuda:0')"
190,"tensor(0.00053583, device='cuda:0')"
191,"tensor(0.00055326, device='cuda:0')"
192,"tensor(0.00057059, device='cuda:0')"
193,"tensor(0.00058718, device='cuda:0')"
194,"tensor(0.00060310, device='cuda:0')"
195,"tensor(0.00061868, device='cuda:0')"
196,"tensor(0.00063361, device='cuda:0')"
197,"tensor(0.00064793, device='cuda:0')"
198,"tensor(0.00066153, device='cuda:0')"
199,"tensor(0.00067459, device='cuda:0')"
200,"tensor(0.00068709, device='cuda:0')"
201,"tensor(0.00069845, device='cuda:0')"
202,"tensor(0.00070943, device='cuda:0')"
203,"tensor(0.00071996, device='cuda:0')"
204,"tensor(0.00072933, device='cuda:0')"
205,"tensor(0.00073850, device='cuda:0')"
206,"tensor(0.00074738, device='cuda:0')"
207,"tensor(0.00075470, device='cuda:0')"
208,"tensor(0.00076198, device='cuda:0')"
209,"tensor(0.00076907, device='cuda:0')"
210,"tensor(0.00077044, device='cuda:0')"
211,"tensor(0.00077199, device='cuda:0')"
212,"tensor(0.00077311, device='cuda:0')"
213,"tensor(0.00077130, device='cuda:0')"
214,"tensor(0.00076983, device='cuda:0')"
215,"tensor(0.00076839, device='cuda:0')"
216,"tensor(0.00076423, device='cuda:0')"
217,"tensor(0.00076060, device='cuda:0')"
218,"tensor(0.00075715, device='cuda:0')"
219,"tensor(0.00075131, device='cuda:0')"
220,"tensor(0.00074609, device='cuda:0')"
221,"tensor(0.00074117, device='cuda:0')"
222,"tensor(0.00073418, device='cuda:0')"
223,"tensor(0.00072789, device='cuda:0')"
224,"tensor(0.00072199, device='cuda:0')"
225,"tensor(0.00071337, device='cuda:0')"
226,"tensor(0.00070556, device='cuda:0')"
227,"tensor(0.00069816, device='cuda:0')"
228,"tensor(0.00068763, device='cuda:0')"
229,"tensor(0.00067800, device='cuda:0')"
230,"tensor(0.00066885, device='cuda:0')"
231,"tensor(0.00065662, device='cuda:0')"
232,"tensor(0.00064538, device='cuda:0')"
233,"tensor(0.00063471, device='cuda:0')"
234,"tensor(0.00062067, device='cuda:0')"
235,"tensor(0.00060775, device='cuda:0')"
236,"tensor(0.00059546, device='cuda:0')"
237,"tensor(0.00058010, device='cuda:0')"
238,"tensor(0.00056597, device='cuda:0')"
239,"tensor(0.00055258, device='cuda:0')"
240,"tensor(0.00053629, device='cuda:0')"
241,"tensor(0.00052131, device='cuda:0')"
242,"tensor(0.00050718, device='cuda:0')"
243,"tensor(0.00048984, device='cuda:0')"
244,"tensor(0.00047392, device='cuda:0')"
245,"tensor(0.00045892, device='cuda:0')"
246,"tensor(0.00044089, device='cuda:0')"
247,"tensor(0.00042439, device='cuda:0')"
248,"tensor(0.00040891, device='cuda:0')"
249,"tensor(0.00039090, device='cuda:0')"
250,"tensor(0.00037448, device='cuda:0')"
251,"tensor(0.00035916, device='cuda:0')"
252,"tensor(0.00034175, device='cuda:0')"
253,"tensor(0.00032595, device='cuda:0')"
254,"tensor(0.00031128, device='cuda:0')"
255,"tensor(0.00029475, device='cuda:0')"
256,"tensor(0.00027980, device='cuda:0')"
257,"tensor(0.00026598, device='cuda:0')"
258,"tensor(0.00025048, device='cuda:0')"
259,"tensor(0.00023652, device='cuda:0')"
260,"tensor(0.00022367, device='cuda:0')"
261,"tensor(0.00020922, device='cuda:0')"
262,"tensor(0.00019626, device='cuda:0')"
263,"tensor(0.00018438, device='cuda:0')"
264,"tensor(0.00017137, device='cuda:0')"
265,"tensor(0.00015976, device='cuda:0')"
266,"tensor(0.00014921, device='cuda:0')"
267,"tensor(0.00013798, device='cuda:0')"
268,"tensor(0.00012803, device='cuda:0')"
269,"tensor(0.00011906, device='cuda:0')"
270,"tensor(0.00011001, device='cuda:0')"
271,"tensor(0.00010206, device='cuda:0')"
272,"tensor(9.50004833e-05, device='cuda:0')"
273,"tensor(8.81385495e-05, device='cuda:0')"
274,"tensor(8.22135044e-05, device='cuda:0')"
275,"tensor(7.70563420e-05, device='cuda:0')"
276,"tensor(7.20656972e-05, device='cuda:0')"
277,"tensor(6.78587094e-05, device='cuda:0')"
278,"tensor(6.42877931e-05, device='cuda:0')"
279,"tensor(6.08408955e-05, device='cuda:0')"
280,"tensor(5.80385349e-05, device='cuda:0')"
281,"tensor(5.57531093e-05, device='cuda:0')"
282,"tensor(5.32976483e-05, device='cuda:0')"
283,"tensor(5.13785453e-05, device='cuda:0')"
284,"tensor(4.98607333e-05, device='cuda:0')"
285,"tensor(4.81199604e-05, device='cuda:0')"
286,"tensor(4.68146027e-05, device='cuda:0')"
287,"tensor(4.58255454e-05, device='cuda:0')"
288,"tensor(4.49912550e-05, device='cuda:0')"
289,"tensor(4.44817088e-05, device='cuda:0')"
290,"tensor(4.42349192e-05, device='cuda:0')"
291,"tensor(4.43566023e-05, device='cuda:0')"
292,"tensor(4.47163839e-05, device='cuda:0')"
293,"tensor(4.52890781e-05, device='cuda:0')"
294,"tensor(4.61623822e-05, device='cuda:0')"
295,"tensor(4.72048996e-05, device='cuda:0')"
296,"tensor(4.83954318e-05, device='cuda:0')"
297,"tensor(4.96309076e-05, device='cuda:0')"
298,"tensor(5.09672936e-05, device='cuda:0')"
299,"tensor(5.23700583e-05, device='cuda:0')"
300,"tensor(5.37721135e-05, device='cuda:0')"
301,"tensor(5.52220445e-05, device='cuda:0')"
302,"tensor(5.66960734e-05, device='cuda:0')"
303,"tensor(5.82963949e-05, device='cuda:0')"
304,"tensor(5.99207779e-05, device='cuda:0')"
305,"tensor(6.15669487e-05, device='cuda:0')"
306,"tensor(6.34680473e-05, device='cuda:0')"
307,"tensor(6.53789029e-05, device='cuda:0')"
308,"tensor(6.73117465e-05, device='cuda:0')"
309,"tensor(6.92765170e-05, device='cuda:0')"
310,"tensor(7.12296678e-05, device='cuda:0')"
311,"tensor(7.31619366e-05, device='cuda:0')"
312,"tensor(7.47942177e-05, device='cuda:0')"
313,"tensor(7.64148936e-05, device='cuda:0')"
314,"tensor(7.79877591e-05, device='cuda:0')"
315,"tensor(7.96347886e-05, device='cuda:0')"
316,"tensor(8.12824437e-05, device='cuda:0')"
317,"tensor(8.29349374e-05, device='cuda:0')"
318,"tensor(8.48326163e-05, device='cuda:0')"
319,"tensor(8.67308045e-05, device='cuda:0')"
320,"tensor(8.86438283e-05, device='cuda:0')"
321,"tensor(9.05719353e-05, device='cuda:0')"
322,"tensor(9.25176573e-05, device='cuda:0')"
323,"tensor(9.44697240e-05, device='cuda:0')"
324,"tensor(9.63895218e-05, device='cuda:0')"
325,"tensor(9.83432255e-05, device='cuda:0')"
326,"tensor(0.00010031, device='cuda:0')"
327,"tensor(0.00010238, device='cuda:0')"
328,"tensor(0.00010448, device='cuda:0')"
329,"tensor(0.00010662, device='cuda:0')"
330,"tensor(0.00010888, device='cuda:0')"
331,"tensor(0.00011121, device='cuda:0')"
332,"tensor(0.00011361, device='cuda:0')"
333,"tensor(0.00011618, device='cuda:0')"
334,"tensor(0.00011885, device='cuda:0')"
335,"tensor(0.00012158, device='cuda:0')"
336,"tensor(0.00012465, device='cuda:0')"
337,"tensor(0.00012781, device='cuda:0')"
338,"tensor(0.00013107, device='cuda:0')"
339,"tensor(0.00013516, device='cuda:0')"
340,"tensor(0.00013933, device='cuda:0')"
341,"tensor(0.00014364, device='cuda:0')"
342,"tensor(0.00014880, device='cuda:0')"
343,"tensor(0.00015405, device='cuda:0')"
344,"tensor(0.00015943, device='cuda:0')"
345,"tensor(0.00016592, device='cuda:0')"
346,"tensor(0.00017248, device='cuda:0')"
347,"tensor(0.00017915, device='cuda:0')"
348,"tensor(0.00018670, device='cuda:0')"
349,"tensor(0.00019427, device='cuda:0')"
350,"tensor(0.00020190, device='cuda:0')"
351,"tensor(0.00021014, device='cuda:0')"
352,"tensor(0.00021836, device='cuda:0')"
353,"tensor(0.00022657, device='cuda:0')"
354,"tensor(0.00023566, device='cuda:0')"
355,"tensor(0.00024467, device='cuda:0')"
356,"tensor(0.00025363, device='cuda:0')"
357,"tensor(0.00026362, device='cuda:0')"
358,"tensor(0.00027347, device='cuda:0')"
359,"tensor(0.00028324, device='cuda:0')"
360,"tensor(0.00029464, device='cuda:0')"
361,"tensor(0.00030581, device='cuda:0')"
362,"tensor(0.00031688, device='cuda:0')"
363,"tensor(0.00032996, device='cuda:0')"
364,"tensor(0.00034271, device='cuda:0')"
365,"tensor(0.00035531, device='cuda:0')"
366,"tensor(0.00036879, device='cuda:0')"
367,"tensor(0.00038189, device='cuda:0')"
368,"tensor(0.00039469, device='cuda:0')"
369,"tensor(0.00040777, device='cuda:0')"
370,"tensor(0.00042043, device='cuda:0')"
371,"tensor(0.00043273, device='cuda:0')"
372,"tensor(0.00044435, device='cuda:0')"
373,"tensor(0.00045558, device='cuda:0')"
374,"tensor(0.00046638, device='cuda:0')"
375,"tensor(0.00047640, device='cuda:0')"
376,"tensor(0.00048612, device='cuda:0')"
377,"tensor(0.00049549, device='cuda:0')"
378,"tensor(0.00050465, device='cuda:0')"
379,"tensor(0.00051361, device='cuda:0')"
380,"tensor(0.00052237, device='cuda:0')"
381,"tensor(0.00053075, device='cuda:0')"
382,"tensor(0.00053906, device='cuda:0')"
383,"tensor(0.00054723, device='cuda:0')"
384,"tensor(0.00055552, device='cuda:0')"
385,"tensor(0.00056378, device='cuda:0')"
386,"tensor(0.00057202, device='cuda:0')"
387,"tensor(0.00058086, device='cuda:0')"
