,0
0,0.7647135
1,0.7646712
2,0.76457363
3,0.7644807
4,0.76462704
5,0.7648329
6,0.7648554
7,0.7648577
8,0.7649556
9,0.7656586
10,0.7662189
11,0.76626444
12,0.7661205
13,0.76635534
14,0.7668026
15,0.7665802
16,0.7662537
17,0.76653814
18,0.7675821
19,0.76805127
20,0.7679958
21,0.7682913
22,0.7689461
23,0.76935834
24,0.7691691
25,0.76915973
26,0.7696159
27,0.7705586
28,0.7710667
29,0.77116823
30,0.771217
31,0.7716149
32,0.77184397
33,0.77236694
34,0.77305186
35,0.77354026
36,0.7743151
37,0.7752251
38,0.7759084
39,0.7758326
40,0.7758425
41,0.7764604
42,0.7772303
43,0.7774746
44,0.7775807
45,0.77832836
46,0.77912074
47,0.77935314
48,0.77910584
49,0.7789802
50,0.77932745
51,0.7797819
52,0.7800082
53,0.780121
54,0.78072226
55,0.7815188
56,0.78178287
57,0.7818119
58,0.78217816
59,0.78276706
60,0.78292507
61,0.78292775
62,0.783231
63,0.78395694
64,0.78451025
65,0.7846696
66,0.7850276
67,0.7857466
68,0.78627276
69,0.7863986
70,0.7867518
71,0.78735685
72,0.78785044
73,0.78805774
74,0.7883211
75,0.7883152
76,0.78843594
77,0.78884727
78,0.7899271
79,0.79048467
80,0.7903616
81,0.7901799
82,0.79076195
83,0.79145837
84,0.7912819
85,0.7911086
86,0.7915943
87,0.79295474
88,0.7937022
89,0.79361975
90,0.79304826
91,0.79331154
92,0.7940361
93,0.7941134
94,0.79394937
95,0.7943814
96,0.7947487
97,0.79476476
98,0.79469264
99,0.7947825
100,0.79499316
101,0.7949693
102,0.7945945
103,0.79459095
104,0.7946952
105,0.7947017
106,0.79472256
107,0.79474604
108,0.7953107
109,0.7957161
110,0.7955463
111,0.7960967
112,0.79701257
113,0.79733753
114,0.7982704
115,0.799175
116,0.7994288
117,0.797924
118,0.7972605
119,0.79808915
120,0.80116415
121,0.80258584
122,0.80208707
123,0.80241364
124,0.80409586
125,0.80502963
126,0.8053533
127,0.8059737
128,0.8068836
129,0.80535907
130,0.8042177
131,0.8054068
132,0.8071936
133,0.8068226
134,0.8059509
135,0.8070274
136,0.80795133
137,0.8073275
138,0.80618984
139,0.8064429
140,0.807235
141,0.80680597
142,0.8060396
143,0.8063772
144,0.80705136
145,0.8068238
146,0.80638117
147,0.8064022
148,0.80659115
149,0.806443
150,0.80668855
151,0.8071872
152,0.8074792
153,0.80778944
154,0.8086141
155,0.8092941
156,0.80894345
157,0.80904734
158,0.8097643
159,0.80968016
160,0.80925643
161,0.80946434
162,0.8101149
163,0.8102544
164,0.8100342
165,0.8104863
166,0.81115794
167,0.8112441
168,0.81033593
169,0.81025404
170,0.8110225
171,0.81082225
172,0.8101384
173,0.8101946
174,0.8119143
175,0.8128903
176,0.8122566
177,0.81238407
178,0.8133176
179,0.8135795
180,0.81253874
181,0.8121779
182,0.81289685
183,0.81334066
184,0.8127997
185,0.81250346
186,0.8135907
187,0.81445825
188,0.81424093
189,0.81368613
190,0.81394416
191,0.8144872
192,0.8142223
193,0.81376874
194,0.81393397
195,0.814831
196,0.81487495
197,0.81440055
198,0.81412816
199,0.8145616
200,0.8146997
201,0.8145983
202,0.81456536
203,0.8148068
204,0.81493294
205,0.81494796
206,0.815077
207,0.8146859
208,0.8142278
209,0.8141967
210,0.8137716
211,0.8129952
212,0.8125178
213,0.81227607
214,0.8117697
215,0.8110172
216,0.81098694
217,0.81127286
218,0.81098187
219,0.81076354
220,0.8109406
221,0.8110889
222,0.811013
223,0.8110432
224,0.81118476
225,0.81143993
226,0.8114796
227,0.8113488
228,0.8111392
229,0.8110211
230,0.8110007
231,0.8096955
232,0.80836034
233,0.8081062
234,0.8085864
235,0.8077602
236,0.80645216
237,0.80650806
238,0.8067841
239,0.8059617
240,0.80574054
241,0.80632967
242,0.80638236
243,0.8054174
244,0.80480725
245,0.8050268
246,0.80457854
247,0.8035557
248,0.8030974
249,0.80394125
250,0.8045417
251,0.8037909
252,0.8037277
253,0.80462813
254,0.8049633
255,0.80421
256,0.8037779
257,0.80439293
258,0.8041704
259,0.80299866
260,0.80245304
261,0.8015842
262,0.8003243
263,0.7993996
264,0.7994935
265,0.7990676
266,0.79785204
267,0.7979465
268,0.79863775
269,0.79834676
270,0.79731137
271,0.7969477
272,0.7971956
273,0.7967613
274,0.7959196
275,0.79569715
276,0.7960667
277,0.7958754
278,0.7951788
279,0.7949626
280,0.7950511
281,0.7946741
282,0.7946297
283,0.79479814
284,0.7947555
285,0.79385734
286,0.79315317
287,0.7930391
288,0.7925374
289,0.79149944
290,0.7908336
291,0.791627
292,0.79222
293,0.7916961
294,0.7917641
295,0.79264826
296,0.7929824
297,0.79248196
298,0.7923685
299,0.79288083
300,0.79265374
301,0.7920344
302,0.791968
303,0.7921361
