,0
0,14.491644
1,14.492213
2,14.493153
3,14.494525
4,14.496387
5,14.498889
6,14.502007
7,14.505993
8,14.5108595
9,14.51628
10,14.522692
11,14.529735
12,14.536488
13,14.543661
14,14.550611
15,14.556161
16,14.561589
17,14.56632
18,14.569337
19,14.572349
20,14.574822
21,14.575855
22,14.577207
23,14.578288
24,14.578191
25,14.578608
26,14.578943
27,14.578306
28,14.578264
29,14.578239
30,14.577407
31,14.57719
32,14.577041
33,14.576225
34,14.576006
35,14.575878
36,14.575323
37,14.575243
38,14.575152
39,14.574663
40,14.574546
41,14.574451
42,14.574039
43,14.573387
44,14.572382
45,14.570942
46,14.569069
47,14.569708
48,14.577916
49,14.583082
50,14.584968
51,14.585084
52,14.585189
53,14.584696
54,14.584673
55,14.584181
56,14.5843
57,14.585423
58,14.585893
59,14.587061
60,14.5894165
61,14.591049
62,14.593679
63,14.597733
64,14.600957
65,14.60524
66,14.611062
67,14.615772
68,14.621649
69,14.629236
70,14.635263
71,14.642433
72,14.6510935
73,14.65723
74,14.663454
75,14.670522
76,14.673954
77,14.677538
78,14.68378
79,14.687616
80,14.693295
81,14.70112
82,14.704851
83,14.710324
84,14.718015
85,14.721491
86,14.7266035
87,14.734077
88,14.73702
89,14.741665
90,14.748977
91,14.751571
92,14.755969
93,14.763096
94,14.765583
95,14.7698345
96,14.776278
97,14.777748
98,14.781001
99,14.786169
100,14.786748
101,14.78904
102,14.79331
103,14.793211
104,14.794789
105,14.798169
106,14.797643
107,14.798539
108,14.801778
109,14.801086
110,14.802319
111,14.804795
112,14.804704
113,14.80484
114,14.807725
115,14.805693
116,14.807438
117,14.808153
118,14.809317
119,14.806367
120,14.812811
121,14.805094
122,14.813366
123,14.804323
124,14.817033
125,14.798485
126,14.822482
127,14.7935505
128,14.807362
129,14.80338
130,14.811237
131,14.801904
132,14.814868
133,14.801343
134,14.814579
135,14.803464
136,14.815371
137,14.802656
138,14.8179865
139,14.804652
140,14.816512
141,14.809275
142,14.816963
143,14.810324
144,14.819982
145,14.813188
146,14.819469
147,14.8183775
148,14.821178
149,14.819695
150,14.825469
151,14.822687
152,14.825888
153,14.827929
154,14.827993
155,14.828666
156,14.832594
157,14.830982
158,14.832729
159,14.835827
160,14.834859
161,14.8362465
162,14.840113
163,14.838975
164,14.840703
165,14.844845
166,14.843698
167,14.845448
168,14.84953
169,14.848295
170,14.8499775
171,14.853993
172,14.852774
173,14.854439
174,14.858666
175,14.857359
176,14.859041
177,14.863337
178,14.861877
179,14.863462
180,14.868038
181,14.866639
182,14.86817
183,14.87289
184,14.871502
185,14.873034
186,14.877446
187,14.876045
188,14.877463
189,14.881585
190,14.88011
191,14.881307
192,14.885122
193,14.883837
194,14.884758
195,14.8887
196,14.88747
197,14.88838
198,14.8922825
199,14.891055
200,14.891957
201,14.895699
202,14.894401
203,14.895214
204,14.899042
205,14.897799
206,14.8986025
207,14.902597
208,14.901546
209,14.902438
210,14.906376
211,14.905367
212,14.906225
213,14.909845
214,14.908691
215,14.909392
216,14.913006
217,14.91197
218,14.91272
219,14.916397
220,14.915598
221,14.916479
222,14.920235
223,14.919626
224,14.920604
225,14.924363
226,14.923928
227,14.925005
228,14.928751
229,14.928505
230,14.929684
231,14.93345
232,14.933454
233,14.934792
234,14.938863
235,14.939251
236,14.94083
237,14.94478
238,14.945321
239,14.946965
240,14.950865
241,14.951609
242,14.95335
243,14.95715
244,14.958063
245,14.959882
246,14.963575
247,14.964556
248,14.966364
249,14.969992
250,14.971031
251,14.972817
252,14.975989
253,14.976941
254,14.978614
255,14.981297
256,14.982062
257,14.983517
258,14.985693
259,14.98622
260,14.987421
261,14.989022
262,14.989242
263,14.990147
264,14.9914255
265,14.991398
266,14.992009
267,14.993064
268,14.9928465
269,14.993205
270,14.993851
271,14.993369
272,14.993438
273,14.993649
274,14.992765
275,14.992447
276,14.992039
277,14.990719
278,14.990053
279,14.989441
280,14.987919
281,14.987061
282,14.986459
283,14.98485
284,14.983883
285,14.983091
286,14.981329
287,14.980255
288,14.979276
289,14.9774
290,14.976264
291,14.975301
292,14.973479
293,14.9724455
294,14.971713
295,14.970106
296,14.969308
297,14.968546
298,14.96696
299,14.966215
300,14.965526
301,14.964022
302,14.963385
303,14.962865
304,14.961483
305,14.961005
306,14.960262
307,14.958889
308,14.958329
309,14.957524
310,14.9562
311,14.955674
312,14.954954
313,14.953424
314,14.952747
315,14.952082
316,14.950692
317,14.950202
318,14.949571
319,14.948273
320,14.947861
321,14.947333
322,14.946027
323,14.945673
324,14.945229
325,14.943948
326,14.94367
327,14.943414
328,14.942169
329,14.942028
330,14.941816
331,14.940519
332,14.940374
333,14.940092
334,14.938759
335,14.938635
336,14.938374
337,14.937063
338,14.936971
339,14.937012
340,14.935782
341,14.935805
342,14.93594
343,14.934711
344,14.934792
345,14.935241
346,14.934091
347,14.934288
348,14.93492
349,14.93377
350,14.934227
351,14.934662
352,14.933541
353,14.933996
354,14.934439
355,14.933232
356,14.933684
357,14.934098
358,14.932832
359,14.933279
360,14.933686
361,14.932388
362,14.932843
363,14.933269
364,14.931948
365,14.932422
366,14.93301
367,14.931687
368,14.932243
369,14.932936
370,14.93164
371,14.932264
372,14.932825
373,14.931559
374,14.93214
375,14.932785
376,14.931578
377,14.932199
378,14.932881
379,14.9318695
380,14.932316
381,14.93302
382,14.932011
383,14.93248
384,14.933132
385,14.932229
386,14.93271
387,14.93346
388,14.9326725
389,14.933198
390,14.93408
391,14.933308
392,14.93391
393,14.934881
394,14.934183
395,14.934841
396,14.936003
397,14.935439
398,14.936181
399,14.937408
400,14.936943
401,14.937742
402,14.938896
403,14.93837
404,14.93905
405,14.940043
406,14.93936
407,14.939877
408,14.940685
409,14.9398575
410,14.940219
411,14.940763
412,14.939831
413,14.940018
414,14.940458
415,14.9394455
416,14.939524
417,14.939857
418,14.938671
419,14.938636
420,14.938853
421,14.93757
422,14.937441
423,14.9376955
424,14.9364605
425,14.936333
426,14.936507
427,14.935268
428,14.935102
429,14.9352
430,14.933829
431,14.933538
432,14.933548
433,14.932044
434,14.9316225
435,14.931626
436,14.930044
437,14.929517
438,14.929491
439,14.927788
440,14.927107
441,14.926907
442,14.924973
443,14.924047
444,14.923601
445,14.921371
446,14.920163
447,14.919658
448,14.917202
449,14.915759
450,14.9150305
451,14.912299
452,14.910618
453,14.90965
454,14.906619
455,14.904686
456,14.903636
457,14.900431
458,14.8983555
459,14.897258
460,14.893894
461,14.8917055
462,14.890488
463,14.886898
464,14.88458
465,14.883448
466,14.879759
467,14.877388
468,14.876312
469,14.872501
470,14.870062
471,14.8689165
472,14.864948
473,14.862444
474,14.861451
475,14.857437
476,14.854952
477,14.854205
478,14.850156
479,14.847687
480,14.847133
481,14.84297
482,14.840438
483,14.839904
484,14.83569
485,14.8332205
486,14.83289
487,14.828802
488,14.826558
489,14.826331
490,14.822318
491,14.820248
492,14.8204975
493,14.816744
494,14.8149395
495,14.815535
496,14.812042
497,14.810528
498,14.811555
499,14.808371
500,14.807169
501,14.808409
502,14.805372
503,14.80441
504,14.805235
505,14.80205
506,14.801071
507,14.802474
508,14.799624
509,14.798955
510,14.800667
511,14.797977
512,14.797479
513,14.799509
514,14.796961
515,14.796614
516,14.798696
517,14.796067
518,14.795679
519,14.798001
520,14.795429
521,14.795131
522,14.797766
523,14.7952385
524,14.794995
525,14.798008
526,14.795612
527,14.795532
528,14.798677
529,14.796447
530,14.796594
531,14.799837
532,14.797659
533,14.797874
534,14.801509
535,14.799476
536,14.799885
537,14.803656
538,14.801587
539,14.802009
540,14.805818
541,14.80374
542,14.80422
543,14.808316
544,14.806326
545,14.806958
546,14.811326
547,14.809333
548,14.810051
549,14.814625
550,14.81255
551,14.813268
552,14.817807
553,14.815579
554,14.816236
555,14.820864
556,14.818521
557,14.819121
558,14.823769
559,14.821309
560,14.821843
561,14.826566
562,14.82401
563,14.824602
564,14.829444
565,14.8269205
566,14.827491
567,14.8327675
568,14.830241
569,14.830922
570,14.8360405
571,14.833574
572,14.834141
573,14.83931
574,14.83687
575,14.837497
576,14.842753
577,14.840508
578,14.841082
579,14.8463745
580,14.844285
581,14.844793
582,14.850176
583,14.848103
584,14.848565
585,14.853736
586,14.851576
587,14.85191
588,14.856868
589,14.854668
590,14.854927
591,14.859875
592,14.8576765
593,14.857901
594,14.862691
595,14.8604555
596,14.860614
597,14.865423
598,14.863188
599,14.863302
600,14.868208
601,14.866013
602,14.866133
603,14.87118
604,14.869125
605,14.869308
606,14.874189
607,14.872172
608,14.872381
609,14.87726
610,14.875328
611,14.875553
612,14.880569
613,14.878784
614,14.879078
615,14.884091
616,14.882436
617,14.882796
618,14.887789
619,14.886221
620,14.886578
621,14.891136
622,14.889581
623,14.889994
624,14.894535
625,14.893158
626,14.893656
627,14.897866
628,14.896444
629,14.896829
630,14.90143
631,14.900336
632,14.900896
633,14.905281
634,14.904234
635,14.904775
636,14.908911
637,14.907975
638,14.90854
639,14.912583
640,14.911681
641,14.912167
642,14.915583
643,14.914643
644,14.915076
645,14.918276
646,14.917184
647,14.917394
648,14.920258
649,14.9191475
650,14.919286
651,14.921696
652,14.920475
653,14.920461
654,14.922482
655,14.921096
656,14.920885
657,14.922739
658,14.921254
659,14.920832
660,14.922172
661,14.920376
662,14.919622
663,14.920632
664,14.918597
665,14.917564
666,14.918181
667,14.915875
668,14.914561
669,14.914855
670,14.912325
671,14.910796
672,14.910816
673,14.908154
674,14.906505
675,14.906328
676,14.903485
677,14.901665
678,14.901627
679,14.898897
680,14.897158
681,14.897226
682,14.894633
683,14.893023
684,14.8931465
685,14.890725
686,14.889291
687,14.889498
688,14.8871765
689,14.885869
690,14.886296
691,14.884178
692,14.883067
693,14.883701
694,14.881678
695,14.880657
696,14.881297
697,14.8793
698,14.878331
699,14.87931
700,14.877424
701,14.876551
702,14.877108
703,14.87505
704,14.874199
705,14.874984
706,14.873172
707,14.872507
708,14.873425
709,14.871457
710,14.87071
711,14.871409
712,14.86948
713,14.86878
714,14.869653
715,14.867891
716,14.867327
717,14.868243
718,14.866378
719,14.865768
720,14.86637
721,14.864678
722,14.864306
723,14.865242
724,14.863506
725,14.863144
726,14.864143
727,14.86249
728,14.862207
729,14.863334
730,14.861705
731,14.861482
732,14.862499
733,14.860819
734,14.86057
735,14.861684
736,14.860146
737,14.859978
738,14.861332
739,14.859719
740,14.85962
741,14.861029
742,14.859325
743,14.859271
744,14.861023
745,14.859422
746,14.859552
747,14.860904
748,14.85921
749,14.85919
750,14.860251
751,14.858336
752,14.858195
753,14.859338
754,14.857454
755,14.8573265
756,14.859017
757,14.857222
758,14.857313
759,14.858797
760,14.856945
761,14.85691
762,14.858456
763,14.856712
764,14.856715
765,14.858392
766,14.856686
767,14.856758
768,14.858391
769,14.856626
770,14.85667
771,14.858188
772,14.856599
773,14.856366
774,14.85787
775,14.856295
776,14.856068
777,14.857542
778,14.855886
779,14.85562
780,14.85705
781,14.855419
782,14.855141
783,14.856607
784,14.855052
785,14.854817
786,14.856273
787,14.854778
788,14.854588
789,14.856108
790,14.854723
791,14.854579
792,14.856131
793,14.854845
794,14.854746
795,14.856338
796,14.8550415
797,14.854966
798,14.856683
799,14.85539
800,14.855349
801,14.857065
802,14.855904
803,14.855929
804,14.857827
805,14.856764
806,14.856889
807,14.859023
808,14.857971
809,14.8580475
810,14.859953
811,14.858674
812,14.858526
813,14.860407
814,14.858926
815,14.858624
816,14.860488
817,14.858792
818,14.858342
819,14.860098
820,14.858336
821,14.857782
822,14.859472
823,14.857497
824,14.856743
825,14.858322
826,14.856078
827,14.8550825
828,14.856718
829,14.854278
830,14.853082
831,14.854737
832,14.852054
833,14.850624
834,14.852092
835,14.84904
836,14.847302
837,14.848485
838,14.845044
839,14.843014
840,14.844042
841,14.840297
842,14.8380375
843,14.839049
844,14.83515
845,14.832804
846,14.833883
847,14.82987
848,14.827452
849,14.828602
850,14.82446
851,14.821937
852,14.823131
853,14.81883
854,14.816169
855,14.817368
856,14.812886
857,14.810068
858,14.811136
859,14.806392
860,14.803362
861,14.804287
862,14.799284
863,14.796063
864,14.7970295
865,14.791896
866,14.788574
867,14.789607
868,14.784428
869,14.781077
870,14.782187
871,14.77704
872,14.773739
873,14.774887
874,14.769813
875,14.766624
876,14.768005
877,14.763171
878,14.760221
879,14.761776
880,14.757172
881,14.754432
882,14.756143
883,14.751715
884,14.749225
885,14.751221
886,14.747112
887,14.744898
888,14.747338
889,14.743734
890,14.741975
891,14.74458
892,14.741176
893,14.739567
894,14.742177
895,14.738808
896,14.737189
897,14.739924
898,14.736608
899,14.735013
900,14.737835
901,14.734541
902,14.732996
903,14.735903
904,14.732727
905,14.731266
906,14.7341175
907,14.730922
908,14.729473
909,14.732357
910,14.729207
911,14.7277975
912,14.730907
913,14.727876
914,14.726572
915,14.729993
916,14.727093
917,14.725915
918,14.729634
919,14.726911
920,14.725879
921,14.729672
922,14.726991
923,14.726012
924,14.729902
925,14.7272835
926,14.72638
927,14.730384
928,14.727819
929,14.726995
930,14.731053
931,14.728479
932,14.727662
933,14.731777
934,14.729124
935,14.728258
936,14.73232
937,14.729477
938,14.728501
939,14.732429
940,14.729451
941,14.728379
942,14.732709
943,14.729708
944,14.728691
945,14.733507
946,14.730436
947,14.72946
948,14.73411
949,14.730884
950,14.729748
951,14.734025
952,14.730654
953,14.729311
954,14.733706
955,14.730142
956,14.728724
957,14.7332115
958,14.729471
959,14.727936
960,14.732572
961,14.728862
962,14.7273245
963,14.732173
964,14.728471
965,14.726963
966,14.731615
967,14.727813
968,14.726157
969,14.7304735
970,14.726555
971,14.724705
972,14.728889
973,14.724998
974,14.722958
975,14.727057
976,14.72313
977,14.720932
978,14.725265
979,14.72132
980,14.719025
981,14.723193
982,14.719078
983,14.7166395
984,14.720879
985,14.716686
986,14.714151
987,14.718407
988,14.714136
989,14.711476
