,0
0,1.869616
1,1.8702096
2,1.8704609
3,1.8707302
4,1.8713219
5,1.8719547
6,1.8724087
7,1.8728822
8,1.873534
9,1.8742125
10,1.8747921
11,1.8753712
12,1.8760363
13,1.8766956
14,1.8772805
15,1.8778555
16,1.8784451
17,1.8789984
18,1.8795043
19,1.8799834
20,1.8804367
21,1.880862
22,1.8812473
23,1.8815894
24,1.8819042
25,1.8821821
26,1.882415
27,1.8826118
28,1.8827677
29,1.8828787
30,1.8829585
31,1.8829968
32,1.8829823
33,1.8829288
34,1.8828402
35,1.8827038
36,1.8825197
37,1.8822929
38,1.882025
39,1.8817209
40,1.8813679
41,1.8809664
42,1.880532
43,1.8800585
44,1.8795373
45,1.8789775
46,1.8783848
47,1.8777559
48,1.8770977
49,1.8764243
50,1.8757384
51,1.875034
52,1.8743114
53,1.8735824
54,1.8728414
55,1.8720849
56,1.8713193
57,1.8705487
58,1.8697673
59,1.8689715
60,1.8681679
61,1.8673687
62,1.866575
63,1.8657819
64,1.8649883
65,1.8641989
66,1.8634211
67,1.8626568
68,1.8618994
69,1.8611408
70,1.860394
71,1.859662
72,1.8589367
73,1.8582323
74,1.8575692
75,1.8569287
76,1.8563039
77,1.8557129
78,1.8551803
79,1.8546801
80,1.8541868
81,1.853725
82,1.8533077
83,1.8529115
84,1.8525083
85,1.8521266
86,1.8517861
87,1.8514454
88,1.8511004
89,1.8507819
90,1.8504866
91,1.8501894
92,1.8498919
93,1.8496052
94,1.849332
95,1.8490703
96,1.8488052
97,1.8485534
98,1.8483258
99,1.8481101
100,1.8478909
101,1.8476783
102,1.8474863
103,1.8472996
104,1.8471053
105,1.8469198
106,1.846744
107,1.8465666
108,1.8463802
109,1.8461983
110,1.846028
111,1.8458705
112,1.8457013
113,1.8455276
114,1.8453879
115,1.8452563
116,1.845096
117,1.8449594
118,1.8448372
119,1.8447104
120,1.844577
121,1.8444726
122,1.8443469
123,1.8442641
124,1.8441448
125,1.8440707
126,1.8439524
127,1.8439238
128,1.8437978
