,0
0,-0.0
1,-0.0
2,-0.0
3,0.0
4,-0.0
5,0.0
6,-0.0
7,0.0
8,0.0
9,0.0
10,-0.0
11,0.0
12,-0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,-0.0
20,-0.0
21,-0.0
22,-0.0
23,0.0
24,-0.0
25,-0.0
26,0.0
27,-0.0
28,0.0
29,-0.0
30,0.0
31,-0.0
32,0.0
33,-0.0
34,0.0
35,-0.0
36,0.0
37,-0.0
38,-0.0
39,-0.0
40,0.0
41,-0.0
42,-0.0
43,-0.0
44,-0.0
45,-0.0
46,-0.0
47,-0.0
48,-0.0
49,0.0
50,0.0
51,0.0
52,-0.0
53,0.0
54,0.0
55,-0.0
56,-0.0
57,-0.0
58,-0.0
59,0.0
60,0.0
61,-0.0
62,-0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,-0.0
72,-0.0
73,-0.0
74,-0.0
75,-0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,-1e-45
85,-8e-45
86,-2.8e-44
87,-8.4e-44
88,-2.3e-43
89,-5.63e-43
90,-1.288e-42
91,-2.8e-42
92,-5.653e-42
93,-1.0702e-41
94,-1.8134e-41
95,-2.5413e-41
96,-2.1499e-41
97,3.4894e-41
98,2.51941e-40
99,9.10062e-40
100,2.612875e-39
101,6.68561e-39
102,1.5259005e-38
103,3.4008477e-38
104,7.08947e-38
105,1.3964834e-37
106,2.685456e-37
107,4.9045227e-37
108,8.73075e-37
109,1.5153282e-36
110,2.4854793e-36
111,3.9396014e-36
112,6.0182846e-36
113,8.5549945e-36
114,1.13061384e-35
115,1.3936134e-35
116,1.4185034e-35
117,8.450913e-36
118,-6.1662736e-36
119,-4.209355e-35
120,-1.1740033e-34
121,-2.410972e-34
122,-4.626226e-34
123,-8.426613e-34
124,-1.396576e-33
125,-2.275875e-33
126,-3.7481063e-33
127,-5.7421955e-33
128,-8.681778e-33
129,-1.3268679e-32
130,-1.925733e-32
131,-2.7574987e-32
132,-3.9763753e-32
133,-5.5580464e-32
134,-7.646108e-32
135,-1.0445163e-31
136,-1.440417e-31
137,-1.9394605e-31
138,-2.574982e-31
139,-3.7004967e-31
140,-5.0765365e-31
141,-6.764477e-31
142,-1.0723145e-30
143,-1.5555219e-30
144,-2.1141943e-30
145,-3.638291e-30
146,-5.451007e-30
147,-7.284322e-30
148,-1.254918e-29
149,-1.8474333e-29
150,-2.3778404e-29
151,-3.9791527e-29
152,-5.756093e-29
153,-7.0439847e-29
154,-1.1404976e-28
155,-1.628773e-28
156,-1.9643308e-28
157,-3.0970338e-28
158,-4.360243e-28
159,-5.345987e-28
160,-8.189674e-28
161,-1.1326561e-27
162,-1.3549538e-27
163,-2.0050947e-27
164,-2.7255533e-27
165,-3.1680198e-27
166,-4.5334966e-27
167,-6.0486087e-27
168,-6.970952e-27
169,-9.7357715e-27
170,-1.27190686e-26
171,-1.4554852e-26
172,-1.9934507e-26
173,-2.549105e-26
174,-2.8617643e-26
175,-3.828434e-26
176,-4.797877e-26
177,-5.216038e-26
178,-6.8125905e-26
179,-8.342488e-26
180,-8.701922e-26
181,-1.1152697e-25
182,-1.338191e-25
183,-1.3588151e-25
184,-1.7181378e-25
185,-2.0356127e-25
186,-2.036988e-25
187,-2.5606487e-25
188,-3.001326e-25
189,-2.9468853e-25
190,-3.678357e-25
191,-4.256202e-25
192,-4.053343e-25
193,-5.0052943e-25
194,-5.710738e-25
195,-5.1655953e-25
196,-6.33401e-25
197,-7.134541e-25
198,-6.2260857e-25
199,-7.67935e-25
200,-8.548193e-25
201,-7.223292e-25
202,-9.012382e-25
203,-9.938574e-25
204,-7.8104127e-25
205,-9.888059e-25
206,-1.0824106e-24
207,-7.4790635e-25
208,-9.770714e-25
209,-1.0655571e-24
210,-6.6021017e-25
211,-9.29778e-25
212,-1.0185247e-24
213,-5.51731e-25
214,-8.573458e-25
215,-9.485852e-25
216,-3.956048e-25
217,-7.358278e-25
218,-8.237264e-25
219,-2.9791068e-25
220,-6.6569625e-25
221,-7.45959e-25
222,-1.9438681e-25
223,-5.677266e-25
224,-6.3365277e-25
225,-6.0733125e-26
226,-4.3129737e-25
227,-4.8654885e-25
228,2.5397164e-26
229,-3.3492936e-25
230,-3.8070928e-25
231,7.0706657e-26
232,-2.5299605e-25
233,-2.7125884e-25
234,1.6683248e-25
235,-1.1294925e-25
236,-9.542732e-26
237,3.1443865e-25
238,8.065285e-26
239,1.3130093e-25
240,4.858064e-25
241,2.884434e-25
242,3.662985e-25
243,6.1049235e-25
244,4.584405e-25
245,5.6166887e-25
246,7.542219e-25
247,6.485796e-25
248,7.6272116e-25
249,9.536951e-25
250,8.603434e-25
251,9.754363e-25
252,1.0717278e-24
253,1.006987e-24
254,1.1256664e-24
255,1.1072689e-24
256,1.084701e-24
257,1.2146053e-24
258,1.1049869e-24
259,1.1283937e-24
260,1.2666124e-24
261,1.1253756e-24
262,1.209531e-24
263,1.4021971e-24
264,1.2284899e-24
265,1.3871202e-24
266,1.6438699e-24
267,1.3173506e-24
268,1.578824e-24
269,1.9141872e-24
270,1.4203152e-24
271,1.7907107e-24
272,2.2199145e-24
273,1.4751932e-24
274,2.0254242e-24
275,2.550573e-24
276,1.4408469e-24
277,2.246956e-24
278,2.873327e-24
279,1.129199e-24
280,2.3374933e-24
281,3.0876322e-24
282,1.1066883e-25
283,1.8804628e-24
284,2.6470884e-24
285,-2.3470655e-24
286,4.034159e-26
287,3.7754316e-25
288,-7.738167e-24
289,-4.3996867e-24
290,-4.975488e-24
291,-1.6222312e-23
292,-1.038924e-23
293,-9.928292e-24
294,-1.8116727e-23
295,-5.882002e-24
296,-1.1653068e-24
297,-2.1258938e-24
298,2.2268194e-24
299,-3.0347457e-23
300,-7.7997145e-23
301,-1.9750246e-22
302,-3.9800777e-22
303,-5.634943e-22
304,-9.549143e-22
305,-1.4342042e-21
306,-1.7189033e-21
307,-2.4095363e-21
308,-3.0481723e-21
309,-3.2678834e-21
310,-4.1187193e-21
311,-4.9510673e-21
312,-5.436556e-21
313,-7.124391e-21
314,-8.974372e-21
315,-1.0155043e-20
316,-1.1289988e-20
317,-1.2129775e-20
318,-1.2293671e-20
319,-1.3639552e-20
320,-1.505188e-20
321,-1.5555395e-20
322,-1.7145011e-20
323,-1.8962327e-20
324,-1.9367612e-20
325,-2.136626e-20
326,-2.3390954e-20
327,-2.3807888e-20
328,-2.5945486e-20
329,-2.8471528e-20
330,-2.8772728e-20
331,-3.1191365e-20
332,-3.3912528e-20
333,-3.3645762e-20
334,-3.6277156e-20
335,-3.9326625e-20
336,-3.8259934e-20
337,-4.1271246e-20
338,-4.450547e-20
339,-4.2873404e-20
340,-4.5968294e-20
