,0
0,14.491644
1,14.492214
2,14.493155
3,14.494533
4,14.496421
5,14.498996
6,14.502293
7,14.506665
8,14.512323
9,14.519203
10,14.528164
11,14.539381
12,14.552418
13,14.568588
14,14.587566
15,14.607907
16,14.630808
17,14.6549835
18,14.678175
19,14.701846
20,14.724641
21,14.744856
22,14.764425
23,14.782409
24,14.797578
25,14.812083
26,14.825168
27,14.835826
28,14.846128
29,14.855365
30,14.862663
31,14.869914
32,14.876425
33,14.881325
34,14.886448
35,14.891088
36,14.894584
37,14.898522
38,14.902309
39,14.904899
40,14.907471
41,14.909262
42,14.910277
43,14.91533
44,14.925486
45,14.934057
46,14.942224
47,14.950236
48,14.958009
49,14.966171
50,14.974289
51,14.982174
52,14.990358
53,14.99857
54,15.006758
55,15.015377
56,15.024196
57,15.033221
58,15.043005
59,15.053228
60,15.064024
61,15.075819
62,15.08813
63,15.1011095
64,15.115485
65,15.130575
66,15.146635
67,15.164066
68,15.181529
69,15.198792
70,15.215325
71,15.229814
72,15.242306
73,15.253477
74,15.262241
75,15.267981
76,15.271612
77,15.2735615
78,15.273588
79,15.272108
80,15.269359
81,15.265954
82,15.261159
83,15.256416
84,15.252876
85,15.248092
86,15.244185
87,15.242262
88,15.238343
89,15.235795
90,15.235798
91,15.233013
92,15.231636
93,15.232907
94,15.230719
95,15.230026
96,15.232216
97,15.230506
98,15.230472
99,15.233626
100,15.2321
101,15.232481
102,15.235834
103,15.234539
104,15.235146
105,15.238441
106,15.237129
107,15.23809
108,15.24229
109,15.241296
110,15.242677
111,15.246322
112,15.245099
113,15.246212
114,15.248872
115,15.246862
116,15.247338
117,15.250033
118,15.24751
119,15.2475
120,15.249744
121,15.246513
122,15.245939
123,15.248239
124,15.244728
125,15.244058
126,15.245131
127,15.241122
128,15.240242
129,15.24106
130,15.237
131,15.2363405
132,15.23813
133,15.234586
134,15.234654
135,15.237989
136,15.235403
137,15.236698
138,15.241809
139,15.240857
140,15.244126
141,15.251233
142,15.252644
143,15.2588625
144,15.26937
145,15.274794
146,15.285273
147,15.299471
148,15.307323
149,15.319
150,15.333206
151,15.340078
152,15.350205
153,15.362369
154,15.367142
155,15.375222
156,15.386153
157,15.388885
158,15.395341
159,15.4052925
160,15.406501
161,15.411838
162,15.420873
163,15.421246
164,15.425796
165,15.434264
166,15.433933
167,15.437695
168,15.44602
169,15.4450245
170,15.448392
171,15.456847
172,15.45556
173,15.458909
174,15.467454
175,15.46617
176,15.469446
177,15.478214
178,15.476843
179,15.479906
180,15.488796
181,15.487747
182,15.490842
183,15.500432
184,15.499794
185,15.503121
186,15.512674
187,15.512192
188,15.515754
189,15.52491
190,15.524576
191,15.528322
192,15.537616
193,15.537647
194,15.541725
195,15.551303
196,15.551757
197,15.556155
198,15.56612
199,15.566843
200,15.5716505
201,15.5819435
202,15.5830345
203,15.588178
204,15.598935
205,15.600457
206,15.605893
207,15.617056
208,15.61895
209,15.6247425
210,15.636444
211,15.63879
212,15.645146
213,15.657116
214,15.660058
215,15.666628
216,15.6792345
217,15.682312
218,15.689326
219,15.701834
220,15.70512
221,15.712116
222,15.724529
223,15.727785
224,15.734645
225,15.746957
226,15.750423
227,15.757161
228,15.769537
229,15.773107
230,15.779925
231,15.792193
232,15.795581
233,15.802217
234,15.814485
235,15.818054
236,15.82453
237,15.83642
238,15.839917
239,15.846223
240,15.857244
241,15.860535
242,15.866638
243,15.87689
244,15.879901
245,15.88575
246,15.896048
247,15.898781
248,15.904618
249,15.915033
250,15.917748
251,15.923418
252,15.9334345
253,15.935973
254,15.941366
255,15.950691
256,15.952995
257,15.957968
258,15.967331
259,15.969041
260,15.973815
261,15.982725
262,15.984023
263,15.98849
264,15.996814
265,15.997942
266,16.002247
267,16.010197
268,16.011078
269,16.015244
270,16.022152
271,16.023764
272,16.027359
273,16.033216
274,16.03403
275,16.036734
276,16.041334
277,16.041042
278,16.042423
279,16.04535
280,16.043787
281,16.043745
282,16.044962
283,16.042164
284,16.040571
285,16.04013
286,16.036419
287,16.033758
288,16.032593
289,16.03029
290,16.030159
291,16.034319
292,16.04253
293,16.05733
294,16.081705
295,16.110588
296,16.140896
297,16.153635
298,16.163807
299,16.172384
300,16.183249
301,16.188015
302,16.194237
303,16.200338
304,16.203558
305,16.207165
306,16.212889
307,16.214151
308,16.218746
309,16.22285
310,16.226128
311,16.230093
312,16.236727
313,16.239649
314,16.249123
315,16.25505
316,16.259096
317,16.260292
318,16.263823
319,16.260435
320,16.262285
321,16.260992
322,16.258757
323,16.256441
324,16.257723
325,16.252028
326,16.251917
327,16.251505
328,16.247326
329,16.24564
330,16.247337
331,16.241838
332,16.241177
333,16.242657
334,16.237375
335,16.236244
336,16.238264
337,16.232172
338,16.230976
339,16.233086
340,16.22653
341,16.225096
342,16.227215
343,16.220121
344,16.21851
345,16.220402
346,16.212925
347,16.211235
348,16.213394
349,16.205454
350,16.203804
351,16.206367
352,16.198109
353,16.196669
354,16.199669
355,16.191332
356,16.190247
357,16.194576
358,16.185812
359,16.185207
360,16.190243
361,16.181267
362,16.181137
363,16.187607
364,16.178205
365,16.178553
366,16.185959
367,16.176605
368,16.177454
369,16.185413
370,16.176348
371,16.177732
372,16.186993
373,16.177574
374,16.179392
375,16.188915
376,16.179302
377,16.181316
378,16.190536
379,16.181034
380,16.183195
381,16.192705
382,16.183014
383,16.185268
384,16.195452
385,16.185524
386,16.187914
387,16.198677
388,16.188625
389,16.191126
390,16.201317
391,16.191534
392,16.193983
393,16.204134
394,16.194351
395,16.196611
396,16.207394
397,16.197401
398,16.199598
399,16.20979
400,16.199722
401,16.201637
402,16.209982
403,16.199764
404,16.201134
405,16.208735
406,16.1979
407,16.198679
408,16.206366
409,16.194859
410,16.195114
411,16.201782
412,16.189287
413,16.188606
